date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,56.26,56.97,55.63,56.50,3256393,0.43,0.77%,56.50,183559024.35,23542
2018-03-09,55.05,56.08,54.65,56.07,3469410,1.28,2.34%,56.07,193022974.14,25041
2018-03-08,54.33,55.69,54.28,54.79,4189472,0.68,1.26%,54.79,230738660.23,32265
2018-03-07,53.12,54.17,53.04,54.11,3216908,0.54,1.01%,54.11,173215225.14,25157
2018-03-06,53.34,54.02,52.90,53.57,4273805,0.38,0.71%,53.57,228847359.27,31175
2018-03-05,52.90,53.6939,52.69,53.19,3974757,0.01,0.02%,53.19,211720936.64,28870
2018-03-02,52.90,53.415,51.87,53.18,4918160,-0.30,-0.56%,53.18,259145134.19,37026
2018-03-01,54.14,55.31,53.2995,53.48,5895581,-0.77,-1.42%,53.48,319529011.50,46874
2018-02-28,54.41,54.60,53.635,54.25,4343788,-0.01,-0.02%,54.25,235608546.70,30814
2018-02-27,54.89,55.60,54.24,54.26,4878444,-0.74,-1.35%,54.26,266815542.47,33204
2018-02-26,53.99,55.13,53.92,55.00,4962084,1.61,3.02%,55.00,271487574.26,35930
2018-02-23,53.30,53.48,52.72,53.39,3394712,0.41,0.77%,53.39,180387948.26,25639
2018-02-22,53.24,53.41,52.6998,52.98,4356650,0.20,0.38%,52.98,230881111.13,30262
2018-02-21,51.96,53.86,51.825,52.78,5396700,1.06,2.05%,52.78,286453209.42,38161
2018-02-20,51.23,52.23,51.10,51.72,3379786,0.14,0.27%,51.72,175031137.27,24028
2018-02-16,51.80,52.205,51.53,51.58,3891284,-0.09,-0.17%,51.58,201602559.94,27831
2018-02-15,51.45,51.88,50.94,51.67,3140818,0.60,1.17%,51.67,161658298.20,21124
2018-02-14,50.24,51.56,50.11,51.07,4983225,0.20,0.39%,51.07,254687611.64,33181
2018-02-13,49.70,50.92,49.64,50.87,3758026,0.78,1.56%,50.87,189451902.87,26004
2018-02-12,48.79,50.51,48.65,50.09,5437809,1.73,3.58%,50.09,270982319.58,37950
2018-02-09,49.70,49.73,46.33,48.36,6837776,-0.24,-0.49%,48.36,327513955.49,48203
2018-02-08,51.44,51.46,48.51,48.60,5995091,-2.80,-5.45%,48.60,297288013.69,41092
2018-02-07,50.91,51.98,50.89,51.40,4845831,0.22,0.43%,51.40,250346464.74,32021
2018-02-06,49.32,51.50,48.79,51.18,6782480,1.42,2.85%,51.18,341880596.56,51578
2018-02-05,51.99,52.39,49.75,49.76,6878284,-2.24,-4.31%,49.76,350669465.89,48271
2018-02-02,53.49,53.99,52.03,52.10,5109361,-1.777,-3.30%,52.00,269380850.22,35050
2018-02-01,54.00,54.64,53.59,53.88,3623078,-0.439,-0.81%,53.7766,195509216.17,24744
2018-01-31,53.08,54.71,53.00,54.32,5962937,1.727,3.29%,54.2158,323529552.26,40755
2018-01-30,52.45,53.05,52.36,52.59,4741808,-0.09,-0.17%,52.4891,249785367.53,30192
2018-01-29,52.79,53.16,52.585,52.68,5953675,-0.389,-0.73%,52.5789,314051640.94,34035
2018-01-26,53.65,53.90,52.34,53.07,7066094,0.02,0.04%,52.9682,373989764.53,41237
2018-01-25,54.00,54.55,52.21,53.05,10223096,-1.737,-3.18%,52.9482,543154143.46,59886
2018-01-24,54.35,55.46,53.45,54.79,16348479,-3.493,-6.00%,54.6849,891319058.73,88920
2018-01-23,57.74,58.46,57.40,58.29,3336991,0.19,0.33%,58.1781,193748400.42,22817
2018-01-22,57.99,58.34,57.5305,58.10,3553916,0.04,0.07%,57.9885,205797740.40,19786
2018-01-19,58.59,58.59,57.76,58.06,3151201,-0.279,-0.48%,57.9486,183048800.84,20114
2018-01-18,58.00,58.71,57.56,58.34,3969309,0.18,0.31%,58.228,231440305.90,25757
2018-01-17,58.31,58.58,57.80,58.16,3148934,0.18,0.31%,58.0484,183522046.28,23605
2018-01-16,58.79,59.08,57.53,57.98,5283872,-0.489,-0.84%,57.8687,308274355.00,36136
2018-01-12,56.56,58.73,56.56,58.47,7505761,2.046,3.63%,58.3578,435626810.14,50061
2018-01-11,54.49,57.00,54.18,56.42,11339858,2.635,4.91%,56.3117,632685944.78,65062
2018-01-10,53.23,54.02,52.88,53.78,7655771,1.697,3.26%,53.6768,410041686.10,49128
2018-01-09,52.97,53.37,52.005,52.08,3426021,-0.05,-0.10%,51.9801,179970202.15,23001
2018-01-08,52.60,52.64,51.93,52.13,3515785,-0.519,-0.99%,52.03,183553442.79,21040
2018-01-05,52.78,52.8388,52.43,52.65,2967756,-0.02,-0.04%,52.549,156123799.11,16611
2018-01-04,52.48,54.40,52.265,52.67,3557059,0.329,0.63%,52.5689,187596467.36,22738
2018-01-03,52.86,52.86,52.055,52.34,5074850,-0.649,-1.23%,52.2396,265588965.95,26420
2018-01-02,52.33,53.10,51.90,52.99,4084712,0.958,1.85%,52.8883,214864715.03,24036
2017-12-29,52.42,52.82,52.01,52.03,2697096,-0.429,-0.82%,51.9302,140979535.51,12838
2017-12-28,52.45,52.63,52.22,52.46,1845331,0.06,0.11%,52.3593,96644568.27,10481
2017-12-27,52.80,52.88,52.06,52.40,2831434,-0.449,-0.85%,52.2994,148367773.01,17474
2017-12-26,52.35,53.215,52.33,52.85,2774316,0.26,0.49%,52.7486,146814760.82,17377
2017-12-22,52.72,52.88,52.42,52.59,2425104,-0.20,-0.38%,52.4891,127566307.63,13739
2017-12-21,52.16,53.47,52.07,52.79,7125891,0.868,1.68%,52.6887,377105686.16,39848
2017-12-20,51.57,52.10,51.17,51.92,5172839,0.479,0.93%,51.8204,267810553.66,27967
2017-12-19,51.60,51.81,51.28,51.44,3019807,-0.05,-0.10%,51.3413,155596733.40,20444
2017-12-18,51.25,51.66,51.25,51.49,3236066,0.429,0.84%,51.3912,166604774.09,22155
2017-12-15,50.67,51.50,50.40,51.06,9074165,0.848,1.69%,50.962,463299397.40,39792
2017-12-14,50.59,51.36,50.075,50.21,4503105,0.12,0.24%,50.1136,227641607.90,27482
2017-12-13,50.58,50.75,49.85,50.09,3035241,-0.379,-0.75%,49.9939,152332374.82,20770
2017-12-12,51.27,51.53,50.38,50.47,2798179,-0.828,-1.62%,50.3731,142087368.73,17780
2017-12-11,50.78,51.59,50.76,51.30,2835633,0.279,0.55%,51.2016,145118923.49,18281
2017-12-08,51.23,51.79,50.93,51.02,3817896,0.14,0.28%,50.9221,195808000.73,24305
2017-12-07,49.53,50.9205,49.30,50.88,3046954,1.268,2.56%,50.7824,154187225.35,20604
2017-12-06,49.39,49.81,49.19,49.61,2835542,0.14,0.28%,49.5148,140395516.19,18047
2017-12-05,49.85,50.00,49.2099,49.47,3594043,-0.459,-0.92%,49.3751,178314777.52,24028
2017-12-04,50.10,51.47,49.65,49.93,7113822,0.928,1.90%,49.8342,359389881.95,44551
2017-12-01,49.67,50.38,48.69,49.00,6229631,-1.487,-2.95%,48.906,307433853.49,40998
2017-11-30,49.76,51.1116,49.30,50.49,6016175,1.238,2.52%,50.3931,303833051.09,38570
2017-11-29,49.38,51.16,48.66,49.25,8154242,0.03,0.06%,49.1555,405639528.16,55013
2017-11-28,48.44,49.42,48.20,49.22,3864117,0.798,1.65%,49.1255,189634868.78,22355
2017-11-27,48.61,48.8336,48.30,48.42,2630803,-0.14,-0.29%,48.3271,127524592.27,15793
2017-11-24,48.66,48.76,48.35,48.56,1352400,-0.10,-0.21%,48.4668,65687106.64,8621
2017-11-22,48.58,48.97,48.27,48.66,2326894,0.01,0.02%,48.5666,113352588.89,15064
2017-11-21,47.89,48.92,47.54,48.65,2796204,0.958,2.01%,48.5566,135265616.32,17692
2017-11-20,47.33,47.88,47.12,47.69,2436018,0.299,0.63%,47.5985,115891276.24,15050
2017-11-17,47.60,47.75,47.1883,47.39,2324811,-0.289,-0.61%,47.2991,110290175.32,17652
2017-11-16,47.26,48.06,47.24,47.68,4462040,0.489,1.04%,47.5885,213284766.84,28623
2017-11-15,45.71,47.31,45.45,47.19,5223111,1.377,3.01%,47.0994,244833030.41,28600
2017-11-14,45.30,45.97,45.27,45.81,1827200,0.07,0.15%,45.7221,83633085.48,14354
2017-11-13,45.63,45.86,45.33,45.74,1772439,-0.08,-0.17%,45.6522,80803850.96,12443
2017-11-10,45.64,46.12,45.56,45.82,2433022,0.15,0.33%,45.7321,111713066.42,14295
2017-11-09,45.85,46.35,45.36,45.77,3559185,-0.598,-1.29%,45.5824,162858201.07,25101
2017-11-08,46.42,46.98,45.84,46.37,3198779,-0.09,-0.19%,46.1799,148752995.77,21878
2017-11-07,47.51,47.54,46.40,46.46,3756424,-1.046,-2.21%,46.2695,175744409.53,23050
2017-11-06,47.46,48.10,47.28,47.51,4249493,0.06,0.13%,47.3152,202215290.28,23139
2017-11-03,47.36,47.61,46.80,47.45,4037183,0.09,0.19%,47.2555,190637791.78,28644
2017-11-02,47.79,47.9291,47.09,47.36,2410660,-0.478,-1.00%,47.1658,114314765.21,16809
2017-11-01,48.00,48.20,47.37,47.84,4354521,1.016,2.18%,47.6439,208507372.28,32281
2017-10-31,47.22,47.60,46.79,46.82,4596604,-0.428,-0.91%,46.628,216382812.01,28410
2017-10-30,47.65,47.67,46.83,47.25,5402530,-0.309,-0.65%,47.0563,255424589.71,34940
2017-10-27,48.41,48.89,47.33,47.56,8591454,-1.046,-2.16%,47.365,411515267.90,48045
2017-10-26,52.00,53.19,48.32,48.61,12079047,-2.40,-4.72%,48.4107,603393573.29,68801
2017-10-25,51.78,51.78,50.61,51.02,4658297,-0.926,-1.79%,50.8108,237710748.44,29769
2017-10-24,51.02,52.10,50.5501,51.95,3654904,0.966,1.90%,51.737,188421525.41,26651
2017-10-23,51.92,51.9499,50.87,50.98,3456500,-0.946,-1.83%,50.771,177383577.37,25648
2017-10-20,51.56,52.24,51.53,51.93,3643376,0.418,0.82%,51.7171,189293538.36,24429
2017-10-19,51.57,51.83,49.6332,51.51,7568214,-0.518,-1.00%,51.2988,385863680.37,50820
2017-10-18,52.11,52.4373,51.86,52.03,2542361,-0.04,-0.08%,51.8167,132372906.80,19371
2017-10-17,52.72,52.82,51.87,52.07,3651202,-0.199,-0.38%,51.8565,190650374.97,23061
2017-10-16,52.52,52.68,51.93,52.27,3262297,-0.428,-0.82%,52.0557,170391067.44,22060
2017-10-13,52.67,52.8611,52.2588,52.70,2960327,0.05,0.09%,52.4839,155590000.27,22832
2017-10-12,52.72,52.83,52.34,52.65,2943045,-0.179,-0.34%,52.4341,154903550.69,25891
2017-10-11,53.10,53.74,52.33,52.83,5396763,-0.199,-0.38%,52.6134,284833995.03,37359
2017-10-10,52.00,53.25,51.98,53.03,9387125,2.42,4.80%,52.8126,496230180.81,62365
2017-10-09,51.23,51.4799,50.40,50.60,3691522,-0.697,-1.36%,50.3925,187220916.78,23943
2017-10-06,50.70,51.59,50.65,51.30,4240506,0.737,1.46%,51.0897,217077044.48,28522
2017-10-05,50.85,50.99,50.26,50.56,4212310,-0.169,-0.34%,50.3527,212815846.46,31488
2017-10-04,50.50,51.67,50.49,50.73,7454460,0.219,0.44%,50.522,380851328.28,52289
2017-10-03,47.66,50.59,47.63,50.51,10261794,2.769,5.82%,50.3029,510818344.25,57215
2017-10-02,47.52,47.93,47.22,47.73,4911650,0.239,0.51%,47.5343,233712358.27,33088
2017-09-29,47.49,47.85,47.23,47.49,4904347,0.00,0.00%,47.2953,233259924.26,34383
2017-09-28,46.78,48.60,46.78,47.49,8367839,0.637,1.37%,47.2953,399457538.62,59203
2017-09-27,47.58,48.10,46.6301,46.85,6183158,-0.727,-1.53%,46.6579,291295690.19,41967
2017-09-26,47.84,48.26,47.23,47.58,4706004,-0.12,-0.25%,47.3849,224104188.24,33212
2017-09-25,46.98,47.96,46.89,47.70,6363180,0.637,1.36%,47.5044,302540281.98,40835
2017-09-22,46.57,47.46,46.35,47.06,5342021,0.767,1.66%,46.8671,251457651.99,38379
2017-09-21,45.47,46.57,44.99,46.29,5864367,0.866,1.92%,46.1002,270099126.96,36494
2017-09-20,44.92,45.56,44.46,45.42,4708125,1.036,2.34%,45.2338,212876233.45,45577
2017-09-19,45.28,45.66,44.03,44.38,6884589,-0.926,-2.05%,44.1981,307256418.81,43282
2017-09-18,46.02,46.30,45.27,45.31,4601233,-0.687,-1.50%,45.1242,209237380.49,30132
2017-09-15,45.30,46.04,45.19,46.00,14846236,-0.189,-0.41%,45.8114,681430132.72,40538
2017-09-14,46.79,46.94,46.12,46.19,5360496,-0.807,-1.72%,46.0006,249177044.12,36329
2017-09-13,46.35,47.58,46.10,47.00,7288178,0.707,1.53%,46.8073,343065951.75,53299
2017-09-12,45.90,46.48,45.63,46.29,6325114,0.428,0.94%,46.1002,291514535.88,41119
2017-09-11,44.01,46.09,44.00,45.86,7921608,2.251,5.18%,45.672,359519382.75,52189
2017-09-08,43.81,44.11,43.49,43.60,4684643,-0.239,-0.55%,43.4212,205200147.79,30584
2017-09-07,44.19,44.625,43.5347,43.84,5095010,-0.468,-1.06%,43.6603,223316249.88,39118
2017-09-06,43.09,44.68,42.6066,44.31,8796667,0.388,0.89%,44.1283,386918072.85,57339
2017-09-05,44.79,45.28,43.84,43.92,8512885,-1.384,-3.07%,43.7399,377927171.51,57221
2017-09-01,44.85,45.47,44.65,45.31,4569439,0.568,1.27%,45.1242,206157108.35,33399
2017-08-31,44.54,44.94,44.43,44.74,3799621,0.418,0.95%,44.5566,169937513.48,28057
2017-08-30,44.54,44.765,43.89,44.32,5472629,-0.239,-0.54%,44.1383,242075707.51,29962
2017-08-29,44.53,44.85,44.38,44.56,5195211,-0.388,-0.87%,44.3773,231666454.23,35954
2017-08-28,45.23,45.3718,44.78,44.95,6969256,-0.299,-0.66%,44.7657,313511089.10,40450
2017-08-25,43.09,45.43,43.01,45.25,11738415,2.32,5.43%,45.0645,523927520.19,69823
2017-08-24,44.13,44.15,42.67,42.92,7057477,-1.046,-2.39%,42.744,305405916.04,47681
2017-08-23,45.17,45.2431,43.52,43.97,8159201,-1.434,-3.17%,43.7897,360702463.68,50947
2017-08-22,45.85,45.93,45.325,45.41,4019715,-0.299,-0.66%,45.2238,183181495.67,29296
2017-08-21,45.73,46.09,45.41,45.71,4353949,0.159,0.35%,45.5226,199014920.43,31898
2017-08-18,46.30,46.30,45.44,45.55,6242763,-0.478,-1.04%,45.3633,285513028.00,42296
2017-08-17,48.25,48.34,45.795,46.03,10304207,-2.37,-4.92%,45.8413,479734562.45,63534
2017-08-16,48.64,48.73,48.27,48.41,4187330,-0.11,-0.23%,48.2115,202952582.40,28923
2017-08-15,48.76,49.00,48.35,48.52,3149638,-0.289,-0.59%,48.3211,152917076.10,22433
2017-08-14,48.86,49.17,48.50,48.81,2996459,0.458,0.95%,48.6099,146273149.90,20490
2017-08-11,48.50,48.785,47.44,48.35,5610688,-0.199,-0.41%,48.1518,269554586.56,38107
2017-08-10,49.03,49.34,48.19,48.55,5441375,-0.747,-1.52%,48.351,264196484.25,38095
2017-08-09,49.74,49.92,49.23,49.40,5020809,-0.596,-1.20%,49.0979,248620389.94,32381
2017-08-08,50.68,50.78,49.89,50.00,4274416,-0.576,-1.15%,49.6942,214905916.03,29838
2017-08-07,50.82,51.13,50.46,50.58,3016726,-0.219,-0.43%,50.2707,152861506.60,20420
2017-08-04,50.67,50.92,50.3852,50.80,2993515,0.248,0.49%,50.4893,151999603.72,21377
2017-08-03,50.56,51.195,50.36,50.55,3231366,0.099,0.20%,50.2409,163813478.95,24751
2017-08-02,50.89,51.18,49.90,50.45,4679746,-0.606,-1.19%,50.1415,235594273.30,30618
2017-08-01,51.13,52.00,50.3236,51.06,5045298,0.616,1.23%,50.7477,257248716.00,34554
2017-07-31,50.85,51.23,50.035,50.44,6062854,-0.05,-0.10%,50.1315,306318525.99,37081
2017-07-28,49.02,50.67,48.73,50.49,9153445,0.487,0.98%,50.1812,454285292.28,55871
2017-07-27,50.34,50.34,48.75,50.00,10260337,-1.004,-1.98%,49.6942,509349938.94,62604
2017-07-26,50.63,51.165,50.01,51.01,4776112,0.398,0.79%,50.698,242198239.52,33358
2017-07-25,51.50,51.90,50.545,50.61,4484890,-0.666,-1.31%,50.3005,228828461.22,29960
2017-07-24,51.79,52.03,51.24,51.28,4876393,-0.626,-1.21%,50.9664,250926275.97,27457
2017-07-21,52.13,52.55,51.45,51.91,4544423,-0.427,-0.82%,51.5925,235658171.23,28264
2017-07-20,52.72,52.78,52.10,52.34,4836234,-0.268,-0.51%,52.0199,253570195.32,35766
2017-07-19,52.26,53.19,51.78,52.61,5774713,-0.537,-1.02%,52.2883,304094654.17,43042
2017-07-18,53.83,53.84,53.02,53.15,4101431,-0.716,-1.34%,52.825,219012240.14,30905
2017-07-17,54.21,54.28,53.85,53.87,3727804,-0.348,-0.65%,53.5406,201360259.39,22456
2017-07-14,53.80,54.28,53.34,54.22,4537895,0.407,0.76%,53.8884,245340748.63,24505
2017-07-13,53.40,54.48,53.15,53.81,5346686,0.01,0.02%,53.4809,288441711.74,38333
2017-07-12,53.12,53.825,52.45,53.80,8348363,2.177,4.24%,53.471,445411471.74,53759
2017-07-11,52.58,52.66,51.47,51.61,4545699,-1.044,-1.99%,51.2944,236149794.91,30800
2017-07-10,52.98,53.16,52.23,52.66,4600014,-0.368,-0.70%,52.338,242166048.82,28364
2017-07-07,52.30,53.38,52.18,53.03,6596952,0.974,1.88%,52.7057,349762584.25,43763
2017-07-06,50.97,52.58,50.86,52.05,7021422,0.785,1.54%,51.7317,364777337.03,47522
2017-07-05,50.44,51.545,50.18,51.26,5157516,0.865,1.73%,50.9465,262781139.26,32228
2017-07-03,50.78,51.28,50.37,50.39,2906524,0.07,0.14%,50.0818,147673683.17,21433
2017-06-30,49.92,50.51,49.60,50.32,6618701,0.696,1.41%,50.0123,332376629.55,36900
2017-06-29,49.28,49.685,48.82,49.62,6170117,0.368,0.75%,49.3165,304612759.15,41796
2017-06-28,48.82,49.7956,48.81,49.25,4259721,0.745,1.55%,48.9488,210699457.33,29862
2017-06-27,48.60,49.555,48.50,48.50,4264403,-0.278,-0.57%,48.2034,208911960.11,28965
2017-06-26,48.81,49.78,48.535,48.78,3992866,0.149,0.31%,48.4817,195694423.40,28358
2017-06-23,49.00,49.10,48.47,48.63,12682001,-0.338,-0.69%,48.3326,617267166.66,30591
2017-06-22,50.50,50.56,48.79,48.97,9792147,0.537,1.12%,48.6705,483617317.42,56146
2017-06-21,48.33,48.64,48.13,48.43,3469517,0.398,0.83%,48.1338,167899173.89,26480
2017-06-20,49.22,49.36,48.01,48.03,6035053,-1.62,-3.28%,47.7363,292916897.88,38865
2017-06-19,49.13,49.72,48.815,49.66,4104267,0.865,1.78%,49.3563,202833527.72,30721
2017-06-16,48.90,49.45,48.62,48.79,6622111,-0.318,-0.65%,48.4916,323837180.57,29495
2017-06-15,49.14,49.32,48.37,49.11,4579626,-0.278,-0.57%,48.8097,224163519.71,32954
2017-06-14,49.64,49.7801,48.89,49.39,4027798,-0.06,-0.12%,49.088,198963969.35,34409
2017-06-13,49.56,49.91,48.84,49.45,5153327,-0.03,-0.06%,49.1476,254279985.46,37320
2017-06-12,50.10,50.22,48.10,49.48,8597891,-0.785,-1.57%,49.1774,421799678.61,60691
2017-06-09,51.61,51.95,50.25,50.27,7204319,-1.153,-2.26%,49.9626,367751040.90,48888
2017-06-08,50.86,51.87,50.41,51.43,6544348,0.567,1.12%,51.1155,335406251.03,42001
2017-06-07,49.44,50.91,48.80,50.86,7078405,1.113,2.25%,50.549,356161145.61,40626
2017-06-06,49.47,50.10,49.32,49.74,4473456,0.00,0.00%,49.4358,222802873.85,30436
2017-06-05,49.53,49.95,49.40,49.74,5466685,0.219,0.44%,49.4358,271868467.75,32485
2017-06-02,49.56,50.47,49.37,49.52,7708567,0.467,0.96%,49.2172,384840047.58,45314
2017-06-01,48.50,49.36,48.30,49.05,4421404,0.636,1.32%,48.75,216994792.97,30677
2017-05-31,48.20,48.48,47.53,48.41,4486131,0.447,0.94%,48.1139,215979250.08,25958
2017-05-30,48.32,48.5775,47.79,47.96,5512854,-0.775,-1.60%,47.6667,265329462.23,37004
2017-05-26,47.79,48.82,47.7294,48.74,5979329,0.716,1.50%,48.4419,290545539.73,36646
2017-05-25,46.99,48.12,46.82,48.02,5441804,1.242,2.67%,47.7263,259219854.66,34113
2017-05-24,46.74,47.43,46.65,46.77,3890095,0.109,0.24%,46.484,182789896.18,24953
2017-05-23,46.27,46.69,45.94,46.66,3008501,0.447,0.97%,46.3747,139863237.91,21706
2017-05-22,45.33,46.25,45.33,46.21,4428568,0.984,2.19%,45.9274,203838384.76,25501
2017-05-19,44.80,45.38,44.74,45.22,6736688,0.567,1.28%,44.9435,304022721.11,41936
2017-05-18,44.40,45.40,44.38,44.65,6626694,-0.268,-0.60%,44.3769,297107573.68,49385
2017-05-17,46.25,46.56,44.88,44.92,6906735,-2.008,-4.30%,44.6453,313240503.22,44474
