date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,180.29,182.39,180.21,181.72,32207081,1.74,0.97%,181.72,5850643001.50,195343
2018-03-09,177.96,180.00,177.39,179.98,32185162,3.04,1.72%,179.98,5765825748.22,204162
2018-03-08,175.48,177.12,175.07,176.94,23774107,1.91,1.09%,176.94,4188726533.48,156528
2018-03-07,174.94,175.85,174.27,175.03,31703462,-1.64,-0.93%,175.03,5550274271.69,206267
2018-03-06,177.91,178.25,176.13,176.67,23788506,-0.15,-0.08%,176.67,4211620415.72,167013
2018-03-05,175.21,177.74,174.52,176.82,28401366,0.61,0.35%,176.82,5013444372.42,183246
2018-03-02,172.80,176.30,172.45,176.21,38453950,1.21,0.69%,176.21,6720516626.56,249160
2018-03-01,178.54,179.775,172.66,175.00,48801970,-3.12,-1.75%,175.00,8593484922.32,345194
2018-02-28,179.26,180.615,178.05,178.12,37782138,-0.27,-0.15%,178.12,6776426468.94,195756
2018-02-27,179.10,180.48,178.16,178.39,38928125,-0.58,-0.32%,178.39,6979569161.37,259222
2018-02-26,176.35,179.39,176.21,178.97,38162174,3.47,1.98%,178.97,6807044219.64,248928
2018-02-23,173.67,175.65,173.54,175.50,33812360,3.00,1.74%,175.50,5905614117.94,215226
2018-02-22,171.80,173.95,171.71,172.50,30991940,1.43,0.84%,172.50,5359699770.65,213689
2018-02-21,172.83,174.12,171.01,171.07,37471623,-0.78,-0.45%,171.07,6481469553.10,246559
2018-02-20,172.05,174.26,171.42,171.85,33930540,-0.58,-0.34%,171.85,5868243597.63,232826
2018-02-16,172.36,174.82,171.77,172.43,40176091,-0.56,-0.32%,172.43,6968445155.17,255882
2018-02-15,169.79,173.09,169.00,172.99,51147171,5.62,3.36%,172.99,8771286611.42,332581
2018-02-14,163.045,167.54,162.88,167.37,40644933,3.03,1.84%,167.37,6730420061.78,270798
2018-02-13,161.95,164.75,161.65,164.34,32549163,1.63,1.00%,164.34,5316866944.90,219160
2018-02-12,158.50,163.89,157.51,162.71,60819539,6.30,4.03%,162.71,9821337490.24,362868
2018-02-09,157.07,157.89,150.24,156.41,70672608,1.89,1.22%,156.41,10944003319.55,442048
2018-02-08,160.29,161.00,155.03,155.15,54390516,-4.372,-2.75%,154.5199,8648089270.08,366254
2018-02-07,163.085,163.40,159.0685,159.54,51608580,-3.476,-2.14%,158.8921,8313000862.64,341993
2018-02-06,154.83,163.72,154.00,163.03,68243838,6.513,4.18%,162.3679,10892210630.19,507004
2018-02-05,159.10,163.88,156.00,156.49,72738522,-3.994,-2.50%,155.8545,11677323176.18,528531
2018-02-02,166.00,166.80,160.10,160.50,86593825,-7.25,-4.34%,159.8482,14091238309.32,604136
2018-02-01,167.165,168.62,166.76,167.78,47230787,0.349,0.21%,167.0986,7915977999.54,309299
2018-01-31,166.87,168.4417,166.50,167.43,32478930,0.458,0.28%,166.7501,5435185111.78,225338
2018-01-30,165.525,167.37,164.70,166.97,46048185,-0.986,-0.59%,166.2919,7653850857.33,310900
2018-01-29,170.16,170.16,167.07,167.96,50640406,-3.536,-2.07%,167.2779,8523646078.18,336856
2018-01-26,172.00,172.00,170.06,171.51,39143011,0.398,0.23%,170.8135,6695017117.71,243621
2018-01-25,174.505,174.95,170.53,171.11,41529004,-3.097,-1.79%,170.4151,7154021117.09,293744
2018-01-24,177.25,177.30,173.20,174.22,51105090,-2.809,-1.59%,173.5125,8933749825.88,326254
2018-01-23,177.30,179.44,176.82,177.04,32689146,0.04,0.02%,176.321,5817958470.09,211200
2018-01-22,177.30,177.78,176.6016,177.00,27108551,-1.454,-0.82%,176.2812,4801288504.16,163851
2018-01-19,178.61,179.58,177.41,178.46,32425067,-0.797,-0.45%,177.7353,5784962558.78,160571
2018-01-18,179.37,180.10,178.25,179.26,31193352,0.159,0.09%,178.532,5595360106.99,185125
2018-01-17,176.15,179.25,175.07,179.10,34386836,2.898,1.65%,178.3727,6094934394.84,218165
2018-01-16,177.90,179.39,176.14,176.19,29565947,-0.896,-0.51%,175.4745,5248325403.37,195541
2018-01-12,176.18,177.36,175.65,177.09,25418080,1.803,1.03%,176.3708,4491318562.04,151956
2018-01-11,174.59,175.4886,174.49,175.28,18667729,0.986,0.57%,174.5682,3269399469.27,117867
2018-01-10,173.16,174.30,173.00,174.29,23959895,-0.04,-0.02%,173.5822,4160056224.81,151204
2018-01-09,174.55,175.06,173.41,174.33,21583997,-0.02,-0.01%,173.622,3762175718.05,154010
2018-01-08,174.35,175.61,173.93,174.35,20567766,-0.647,-0.37%,173.642,3591714031.95,138847
2018-01-05,173.44,175.37,173.05,175.00,23660018,1.962,1.14%,174.2893,4132742640.44,152177
2018-01-04,172.54,173.47,172.08,173.03,22434597,0.797,0.46%,172.3273,3880544122.65,153152
2018-01-03,172.53,174.55,171.96,172.23,29517899,-0.03,-0.02%,171.5306,5109963456.63,188339
2018-01-02,170.16,172.30,169.26,172.26,25555934,3.018,1.79%,171.5605,4378032466.43,177088
2017-12-29,170.52,170.59,169.22,169.23,25999922,-1.842,-1.08%,168.5428,4413444249.63,144384
2017-12-28,171.00,171.85,170.48,171.08,16480187,0.478,0.28%,170.3852,2820704590.58,108710
2017-12-27,170.10,170.78,169.71,170.60,21498213,0.03,0.02%,169.9072,3659977826.48,134253
2017-12-26,170.80,171.47,169.679,170.57,33185536,-4.422,-2.54%,169.8773,5655956253.13,222441
2017-12-22,174.68,175.424,174.50,175.01,16349444,0.00,0.00%,174.2993,2861571916.09,97114
2017-12-21,174.17,176.02,174.10,175.01,20949896,0.657,0.38%,174.2993,3671282715.18,117957
2017-12-20,174.87,175.42,173.25,174.35,23475649,-0.189,-0.11%,173.642,4090309822.77,142781
2017-12-19,175.03,175.39,174.09,174.54,27436447,-1.872,-1.07%,173.8312,4790566838.19,166256
2017-12-18,174.88,177.20,174.86,176.42,29421114,2.44,1.41%,175.7036,5189354429.39,163234
2017-12-15,173.63,174.17,172.46,173.97,40169307,1.743,1.02%,173.2635,6970335092.12,155582
2017-12-14,172.40,173.13,171.65,172.22,20476541,-0.05,-0.03%,171.5206,3527657387.06,138965
2017-12-13,172.50,173.54,172.00,172.27,23818447,0.568,0.33%,171.5704,4114945239.59,137312
2017-12-12,172.15,172.39,171.461,171.70,19409230,-0.966,-0.56%,171.0027,3336393746.85,129481
2017-12-11,169.20,172.89,168.79,172.67,35273759,3.287,1.95%,171.9688,6056778709.05,177590
2017-12-08,170.49,171.00,168.82,169.37,23355231,0.05,0.03%,168.6822,3964955185.05,130139
2017-12-07,169.03,170.44,168.91,169.32,25673308,0.309,0.18%,168.6324,4354963980.57,161097
2017-12-06,167.50,170.2047,166.46,169.01,28560000,-0.627,-0.37%,168.3236,4824935225.04,179986
2017-12-05,169.06,171.52,168.40,169.64,27350154,-0.159,-0.09%,168.9511,4655118247.19,172743
2017-12-04,172.48,172.62,169.63,169.80,32542385,-1.245,-0.73%,169.1104,5564177106.65,208566
2017-12-01,169.95,171.67,168.50,171.05,39759288,-0.797,-0.47%,170.3554,6775743230.62,230319
2017-11-30,170.43,172.14,168.44,171.85,41527218,2.36,1.40%,171.1521,7104288046.45,194001
2017-11-29,172.63,172.92,167.16,169.48,41666364,-3.575,-2.07%,168.7917,7058345602.81,285317
2017-11-28,174.30,174.87,171.86,173.07,26428802,-1.016,-0.59%,172.3672,4577506511.02,140184
2017-11-27,175.05,175.08,173.34,174.09,20716802,-0.876,-0.50%,173.383,3609811035.22,118217
2017-11-24,175.10,175.50,174.6459,174.97,14026673,0.01,0.01%,174.2594,2455973461.88,64847
2017-11-22,173.36,175.00,173.05,174.96,25588925,1.813,1.05%,174.2495,4458891650.36,130437
2017-11-21,170.78,173.70,170.78,173.14,25131295,3.147,1.86%,172.4369,4345402810.32,137407
2017-11-20,170.29,170.56,169.56,169.98,16262447,-0.169,-0.10%,169.2897,2764430305.38,95572
2017-11-17,171.04,171.39,169.64,170.15,21899544,-0.946,-0.56%,169.459,3731049137.98,130140
2017-11-16,171.18,171.87,170.30,171.10,23637484,2.012,1.19%,170.4052,4045965118.75,133303
2017-11-15,169.97,170.3197,168.38,169.08,29158070,-2.251,-1.32%,168.3934,4937184546.08,175239
