date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,99.21,101.02,98.9698,100.29,1586737,1.29,1.30%,100.29,158963593.68,12805
2018-03-09,96.89,99.05,96.76,99.00,1037949,2.76,2.87%,99.00,101942380.04,9469
2018-03-08,96.26,98.03,95.21,96.24,1148306,0.64,0.67%,96.24,110677380.45,9625
2018-03-07,93.78,95.89,93.12,95.60,1025425,0.90,0.95%,95.60,97753259.72,9849
2018-03-06,95.49,95.53,94.0763,94.70,1338205,-0.20,-0.21%,94.70,126664144.99,11237
2018-03-05,93.01,95.26,92.84,94.90,1317605,0.94,1.00%,94.90,124511964.88,11022
2018-03-02,92.70,94.58,92.56,93.96,1489868,0.66,0.71%,93.96,139494360.81,13935
2018-03-01,94.84,95.34,92.51,93.30,2178479,-1.86,-1.95%,93.30,204520982.83,19976
2018-02-28,97.94,99.75,95.15,95.16,1432256,-2.48,-2.54%,95.16,137573913.53,12528
2018-02-27,101.01,101.56,93.16,97.64,4738397,-2.94,-2.92%,97.64,457543840.97,32806
2018-02-26,98.59,100.9586,98.10,100.58,1551056,2.16,2.19%,100.58,155486601.40,9485
2018-02-23,97.57,98.49,96.67,98.42,1127598,1.30,1.34%,98.42,110311984.33,7660
2018-02-22,98.75,99.19,96.65,97.12,3416759,-1.45,-1.47%,97.12,332375249.66,13995
2018-02-21,99.82,99.96,98.34,98.57,2815482,-1.37,-1.37%,98.57,278960862.14,20169
2018-02-20,98.98,100.05,98.52,99.94,1683681,0.54,0.54%,99.94,167668084.37,14412
2018-02-16,96.73,100.055,96.55,99.40,2787823,2.18,2.24%,99.40,276017766.47,21138
2018-02-15,96.93,97.62,94.505,97.60,2884036,1.195,1.24%,97.22,278122455.80,23092
2018-02-14,97.25,98.19,95.60,96.40,3977566,-1.365,-1.40%,96.0247,383639048.86,38399
2018-02-13,101.67,101.9999,95.94,97.77,9725753,8.288,9.30%,97.3894,953715197.59,65099
2018-02-12,89.85,91.54,88.755,89.45,2157414,0.259,0.29%,89.1018,193529398.98,21402
2018-02-09,92.54,92.54,85.80,89.19,3670831,-2.351,-2.58%,88.8428,324776321.21,34658
2018-02-08,94.56,95.56,91.46,91.55,1742133,-2.66,-2.83%,91.1936,162437514.00,19935
2018-02-07,91.60,95.34,91.10,94.22,2509484,2.67,2.93%,93.8532,236700546.11,26513
2018-02-06,92.58,93.37,86.9403,91.54,4574997,-0.359,-0.39%,91.1836,411693041.21,43036
2018-02-05,95.62,96.52,91.69,91.90,2278534,-4.104,-4.29%,91.5422,214278384.31,22753
2018-02-02,99.09,99.09,95.91,96.02,1660267,-3.257,-3.29%,95.6462,161020892.06,15747
2018-02-01,97.74,99.81,95.73,99.29,2786798,-0.379,-0.38%,98.9035,275428361.96,22754
2018-01-31,102.98,103.04,99.06,99.67,2458633,-2.779,-2.72%,99.282,246414011.66,21263
2018-01-30,102.00,103.65,100.03,102.46,3113941,-2.62,-2.50%,102.0611,318764374.85,21776
2018-01-29,105.14,106.27,104.865,105.09,1422994,-0.388,-0.37%,104.6809,150089952.05,12376
2018-01-26,104.56,105.73,104.11,105.48,1453297,1.106,1.06%,105.0694,152554314.06,11142
2018-01-25,104.67,104.67,103.435,104.37,992747,-0.249,-0.24%,103.9637,103283673.48,11311
2018-01-24,103.29,104.96,102.90,104.62,2111679,1.803,1.76%,104.2127,220587795.94,20029
2018-01-23,103.00,103.67,102.10,102.81,1371502,0.149,0.15%,102.4098,141089825.78,12268
2018-01-22,100.28,102.73,99.66,102.66,1313414,2.59,2.60%,102.2603,134072509.13,12692
2018-01-19,100.87,101.58,99.63,100.06,1371361,-0.797,-0.79%,99.6705,137291191.33,12205
2018-01-18,101.53,101.64,99.75,100.86,1895835,-0.438,-0.43%,100.4674,190480379.73,16259
2018-01-17,99.77,101.85,99.77,101.30,1864850,1.743,1.76%,100.9056,188449764.93,15013
2018-01-16,99.10,100.67,98.97,99.55,1869731,0.548,0.56%,99.1625,186488043.17,15186
2018-01-12,98.50,99.00,97.55,99.00,1469349,0.857,0.88%,98.6146,144836143.60,13545
2018-01-11,97.40,98.14,96.52,98.14,780736,0.926,0.96%,97.7579,76254062.74,8638
2018-01-10,96.54,97.31,94.75,97.21,1070249,-0.309,-0.32%,96.8316,103482023.70,11133
2018-01-09,96.95,97.86,95.91,97.52,1783471,0.618,0.64%,97.1404,173222005.38,16755
2018-01-08,95.11,97.81,94.81,96.90,1731070,1.574,1.66%,96.5228,166969444.58,13753
2018-01-05,93.77,95.63,93.77,95.32,1342778,1.136,1.21%,94.9489,127146535.66,10770
2018-01-04,94.64,94.83,92.86,94.18,1781646,-0.209,-0.22%,93.8134,167141965.98,14590
2018-01-03,93.40,94.73,92.47,94.39,1035206,0.349,0.37%,94.0225,97182243.81,9986
2018-01-02,92.15,94.07,92.12,94.04,1138157,2.211,2.42%,93.6739,106546576.92,10057
