date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,63.59,63.95,63.415,63.62,8858484,0.02,0.03%,63.62,563710745.51,35482
2018-03-09,62.05,63.70,62.0172,63.60,8184391,1.73,2.80%,63.60,517118755.20,44164
2018-03-08,61.34,61.95,61.30,61.87,5245774,0.58,0.95%,61.87,323642155.35,28990
2018-03-07,60.27,61.415,60.19,61.29,7726484,0.41,0.67%,61.29,471402763.73,39336
2018-03-06,60.59,61.02,60.105,60.88,6620048,0.51,0.84%,60.88,401123596.81,41706
2018-03-05,58.91,60.63,58.90,60.37,9000405,0.91,1.53%,60.37,539710455.88,43513
2018-03-02,58.48,59.53,58.43,59.46,7979196,0.67,1.14%,59.46,470773657.15,46654
2018-03-01,60.16,60.18,58.53,58.79,9711891,-1.54,-2.55%,58.79,574817906.28,63169
2018-02-28,60.67,61.12,60.18,60.33,8325745,-0.22,-0.36%,60.33,504514362.17,40371
2018-02-27,60.75,61.24,60.39,60.55,6747678,0.02,0.03%,60.55,409503797.72,38855
2018-02-26,59.86,60.585,59.73,60.53,5364248,0.82,1.37%,60.53,323339961.33,27365
2018-02-23,59.22,59.74,58.98,59.71,5190445,0.72,1.22%,59.71,308044574.90,27374
2018-02-22,59.21,59.40,58.80,58.99,5539926,0.00,0.00%,58.99,327291803.45,35529
2018-02-21,59.07,59.99,58.82,58.99,4793848,-0.13,-0.22%,58.99,284767557.73,31079
2018-02-20,59.68,59.87,58.84,59.12,8182537,-1.05,-1.75%,59.12,484818827.56,48274
2018-02-16,59.44,60.539,59.33,60.17,7849189,0.67,1.13%,60.17,472198576.13,41841
2018-02-15,58.72,59.51,58.33,59.50,3871897,1.22,2.09%,59.50,228661889.34,24410
2018-02-14,57.32,58.40,57.15,58.28,3728920,0.64,1.11%,58.28,215965588.73,24894
2018-02-13,57.14,57.7919,56.81,57.64,5816623,0.23,0.40%,57.64,334058372.65,34298
2018-02-12,57.70,57.98,56.875,57.41,8234201,0.24,0.42%,57.41,473137922.30,46241
2018-02-09,56.63,57.69,55.58,57.17,8028354,0.90,1.60%,57.17,455203208.04,62063
2018-02-08,58.77,58.83,56.22,56.27,6874534,-2.40,-4.09%,56.27,394343247.64,48021
2018-02-07,58.60,59.85,58.50,58.67,6872663,-0.19,-0.32%,58.67,406740883.17,45947
2018-02-06,57.92,59.2606,57.33,58.86,15214679,0.13,0.22%,58.86,885137700.94,101623
2018-02-05,61.60,61.87,58.55,58.73,11548229,-2.96,-4.80%,58.73,693320908.99,71607
2018-02-02,62.20,62.42,61.64,61.69,12346542,-0.49,-0.79%,61.69,765706249.05,48807
2018-02-01,61.75,62.54,61.66,62.18,8101584,0.02,0.03%,62.18,503572741.09,39144
2018-01-31,62.66,62.76,61.85,62.16,7804362,-0.28,-0.45%,62.16,485486524.46,38263
2018-01-30,62.44,63.115,62.2901,62.44,6497641,-0.87,-1.37%,62.44,406890563.91,36040
2018-01-29,63.09,63.465,62.85,63.31,8638541,-0.11,-0.17%,63.31,546166813.48,48949
2018-01-26,63.15,63.435,62.67,63.42,10242797,0.20,0.32%,63.42,645615550.68,41558
2018-01-25,63.18,64.60,62.32,63.22,15261885,1.50,2.43%,63.22,963350983.15,66010
2018-01-24,61.00,64.16,60.74,61.72,11704949,2.49,4.20%,61.72,720034771.88,67246
2018-01-23,59.52,59.5661,58.975,59.23,8122077,-0.34,-0.57%,59.23,481396372.85,42808
2018-01-22,58.88,59.57,58.45,59.57,6841939,0.26,0.44%,59.57,405208698.98,35156
2018-01-19,59.23,59.68,58.96,59.31,7363008,0.24,0.41%,59.31,436604520.99,32577
2018-01-18,58.78,59.265,58.53,59.07,5658579,0.08,0.14%,59.07,333462612.49,31119
2018-01-17,58.76,59.10,58.625,58.99,5037504,0.55,0.94%,58.99,296910772.90,31233
2018-01-16,58.891,59.14,58.23,58.44,7175001,-0.40,-0.68%,58.44,420306887.65,31058
2018-01-12,58.96,59.24,58.79,58.84,6321142,-0.11,-0.19%,58.84,372437034.28,27472
2018-01-11,58.65,58.96,58.29,58.95,4240938,0.40,0.68%,58.95,249061849.27,24173
2018-01-10,58.75,58.91,58.29,58.83,4340836,-0.09,-0.15%,58.55,254876604.71,25760
2018-01-09,59.10,59.10,58.375,58.92,7467672,0.10,0.17%,58.6396,439284274.53,43603
2018-01-08,58.85,58.98,58.525,58.82,5411995,-0.169,-0.29%,58.5401,318117699.30,29415
2018-01-05,59.04,59.09,58.635,58.99,5836945,0.169,0.29%,58.7093,343670933.91,33234
2018-01-04,59.50,59.60,58.76,58.82,6239956,-0.10,-0.17%,58.5401,368066419.20,36602
2018-01-03,58.99,59.015,58.31,58.92,5684407,0.129,0.22%,58.6396,334279346.96,32315
2018-01-02,58.20,59.20,57.817,58.79,10113305,1.712,3.01%,58.5102,594262838.23,51023
2017-12-29,57.60,57.765,57.07,57.07,3995189,-0.388,-0.68%,56.7984,228814733.68,17978
2017-12-28,57.44,57.69,57.37,57.46,3387664,-0.01,-0.02%,57.1865,194774957.85,20201
2017-12-27,57.09,57.60,57.05,57.47,5243921,0.468,0.82%,57.1965,301094134.51,24225
2017-12-26,57.01,57.245,56.90,57.00,3187912,0.07,0.12%,56.7287,181867006.79,15397
2017-12-22,57.10,57.3243,56.76,56.93,5449333,0.00,0.00%,56.6591,310388166.00,28666
2017-12-21,57.15,57.27,56.74,56.93,6154694,-0.09,-0.16%,56.6591,350511608.16,34155
2017-12-20,56.73,57.30,56.395,57.02,11948355,0.219,0.39%,56.7486,681309779.09,53758
2017-12-19,56.65,56.945,56.45,56.80,7116846,0.398,0.71%,56.5297,403929433.52,43628
2017-12-18,55.59,56.52,55.42,56.40,6053871,0.896,1.62%,56.1316,340489700.98,33796
2017-12-15,55.01,55.56,54.84,55.50,14655482,0.766,1.41%,55.2359,811654945.61,32653
2017-12-14,55.03,55.22,54.63,54.73,5935190,-0.328,-0.60%,54.4695,325556234.69,39252
2017-12-13,55.67,55.76,54.80,55.06,9962307,-0.637,-1.15%,54.798,549416279.78,53273
2017-12-12,55.45,55.87,55.155,55.70,9860720,0.756,1.38%,55.4349,548102194.91,44983
2017-12-11,54.77,55.12,54.48,54.94,4273000,0.299,0.55%,54.6785,234447229.40,26868
2017-12-08,54.66,54.85,54.325,54.64,5103892,-0.05,-0.09%,54.38,278319084.20,28967
2017-12-07,54.76,54.94,54.35,54.69,4421939,0.03,0.05%,54.4297,241709823.07,25024
2017-12-06,54.87,55.112,54.32,54.66,7828595,-0.129,-0.24%,54.3999,427325729.11,44451
2017-12-05,54.64,55.32,54.34,54.79,4321075,0.08,0.15%,54.5293,237305069.08,30048
2017-12-04,56.14,56.20,54.69,54.71,4589081,-1.264,-2.27%,54.4496,253765716.20,32987
2017-12-01,56.30,56.68,55.27,55.98,5322310,-0.388,-0.69%,55.7136,297836015.20,35507
2017-11-30,55.67,56.46,55.31,56.37,10086259,0.786,1.42%,56.1017,566295472.60,36874
2017-11-29,56.09,56.30,55.38,55.58,7277873,-0.438,-0.79%,55.3155,405159415.52,42586
2017-11-28,56.30,56.30,55.575,56.02,6841715,-0.129,-0.23%,55.7534,382756071.67,37101
2017-11-27,56.17,56.52,56.01,56.15,4518295,0.02,0.04%,55.8828,253954394.15,23733
2017-11-24,55.85,56.19,55.74,56.13,2148282,0.328,0.59%,55.8629,120342443.89,12450
2017-11-22,56.03,56.15,55.57,55.80,3552077,-0.318,-0.57%,55.5344,198284702.98,23309
2017-11-21,55.45,56.32,55.44,56.12,4612991,0.826,1.50%,55.8529,258758787.59,28385
2017-11-20,55.66,55.6784,55.13,55.29,3699402,-0.269,-0.49%,55.0269,204533481.12,22725
2017-11-17,55.29,55.71,55.22,55.56,6284213,0.02,0.04%,55.2956,348909868.43,25324
2017-11-16,55.11,55.84,54.86,55.54,6866883,0.707,1.29%,55.2757,381166145.01,33469
2017-11-15,54.78,55.08,54.54,54.83,4999782,-0.179,-0.33%,54.5691,274341898.17,27045
2017-11-14,55.05,55.21,54.76,55.01,6180407,-0.289,-0.52%,54.7482,339855488.27,28586
2017-11-13,54.69,55.37,54.56,55.30,3854524,0.498,0.91%,55.0368,212682662.67,24447
2017-11-10,55.23,55.32,54.37,54.80,5033162,-0.647,-1.17%,54.5392,275641001.17,26003
2017-11-09,55.06,55.50,54.91,55.45,3299772,0.199,0.36%,55.1861,182231934.76,26080
2017-11-08,54.98,55.35,54.72,55.25,3712978,0.09,0.16%,54.9871,204690295.03,23125
2017-11-07,55.15,55.26,54.67,55.16,4843996,0.149,0.27%,54.8975,266252894.65,29126
2017-11-06,55.32,55.40,55.01,55.01,3134181,-0.458,-0.83%,54.7482,172853548.55,21195
2017-11-03,54.57,55.50,54.47,55.47,4567065,1.095,2.02%,55.206,252263913.29,30684
2017-11-02,54.05,54.65,53.96,54.37,6953162,0.368,0.69%,54.1113,377605605.14,42778
2017-11-01,53.89,54.57,53.6101,54.00,7641899,-0.229,-0.42%,53.743,414285089.28,55315
2017-10-31,54.48,54.54,54.03,54.23,7676194,-0.06,-0.11%,53.9719,416441139.28,45792
2017-10-30,55.18,55.3069,54.055,54.29,7542616,-1.075,-1.95%,54.0316,410470791.93,42126
2017-10-27,55.49,55.62,55.18,55.37,4724503,-0.109,-0.20%,55.1065,261700359.95,29128
2017-10-26,55.34,55.69,55.08,55.48,5033437,-0.02,-0.04%,55.216,279449803.27,27340
2017-10-25,55.38,55.88,55.19,55.50,4705052,0.119,0.22%,55.2359,261213218.44,31917
2017-10-24,56.00,56.07,55.18,55.38,7200991,-0.697,-1.25%,55.1164,399580779.89,36719
2017-10-23,56.21,56.685,56.07,56.08,4709045,-0.239,-0.43%,55.8131,265208705.36,28622
2017-10-20,56.17,56.44,55.94,56.32,5528681,0.318,0.57%,56.052,310976109.98,28498
2017-10-19,55.90,56.18,55.41,56.00,4865319,0.229,0.41%,55.7335,271934667.06,33273
2017-10-18,55.18,56.60,54.92,55.77,9044529,0.707,1.29%,55.5046,505495352.20,57557
2017-10-17,54.59,55.23,54.40,55.06,5432973,0.428,0.79%,54.798,298538954.28,31956
2017-10-16,54.62,54.91,54.5223,54.63,3725850,-0.02,-0.04%,54.37,203688568.17,19921
2017-10-13,54.64,54.79,54.45,54.65,4951775,-0.06,-0.11%,54.3899,270565897.13,24051
2017-10-12,54.24,54.73,54.11,54.71,4404962,0.532,0.99%,54.4496,240314362.58,25004
2017-10-11,55.26,55.35,54.32,54.44,6940043,-0.951,-1.73%,53.9172,379350780.01,38340
2017-10-10,54.77,55.43,54.53,55.40,4943124,0.733,1.35%,54.8679,272404639.34,34002
2017-10-09,55.05,55.05,54.61,54.66,3985799,-0.337,-0.62%,54.1351,218136856.37,24769
2017-10-06,54.90,55.0596,54.51,55.00,4302126,0.079,0.15%,54.4718,235802348.25,24109
2017-10-05,54.37,55.11,54.35,54.92,5143121,0.574,1.07%,54.3926,282060193.94,29922
2017-10-04,53.67,54.34,53.611,54.34,5629687,0.584,1.10%,53.8181,304521490.84,29232
2017-10-03,53.75,53.995,53.70,53.75,4464895,0.069,0.13%,53.2338,240315789.36,25729
2017-10-02,53.64,53.70,53.195,53.68,8681945,0.317,0.60%,53.1645,464328798.28,44271
2017-09-29,53.64,53.79,53.29,53.36,8458956,-0.277,-0.52%,52.8475,451772589.22,36168
2017-09-28,54.75,54.80,53.61,53.64,14861129,1.476,2.86%,53.1249,802991204.92,72312
2017-09-27,52.85,53.08,51.55,52.15,8025594,-0.693,-1.32%,51.6492,418164771.29,43205
2017-09-26,52.62,53.30,52.59,52.85,6960683,0.238,0.46%,52.3424,368999608.86,40021
2017-09-25,52.46,52.78,52.3144,52.61,9778116,0.099,0.19%,52.1047,513893472.32,44173
2017-09-22,51.51,52.58,51.50,52.51,7978960,1.07,2.10%,52.0057,416375588.58,40258
2017-09-21,51.88,51.98,51.38,51.43,5737550,-0.456,-0.89%,50.9361,296237148.10,28357
2017-09-20,51.39,51.915,51.39,51.89,4967024,0.475,0.93%,51.3917,256859617.74,26620
2017-09-19,52.15,52.24,51.37,51.41,3790880,-0.664,-1.29%,50.9163,195399431.16,24028
2017-09-18,51.89,52.09,51.60,52.08,3371140,0.317,0.62%,51.5798,175126957.44,19263
2017-09-15,51.75,51.88,51.49,51.76,6699659,0.069,0.14%,51.2629,346597545.84,23539
2017-09-14,51.93,52.10,51.57,51.69,5568305,-0.307,-0.60%,51.1936,288073597.53,33191
2017-09-13,52.24,52.33,51.89,52.00,4214137,-0.248,-0.48%,51.5006,219416400.79,23627
2017-09-12,52.49,52.54,51.88,52.25,3759614,-0.198,-0.38%,51.7482,196237560.51,23322
