date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,162.00,162.77,161.02,161.69,2105433,0.18,0.11%,161.69,340647435.30,17837
2018-03-09,159.65,161.8328,159.21,161.51,2988026,3.01,1.90%,161.51,480263796.48,25719
2018-03-08,159.01,159.42,158.04,158.50,3093240,-0.05,-0.03%,158.50,490873496.87,21960
2018-03-07,156.98,158.96,156.5201,158.55,3176151,0.52,0.33%,158.55,502035738.31,24815
2018-03-06,159.17,160.15,156.98,158.03,2352499,-0.82,-0.52%,158.03,371724227.07,20357
2018-03-05,157.17,159.66,156.99,158.85,1936791,1.35,0.86%,158.85,307398079.89,18423
2018-03-02,155.21,157.63,154.69,157.50,2960136,1.35,0.86%,157.50,462725070.16,26911
2018-03-01,161.28,161.5884,155.88,156.15,3005395,-4.86,-3.02%,156.15,474235585.74,30063
2018-02-28,162.90,164.39,160.95,161.01,2002240,-1.54,-0.95%,161.01,324826196.33,17039
2018-02-27,164.80,165.58,162.55,162.55,1820815,-2.19,-1.33%,162.55,298316985.51,17508
2018-02-26,163.82,164.83,162.915,164.74,1782844,1.79,1.10%,164.74,292697112.22,16483
2018-02-23,161.10,163.05,160.32,162.95,1577234,2.63,1.64%,162.95,255585828.23,14238
2018-02-22,161.08,161.995,159.905,160.32,1511705,-0.14,-0.09%,160.32,243159271.54,16507
2018-02-21,161.59,163.76,160.42,160.46,1628586,-0.98,-0.61%,160.46,264033832.64,18423
2018-02-20,162.38,162.72,161.07,161.44,1425743,-1.22,-0.75%,161.44,230721150.40,15989
2018-02-16,160.96,163.60,160.845,162.66,1998555,1.60,0.99%,162.66,324834375.48,17510
2018-02-15,160.39,161.11,158.11,161.06,1854915,1.27,0.79%,161.06,296756088.83,20968
2018-02-14,156.01,160.12,155.15,159.79,2583153,2.95,1.88%,159.79,410231943.50,19061
2018-02-13,154.20,156.99,153.99,156.84,2059482,1.89,1.22%,156.84,321091748.25,17045
2018-02-12,154.67,156.47,153.90,154.95,2273661,1.11,0.72%,154.95,353055248.74,21764
2018-02-09,151.69,154.99,148.79,153.84,3656802,3.33,2.21%,153.84,554145935.17,33324
2018-02-08,155.31,155.47,150.37,150.51,2900917,-4.64,-2.99%,150.51,444579480.76,24746
2018-02-07,154.22,158.93,153.07,155.15,2918659,0.46,0.30%,155.15,456241193.69,25459
2018-02-06,150.29,155.18,149.43,154.69,4259634,2.86,1.88%,154.69,649104471.92,38243
2018-02-05,156.12,159.27,150.73,151.83,3733711,-5.07,-3.23%,151.83,580640240.31,32347
2018-02-02,159.98,160.27,156.63,156.90,2183611,-3.56,-2.22%,156.90,345073930.41,18038
2018-02-01,160.155,161.13,159.54,160.46,1692576,-0.24,-0.15%,160.46,271433846.55,15386
2018-01-31,160.09,160.945,159.73,160.70,1878301,1.00,0.63%,160.70,301405833.71,15393
2018-01-30,160.96,161.16,159.11,159.70,1699965,-1.49,-0.92%,159.70,272184129.69,16262
2018-01-29,162.33,162.60,160.97,161.19,1314847,-1.36,-0.84%,161.19,212442761.90,13247
2018-01-26,161.25,162.58,160.33,162.55,1950655,1.76,1.09%,162.55,315940644.07,16629
2018-01-25,161.12,161.75,160.615,160.79,1327113,0.19,0.12%,160.79,213737069.44,12193
2018-01-24,161.20,161.99,160.54,160.60,1951898,-0.28,-0.17%,160.60,314490362.05,15974
2018-01-23,161.29,162.05,160.64,160.88,1635846,-0.55,-0.34%,160.88,263573538.88,14864
2018-01-22,161.21,161.88,160.82,161.43,1719976,-0.32,-0.20%,161.43,277494309.37,15518
2018-01-19,161.60,162.498,160.20,161.75,2246733,0.81,0.50%,161.75,362581175.34,16771
2018-01-18,160.13,161.0823,159.82,160.94,1715458,0.73,0.46%,160.94,275604149.37,15736
2018-01-17,159.10,160.47,158.81,160.21,2143095,2.25,1.42%,160.21,343023946.43,18458
2018-01-16,160.25,160.37,157.91,157.96,2858729,-2.15,-1.34%,157.96,453855137.88,22010
