date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,222.97,223.11,220.34,220.94,3216924,-0.17,-0.08%,220.94,712432416.02,29860
2018-03-09,218.00,221.27,217.19,221.11,2642259,4.71,2.18%,221.11,580766699.76,27917
2018-03-08,218.03,219.71,214.86,216.40,2284446,-0.46,-0.21%,216.40,495179779.43,25196
2018-03-07,211.33,217.44,211.0033,216.86,2795072,4.85,2.29%,216.86,601609125.51,29698
2018-03-06,212.44,212.74,209.88,212.01,2169010,0.85,0.40%,212.01,458691396.26,26550
2018-03-05,208.75,212.00,206.92,211.16,2111808,1.37,0.65%,211.16,443788398.88,23314
2018-03-02,203.96,210.21,201.76,209.79,2624675,3.76,1.82%,209.79,543544838.14,27180
2018-03-01,210.32,210.6834,204.45,206.03,2632234,-3.10,-1.48%,206.03,544700895.31,33188
2018-02-28,210.69,213.44,209.10,209.13,2356944,0.31,0.15%,209.13,496446600.64,23742
2018-02-27,211.99,212.76,208.25,208.82,2330752,-3.33,-1.57%,208.82,490020509.93,28126
2018-02-26,211.29,212.35,209.261,212.15,2418674,2.41,1.15%,212.15,510768239.48,27629
2018-02-23,204.22,209.78,203.31,209.74,2349265,7.13,3.52%,209.74,487537465.82,25473
2018-02-22,203.07,204.22,201.68,202.61,1541519,0.52,0.26%,202.61,313013217.62,19707
2018-02-21,204.45,206.83,202.02,202.09,2043494,-0.89,-0.44%,202.09,418006980.56,26481
2018-02-20,200.46,205.115,199.18,202.98,2722668,1.42,0.70%,202.98,551932763.40,32212
2018-02-16,202.52,203.90,200.74,201.56,2172590,-1.41,-0.69%,201.56,439253802.99,24961
2018-02-15,198.97,203.28,197.13,202.97,2233313,5.84,2.96%,202.97,448982449.41,26708
2018-02-14,192.48,197.50,191.95,197.13,2542392,3.65,1.89%,197.13,496893479.83,26228
2018-02-13,190.85,194.31,190.39,193.48,1961306,1.33,0.69%,193.48,377840238.69,22492
2018-02-12,189.00,192.99,188.56,192.15,2824726,4.16,2.21%,192.15,540013337.85,30487
2018-02-09,187.33,189.71,179.34,187.99,3818835,2.83,1.53%,187.99,707562203.70,45232
2018-02-08,192.84,192.97,185.02,185.16,3978688,-7.18,-3.73%,185.16,748756647.34,40744
2018-02-07,193.87,196.24,192.02,192.34,2988024,-2.13,-1.10%,192.34,579194556.26,29599
2018-02-06,186.59,194.82,182.10,194.47,4479960,4.20,2.21%,194.47,854292819.04,52186
2018-02-05,194.06,198.46,188.00,190.27,3801346,-5.37,-2.74%,190.27,736974699.96,40388
2018-02-02,197.33,199.40,195.44,195.64,2813785,-3.74,-1.88%,195.64,553972731.84,28122
2018-02-01,199.12,201.75,198.0845,199.38,2366120,-0.38,-0.19%,199.38,473095493.66,26695
2018-01-31,197.13,200.96,196.75,199.76,2747576,2.86,1.45%,199.76,548317789.89,28125
2018-01-30,197.25,197.73,194.89,196.90,3343348,-1.33,-0.67%,196.90,657560567.33,32600
2018-01-29,200.11,200.86,197.87,198.23,1938978,-3.07,-1.53%,198.23,385809206.23,22383
2018-01-26,198.50,201.55,198.25,201.30,2338080,3.79,1.92%,201.30,468334178.68,22977
2018-01-25,198.08,199.244,196.07,197.51,2574213,-0.27,-0.14%,197.51,509283409.41,26477
2018-01-24,201.82,202.30,196.52,197.78,3250450,-2.31,-1.15%,197.78,646125946.21,34675
2018-01-23,202.29,204.45,199.44,200.09,3980994,2.25,1.14%,200.09,799246414.13,39100
2018-01-22,195.70,198.00,194.424,197.84,1701342,2.11,1.08%,197.84,335226571.66,18618
2018-01-19,196.24,196.63,194.65,195.73,2342979,-0.47,-0.24%,195.73,458282341.49,20049
2018-01-18,196.21,196.586,194.06,196.20,2539356,-0.29,-0.15%,196.20,496587627.48,23985
2018-01-17,194.015,197.12,192.77,196.49,2969469,4.03,2.09%,196.49,581084977.65,31035
2018-01-16,195.92,198.21,191.71,192.46,4595560,-2.59,-1.33%,192.46,892520596.28,37215
2018-01-12,189.09,195.50,188.99,195.05,4246044,6.13,3.24%,195.05,821229425.13,40664
2018-01-11,187.29,188.94,186.185,188.92,1600065,1.81,0.97%,188.92,300909831.97,17825
2018-01-10,185.21,187.27,185.073,187.11,1664485,0.41,0.22%,187.11,310476977.94,18715
2018-01-09,185.57,186.97,183.9314,186.70,1804423,1.66,0.90%,186.70,335530903.24,20276
2018-01-08,184.95,185.599,183.83,185.04,2087952,-0.30,-0.16%,185.04,386229837.01,17307
2018-01-05,185.00,185.90,183.54,185.34,2376524,2.12,1.16%,185.34,439949699.24,20677
2018-01-04,181.93,184.0599,181.64,183.22,2211383,2.18,1.20%,183.22,405013542.60,24079
2018-01-03,178.00,181.89,177.70,181.04,2561213,3.34,1.88%,181.04,462385748.57,27304
2018-01-02,175.85,177.80,175.26,177.70,2432814,2.46,1.40%,177.70,430420250.16,25287
2017-12-29,175.19,176.97,175.10,175.24,1810263,-0.31,-0.18%,175.24,318005649.98,14595
2017-12-28,175.92,176.00,174.85,175.55,1043660,0.19,0.11%,175.55,183137578.56,12240
2017-12-27,174.65,175.44,173.97,175.36,1527819,0.92,0.53%,175.36,267179969.36,15886
2017-12-26,174.36,175.00,173.03,174.44,918355,-0.56,-0.32%,174.44,159975856.84,12370
2017-12-22,173.99,175.10,173.75,175.00,1702630,0.44,0.25%,175.00,297414301.69,18735
2017-12-21,174.05,175.32,174.00,174.56,2164450,0.31,0.18%,174.56,377872843.26,20751
2017-12-20,176.00,176.00,172.92,174.25,2677319,-0.72,-0.41%,174.25,465542805.81,27488
2017-12-19,176.01,176.76,174.23,174.97,2509526,-1.77,-1.00%,174.97,439752833.60,24969
2017-12-18,178.42,179.15,175.31,176.74,3435384,-0.77,-0.43%,176.74,607372308.09,32797
2017-12-15,179.36,179.98,174.3004,177.51,9191676,2.51,1.43%,177.51,1629126247.64,63955
