date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,94.74,95.73,94.665,95.53,2766087,0.80,0.84%,95.53,263848292.56,21443
2018-03-09,93.30,94.85,93.30,94.73,2769075,2.01,2.17%,94.73,261530145.33,21319
2018-03-08,92.90,93.30,92.07,92.72,2175599,0.46,0.50%,92.72,201175433.47,19805
2018-03-07,91.33,92.80,90.55,92.74,2981069,0.806,0.88%,92.26,274766393.70,19253
2018-03-06,91.73,92.57,91.18,91.93,1958754,0.786,0.87%,91.4542,179985435.18,20385
2018-03-05,88.83,91.70,88.765,91.14,2972161,1.602,1.80%,90.6683,270453918.26,22834
2018-03-02,87.44,89.67,86.98,89.53,2298681,1.214,1.38%,89.0666,203986236.90,21819
2018-03-01,89.89,90.53,86.79,88.31,4136105,-1.83,-2.04%,87.8529,365404522.98,42039
2018-02-28,94.50,94.92,89.6001,90.15,4248509,-2.099,-2.29%,89.6834,387871257.38,36675
2018-02-27,92.21,93.65,91.6303,92.26,3256317,-0.099,-0.11%,91.7825,301170676.53,29338
2018-02-26,90.57,92.42,90.57,92.36,2683639,1.98,2.20%,91.8819,246684116.97,22223
2018-02-23,89.35,90.43,89.17,90.37,2114897,1.801,2.04%,89.9022,190010232.93,17400
2018-02-22,88.46,89.36,88.07,88.56,2430033,0.149,0.17%,88.1016,215542765.54,21504
2018-02-21,88.71,90.04,87.85,88.41,2604385,0.00,0.00%,87.9524,231475532.89,24891
2018-02-20,87.28,89.49,86.92,88.41,3960959,2.308,2.69%,87.9524,350994571.06,31956
2018-02-16,85.28,86.79,85.1701,86.09,2570580,0.686,0.81%,85.6444,221477936.44,21415
2018-02-15,85.94,85.94,84.21,85.40,2214365,0.269,0.32%,84.958,188379593.46,21341
2018-02-14,83.52,85.45,83.3899,85.13,2819560,0.786,0.94%,84.6894,239307589.20,21269
2018-02-13,86.01,86.43,83.77,84.34,2688995,-0.706,-0.83%,83.9035,227174267.78,24905
2018-02-12,84.30,85.90,84.03,85.05,3287666,1.114,1.33%,84.6098,279348018.93,27587
2018-02-09,83.91,84.58,80.95,83.93,5649666,1.244,1.51%,83.4956,468687890.31,45643
2018-02-08,85.54,85.6011,82.57,82.68,5279077,-2.656,-3.13%,82.252,442699511.82,46685
2018-02-07,86.75,87.95,85.29,85.35,4555784,-3.173,-3.60%,84.9082,394723071.04,40647
2018-02-06,84.20,88.71,82.76,88.54,5440793,3.124,3.68%,88.0817,471590934.76,49324
2018-02-05,88.75,89.61,85.33,85.40,3817435,-3.691,-4.16%,84.958,334183176.76,34887
2018-02-02,90.74,91.29,89.06,89.11,2922619,-2.527,-2.77%,88.6488,262808239.64,25957
2018-02-01,91.25,92.58,91.25,91.65,2312175,-0.229,-0.25%,91.1756,212626140.14,18708
2018-01-31,91.89,92.55,91.42,91.88,3462002,0.328,0.36%,91.4044,318222664.38,19000
2018-01-30,92.77,93.39,91.365,91.55,3684942,-2.218,-2.38%,91.0761,338982122.28,26612
2018-01-29,93.20,94.44,92.41,93.78,3078148,-0.06,-0.06%,93.2946,287290195.48,21256
2018-01-26,93.09,94.17,92.58,93.84,4752279,1.85,2.02%,93.3543,443970545.24,31920
2018-01-25,96.19,96.99,91.93,91.98,3655853,-3.343,-3.52%,91.5039,341648335.61,30889
2018-01-24,94.38,96.6353,93.21,95.34,6258394,-1.124,-1.17%,94.8465,598848304.75,38459
2018-01-23,96.69,97.12,95.89,96.47,3247107,-0.179,-0.19%,95.9707,312692751.10,23883
2018-01-22,96.39,97.00,95.77,96.65,4442387,0.507,0.53%,96.1497,428663913.30,28183
2018-01-19,97.64,97.9399,96.14,96.14,2762390,-1.094,-1.13%,95.6424,267033409.91,19908
2018-01-18,95.58,98.38,95.33,97.24,5285179,1.661,1.75%,96.7367,515461103.11,37848
2018-01-17,94.00,95.955,93.61,95.57,4011289,2.457,2.65%,95.0753,381269353.13,27762
2018-01-16,92.38,93.70,92.35,93.10,3373675,1.074,1.17%,92.6181,314417944.24,25167
2018-01-12,91.06,92.59,90.565,92.02,3175716,0.826,0.91%,91.5437,291981035.80,20675
2018-01-11,90.40,91.26,89.94,91.19,1924204,1.074,1.20%,90.718,175012940.35,17734
2018-01-10,91.08,91.15,89.79,90.11,2654440,-1.522,-1.67%,89.6436,239527091.03,20961
2018-01-09,91.80,92.33,91.42,91.64,2780187,-0.189,-0.21%,91.1657,255271045.93,18635
2018-01-08,91.81,92.21,91.36,91.83,1907387,0.159,0.17%,91.3547,175201590.90,15972
2018-01-05,91.52,92.2699,90.83,91.67,1799107,0.368,0.41%,91.1955,165119613.46,15638
2018-01-04,91.87,92.28,91.25,91.30,1879594,-0.099,-0.11%,90.8274,171993222.60,18983
2018-01-03,90.28,91.61,90.05,91.40,2009600,1.114,1.24%,90.9269,183126849.79,17509
2018-01-02,89.24,90.65,88.93,90.28,2343204,1.244,1.40%,89.8127,211124058.20,19520
2017-12-29,89.36,89.68,88.77,89.03,3414815,-0.348,-0.39%,88.5692,304350905.22,12693
2017-12-28,89.30,89.86,88.70,89.38,1973056,0.279,0.31%,88.9174,176326397.43,15506
2017-12-27,88.89,89.58,88.57,89.10,1827388,0.468,0.53%,88.6388,162795378.12,15066
2017-12-26,88.28,88.85,87.68,88.63,1379370,-0.219,-0.25%,88.1713,121849447.69,10892
2017-12-22,88.50,88.87,88.26,88.85,1680412,0.199,0.23%,88.3901,148945760.94,12508
2017-12-21,89.00,89.14,88.42,88.65,1917206,0.00,0.00%,88.1911,169959073.38,14702
2017-12-20,88.12,88.93,87.8404,88.65,2093655,0.696,0.80%,88.1911,185261335.82,16547
2017-12-19,87.78,88.47,87.41,87.95,2098577,-0.139,-0.16%,87.4948,184293420.49,16974
2017-12-18,87.21,88.35,87.20,88.09,2743112,1.393,1.61%,87.634,241426123.23,19161
2017-12-15,86.07,87.205,85.29,86.69,3765981,1.244,1.46%,86.2413,325985812.21,19168
2017-12-14,85.17,85.97,84.82,85.44,2288059,0.259,0.31%,84.9978,195622674.54,18272
2017-12-13,85.82,85.925,85.13,85.18,2067998,-0.298,-0.35%,84.7391,176505234.07,15710
2017-12-12,85.75,85.98,84.91,85.48,2248856,-0.318,-0.37%,85.0376,192069683.81,17448
2017-12-11,85.49,86.36,85.29,85.80,2322676,0.279,0.33%,85.3559,199235846.76,18411
2017-12-08,86.45,86.92,84.91,85.52,3411413,-0.587,-0.69%,85.0773,291923394.80,21532
2017-12-07,85.61,86.51,85.17,86.11,3914204,0.696,0.82%,85.6643,336614764.60,28577
2017-12-06,84.26,85.48,84.03,85.41,2805087,0.577,0.68%,84.9679,238387280.79,24961
2017-12-05,84.53,85.70,84.16,84.83,2340774,0.04,0.05%,84.3909,199069212.42,21039
2017-12-04,85.56,85.6386,83.85,84.79,3723596,-0.607,-0.71%,84.3511,315277964.33,29336
2017-12-01,85.51,85.77,83.5901,85.40,3545012,-0.706,-0.82%,84.958,301185350.38,28361
2017-11-30,85.82,86.27,84.99,86.11,3866597,0.895,1.06%,85.6643,331990805.27,27622
2017-11-29,87.08,87.29,83.8953,85.66,6130300,-1.395,-1.62%,84.769,522340775.53,51772
2017-11-28,87.08,87.44,86.389,87.07,3843143,-0.376,-0.43%,86.1643,333882667.51,30581
2017-11-27,88.49,88.83,87.40,87.45,2890664,-1.682,-1.91%,86.5404,253901489.78,23055
2017-11-24,88.67,89.25,88.01,89.15,1623905,0.495,0.56%,88.2227,144358965.80,12770
2017-11-22,89.61,90.74,88.43,88.65,4028510,-1.524,-1.71%,87.7279,360823597.62,28726
2017-11-21,92.62,92.83,88.88,90.19,6028669,-2.85,-3.09%,89.2519,542897830.43,48589
2017-11-20,90.97,93.99,90.73,93.07,6529634,2.622,2.93%,92.1019,606856459.40,47391
2017-11-17,91.00,91.05,90.24,90.42,2342924,-0.059,-0.07%,89.4795,212243025.09,18653
2017-11-16,89.79,90.75,89.41,90.48,2297938,1.306,1.48%,89.5388,207585598.80,16577
2017-11-15,89.58,89.95,88.67,89.16,2250494,-1.267,-1.42%,88.2326,200815000.37,19800
2017-11-14,89.79,90.49,89.3963,90.44,2172550,0.406,0.46%,89.4993,195658740.65,17551
2017-11-13,89.36,90.21,89.00,90.03,2428812,0.435,0.49%,89.0935,218168244.35,16458
2017-11-10,89.54,90.03,88.88,89.59,2736363,-0.109,-0.12%,88.6581,245074397.49,21171
2017-11-09,91.67,91.69,87.98,89.70,3143571,-2.276,-2.50%,88.767,280877125.78,29690
2017-11-08,91.90,92.4462,91.04,92.00,1617599,0.099,0.11%,91.043,148872095.69,13039
2017-11-07,92.08,92.57,91.70,91.90,1416911,-0.376,-0.41%,90.9441,130371997.37,12920
2017-11-06,92.42,92.96,91.65,92.28,1531256,0.465,0.51%,91.3201,141226160.62,16081
