date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,43.89,44.99,43.84,44.53,7438722,1.23,2.84%,44.53,331039695.03,33966
2018-03-09,43.49,43.75,42.86,43.30,4696535,0.01,0.02%,43.30,203499231.85,31421
2018-03-08,43.07,43.30,42.68,43.29,2670850,0.26,0.60%,43.29,114997989.87,18890
2018-03-07,42.83,43.40,42.75,43.03,3390149,-0.09,-0.21%,43.03,145874206.02,21151
2018-03-06,43.27,43.38,42.52,43.12,2782257,0.40,0.94%,43.12,119448675.51,18455
2018-03-05,41.89,42.85,41.76,42.72,4706014,0.52,1.23%,42.72,199877953.78,27295
2018-03-02,41.21,42.25,41.21,42.20,4065001,0.95,2.30%,42.20,170477564.79,26304
2018-03-01,41.50,41.77,40.99,41.25,4347530,-0.27,-0.65%,41.25,179475711.65,28900
2018-02-28,42.07,42.49,41.51,41.52,4734569,-0.12,-0.29%,41.52,198469302.21,25047
2018-02-27,42.27,42.45,41.64,41.64,4806979,-0.53,-1.26%,41.64,201648615.82,31814
2018-02-26,42.59,42.63,42.03,42.17,3530304,-0.40,-0.94%,42.17,149249214.78,23431
2018-02-23,41.88,42.67,41.70,42.57,2782724,0.81,1.94%,42.57,118039718.20,18883
2018-02-22,42.33,42.35,41.665,41.76,3367779,-0.36,-0.85%,41.76,141218402.79,23028
2018-02-21,42.50,42.795,42.12,42.12,3960602,-0.45,-1.06%,42.12,168117312.78,27846
2018-02-20,42.79,43.18,42.295,42.57,4532874,-0.56,-1.30%,42.57,193220413.04,22527
2018-02-16,42.74,43.43,42.63,43.13,3062382,0.265,0.62%,43.13,131972932.74,21722
2018-02-15,42.18,43.20,42.00,43.20,3873387,1.369,3.30%,42.865,166032044.29,26081
2018-02-14,40.91,41.95,40.72,41.82,3644358,0.476,1.16%,41.4957,151459405.50,26442
2018-02-13,41.10,41.42,40.97,41.34,2449920,0.069,0.17%,41.0194,101103056.02,18932
2018-02-12,41.65,41.74,40.37,41.27,6433474,-0.218,-0.53%,40.95,263795131.30,44246
2018-02-09,41.76,41.82,40.62,41.49,5540553,0.139,0.34%,41.1682,228949512.42,39805
2018-02-08,42.40,42.40,41.34,41.35,4495168,-0.833,-1.99%,41.0293,187919360.96,33102
2018-02-07,42.31,43.05,42.17,42.19,4587806,0.189,0.45%,41.8628,195174204.29,31060
2018-02-06,40.21,42.25,40.20,42.00,5859620,1.389,3.45%,41.6743,242823848.16,41529
2018-02-05,42.24,42.54,40.51,40.60,5039907,-0.824,-2.00%,40.2851,208502026.09,40714
2018-02-02,42.04,42.13,41.40,41.43,3016081,-1.022,-2.43%,41.1087,125544045.89,19966
2018-02-01,42.77,42.99,42.3042,42.46,2921389,-0.486,-1.14%,42.1307,124291213.67,22021
2018-01-31,42.68,43.22,42.52,42.95,5210622,0.466,1.11%,42.6169,223875499.72,23775
2018-01-30,42.84,43.12,42.24,42.48,2885681,-0.625,-1.46%,42.1506,122985513.79,19657
2018-01-29,43.38,43.50,43.10,43.11,2457325,-0.476,-1.10%,42.7757,106271233.94,15657
2018-01-26,42.90,43.69,42.61,43.59,4052688,0.695,1.63%,43.252,175746270.03,20743
2018-01-25,43.28,43.40,42.81,42.89,3223908,0.05,0.12%,42.5574,138551692.19,21131
2018-01-24,42.69,43.20,42.49,42.84,4123113,0.228,0.54%,42.5078,176523265.67,29590
2018-01-23,42.35,42.84,42.2701,42.61,3915158,-0.139,-0.33%,42.2796,166833390.02,29677
2018-01-22,41.18,42.77,41.15,42.75,7332710,1.776,4.37%,42.4185,310103019.00,45073
2018-01-19,40.51,41.33,39.92,40.96,5232864,0.476,1.19%,40.6424,212511525.93,28262
2018-01-18,40.88,40.88,40.43,40.48,2529791,-0.427,-1.05%,40.1661,102621675.20,15761
2018-01-17,40.91,40.995,40.171,40.91,3900920,0.129,0.32%,40.5927,159243980.39,21810
2018-01-16,40.58,40.96,40.53,40.78,5283943,0.278,0.69%,40.4638,215602887.36,21236
2018-01-12,40.56,40.69,40.21,40.50,2810892,-0.06,-0.15%,40.1859,113627208.69,15823
2018-01-11,40.06,40.71,40.01,40.56,3348098,0.645,1.63%,40.2455,135576290.07,19914
2018-01-10,40.05,40.175,39.28,39.91,3716829,-0.308,-0.77%,39.6005,148151692.61,22277
2018-01-09,40.19,40.60,40.12,40.22,2791680,0.129,0.32%,39.9081,112583412.63,15815
2018-01-08,40.08,40.18,39.77,40.09,3617614,-0.089,-0.22%,39.7791,144811540.08,15676
2018-01-05,40.56,40.70,40.05,40.18,2848257,-0.268,-0.67%,39.8684,114639607.08,15091
2018-01-04,39.86,40.52,39.83,40.45,3663304,0.665,1.68%,40.1363,147913328.18,21184
2018-01-03,40.15,40.17,39.75,39.78,2815218,-0.308,-0.77%,39.4715,112294567.01,17552
2018-01-02,40.20,40.20,39.62,40.09,3670758,0.01,0.02%,39.7791,146494801.71,19036
2017-12-29,40.15,40.40,40.0339,40.08,2486985,-0.189,-0.47%,39.7692,99905395.66,13507
2017-12-28,40.21,40.29,40.04,40.27,1629966,0.03,0.07%,39.9577,65568844.40,9683
2017-12-27,40.34,40.42,40.09,40.24,1289620,-0.02,-0.05%,39.9279,51871380.65,7884
2017-12-26,40.22,40.50,40.17,40.26,1301973,0.069,0.17%,39.9478,52445637.62,7159
2017-12-22,40.25,40.4059,40.09,40.19,1728787,0.099,0.25%,39.8783,69554992.72,10196
2017-12-21,39.89,40.30,39.79,40.09,2628182,0.218,0.55%,39.7791,105471019.92,13597
2017-12-20,40.16,40.27,39.78,39.87,3053120,-0.258,-0.65%,39.5608,121947795.37,15322
2017-12-19,40.46,40.55,40.13,40.13,2916230,-0.089,-0.22%,39.8188,117407539.37,18446
2017-12-18,40.51,40.70,40.18,40.22,3431788,-0.337,-0.84%,39.9081,138375145.27,20960
2017-12-15,39.85,40.96,39.775,40.56,9689797,0.982,2.50%,40.2455,391968441.54,30791
