date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,118.80,119.17,117.42,117.53,1926265,-1.30,-1.09%,117.53,227318657.86,15190
2018-03-09,117.70,118.87,117.22,118.83,1824043,1.87,1.60%,118.83,215730888.04,16518
2018-03-08,115.02,117.01,114.70,116.96,1597144,2.41,2.10%,116.96,186037749.60,15079
2018-03-07,114.82,115.40,113.71,115.18,1403130,-0.229,-0.20%,114.55,161242506.62,10780
2018-03-06,115.61,116.00,114.23,115.41,1322553,-0.249,-0.22%,114.7787,152221062.66,11548
2018-03-05,112.75,116.10,112.71,115.66,1968925,2.049,1.81%,115.0273,225828056.10,17406
2018-03-02,113.15,113.92,112.19,113.60,1712607,-0.189,-0.17%,112.9786,193825612.51,16991
2018-03-01,115.33,115.94,112.78,113.79,1746501,-1.522,-1.33%,113.1676,199139360.63,19253
2018-02-28,117.04,117.3482,115.30,115.32,1580112,-1.144,-0.99%,114.6892,183250782.47,12955
2018-02-27,117.95,119.18,116.46,116.47,1175944,-1.422,-1.21%,115.8329,138080462.80,14062
2018-02-26,117.87,118.90,117.605,117.90,1319449,0.249,0.21%,117.2551,155603277.66,11048
2018-02-23,116.27,117.81,115.58,117.65,1558371,2.208,1.92%,117.0065,182446803.76,12392
2018-02-22,116.41,117.27,115.07,115.43,1209109,-0.666,-0.58%,114.7986,140137820.02,13520
2018-02-21,115.44,118.19,115.44,116.10,1817402,0.686,0.60%,115.4649,212535967.85,18129
2018-02-20,115.69,116.64,114.83,115.41,1129921,-0.766,-0.66%,114.7787,130691733.95,12201
2018-02-16,115.50,116.71,115.08,116.18,1451124,0.666,0.58%,115.5445,168469834.11,14024
2018-02-15,113.49,115.63,112.75,115.51,1788974,2.785,2.48%,114.8782,205230646.46,18700
2018-02-14,111.27,112.87,109.85,112.71,1619837,0.885,0.80%,112.0935,181232430.41,16348
2018-02-13,110.98,112.13,110.33,111.82,1291450,0.169,0.15%,111.2083,144007572.26,15141
2018-02-12,111.97,113.26,111.035,111.65,2040647,0.219,0.20%,111.0393,228488275.45,19147
