date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,239.05,241.48,237.93,238.06,465814,-1.13,-0.47%,238.06,111473849.59,6610
2018-03-09,237.26,240.06,235.46,239.19,404006,3.02,1.28%,239.19,96411487.24,5662
2018-03-08,236.96,237.25,234.09,236.17,381726,0.79,0.34%,236.17,90028726.17,4536
2018-03-07,233.22,236.09,232.81,235.38,404504,0.29,0.12%,235.38,94916768.14,5062
2018-03-06,233.70,238.41,231.87,235.09,594418,3.32,1.43%,235.09,140365843.34,8329
2018-03-05,230.80,233.99,230.80,231.77,802601,-0.95,-0.41%,231.77,186400606.99,8403
2018-03-02,232.82,234.65,229.95,232.72,850553,-2.63,-1.12%,232.72,197359200.84,13096
2018-03-01,241.06,244.02,235.06,235.35,859054,-5.61,-2.33%,235.35,204757127.33,11308
2018-02-28,243.60,245.19,240.76,240.96,520793,-1.43,-0.59%,240.96,126356723.55,5479
2018-02-27,245.64,246.545,242.30,242.39,382374,-3.27,-1.33%,242.39,93351351.78,5504
2018-02-26,243.02,246.18,241.64,245.66,725349,3.57,1.47%,245.66,177482945.61,7547
2018-02-23,240.26,242.28,239.16,242.09,551456,3.27,1.37%,242.09,132855379.37,6695
2018-02-22,241.34,244.465,237.50,238.82,787553,-0.77,-0.32%,238.82,189950221.52,8182
2018-02-21,243.77,246.09,239.535,239.59,771456,-4.98,-2.04%,239.59,186496956.08,6581
2018-02-20,244.50,249.34,243.69,244.57,495648,-0.11,-0.04%,244.57,121951844.50,6632
2018-02-16,240.50,246.505,240.50,244.68,563704,4.03,1.67%,244.68,137874622.33,7278
2018-02-15,250.80,250.93,237.05,240.65,1333234,-9.40,-3.76%,240.65,321539008.89,14895
2018-02-14,246.26,250.72,245.16,250.05,466811,3.79,1.54%,250.05,115977870.01,4646
2018-02-13,247.11,248.45,243.97,246.26,472207,-1.46,-0.59%,246.26,116225947.94,6341
2018-02-12,243.56,249.69,242.11,248.29,594776,7.603,3.17%,247.7199,147115460.93,6920
2018-02-09,242.77,242.77,232.69,240.67,757535,0.07,0.03%,240.1174,180227715.35,11794
2018-02-08,246.08,248.31,240.42,240.60,798941,-6.136,-2.49%,240.0476,195157874.93,9174
2018-02-07,240.08,249.73,240.08,246.75,828933,5.268,2.19%,246.1835,204559209.13,9578
2018-02-06,233.57,242.50,232.75,241.47,1152170,2.684,1.13%,240.9156,276174212.29,14816
2018-02-05,247.18,249.50,238.70,238.78,959510,-11.104,-4.45%,238.2318,233295534.86,11391
2018-02-02,255.13,255.905,249.91,249.91,441101,-7.183,-2.80%,249.3362,111103871.90,5768
2018-02-01,256.26,257.99,254.37,257.11,281384,0.449,0.18%,256.5197,72224945.60,3936
2018-01-31,255.98,259.94,255.03,256.66,489828,2.065,0.81%,256.0707,126084419.78,6226
2018-01-30,254.00,257.86,254.00,254.59,644310,-1.916,-0.75%,254.0055,164956017.47,7502
2018-01-29,259.72,261.40,255.50,256.51,904332,-5.328,-2.04%,255.9211,233108495.76,11651
2018-01-26,253.75,262.75,253.50,261.85,877902,8.979,3.56%,261.2488,227827986.92,9275
2018-01-25,252.74,253.02,244.98,252.85,1317875,-6.625,-2.56%,252.2695,329019282.14,13663
2018-01-24,262.45,262.58,257.04,259.49,736558,-1.287,-0.49%,258.8942,191444654.25,9008
2018-01-23,260.97,262.69,260.25,260.78,430503,-1.068,-0.41%,260.1812,112437902.63,5671
2018-01-22,262.09,262.09,260.32,261.85,554041,0.03,0.01%,261.2488,144799989.37,7174
2018-01-19,255.01,262.02,255.01,261.82,692298,5.866,2.30%,261.2189,178828862.98,7907
2018-01-18,258.10,259.31,255.58,255.94,543465,-2.315,-0.90%,255.3524,139759553.91,7129
2018-01-17,260.38,262.15,257.73,258.26,894159,0.19,0.07%,257.667,231392541.36,10099
2018-01-16,276.00,276.00,254.63,258.07,1619139,-18.258,-6.62%,257.4775,423862677.86,17117
2018-01-12,274.79,278.33,273.57,276.37,429874,2.744,1.01%,275.7355,118698181.90,5847
2018-01-11,271.94,274.01,270.59,273.62,510107,1.526,0.56%,272.9918,139295703.54,4772
2018-01-10,267.95,272.405,266.03,272.09,382537,4.121,1.54%,271.4653,103508769.55,5670
2018-01-09,264.50,268.85,264.03,267.96,463498,4.649,1.77%,267.3448,123792348.27,6067
2018-01-08,264.83,264.83,262.17,263.30,457108,-1.457,-0.55%,262.6955,120359668.96,5349
2018-01-05,265.00,265.00,263.55,264.76,451232,0.708,0.27%,264.1521,119217337.68,5236
2018-01-04,261.68,264.17,261.26,264.05,363198,3.971,1.53%,263.4437,95547080.07,4634
2018-01-03,260.00,264.775,258.72,260.07,682640,4.729,1.86%,259.4729,177916378.55,8424
2018-01-02,254.29,256.32,252.67,255.33,599597,1.846,0.73%,254.7438,152976495.13,6905
2017-12-29,252.54,254.79,251.4535,253.48,354053,2.125,0.85%,252.898,89743420.96,4666
2017-12-28,251.365,252.19,249.44,251.35,325367,0.928,0.37%,250.7729,81526698.36,3318
2017-12-27,250.41,250.59,248.95,250.42,284565,-0.219,-0.09%,249.845,71172306.85,3199
2017-12-26,250.50,252.00,249.98,250.64,258966,-1.347,-0.54%,250.0645,64970418.43,3320
2017-12-22,250.56,252.315,249.03,251.99,573287,2.205,0.88%,251.4114,144121501.99,4128
2017-12-21,248.18,250.79,247.60,249.78,704836,2.624,1.06%,249.2065,175830161.22,6892
2017-12-20,244.85,247.93,242.76,247.15,525937,2.295,0.94%,246.5825,129576888.45,5818
2017-12-19,247.80,249.22,244.69,244.85,495554,-2.365,-0.96%,244.2878,121859036.39,6089
2017-12-18,243.79,248.23,240.66,247.22,983916,7.393,3.09%,246.6524,242910543.82,10878
2017-12-15,237.00,240.88,230.53,239.81,1047149,3.512,1.49%,239.2594,249252387.45,10863
2017-12-14,235.24,237.46,233.29,236.29,677748,2.285,0.98%,235.7475,159959670.18,8733
2017-12-13,237.50,238.31,233.29,234.00,589058,-4.33,-1.82%,233.4627,138445788.08,7136
2017-12-12,234.13,238.59,233.69,238.34,825351,4.051,1.73%,237.7928,195931752.65,7288
2017-12-11,233.12,235.595,232.695,234.28,720470,1.227,0.53%,233.7421,168731674.83,4519
2017-12-08,233.71,234.885,231.74,233.05,258433,0.599,0.26%,232.5149,60212231.28,3732
2017-12-07,228.81,234.17,228.81,232.45,364020,2.584,1.13%,231.9163,84645639.76,5216
2017-12-06,232.30,232.675,229.4112,229.86,275709,-2.634,-1.14%,229.3322,63567515.56,4620
2017-12-05,238.42,238.42,232.42,232.50,412695,-5.657,-2.38%,231.9662,96490393.84,6051
2017-12-04,236.26,242.73,234.34,238.17,676454,4.13,1.77%,237.6232,161764544.33,8416
2017-12-01,238.04,239.499,230.94,234.03,657974,-5.228,-2.19%,233.4927,154165863.77,9110
2017-11-30,235.00,241.97,234.75,239.27,810539,6.046,2.60%,238.7206,194000955.85,10044
2017-11-29,226.88,234.26,225.31,233.21,686620,7.583,3.37%,232.6746,158920036.40,9944
2017-11-28,222.34,225.84,220.49,225.61,443947,4.15,1.88%,225.092,99280014.56,6028
2017-11-27,221.74,222.81,221.13,221.45,258164,-0.569,-0.26%,220.9416,57251042.93,4016
2017-11-24,221.84,222.745,221.27,222.02,141389,0.21,0.09%,221.5102,31381982.35,2209
2017-11-22,224.97,226.72,221.46,221.81,302866,-2.025,-0.91%,221.3007,67633239.06,4771
2017-11-21,219.04,225.825,217.08,223.84,588533,-0.828,-0.37%,223.3261,130728362.86,6896
2017-11-20,224.35,226.47,223.53,224.67,270894,0.319,0.14%,224.1542,60912707.43,3920
2017-11-17,224.58,226.76,224.19,224.35,269256,-0.978,-0.43%,223.8349,60598305.70,4494
2017-11-16,225.53,227.505,224.27,225.33,396760,0.738,0.33%,224.8126,89590637.00,5976
2017-11-15,224.90,226.095,218.80,224.59,467625,-1.576,-0.70%,224.0743,104569466.39,7017
2017-11-14,223.70,226.47,221.09,226.17,562111,1.965,0.88%,225.6507,126311240.50,5471
2017-11-13,223.40,225.27,222.31,224.20,475501,-0.728,-0.32%,223.6852,106383088.39,5935
2017-11-10,227.68,228.91,224.62,225.45,342930,-2.449,-1.08%,224.4137,77506837.68,4457
2017-11-09,227.88,228.94,226.00,227.91,319046,-1.692,-0.74%,226.8624,72662888.89,5392
2017-11-08,229.72,230.67,228.18,229.61,412762,-0.109,-0.05%,228.5546,94722016.01,3952
2017-11-07,230.40,231.66,228.89,229.72,439237,-0.966,-0.42%,228.664,101069064.88,5832
2017-11-06,226.37,232.48,225.94,230.69,443623,5.077,2.26%,229.6296,102113449.13,6318
2017-11-03,226.25,226.39,224.77,225.59,275973,-0.647,-0.29%,224.553,62280735.82,3795
2017-11-02,226.89,227.74,222.89,226.24,352869,0.04,0.02%,225.20,79539040.70,5595
2017-11-01,224.46,226.64,220.59,226.20,481714,2.459,1.10%,225.1602,108025424.75,6799
2017-10-31,224.55,227.91,223.415,223.73,743683,-0.737,-0.33%,222.7016,167198069.39,9311
2017-10-30,230.55,231.24,224.47,224.47,549339,-7.326,-3.17%,223.4382,124335512.17,7434
2017-10-27,233.09,235.185,229.29,231.83,391573,-0.757,-0.33%,230.7643,90707835.72,5329
2017-10-26,236.04,237.80,232.56,232.59,334666,-3.325,-1.42%,231.5209,78239731.51,3963
2017-10-25,240.02,240.02,233.98,235.93,319390,-3.852,-1.61%,234.8455,75341417.17,5507
2017-10-24,239.94,240.95,238.91,239.80,531242,0.468,0.20%,238.6977,127454063.41,4882
2017-10-23,240.39,244.43,239.01,239.33,595926,-0.04,-0.02%,238.2299,143499031.45,7917
2017-10-20,235.36,242.99,235.36,239.37,900838,6.54,2.82%,238.2697,215577907.66,9590
2017-10-19,229.00,232.925,215.37,232.80,1322740,4.40,1.94%,231.7299,299168484.07,14682
2017-10-18,227.50,231.45,227.50,228.38,581456,1.433,0.63%,227.3302,133421046.68,8657
2017-10-17,228.75,229.95,226.52,226.94,411403,-1.822,-0.80%,225.8968,93556681.88,5420
2017-10-16,232.26,232.26,226.25,228.77,627225,-2.08,-0.91%,227.7184,143162019.47,8535
2017-10-13,221.54,234.18,220.85,230.86,953361,10.671,4.87%,229.7988,220001636.14,11276
2017-10-12,223.97,223.97,219.89,220.14,589779,-4.639,-2.07%,219.1281,130540435.89,8843
2017-10-11,226.48,227.17,224.11,224.80,599649,-1.782,-0.79%,223.7667,134818301.53,5141
2017-10-10,227.01,228.25,226.23,226.59,267360,0.368,0.16%,225.5484,60650368.42,3976
2017-10-09,226.25,228.025,225.99,226.22,187834,0.00,0.00%,225.1801,42558765.23,3246
2017-10-06,226.26,226.94,225.35,226.22,286358,-0.478,-0.21%,225.1801,64771039.68,3664
2017-10-05,225.96,227.29,224.43,226.70,413675,0.985,0.44%,225.6579,93658021.36,6382
2017-10-04,226.76,226.83,224.53,225.71,365175,-0.04,-0.02%,224.6725,82374646.78,5741
2017-10-03,224.00,226.04,221.98,225.75,531083,2.041,0.92%,224.7123,119255519.86,6181
2017-10-02,222.00,223.9899,220.031,223.70,413070,2.14,0.97%,222.6717,91901641.43,6038
2017-09-29,221.01,226.01,220.98,221.55,600927,0.936,0.43%,220.5316,133792172.63,8727
2017-09-28,219.84,220.86,217.14,220.61,429344,0.747,0.34%,219.5959,94149767.25,5172
2017-09-27,220.46,220.98,217.93,219.86,457947,0.926,0.42%,218.8494,100520215.99,6404
2017-09-26,218.65,220.79,217.75,218.93,674068,1.533,0.71%,217.9236,147805966.13,6418
2017-09-25,217.28,218.145,215.48,217.39,453982,0.627,0.29%,216.3907,98417767.19,5744
2017-09-22,215.10,217.87,215.10,216.76,305208,0.946,0.44%,215.7636,66220556.44,4535
2017-09-21,211.30,216.1999,210.57,215.81,522884,5.355,2.56%,214.818,112117027.28,6321
2017-09-20,215.05,215.09,209.00,210.43,1004130,-4.599,-2.15%,209.4627,212005987.44,11630
2017-09-19,217.82,217.89,214.91,215.05,517640,-2.031,-0.94%,214.0615,111669378.25,6409
2017-09-18,216.45,219.77,216.091,217.09,720858,1.085,0.50%,216.0921,156885528.25,8118
2017-09-15,218.43,219.2131,213.44,216.00,2219803,-2.857,-1.31%,215.0071,478959326.00,12969
2017-09-14,221.96,222.01,218.11,218.87,661023,-3.573,-1.61%,217.8639,144697298.13,8175
2017-09-13,221.06,223.35,219.98,222.46,588953,0.846,0.38%,221.4374,130560046.90,6167
2017-09-12,219.14,221.86,217.5001,221.61,576858,2.409,1.10%,220.5913,127297945.33,6694
2017-09-11,217.10,220.00,216.00,219.19,542314,4.848,2.27%,218.1824,118611880.04,6423
2017-09-08,214.96,216.00,213.59,214.32,593466,-1.722,-0.80%,213.3348,127446018.76,7686
2017-09-07,220.55,221.67,215.99,216.05,517188,-4.31,-1.96%,215.0569,112531765.01,7457
2017-09-06,220.63,222.25,219.141,220.38,446969,0.876,0.40%,219.367,98781249.44,7026
2017-09-05,224.13,224.85,217.31,219.50,562608,-5.654,-2.52%,218.491,123529644.39,7145
2017-09-01,225.95,226.13,223.77,225.18,269977,-0.319,-0.14%,224.1449,60807096.00,4206
2017-08-31,226.00,226.90,223.72,225.50,386343,0.408,0.18%,224.4634,87024503.30,5275
2017-08-30,223.33,225.27,221.67,225.09,314843,1.443,0.65%,224.0553,70463593.46,5794
