date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,54.15,54.60,54.0985,54.41,1559290,0.42,0.78%,54.41,84837823.81,12721
2018-03-09,53.82,54.06,53.43,53.99,2057020,0.13,0.24%,53.99,110859190.73,9560
2018-03-08,53.84,54.08,53.58,53.86,1030295,0.28,0.52%,53.86,55487380.01,9469
2018-03-07,53.77,54.00,53.08,53.58,1800625,-0.36,-0.67%,53.58,96240076.89,16018
2018-03-06,55.02,55.02,53.865,53.94,1719637,-1.18,-2.14%,53.94,93099682.05,13085
2018-03-05,53.94,55.32,53.68,55.12,1915050,1.09,2.02%,55.12,105159336.67,15002
2018-03-02,54.05,54.62,53.47,54.03,1444483,0.07,0.13%,54.03,77928215.47,11886
2018-03-01,54.28,54.84,53.68,53.96,1844624,-0.34,-0.63%,53.96,99943478.87,18510
2018-02-28,55.12,55.24,54.28,54.30,1849336,-0.59,-1.07%,54.30,100934119.88,12525
2018-02-27,55.93,56.30,54.80,54.89,1838874,-0.86,-1.54%,54.89,101757792.60,16318
2018-02-26,56.38,56.4595,55.38,55.75,1448296,-0.60,-1.06%,55.75,80716671.64,12729
2018-02-23,54.70,56.39,54.63,56.35,1993770,1.76,3.22%,56.35,111470799.45,13495
2018-02-22,54.68,55.32,54.23,54.59,1655249,0.19,0.35%,54.59,90746247.26,12861
2018-02-21,55.03,55.45,54.38,54.40,1740254,-0.68,-1.23%,54.40,95587211.64,16244
2018-02-20,56.02,56.27,54.80,55.08,2336507,-1.24,-2.20%,55.08,128735512.18,17950
2018-02-16,56.40,56.85,55.665,56.32,2605647,0.06,0.11%,56.32,146911352.04,20394
2018-02-15,54.87,56.27,54.77,56.26,2539122,1.58,2.89%,56.26,141435455.90,19318
2018-02-14,54.89,55.27,54.36,54.68,1410072,-0.57,-1.03%,54.68,77331339.24,11435
2018-02-13,54.85,55.45,54.321,55.25,1201565,0.18,0.33%,55.25,66090759.90,11006
