date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,10.85,10.88,10.62,10.74,7481003,-0.11,-1.01%,10.74,80142735.81,28492
2018-03-09,10.86,10.86,10.65,10.85,5797318,0.01,0.09%,10.85,62379344.59,23277
2018-03-08,10.84,10.94,10.83,10.84,5443754,0.04,0.37%,10.84,59172843.85,19687
2018-03-07,10.87,10.92,10.71,10.80,7118294,-0.13,-1.19%,10.80,76898033.18,29319
2018-03-06,11.04,11.095,10.8301,10.93,8263142,-0.05,-0.46%,10.93,90334081.34,33264
2018-03-05,10.90,10.99,10.80,10.98,12072514,0.12,1.10%,10.98,131701312.79,37571
2018-03-02,10.90,11.00,10.70,10.86,7723567,-0.10,-0.91%,10.86,83954848.90,31316
2018-03-01,10.92,11.27,10.89,10.96,9875404,0.09,0.83%,10.96,108896178.66,41983
2018-02-28,11.28,11.32,10.86,10.87,10198403,-0.35,-3.12%,10.87,112222390.34,50297
2018-02-27,10.75,11.25,10.57,11.22,22078348,0.77,7.37%,11.22,243257361.60,62856
2018-02-26,10.51,10.54,10.35,10.45,10759889,-0.04,-0.38%,10.45,112080997.08,40548
2018-02-23,10.36,10.52,10.325,10.49,4672313,0.19,1.84%,10.49,48812737.89,24752
2018-02-22,10.26,10.43,10.25,10.30,6706846,0.07,0.68%,10.30,69279713.83,28358
2018-02-21,10.44,10.5673,10.23,10.23,5365639,-0.17,-1.63%,10.23,55770918.58,22408
2018-02-20,10.39,10.54,10.36,10.40,7467373,-0.05,-0.48%,10.40,77865658.59,22747
2018-02-16,10.44,10.61,10.43,10.45,5665558,-0.07,-0.67%,10.45,59450847.34,23376
2018-02-15,10.36,10.52,10.32,10.52,7138479,0.25,2.43%,10.52,74550262.85,26035
2018-02-14,10.23,10.33,10.14,10.27,5931479,-0.05,-0.48%,10.27,60834624.73,23351
2018-02-13,10.26,10.39,10.16,10.32,6312210,0.05,0.49%,10.32,64883825.19,25769
2018-02-12,10.23,10.335,10.03,10.27,9008788,0.07,0.69%,10.27,91989121.65,30135
2018-02-09,10.13,10.28,9.865,10.20,10305190,0.14,1.39%,10.20,103845111.08,40277
