date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,177.40,178.12,177.07,177.07,3340563,-0.31,-0.17%,177.07,592333020.71,11765
2018-03-09,176.81,178.02,176.14,177.38,1605823,1.13,0.64%,177.38,284640918.63,14215
2018-03-08,178.49,178.53,175.61,176.25,3374469,-2.39,-1.34%,176.25,595797910.25,33814
2018-03-07,177.50,178.64,177.02,178.64,2097535,0.41,0.23%,178.64,373594228.38,13564
2018-03-06,178.60,178.67,177.59,178.23,1347095,-0.23,-0.13%,178.23,239725481.99,10985
2018-03-05,177.20,178.91,176.74,178.46,1736775,0.93,0.52%,178.46,309617364.58,16274
2018-03-02,176.22,177.83,175.56,177.53,1386502,1.08,0.61%,177.53,245362675.83,12480
2018-03-01,177.06,178.39,175.921,176.45,1737915,-0.61,-0.34%,176.45,307663928.39,21084
2018-02-28,176.67,178.24,176.3435,177.06,2102224,0.79,0.45%,177.06,372885156.36,18516
2018-02-27,176.10,177.43,176.02,176.27,1227374,0.52,0.30%,176.27,216994742.52,11728
2018-02-26,175.83,176.53,174.92,175.75,1515352,0.20,0.11%,175.75,266170017.99,14567
2018-02-23,175.12,176.04,174.27,175.55,1819930,0.49,0.28%,175.55,318789618.15,15305
2018-02-22,176.54,176.89,174.99,175.06,1432158,-0.71,-0.40%,175.06,251602408.24,11691
2018-02-21,178.00,178.66,175.77,175.77,3276242,-2.26,-1.27%,175.77,578344395.06,14092
2018-02-20,178.00,178.69,176.66,178.03,1909648,-0.48,-0.27%,178.03,339560787.89,11444
2018-02-16,176.74,178.87,176.63,178.51,2138366,1.34,0.76%,178.51,380592620.43,16576
2018-02-15,177.28,178.02,175.89,177.17,2274553,0.40,0.23%,177.17,402344294.97,23237
2018-02-14,177.81,178.57,176.73,176.77,1913984,-1.75,-0.98%,176.77,339670428.27,15345
2018-02-13,177.04,178.75,176.82,178.52,2011528,1.14,0.64%,178.52,358339473.59,11568
2018-02-12,176.58,178.86,175.40,177.38,4543659,0.99,0.56%,177.38,805272911.75,22041
2018-02-09,178.66,178.85,173.61,176.39,4046386,-1.61,-0.90%,176.39,713462643.82,41051
2018-02-08,181.80,181.90,178.00,178.00,3694547,-3.49,-1.92%,178.00,664948780.84,32667
2018-02-07,181.49,184.12,181.39,181.49,2123860,-0.52,-0.29%,181.49,387877096.28,21330
2018-02-06,179.36,183.51,178.80,182.01,3450429,1.06,0.59%,182.01,627200085.62,32746
2018-02-05,184.49,185.39,180.78,180.95,2996979,-4.05,-2.19%,180.95,548320100.08,28190
2018-02-02,186.70,187.39,184.57,185.00,2199354,-2.39,-1.28%,185.00,407952848.82,19518
2018-02-01,186.52,188.85,186.16,187.39,2596718,0.57,0.31%,187.39,487491883.08,24041
2018-01-31,188.65,190.57,186.82,186.82,3425768,-1.07,-0.57%,186.82,646178784.77,25443
2018-01-30,186.26,189.79,185.41,187.89,6423931,-5.85,-3.02%,187.89,1211181158.34,54669
2018-01-29,192.96,194.40,192.56,193.74,1363969,0.64,0.33%,193.74,264407106.52,12713
2018-01-26,192.72,193.10,191.56,193.10,2742909,1.23,0.64%,193.10,527880849.09,20955
2018-01-25,190.14,192.93,190.00,191.87,2613102,1.73,0.91%,191.87,501559328.34,24082
