date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,56.68,57.475,56.42,56.61,7615569,0.04,0.07%,56.61,433031412.51,44915
2018-03-09,56.68,56.945,55.98,56.57,9719842,0.30,0.53%,56.57,548679628.07,57313
2018-03-08,57.44,57.47,55.53,56.27,12077602,-1.04,-1.81%,56.27,680027701.82,65320
2018-03-07,57.56,58.21,57.17,57.31,5873081,-0.72,-1.24%,57.31,337702674.33,34874
2018-03-06,57.90,58.25,57.075,58.03,5520443,0.41,0.71%,58.03,319610375.51,34078
2018-03-05,56.32,57.895,56.32,57.62,9483055,1.11,1.96%,57.62,545219152.98,47230
2018-03-02,56.11,56.61,55.07,56.51,8434967,0.04,0.07%,56.51,471270117.17,54458
2018-03-01,57.34,57.61,56.08,56.47,9758593,-0.87,-1.52%,56.47,553046194.10,69390
2018-02-28,58.58,58.85,57.34,57.34,9170481,-0.89,-1.53%,57.34,533480654.65,52382
2018-02-27,58.98,59.63,58.155,58.23,8559344,-0.78,-1.32%,58.23,502382504.79,54903
2018-02-26,59.97,60.20,58.47,59.01,11793260,-1.06,-1.76%,59.01,697774114.11,61208
2018-02-23,60.24,60.50,59.59,60.07,5612037,0.11,0.18%,60.07,337046831.44,34064
2018-02-22,60.32,60.96,59.87,59.96,23186947,-0.22,-0.37%,59.96,1406326895.44,42280
2018-02-21,59.81,61.36,59.74,60.18,7203226,0.14,0.23%,60.18,437612907.08,46092
2018-02-20,59.27,60.16,59.23,60.04,5349124,0.57,0.96%,60.04,319855213.07,34990
2018-02-16,59.10,59.905,58.91,59.47,6828620,0.24,0.41%,59.47,405949973.26,35235
2018-02-15,59.66,59.80,58.97,59.23,7869659,-0.18,-0.30%,59.23,466155449.82,40914
2018-02-14,59.12,59.62,58.68,59.41,6742143,-0.02,-0.03%,59.41,399049550.52,42993
2018-02-13,59.13,59.745,58.68,59.43,4948329,-0.18,-0.30%,59.43,293472230.43,33953
2018-02-12,60.35,60.4202,59.14,59.61,6074085,-0.61,-1.01%,59.61,363328409.84,41638
2018-02-09,61.35,61.70,58.35,60.22,15131984,1.94,3.33%,60.22,906084998.14,100043
2018-02-08,60.45,60.62,58.27,58.28,7377638,-2.19,-3.62%,58.28,436699892.98,50319
2018-02-07,60.00,61.30,59.68,60.47,7719767,0.21,0.35%,60.47,469410051.26,52021
2018-02-06,59.68,60.68,59.04,60.26,12035697,-0.37,-0.61%,60.26,719886294.28,82665
2018-02-05,62.29,62.60,60.45,60.63,8578180,-2.41,-3.82%,60.63,527525258.46,60740
2018-02-02,63.88,63.97,62.87,63.04,4294412,-1.13,-1.76%,63.04,271988830.00,29720
2018-02-01,63.74,64.275,63.295,64.17,4120710,0.25,0.39%,64.17,263479602.56,26703
2018-01-31,63.67,64.101,63.34,63.92,4909467,0.57,0.90%,63.92,313226856.82,31654
2018-01-30,63.57,64.32,63.11,63.35,4555667,-0.91,-1.42%,63.35,289272904.99,28018
2018-01-29,64.64,65.05,64.22,64.26,4270458,-0.42,-0.65%,64.26,275825564.07,30593
2018-01-26,64.62,64.91,64.24,64.68,5014143,-0.12,-0.19%,64.68,323729774.19,32364
2018-01-25,64.35,64.885,63.83,64.80,6113389,0.48,0.75%,64.80,394641482.12,36720
2018-01-24,62.47,64.5368,62.41,64.32,10387491,1.98,3.18%,64.32,662908412.43,59407
2018-01-23,60.85,62.50,60.71,62.34,10001225,1.34,2.20%,62.34,617710030.21,52809
2018-01-22,61.36,61.36,60.44,61.00,7217596,-0.55,-0.89%,61.00,439658568.39,41451
2018-01-19,61.67,61.85,61.33,61.55,6498699,0.02,0.03%,61.55,400100566.30,29903
2018-01-18,61.56,61.78,61.03,61.53,5402110,0.11,0.18%,61.53,332005950.18,29398
2018-01-17,61.40,61.59,61.185,61.42,4935670,0.36,0.59%,61.42,303172700.56,30315
2018-01-16,61.14,61.30,60.89,61.06,6078929,0.09,0.15%,61.06,371299591.25,35631
2018-01-12,60.95,61.22,60.79,60.97,6240145,-0.18,-0.29%,60.97,380630979.46,33797
2018-01-11,61.24,61.46,61.05,61.15,6536515,0.15,0.25%,61.15,400168572.75,34446
2018-01-10,60.64,61.35,60.55,61.00,12261262,0.37,0.61%,61.00,748040430.27,36994
2018-01-09,60.36,61.275,60.25,60.63,6669064,0.38,0.63%,60.63,405894640.58,38019
2018-01-08,60.46,60.53,60.141,60.25,3229169,-0.40,-0.66%,60.25,194632575.01,19812
2018-01-05,60.64,60.79,60.37,60.65,3726098,0.25,0.41%,60.65,225956317.18,22667
2018-01-04,60.42,61.05,60.28,60.40,4170571,0.24,0.40%,60.40,252689516.85,25601
2018-01-03,59.38,60.28,59.27,60.16,4959322,0.66,1.11%,60.16,297807796.91,30843
2018-01-02,60.00,60.00,59.12,59.50,3769607,-0.08,-0.13%,59.50,224244209.92,25318
2017-12-29,59.97,60.21,59.58,59.58,2837584,-0.42,-0.70%,59.58,169615482.62,18634
2017-12-28,59.70,60.02,59.44,60.00,2373003,0.46,0.77%,60.00,142225075.78,16530
2017-12-27,59.29,59.56,59.19,59.54,2841352,0.11,0.19%,59.54,168815363.18,18555
2017-12-26,59.22,59.79,59.19,59.43,2358776,0.12,0.20%,59.43,140030006.26,16994
2017-12-22,60.225,60.36,59.11,59.31,4266339,-0.77,-1.28%,59.31,253307674.87,26763
2017-12-21,60.30,60.67,60.02,60.08,4941548,0.08,0.13%,60.08,297857572.49,28959
2017-12-20,59.97,60.14,59.585,60.00,4377326,0.22,0.37%,60.00,262464812.77,26854
2017-12-19,59.85,60.08,59.7459,59.78,3995317,0.20,0.34%,59.78,239244448.26,22763
2017-12-18,59.76,60.04,59.32,59.58,5630842,0.19,0.32%,59.58,335513191.27,25623
2017-12-15,58.56,59.515,58.37,59.39,8447100,1.28,2.20%,59.39,499892535.85,36744
2017-12-14,59.07,59.15,57.85,58.11,6959051,-0.86,-1.46%,58.11,405309159.69,41125
2017-12-13,59.92,59.93,58.92,58.97,5373139,-0.96,-1.60%,58.97,318321029.60,31311
2017-12-12,59.75,60.1517,59.66,59.93,3681164,0.14,0.23%,59.93,220658622.17,21667
2017-12-11,59.36,59.82,59.215,59.79,4163472,0.28,0.47%,59.79,247833676.83,24178
2017-12-08,59.63,59.67,59.19,59.51,3401081,-0.04,-0.07%,59.51,202016232.46,19106
2017-12-07,59.82,60.03,59.415,59.55,3591635,-0.16,-0.27%,59.55,214187196.32,23771
2017-12-06,59.75,60.57,59.72,60.03,4234379,0.497,0.84%,59.71,254838575.62,28696
2017-12-05,59.25,59.94,58.92,59.53,4877131,0.269,0.46%,59.2126,290558132.41,31397
2017-12-04,60.42,60.48,59.04,59.26,5815823,-0.617,-1.04%,58.9441,346398903.17,41146
2017-12-01,60.07,60.20,58.98,59.88,4537773,-0.08,-0.13%,59.5608,270891126.21,34634
2017-11-30,60.63,60.63,59.685,59.96,6667174,-0.338,-0.56%,59.6404,400305280.91,37741
2017-11-29,60.14,61.095,60.03,60.30,7727375,0.477,0.80%,59.9785,468117986.96,48793
2017-11-28,58.76,60.03,58.5216,59.82,6705518,1.054,1.80%,59.5011,399529172.60,39623
2017-11-27,59.10,59.19,58.69,58.76,4204727,-0.269,-0.46%,58.4468,247585569.20,25861
2017-11-24,59.46,59.48,58.98,59.03,1744091,-0.199,-0.34%,58.7153,103104628.85,7986
2017-11-22,59.56,59.67,59.23,59.23,3042067,-0.398,-0.67%,58.9142,180586287.20,19788
2017-11-21,59.84,59.97,59.52,59.63,4372458,-0.06,-0.10%,59.3121,261135447.76,22555
2017-11-20,60.00,60.02,59.30,59.69,6349145,-0.368,-0.62%,59.3718,378378451.82,33183
2017-11-17,59.78,60.15,59.411,60.06,5569745,0.00,0.00%,59.7398,334009191.77,28735
2017-11-16,61.35,61.41,59.95,60.06,5642202,-1.074,-1.77%,59.7398,340534198.96,37039
2017-11-15,61.05,61.66,60.92,61.14,4100319,-0.318,-0.52%,60.8141,251345483.08,26130
2017-11-14,61.61,61.92,61.26,61.46,6800089,-0.537,-0.87%,61.1324,418263825.06,34753
2017-11-13,61.68,62.10,61.60,62.00,3605011,-0.06,-0.10%,61.6695,223227288.48,24382
2017-11-10,62.08,62.33,61.91,62.06,4422281,-0.179,-0.29%,61.7292,274789972.09,24330
2017-11-09,61.50,62.39,61.31,62.24,4566499,0.567,0.92%,61.9082,283245753.99,35647
2017-11-08,62.12,62.2606,61.55,61.67,4741307,-0.458,-0.74%,61.3412,292843598.02,24984
2017-11-07,62.62,63.08,61.93,62.13,5968831,-0.358,-0.58%,61.7988,372129669.55,32306
2017-11-06,61.80,62.73,61.60,62.49,7611384,0.487,0.79%,62.1569,474137572.35,45672
2017-11-03,62.09,63.48,61.72,62.00,14417417,-2.964,-4.59%,61.6695,894769682.56,76323
2017-11-02,64.58,65.30,64.40,64.98,4032050,0.318,0.49%,64.6336,262030309.18,31526
2017-11-01,64.92,65.09,64.51,64.66,3027359,0.05,0.08%,64.3153,195981585.58,21902
2017-10-31,64.68,64.95,64.44,64.61,3191478,-0.169,-0.26%,64.2656,206409139.65,23136
2017-10-30,64.01,64.99,64.01,64.78,4030073,0.229,0.36%,64.4347,260785653.06,28034
