date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,72.52,72.52,71.40,71.71,1064021,-0.92,-1.27%,71.71,76405664.73,9702
2018-03-09,71.29,72.77,70.375,72.63,1676318,2.58,3.68%,72.63,121273685.02,15414
2018-03-08,69.93,70.12,69.35,70.05,770265,0.50,0.72%,70.05,53756658.01,7636
2018-03-07,69.17,69.92,69.075,69.55,707958,-0.06,-0.09%,69.55,49250092.24,6432
2018-03-06,69.77,69.77,68.81,69.61,836141,-0.05,-0.07%,69.61,58060894.40,8173
2018-03-05,68.37,69.95,68.29,69.66,1187674,1.00,1.46%,69.66,82335015.48,8775
2018-03-02,67.94,68.755,67.631,68.66,808513,0.29,0.42%,68.66,55213175.71,8044
2018-03-01,68.89,69.59,67.88,68.37,1415155,-0.33,-0.48%,68.37,97054327.20,14253
2018-02-28,70.38,70.82,69.11,69.11,947736,-0.865,-1.24%,68.70,66099076.81,9252
2018-02-27,69.61,71.30,69.60,69.98,1656083,0.219,0.32%,69.5648,116662881.20,15077
2018-02-26,69.26,69.82,69.21,69.76,928027,0.765,1.12%,69.3461,64588480.70,8766
2018-02-23,68.53,69.02,68.3026,68.99,880030,0.855,1.26%,68.5807,60514839.66,7377
2018-02-22,69.00,69.2799,67.955,68.13,1384065,-0.775,-1.13%,67.7258,94527506.68,9587
2018-02-21,69.23,70.19,68.87,68.91,1173992,-0.398,-0.58%,68.5012,81561474.09,10189
2018-02-20,68.92,69.94,68.67,69.31,1051312,0.338,0.49%,68.8988,72918998.22,7901
2018-02-16,68.92,69.41,68.47,68.97,1111325,-0.08,-0.12%,68.5608,76675157.13,8140
2018-02-15,68.67,69.11,68.35,69.05,912929,0.845,1.25%,68.6403,62806423.11,8208
2018-02-14,66.60,68.32,66.50,68.20,777436,1.213,1.82%,67.7954,52721211.28,8635
2018-02-13,66.02,67.17,65.90,66.98,988686,0.765,1.16%,66.5826,66008448.21,9367
2018-02-12,65.28,66.43,64.88,66.21,1266981,1.262,1.96%,65.8172,83614782.32,12971
2018-02-09,64.89,65.43,63.54,64.94,1914495,0.537,0.84%,64.5547,123473377.35,19099
2018-02-08,66.18,67.02,64.37,64.40,2399460,-1.70,-2.59%,64.0179,157339490.65,19678
2018-02-07,65.36,67.25,65.23,66.11,1247795,0.706,1.09%,65.7178,82895017.29,11707
2018-02-06,65.02,66.12,64.10,65.40,2423902,-0.865,-1.31%,65.012,158144974.83,19598
2018-02-05,68.23,68.81,66.21,66.27,1778223,-2.286,-3.35%,65.8768,119456266.17,12767
2018-02-02,68.89,69.75,68.56,68.57,849877,-0.616,-0.90%,68.1632,58588138.17,8419
2018-02-01,68.30,69.32,68.04,69.19,1106069,0.865,1.27%,68.7795,76370280.59,10260
2018-01-31,69.38,69.97,67.80,68.32,1363214,-1.004,-1.46%,67.9147,93531481.21,11431
2018-01-30,69.53,70.40,69.31,69.33,1293233,-0.437,-0.63%,68.9187,89948484.44,10465
2018-01-29,70.21,70.55,69.58,69.77,1544626,-0.716,-1.02%,69.3561,108064232.96,13023
2018-01-26,67.30,70.49,67.12,70.49,2859501,4.811,7.37%,70.0718,199690058.27,24095
2018-01-25,65.36,65.89,65.08,65.65,1123274,0.527,0.81%,65.2605,73661499.61,11582
2018-01-24,64.83,65.40,64.321,65.12,1533206,0.557,0.87%,64.7336,99685135.25,11366
2018-01-23,64.78,65.27,64.44,64.56,1406889,-0.189,-0.29%,64.177,91036011.10,11655
2018-01-22,64.42,64.76,64.29,64.75,748825,0.457,0.72%,64.3658,48364471.85,6499
2018-01-19,64.15,64.58,63.97,64.29,1123324,0.258,0.41%,63.9086,72198380.10,7236
2018-01-18,63.98,64.20,63.46,64.03,782246,-0.02,-0.03%,63.6501,50012202.59,9177
2018-01-17,63.84,64.14,63.53,64.05,637217,0.626,0.99%,63.67,40751426.48,6263
2018-01-16,63.93,64.24,63.29,63.42,970916,-0.457,-0.72%,63.0437,61724335.11,8769
2018-01-12,63.68,63.96,62.96,63.88,836464,0.477,0.76%,63.501,53330499.66,7757
2018-01-11,63.60,63.69,63.071,63.40,834535,-0.169,-0.27%,63.0238,52843155.94,8134
2018-01-10,63.69,63.86,63.361,63.57,768346,-0.06,-0.09%,63.1928,48867253.55,8137
2018-01-09,63.75,64.09,63.58,63.63,648142,0.08,0.13%,63.2525,41339612.21,7010
2018-01-08,63.41,63.70,63.23,63.55,1004105,0.04,0.06%,63.173,63716868.44,8859
2018-01-05,63.24,63.5875,63.0995,63.51,811672,0.288,0.46%,63.1332,51472521.59,7026
2018-01-04,62.96,63.54,62.64,63.22,932025,0.577,0.93%,62.8449,58984424.94,8890
2018-01-03,62.28,62.92,62.28,62.64,989817,0.467,0.76%,62.2684,61912822.72,8452
2018-01-02,63.55,63.55,62.04,62.17,790461,-1.103,-1.75%,61.8011,49295917.74,6763
2017-12-29,63.68,63.89,63.28,63.28,487087,-0.348,-0.55%,62.9046,30903585.90,4535
2017-12-28,63.49,63.65,63.01,63.63,775787,0.408,0.65%,63.2525,49219587.44,6024
2017-12-27,62.91,63.31,62.67,63.22,519745,0.308,0.49%,62.8449,32822499.13,4087
2017-12-26,62.88,63.24,62.74,62.91,329221,0.308,0.50%,62.5368,20709467.58,3851
2017-12-22,62.93,63.02,62.40,62.60,949955,-0.378,-0.60%,62.2286,59531495.90,8735
2017-12-21,64.23,64.40,62.95,62.98,1138543,-1.223,-1.92%,62.6063,72050546.46,8863
2017-12-20,64.50,64.76,64.18,64.21,823341,-0.189,-0.30%,63.829,52986052.42,6109
2017-12-19,64.27,64.87,63.89,64.40,1559344,0.547,0.86%,64.0179,100537115.43,9914
2017-12-18,64.435,64.70,63.66,63.85,1441307,-0.129,-0.20%,63.4712,92170991.71,10545
2017-12-15,63.62,64.37,63.56,63.98,5084885,0.288,0.46%,63.6004,325244677.23,16738
2017-12-14,64.11,64.35,63.62,63.69,1369109,-0.517,-0.81%,63.3121,87495898.04,10295
2017-12-13,65.04,65.04,63.96,64.21,1926122,-0.577,-0.90%,63.829,123870028.75,14386
2017-12-12,65.51,65.63,64.73,64.79,1130550,-0.686,-1.05%,64.4056,73514065.76,10268
2017-12-11,65.71,65.81,65.28,65.48,844707,-0.209,-0.32%,65.0915,55274678.90,7149
2017-12-08,65.50,65.75,65.16,65.69,814183,0.418,0.64%,65.3003,53387612.56,7283
2017-12-07,65.85,66.00,65.14,65.27,1185718,-0.557,-0.85%,64.8828,77463322.14,9268
2017-12-06,65.78,66.38,65.78,65.83,918405,0.01,0.02%,65.4394,60617930.64,8856
2017-12-05,66.62,66.66,65.82,65.82,756858,-0.755,-1.14%,65.4295,50003747.70,5653
2017-12-04,67.13,67.30,66.47,66.58,1491315,0.01,0.02%,66.185,99508378.13,9391
2017-12-01,66.17,66.76,64.80,66.57,1823833,0.736,1.12%,66.175,120873691.29,10957
2017-11-30,66.57,66.57,65.48,65.83,3083148,-0.199,-0.30%,65.4394,202868560.89,12496
2017-11-29,66.80,67.32,66.27,66.42,1299619,-0.208,-0.32%,65.6382,86435317.78,10106
2017-11-28,65.83,66.72,65.71,66.63,1187797,0.909,1.40%,65.8458,78869731.49,8365
2017-11-27,65.31,65.92,65.31,65.71,2632673,0.316,0.49%,64.9366,172822543.07,14209
2017-11-24,66.53,66.825,65.39,65.39,624451,-1.216,-1.85%,64.6203,41014701.01,5265
2017-11-22,66.81,67.035,66.45,66.62,3079920,-0.336,-0.51%,65.8359,205691739.58,17688
2017-11-21,66.14,67.05,66.00,66.96,1985277,0.939,1.44%,66.1719,132402028.17,11789
2017-11-20,66.12,66.17,65.67,66.01,1703110,0.04,0.06%,65.2331,112267738.98,10255
2017-11-17,65.61,66.12,65.49,65.97,1750093,0.138,0.21%,65.1935,115385199.57,13790
2017-11-16,65.44,65.94,65.34,65.83,1333762,0.494,0.77%,65.0552,87723886.16,11019
2017-11-15,65.00,65.44,64.65,65.33,997150,0.227,0.35%,64.5611,65019359.20,10083
2017-11-14,63.75,65.12,63.67,65.10,1245817,1.146,1.81%,64.3338,80656154.74,10876
2017-11-13,63.98,64.32,63.69,63.94,589604,-0.138,-0.22%,63.1874,37746228.16,5037
2017-11-10,63.66,64.20,63.36,64.08,590687,0.425,0.68%,63.3258,37803472.41,6659
2017-11-09,63.30,63.77,63.14,63.65,317239,0.119,0.19%,62.9008,20158715.28,4181
