date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,101.99,103.97,101.60,102.99,1508963,1.23,1.21%,102.99,155336467.39,14915
2018-03-09,99.71,102.42,99.08,101.76,1510621,2.48,2.50%,101.76,153334655.57,15214
2018-03-08,100.16,101.35,98.65,99.28,1274365,-0.77,-0.77%,99.28,126765225.69,12841
2018-03-07,99.00,100.622,98.58,100.05,1567896,-0.09,-0.09%,100.05,156510776.35,14936
2018-03-06,98.40,100.89,97.79,100.14,3587430,3.70,3.84%,100.14,357613336.23,26277
2018-03-05,94.22,97.66,93.50,96.44,2503289,1.42,1.49%,96.44,240741328.16,22343
2018-03-02,95.69,95.85,90.49,95.02,5718042,-0.99,-1.03%,95.02,537164438.80,53392
2018-03-01,101.27,101.31,94.70,96.01,7170806,-4.42,-4.40%,96.01,692386703.33,64823
2018-02-28,112.60,112.90,98.93,100.43,6717188,-11.14,-9.98%,100.43,693145769.92,58319
2018-02-27,110.56,113.10,110.56,111.57,2665690,1.47,1.34%,111.57,297750199.70,25714
2018-02-26,114.35,114.90,107.12,110.10,7151964,-8.65,-7.28%,110.10,786493027.46,56162
2018-02-23,115.84,118.83,115.61,118.75,2142290,5.07,4.46%,118.75,251704931.60,19651
2018-02-22,113.88,114.7499,113.155,113.68,1021920,0.67,0.59%,113.68,116408404.31,11843
2018-02-21,115.35,116.50,112.87,113.01,1775001,-1.57,-1.37%,113.01,202512331.34,16242
2018-02-20,112.00,115.39,112.00,114.58,1431724,2.34,2.08%,114.58,163760363.48,16129
2018-02-16,114.36,114.59,111.96,112.24,1669248,-2.37,-2.07%,112.24,189245216.40,15345
2018-02-15,112.43,114.65,111.38,114.61,1760152,2.89,2.59%,114.61,199281610.80,17285
2018-02-14,107.18,112.16,106.63,111.72,2052269,3.27,3.02%,111.72,227201159.86,19656
2018-02-13,111.60,112.60,108.084,108.45,2763450,-3.14,-2.81%,108.45,303681398.36,25563
2018-02-12,109.28,112.15,109.01,111.59,2637077,3.87,3.59%,111.59,293020870.41,25234
2018-02-09,106.00,108.71,103.75,107.72,2573841,2.54,2.41%,107.72,273181880.49,26371
2018-02-08,106.94,108.70,105.14,105.18,2377485,-1.45,-1.36%,105.18,254397668.45,24546
2018-02-07,107.46,109.48,106.56,106.63,1668253,-0.91,-0.85%,106.63,179960862.21,18166
2018-02-06,103.51,108.5199,103.31,107.54,2903894,2.39,2.27%,107.54,308362218.50,31937
2018-02-05,104.28,109.90,102.85,105.15,3837970,-0.36,-0.34%,105.15,411227769.89,43731
2018-02-02,108.52,109.12,104.92,105.51,2738581,-3.69,-3.38%,105.51,293310448.98,24897
2018-02-01,110.92,111.57,108.96,109.20,1962034,-2.39,-2.14%,109.20,215534667.64,19095
2018-01-31,111.85,112.08,110.25,111.59,2606203,0.22,0.20%,111.59,290148350.64,19514
2018-01-30,112.38,113.74,111.05,111.37,2146009,-0.31,-0.28%,111.37,240279565.13,18236
2018-01-29,114.23,114.46,111.31,111.68,2250814,-2.73,-2.39%,111.68,252489496.80,21813
2018-01-26,117.00,117.815,114.01,114.41,1916729,-2.49,-2.13%,114.41,221349973.54,18567
2018-01-25,112.66,116.94,112.66,116.90,2499828,4.50,4.00%,116.90,289258655.14,22637
2018-01-24,114.00,114.16,112.04,112.40,2727521,-0.60,-0.53%,112.40,308157384.59,22613
