date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,272.07,277.315,271.13,275.61,827123,3.87,1.42%,275.61,226938871.50,11366
2018-03-09,270.00,273.22,269.99,271.74,854946,3.56,1.33%,271.74,232808050.58,12289
2018-03-08,264.92,268.6899,263.57,268.18,630034,5.28,2.01%,268.18,168160358.83,8945
2018-03-07,252.46,263.92,252.13,262.90,679264,6.93,2.71%,262.90,176375319.61,9895
2018-03-06,256.01,257.39,252.16,255.97,741077,0.48,0.19%,255.97,188712150.71,9799
2018-03-05,252.84,256.64,247.6404,255.49,818321,1.78,0.70%,255.49,207541034.39,9998
2018-03-02,243.65,254.89,241.30,253.71,1016135,8.16,3.32%,253.71,254301314.60,13236
2018-03-01,255.00,259.8375,244.15,245.55,1833437,-16.97,-6.46%,245.55,457315463.32,24310
2018-02-28,264.90,267.78,262.44,262.52,657310,-1.35,-0.51%,262.52,174169723.40,9055
2018-02-27,265.48,267.27,263.50,263.87,635605,-2.71,-1.02%,263.87,168605138.95,9957
2018-02-26,266.80,268.40,262.42,266.58,722125,1.51,0.57%,266.58,192328422.71,9889
2018-02-23,261.99,266.80,258.14,265.07,939952,5.39,2.08%,265.07,247711169.59,12570
2018-02-22,254.16,262.33,253.26,259.68,1084831,7.54,2.99%,259.68,281363862.97,14038
2018-02-21,255.36,262.8235,252.00,252.14,1086042,-3.31,-1.30%,252.14,279514814.17,13766
2018-02-20,250.57,259.75,250.50,255.45,1138852,3.95,1.57%,255.45,291636983.28,12853
2018-02-16,253.85,255.3899,249.04,251.50,1056711,-1.27,-0.50%,251.50,266637671.76,12128
2018-02-15,250.00,253.71,245.39,252.77,1410724,6.43,2.61%,252.77,352709073.41,16119
2018-02-14,231.98,246.90,231.3482,246.34,1214386,12.61,5.40%,246.34,294222231.86,15719
2018-02-13,230.76,236.70,229.68,233.73,727366,0.60,0.26%,233.73,169953438.82,10348
2018-02-12,233.25,235.00,225.91,233.13,1206753,3.76,1.64%,233.13,279830891.64,14945
2018-02-09,223.75,232.41,219.11,229.37,1549902,8.66,3.92%,229.37,349387162.07,23252
2018-02-08,233.57,233.96,220.70,220.71,1918329,-13.62,-5.81%,220.71,435514814.41,26416
2018-02-07,241.00,242.22,233.60,234.33,1160687,-7.12,-2.95%,234.33,275430780.20,16738
2018-02-06,232.71,245.65,228.00,241.45,2283401,-0.95,-0.39%,241.45,545065590.41,30656
2018-02-05,252.21,259.139,241.66,242.40,1878132,-14.98,-5.82%,242.40,470922505.91,24658
2018-02-02,251.57,262.57,250.86,257.38,1622810,1.81,0.71%,257.38,419512256.08,22360
2018-02-01,261.59,262.65,252.20,255.57,1735592,-6.43,-2.45%,255.57,445831130.48,21823
2018-01-31,261.01,270.60,248.2101,262.00,4011385,-8.08,-2.99%,262.00,1043255562.57,45323
