date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,64.99,66.04,64.39,65.78,3380531,0.98,1.51%,65.78,220554466.17,21973
2018-03-09,65.10,65.30,63.82,64.80,3009108,0.00,0.00%,64.80,194230570.15,19540
2018-03-08,64.23,65.47,64.03,64.80,1482848,0.80,1.25%,64.80,95855452.63,12154
2018-03-07,63.88,64.41,63.53,64.00,1290522,-0.30,-0.47%,64.00,82560707.46,10619
2018-03-06,63.75,64.45,63.22,64.30,1379410,0.68,1.07%,64.30,88226626.33,11798
2018-03-05,63.05,64.16,62.52,63.62,2347007,0.24,0.38%,63.62,149068788.34,18891
2018-03-02,64.00,64.355,62.42,63.38,2071243,-1.27,-1.96%,63.38,131085647.20,19209
2018-03-01,64.29,66.07,63.85,64.65,2448512,0.15,0.23%,64.65,158810836.01,24764
2018-02-28,65.03,65.459,64.25,64.50,1130265,-0.39,-0.60%,64.50,73149163.91,9595
2018-02-27,66.24,66.635,64.80,64.89,1512871,-1.26,-1.90%,64.89,98767529.07,11356
2018-02-26,65.46,66.31,64.44,66.15,1631293,1.17,1.80%,66.15,107109794.64,14210
2018-02-23,64.45,65.17,63.94,64.98,1365969,0.81,1.26%,64.98,88381426.18,11050
2018-02-22,65.14,65.70,64.03,64.17,1246691,-0.52,-0.80%,64.17,80727639.33,9500
2018-02-21,64.50,66.61,64.36,64.69,2239134,0.30,0.47%,64.69,146869879.66,20898
2018-02-20,64.94,65.00,63.99,64.39,1540796,-0.58,-0.89%,64.39,99187429.74,12740
2018-02-16,65.83,66.34,64.82,64.97,1860763,-0.88,-1.34%,64.97,121508603.56,15558
2018-02-15,66.68,67.27,64.77,66.17,3555568,-0.587,-0.88%,65.85,234266843.04,23412
2018-02-14,66.60,67.50,65.72,66.76,2385900,-0.129,-0.19%,66.4371,159011743.58,18928
2018-02-13,65.45,67.18,65.25,66.89,2907208,0.876,1.33%,66.5665,194124915.63,22282
2018-02-12,65.11,66.79,64.95,66.01,3346500,1.284,1.99%,65.6908,220800463.68,25314
2018-02-09,64.67,65.23,63.64,64.72,5139971,0.677,1.06%,64.407,330197838.19,37272
2018-02-08,64.25,65.23,63.82,64.04,4271875,-0.189,-0.30%,63.7303,275381551.94,33955
2018-02-07,63.14,64.96,63.04,64.23,2025459,1.035,1.65%,63.9194,130127981.22,18873
2018-02-06,62.24,63.65,61.08,63.19,4789408,0.448,0.72%,62.8844,298422806.39,41920
2018-02-05,63.86,65.09,62.71,62.74,5581640,-1.811,-2.82%,62.4366,355450941.78,50144
2018-02-02,65.20,65.88,64.0202,64.56,5700907,0.478,0.75%,64.2478,368783766.67,46010
2018-02-01,65.54,65.85,64.04,64.08,2492777,-1.642,-2.51%,63.7701,161098368.43,18225
2018-01-31,64.38,67.03,64.38,65.73,3643134,1.523,2.38%,65.4121,239696431.26,33297
2018-01-30,64.24,65.03,63.7668,64.20,2677620,-1.274,-1.95%,63.8895,172425251.54,23744
2018-01-29,64.26,65.93,64.15,65.48,3702733,0.935,1.46%,65.1633,242212757.37,29880
2018-01-26,62.25,64.5919,61.51,64.54,3973947,2.458,3.98%,64.2279,252819440.25,29854
2018-01-25,62.31,63.53,59.25,62.07,10475991,-2.607,-4.05%,61.7698,643941556.63,64971
2018-01-24,66.20,66.57,64.51,64.69,6209014,-4.757,-6.88%,64.3772,405591067.61,48815
2018-01-23,68.56,69.995,68.44,69.47,2557629,0.916,1.34%,69.134,177537065.09,20479
2018-01-22,68.75,69.17,67.06,68.55,3007437,-0.328,-0.48%,68.2185,204892207.74,22412
2018-01-19,70.30,70.315,68.35,68.88,3372454,-0.906,-1.30%,68.5469,232615952.19,26524
2018-01-18,70.99,71.11,69.76,69.79,1979851,-1.025,-1.45%,69.4525,139013006.67,16658
2018-01-17,71.67,72.53,70.74,70.82,2275844,-0.458,-0.65%,70.4775,162522740.14,20523
2018-01-16,73.70,74.0396,71.16,71.28,2360498,-2.229,-3.05%,70.9353,170063832.26,22008
2018-01-12,75.00,75.14,73.07,73.52,2946913,-1.284,-1.72%,73.1645,217378642.56,21269
2018-01-11,72.73,75.46,72.60,74.81,2401820,2.747,3.83%,74.4482,178122408.20,16852
2018-01-10,70.37,72.42,70.00,72.05,1797809,0.756,1.07%,71.7016,128898382.01,16306
2018-01-09,72.10,72.53,71.20,71.29,2398071,-1.453,-2.01%,70.9452,172240416.01,20266
2018-01-08,73.74,73.74,72.2132,72.75,1339880,-0.985,-1.34%,72.3982,97471876.53,12155
2018-01-05,74.26,74.26,73.46,73.74,1087556,-0.109,-0.15%,73.3834,80157775.55,9555
2018-01-04,74.79,75.08,72.82,73.85,1343896,-0.806,-1.08%,73.4929,99141629.62,10867
2018-01-03,75.08,75.10,73.685,74.66,1652958,-0.348,-0.47%,74.2989,123100137.80,15572
2018-01-02,74.04,75.12,73.82,75.01,1738002,1.493,2.04%,74.6473,130020843.81,12560
2017-12-29,74.67,74.848,73.47,73.51,1038668,-1.055,-1.42%,73.1545,76836694.04,9202
2017-12-28,74.58,74.72,73.55,74.57,901666,0.199,0.27%,74.2094,66949646.35,8229
2017-12-27,74.96,74.96,73.96,74.37,939275,-0.468,-0.63%,74.0103,69808926.17,8847
2017-12-26,74.25,75.07,74.12,74.84,869538,0.557,0.75%,74.4781,65077360.41,7551
2017-12-22,74.43,74.92,73.97,74.28,1247378,-0.408,-0.55%,73.9208,92621485.04,10476
2017-12-21,74.49,76.0576,74.00,74.69,2020506,0.916,1.25%,74.3288,151743637.51,16710
2017-12-20,73.34,74.10,72.80,73.77,1510648,0.577,0.79%,73.4132,111171255.64,13845
2017-12-19,73.45,73.89,71.90,73.19,2119202,-0.368,-0.50%,72.8361,154153976.79,18825
2017-12-18,72.19,73.78,71.895,73.56,2392310,2.717,3.85%,73.2043,174682129.37,20679
2017-12-15,70.33,71.86,69.61,70.83,2635243,1.433,2.08%,70.4875,187121290.00,16372
2017-12-14,69.56,70.33,69.00,69.39,1148065,0.368,0.54%,69.0544,79798867.38,11186
2017-12-13,69.84,69.97,68.75,69.02,1633793,-0.776,-1.12%,68.6862,113022081.23,12397
2017-12-12,70.38,70.97,69.76,69.80,2043055,0.08,0.11%,69.4624,143746228.01,16778
2017-12-11,69.77,70.2699,69.4076,69.72,917871,-0.02,-0.03%,69.3828,64031649.31,9113
2017-12-08,69.71,70.57,69.60,69.74,1073388,0.368,0.53%,69.4027,75133510.48,10060
2017-12-07,67.51,69.39,67.51,69.37,1395352,1.533,2.27%,69.0345,96142189.08,12003
2017-12-06,67.85,68.91,67.595,67.83,1198709,-0.269,-0.40%,67.502,81568692.77,11055
2017-12-05,68.38,68.85,67.59,68.10,1862781,-0.179,-0.26%,67.7707,127078480.20,17247
2017-12-04,67.50,69.54,67.50,68.28,3425916,1.363,2.05%,67.9498,235371381.85,26477
2017-12-01,69.10,69.365,66.50,66.91,2765264,-2.249,-3.27%,66.5864,185943449.79,22212
