date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,95.95,95.95,94.63,94.85,2067529,-1.18,-1.23%,94.85,196428896.56,15590
2018-03-09,95.00,96.11,94.56,96.03,2874093,1.70,1.80%,96.03,275021344.11,19125
2018-03-08,93.70,94.41,93.00,94.33,2059553,0.94,1.01%,94.33,193568625.13,12878
2018-03-07,92.53,93.78,92.46,93.39,2382631,-0.04,-0.04%,93.39,221964774.59,19496
2018-03-06,93.29,93.55,92.16,93.43,1771505,0.54,0.58%,93.43,164879757.86,18269
2018-03-05,91.18,93.37,90.87,92.89,2958623,1.28,1.40%,92.89,273938578.12,21380
2018-03-02,91.08,91.75,90.66,91.61,1917187,0.01,0.01%,91.61,175024067.58,20073
2018-03-01,92.33,93.815,91.56,92.06,3582277,-0.199,-0.22%,91.60,331360070.83,28166
2018-02-28,94.49,94.76,92.22,92.26,3377734,-1.741,-1.86%,91.799,315028364.12,24791
2018-02-27,95.46,96.05,94.00,94.01,2693348,-1.731,-1.82%,93.5402,254751341.36,22169
2018-02-26,94.69,96.04,94.45,95.75,1979773,1.373,1.46%,95.2715,189176731.89,19155
2018-02-23,93.15,94.45,93.03,94.37,2174951,1.562,1.69%,93.8984,204482820.56,14180
2018-02-22,93.41,94.7605,92.49,92.80,2469202,-0.607,-0.65%,92.3363,230241784.96,18762
2018-02-21,93.49,95.04,93.32,93.41,1831291,-0.239,-0.26%,92.9432,172413833.62,16847
2018-02-20,94.42,94.90,93.25,93.65,2190525,-1.383,-1.46%,93.182,205480219.58,19707
2018-02-16,94.12,95.72,94.07,95.04,2565406,0.517,0.55%,94.5651,243788582.47,19031
2018-02-15,94.97,95.19,93.28,94.52,2807357,-0.507,-0.54%,94.0477,264318301.53,24071
2018-02-14,91.81,95.125,91.81,95.03,3111405,2.886,3.15%,94.5551,293505072.02,29246
2018-02-13,90.23,92.24,89.59,92.13,3503753,1.393,1.54%,91.6696,320233490.49,24562
2018-02-12,91.60,92.735,90.25,90.73,4116987,-0.159,-0.18%,90.2766,375766222.08,29843
2018-02-09,91.00,91.41,88.29,90.89,5770568,0.826,0.92%,90.4358,517730190.53,50077
2018-02-08,96.03,96.70,90.02,90.06,5282247,-6.776,-7.03%,89.61,488988169.28,44597
2018-02-07,96.14,98.295,95.9151,96.87,3174347,0.269,0.28%,96.3859,308792886.30,35507
2018-02-06,93.65,96.97,92.72,96.60,4312430,1.572,1.66%,96.1173,410687599.72,46628
2018-02-05,97.27,98.69,95.02,95.02,4883538,-2.905,-2.98%,94.5452,473945658.55,45179
2018-02-02,98.62,100.06,97.84,97.94,2300754,-0.776,-0.79%,97.4506,227166273.73,21340
2018-02-01,98.57,99.35,98.01,98.72,2422471,-0.05,-0.05%,98.2267,239135612.84,20688
2018-01-31,98.50,99.37,98.34,98.77,2146628,0.318,0.33%,98.2764,212199969.40,16896
2018-01-30,97.74,99.30,97.42,98.45,2100127,0.408,0.42%,97.958,207263226.33,17762
2018-01-29,100.25,100.59,98.00,98.04,2215698,-2.478,-2.48%,97.5501,218602200.45,21507
2018-01-26,100.94,101.62,99.89,100.53,2777106,-0.199,-0.20%,100.0277,279747735.00,20270
2018-01-25,100.39,101.01,99.52,100.73,2466911,0.856,0.86%,100.2267,248094451.66,16822
2018-01-24,101.43,101.53,99.58,99.87,4988048,-1.373,-1.36%,99.3709,499127860.90,40834
2018-01-23,104.22,104.47,100.30,101.25,4676556,-3.164,-3.05%,100.7441,474605813.35,28610
2018-01-22,103.70,104.43,103.24,104.43,1358108,0.726,0.70%,103.9082,141181450.31,13005
2018-01-19,104.42,104.42,103.13,103.70,1548986,-0.299,-0.29%,103.1818,160685385.54,12345
2018-01-18,103.85,104.325,102.98,104.00,2909853,0.06,0.06%,103.4803,301792191.42,14401
2018-01-17,102.51,103.99,102.28,103.94,1765381,1.801,1.77%,103.4206,182790556.95,15677
2018-01-16,102.21,102.73,101.6101,102.13,1860881,0.02,0.02%,101.6197,190169626.12,14760
2018-01-12,100.90,102.32,99.83,102.11,2404649,1.323,1.32%,101.5998,244149029.07,21152
2018-01-11,100.82,101.155,100.21,100.78,1571670,0.348,0.35%,100.2764,158127878.17,15119
2018-01-10,100.81,101.24,100.31,100.43,2480812,-0.507,-0.51%,99.9282,249735569.18,15597
2018-01-09,100.65,101.73,100.50,100.94,2223515,-0.448,-0.44%,100.4356,224933554.57,19889
2018-01-08,101.84,101.85,101.08,101.39,1434930,-0.478,-0.47%,100.8834,145532289.51,10879
2018-01-05,101.24,101.93,100.22,101.87,1587969,1.065,1.06%,101.361,161121013.32,10297
2018-01-04,102.26,102.73,100.69,100.80,2017441,-1.174,-1.16%,100.2963,204264416.41,16590
2018-01-03,101.92,102.74,101.65,101.98,1993808,0.06,0.06%,101.4704,203305365.81,19169
2018-01-02,104.07,104.52,101.68,101.92,4788853,-2.776,-2.66%,101.4107,490345590.31,30773
2017-12-29,105.05,105.36,104.69,104.71,947544,-0.199,-0.19%,104.1868,99351777.36,8596
2017-12-28,104.91,104.93,104.48,104.91,736136,0.308,0.30%,104.3858,77110117.91,7635
2017-12-27,104.43,104.84,104.13,104.60,776324,0.259,0.25%,104.0773,81173033.66,7733
2017-12-26,104.06,104.72,103.98,104.34,666992,0.229,0.22%,103.8186,69556414.31,5699
2017-12-22,104.52,104.66,103.46,104.11,783593,-0.10,-0.10%,103.5898,81554125.42,7562
2017-12-21,105.08,105.17,104.175,104.21,1534245,-0.209,-0.20%,103.6893,160092080.22,10621
2017-12-20,104.53,104.92,104.16,104.42,1417665,0.04,0.04%,103.8982,148168139.26,11798
2017-12-19,104.65,104.76,104.00,104.38,2069235,0.219,0.21%,103.8584,216059052.51,13607
2017-12-18,104.73,105.14,103.75,104.16,2021968,0.05,0.05%,103.6395,210583842.39,17252
2017-12-15,104.52,104.66,103.46,104.11,783593,1.453,1.42%,103.5898,81554125.42,7562
2017-12-14,103.19,103.79,102.45,102.65,1467842,-0.667,-0.65%,102.1371,150935057.55,13567
2017-12-13,103.30,104.18,103.09,103.32,2297621,-0.219,-0.21%,102.8037,237804825.81,17540
2017-12-12,102.34,103.86,101.845,103.54,1954073,1.164,1.14%,103.0226,201911707.50,16425
2017-12-11,102.33,102.715,101.77,102.37,1085980,-0.129,-0.13%,101.8585,110952701.11,10298
2017-12-08,102.00,102.51,101.65,102.50,1308779,0.388,0.38%,101.9878,133797500.64,10622
2017-12-07,102.33,102.60,101.77,102.11,1366004,-0.537,-0.53%,101.5998,139508097.97,13285
2017-12-06,102.82,103.65,102.565,102.65,1318457,-0.189,-0.18%,102.1371,135621952.02,12489
2017-12-05,103.99,103.99,102.69,102.84,2700121,-0.776,-0.75%,102.3261,278157522.62,19817
2017-12-04,103.91,104.10,103.01,103.62,2381010,0.517,0.50%,103.1022,246481281.37,21354
2017-12-01,103.10,103.12,100.75,103.10,2465635,0.438,0.43%,102.5848,252799063.79,22107
2017-11-30,102.37,103.51,101.09,102.66,3340825,0.697,0.69%,102.147,342823437.87,19603
2017-11-29,100.62,102.23,100.58,101.96,2031693,1.433,1.43%,101.4505,206919685.41,20525
2017-11-28,99.39,100.94,99.26,100.89,1858601,1.467,1.49%,100.0177,186585751.73,16347
2017-11-27,99.23,99.93,99.14,99.41,1459582,0.327,0.33%,98.5505,145363757.50,13712
2017-11-24,99.80,99.80,98.98,99.08,623413,-0.218,-0.22%,98.2234,61839924.46,5404
