date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,125.51,127.65,125.10,127.08,1209710,1.40,1.11%,127.08,153174318.53,12059
2018-03-09,121.39,126.06,121.27,125.68,2663872,5.67,4.72%,125.68,331646315.36,22128
2018-03-08,119.30,120.67,117.79,120.01,1258283,1.63,1.38%,120.01,150059088.45,10536
2018-03-07,117.64,118.63,116.39,118.38,1468579,0.25,0.21%,118.38,172535717.44,12953
2018-03-06,119.78,120.48,117.29,118.13,1134327,-1.37,-1.15%,118.13,134310316.26,10855
2018-03-05,116.76,120.53,116.76,119.50,1341944,1.58,1.34%,119.50,160171955.93,12582
2018-03-02,114.71,118.35,113.88,117.92,1343726,2.81,2.44%,117.92,157060986.21,13003
2018-03-01,116.06,117.15,114.56,115.11,1957376,-2.34,-1.99%,115.11,226402298.70,17012
2018-02-28,118.61,120.725,117.43,117.45,1418988,-0.89,-0.75%,117.45,168232768.11,13683
2018-02-27,120.72,122.31,118.34,118.34,1786392,-2.99,-2.46%,118.34,213145278.28,13274
2018-02-26,119.98,121.37,119.12,121.33,1261786,2.40,2.02%,121.33,152253991.90,12273
2018-02-23,115.78,118.99,114.52,118.93,1815156,4.34,3.79%,118.93,213254604.63,12654
2018-02-22,117.74,118.26,114.09,114.59,1812338,-2.51,-2.14%,114.59,209335320.39,12796
2018-02-21,119.43,120.12,117.04,117.10,1555206,-1.75,-1.47%,117.10,183508699.93,11807
2018-02-20,119.46,122.11,118.47,118.85,2022817,-1.62,-1.34%,118.85,242712499.91,12234
2018-02-16,122.57,123.17,119.24,120.47,3898513,-2.24,-1.83%,120.47,470455711.16,16480
2018-02-15,123.07,125.30,120.66,122.71,2595683,-0.49,-0.40%,122.71,320416171.10,23037
2018-02-14,113.17,123.80,112.59,123.20,3156776,9.23,8.10%,123.20,379321237.82,30001
2018-02-13,114.28,115.36,112.56,113.97,2426517,-1.46,-1.26%,113.97,276338732.20,20436
2018-02-12,109.56,115.98,109.52,115.43,2659627,6.83,6.29%,115.43,303514048.08,25606
2018-02-09,109.06,110.99,104.951,108.60,3039212,0.13,0.12%,108.60,327085095.24,33949
2018-02-08,116.31,118.84,108.27,108.47,3744416,-8.68,-7.41%,108.47,423550009.00,34734
2018-02-07,113.95,119.12,113.59,117.15,2695826,2.24,1.95%,117.15,317084105.49,28642
2018-02-06,110.65,115.15,109.61,114.91,2094313,2.19,1.94%,114.91,236378779.30,23283
2018-02-05,117.26,118.615,112.70,112.72,2050656,-3.43,-2.95%,112.72,235726641.44,19538
2018-02-02,117.42,117.98,115.62,116.15,1389226,-1.94,-1.64%,116.15,162199458.11,16594
2018-02-01,118.45,119.535,116.8901,118.09,2706959,-1.23,-1.03%,118.09,319153213.66,23811
2018-01-31,122.34,122.73,119.19,119.32,2088405,-3.04,-2.48%,119.32,251109038.22,19563
2018-01-30,126.19,127.50,122.32,122.36,1700188,-4.43,-3.49%,122.36,209600079.44,13501
