date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,61.91,62.40,60.88,60.97,16207751,-0.64,-1.04%,60.97,994234387.30,105751
2018-03-09,59.71,61.76,59.47,61.61,18066546,2.24,3.77%,61.61,1102769212.86,100838
2018-03-08,59.76,59.91,59.00,59.37,12223446,-0.05,-0.08%,59.37,725042964.86,69697
2018-03-07,59.15,60.09,58.60,59.42,17284037,-0.57,-0.95%,59.42,1025901137.16,102940
2018-03-06,58.32,60.18,58.10,59.99,23269604,2.36,4.10%,59.99,1384961221.66,124513
2018-03-05,57.31,58.42,57.11,57.63,13326704,-0.40,-0.69%,57.63,770977559.27,91859
2018-03-02,55.90,58.14,55.12,58.03,15719349,0.96,1.68%,58.03,897598076.82,100721
2018-03-01,57.54,58.44,56.12,57.07,17330221,-0.52,-0.90%,57.07,994160934.70,116856
2018-02-28,57.90,58.769,57.58,57.59,13152704,-0.05,-0.09%,57.59,763713599.14,79583
2018-02-27,58.64,58.90,57.63,57.64,13102733,-1.17,-1.99%,57.64,761717503.49,86133
2018-02-26,57.515,58.995,57.34,58.81,14822228,1.80,3.16%,58.81,863511239.25,89970
2018-02-23,56.59,57.13,56.31,57.01,13532407,0.94,1.68%,57.01,768050745.25,84785
2018-02-22,56.49,56.98,55.81,56.07,14924644,-0.06,-0.11%,56.07,840592470.68,96032
2018-02-21,57.00,57.34,56.08,56.13,16464322,-0.53,-0.94%,56.13,932765302.61,100211
2018-02-20,54.74,57.36,54.351,56.66,22000669,1.73,3.15%,56.66,1244886910.73,123161
2018-02-16,53.80,56.09,53.67,55.03,27810913,1.038,1.93%,54.93,1537954140.48,160024
2018-02-15,52.16,54.00,50.58,53.99,26888184,2.026,3.91%,53.8919,1412060570.04,149960
2018-02-14,49.40,52.12,49.1502,51.96,22166641,2.406,4.86%,51.8656,1134700444.30,125804
2018-02-13,49.26,49.65,48.50,49.55,12878589,0.05,0.10%,49.46,632263959.69,77543
2018-02-12,48.96,49.88,48.41,49.50,16326069,1.417,2.95%,49.4101,802666137.63,105146
2018-02-09,46.84,48.50,45.13,48.08,22648164,2.326,5.09%,47.9926,1064030878.94,157261
2018-02-08,48.98,49.15,45.74,45.75,19922927,-2.935,-6.04%,45.6669,936617142.20,128855
2018-02-07,49.87,50.58,48.67,48.69,14763371,-1.557,-3.10%,48.6015,730320046.71,94587
2018-02-06,47.41,50.26,46.40,50.25,21455699,1.936,4.02%,50.1587,1050762670.36,148577
2018-02-05,49.98,51.465,48.31,48.31,17999698,-2.366,-4.68%,48.2222,899854618.19,127781
2018-02-02,52.58,52.79,50.52,50.68,16813121,-2.595,-4.88%,50.5879,861592454.42,110121
2018-02-01,53.16,54.18,52.93,53.28,9706003,-0.349,-0.65%,53.1832,519474714.79,60846
2018-01-31,53.68,54.14,52.91,53.63,13166801,0.25,0.47%,53.5326,703758390.21,78591
2018-01-30,54.28,54.33,53.21,53.38,14603702,-1.946,-3.52%,53.283,782504059.92,86516
2018-01-29,56.73,56.92,54.82,55.33,12350579,-1.787,-3.13%,55.2295,684218322.02,78275
2018-01-26,56.42,57.12,55.93,57.12,11253501,1.358,2.44%,57.0162,637439608.24,65082
2018-01-25,58.18,58.73,55.46,55.76,15271922,-1.118,-1.97%,55.6587,863791850.96,90061
2018-01-24,57.32,57.42,56.36,56.88,11787268,-0.908,-1.57%,56.7766,669927019.33,75374
2018-01-23,57.88,58.18,57.18,57.79,8813491,0.329,0.57%,57.685,508499298.80,56931
2018-01-22,57.47,57.53,56.87,57.46,11479829,0.06,0.10%,57.3556,657250184.08,54482
2018-01-19,57.70,57.72,56.22,57.40,11458659,0.00,0.00%,57.2957,654376778.26,60556
2018-01-18,56.75,58.63,56.68,57.40,17677739,0.06,0.10%,57.2957,1018464801.60,87574
2018-01-17,55.71,57.52,55.47,57.34,17924232,2.835,5.21%,57.2358,1014308001.55,97139
2018-01-16,54.82,55.40,54.01,54.50,14384996,1.048,1.96%,54.401,786441857.39,87969
2018-01-12,53.24,53.9999,53.08,53.45,9072267,0.25,0.47%,53.3529,486072760.08,52761
2018-01-11,53.47,53.53,52.6199,53.20,10694213,-0.10,-0.19%,53.1033,566975229.65,62006
2018-01-10,54.09,54.11,52.56,53.30,14537219,-1.557,-2.84%,53.2032,773555166.14,89713
2018-01-09,56.17,56.18,54.04,54.86,13564898,-1.058,-1.90%,54.7603,744072474.24,85413
2018-01-08,55.01,56.45,54.97,55.92,12657970,1.318,2.42%,55.8184,708113043.80,70948
2018-01-05,54.65,54.91,54.22,54.60,10902204,0.309,0.57%,54.5008,595537614.15,67154
2018-01-04,54.50,54.94,53.98,54.29,9462780,0.309,0.57%,54.1914,515102076.42,63476
2018-01-03,53.54,54.2779,53.1855,53.98,10898946,0.938,1.77%,53.8819,585959957.51,66352
2018-01-02,51.68,53.06,51.22,53.04,9819493,1.917,3.76%,52.9436,516095642.91,69201
2017-12-29,51.82,51.94,51.06,51.12,6971504,-0.599,-1.16%,51.0271,358586335.52,37575
2017-12-28,51.89,52.15,51.501,51.72,5634394,0.04,0.08%,51.626,291539040.14,36279
2017-12-27,51.34,51.83,50.97,51.68,5962129,0.629,1.23%,51.5861,307366220.63,39404
2017-12-26,51.22,51.43,50.42,51.05,7393627,-1.008,-1.94%,50.9572,376902195.33,44409
2017-12-22,51.75,52.24,51.30,52.06,8087577,0.17,0.33%,51.9654,419994440.72,45811
2017-12-21,53.18,53.31,51.81,51.89,9530910,-1.397,-2.63%,51.7957,497332595.80,62010
2017-12-20,54.11,54.25,52.92,53.29,9950750,0.329,0.62%,53.1932,531796240.62,68701
2017-12-19,52.85,53.43,52.33,52.96,10922643,-0.439,-0.82%,52.8638,577951294.54,63691
2017-12-18,53.16,53.54,52.76,53.40,13304279,0.858,1.64%,53.303,708923296.06,78653
2017-12-15,51.57,52.88,51.15,52.54,14575378,1.228,2.40%,52.4445,761497313.71,59264
2017-12-14,51.00,51.81,50.57,51.31,8940288,0.549,1.08%,51.2168,459201469.81,56499
2017-12-13,50.81,51.08,50.57,50.76,13858344,0.289,0.57%,50.6678,704219150.72,77092
2017-12-12,51.50,51.74,50.41,50.47,9547496,-1.148,-2.23%,50.3783,485274980.59,62764
2017-12-11,51.57,52.20,50.97,51.62,9740829,0.19,0.37%,51.5262,501208570.14,57919
2017-12-08,53.00,53.79,51.19,51.43,15131797,-0.868,-1.66%,51.3366,789973953.44,98638
2017-12-07,51.69,52.59,51.33,52.30,14690099,1.288,2.53%,52.205,766056844.10,94726
2017-12-06,49.87,51.269,49.095,51.01,19296322,0.928,1.86%,50.9173,973543710.66,104948
2017-12-05,49.45,51.90,48.25,50.08,21045742,0.309,0.62%,49.989,1064394589.10,124197
2017-12-04,52.06,52.34,49.27,49.77,19956122,-2.136,-4.12%,49.6796,1003769687.72,130934
2017-12-01,52.00,52.7154,50.371,51.91,16271762,-0.858,-1.63%,51.8157,841017555.65,110588
2017-11-30,53.71,53.755,52.33,52.77,14549690,-0.14,-0.26%,52.6741,770821173.61,88452
2017-11-29,56.86,57.06,51.59,52.91,25319760,-4.412,-7.71%,52.8139,1352796214.81,166657
2017-11-28,57.00,57.63,56.76,57.33,7878914,0.389,0.68%,57.2258,450971987.39,57529
2017-11-27,56.92,57.33,56.27,56.94,7962088,-0.968,-1.68%,56.8365,453701311.69,53305
2017-11-24,57.85,58.13,57.67,57.91,3703283,0.23,0.40%,57.8048,214354511.67,24698
2017-11-22,58.94,59.00,57.50,57.68,8302387,-1.018,-1.74%,57.5752,480512063.41,47480
2017-11-21,58.00,58.86,58.00,58.80,10199364,1.176,2.05%,58.5933,597774779.66,63938
2017-11-20,56.66,58.2199,56.66,57.62,14360173,1.126,2.00%,57.4175,827633262.91,78657
2017-11-17,60.46,60.89,56.085,56.49,27436497,-1.345,-2.33%,56.2914,1579845160.18,134298
2017-11-16,56.36,58.00,56.26,57.84,16712331,2.063,3.71%,57.6367,960725043.15,93524
2017-11-15,56.23,56.54,55.46,55.77,9612481,-0.648,-1.15%,55.574,537056945.78,62778
2017-11-14,56.83,56.90,55.80,56.42,9640841,-0.608,-1.07%,56.2217,543927418.21,59300
2017-11-13,56.40,57.09,56.10,57.03,9414477,0.668,1.19%,56.8295,534426579.11,53079
2017-11-10,55.65,56.51,55.31,56.36,7373087,0.877,1.59%,56.1619,413028573.67,50151
2017-11-09,56.48,56.58,54.8008,55.48,10258117,-1.435,-2.53%,55.285,569490731.25,69632
2017-11-08,56.49,57.13,56.22,56.92,7468240,0.448,0.80%,56.7199,423630484.59,44279
2017-11-07,56.38,57.21,56.31,56.47,8177438,0.14,0.25%,56.2715,463527008.96,48554
2017-11-06,56.69,56.72,55.70,56.33,7887713,-0.219,-0.39%,56.132,442642425.73,51525
2017-11-03,56.29,56.55,55.92,56.55,5566417,0.289,0.52%,56.3512,313403888.94,41541
2017-11-02,55.72,56.38,55.11,56.26,6545508,0.548,0.99%,56.0623,366124842.36,51759
2017-11-01,57.00,57.3408,55.20,55.71,10479942,-0.717,-1.28%,55.5142,588789456.69,68085
2017-10-31,56.05,56.68,55.69,56.43,7661511,0.528,0.95%,56.2317,431701827.21,45787
2017-10-30,56.50,56.60,55.58,55.90,7336197,-0.787,-1.39%,55.7035,410537420.95,50112
2017-10-27,56.26,56.82,55.50,56.69,10523573,0.757,1.36%,56.4907,591581224.99,67311
2017-10-26,55.67,56.43,55.59,55.93,8210468,0.628,1.14%,55.7334,460247480.30,49584
2017-10-25,56.29,56.38,54.571,55.30,13694570,-1.076,-1.92%,55.1056,758450711.49,69795
2017-10-24,56.61,56.66,55.86,56.38,7763858,0.01,0.02%,56.1818,436809177.26,42956
2017-10-23,56.49,56.73,55.80,56.37,11003932,0.279,0.50%,56.1719,620038655.44,57683
2017-10-20,55.84,56.235,55.73,56.09,10575253,0.757,1.37%,55.8928,592677945.72,52342
2017-10-19,54.70,55.34,54.15,55.33,7969205,-0.01,-0.02%,55.1355,437851066.04,50513
2017-10-18,55.29,55.61,54.67,55.34,9459402,0.209,0.38%,55.1455,521283447.07,58970
2017-10-17,54.97,55.28,54.28,55.13,10241702,0.09,0.16%,54.9362,562159986.73,68319
2017-10-16,54.28,55.09,54.28,55.04,9921082,1.096,2.04%,54.8465,543037913.69,60741
2017-10-13,53.60,54.045,53.237,53.94,10208344,0.628,1.18%,53.7504,549362889.86,59522
2017-10-12,53.15,54.13,53.04,53.31,12611372,0.08,0.15%,53.1226,676267899.04,76859
2017-10-11,52.39,53.375,52.30,53.23,7745998,0.638,1.22%,53.0429,410434244.80,48037
2017-10-10,53.05,53.07,51.79,52.59,8217204,-0.10,-0.19%,52.4052,430077092.97,57054
2017-10-09,52.69,53.0434,52.21,52.69,8762962,0.289,0.55%,52.5048,461002825.01,55186
2017-10-06,51.20,52.41,51.15,52.40,8509548,0.967,1.89%,52.2158,442504724.73,55237
2017-10-05,51.65,51.74,50.77,51.43,9337020,-0.169,-0.33%,51.2492,478355151.68,64225
2017-10-04,51.78,52.00,51.15,51.60,8294699,-0.239,-0.46%,51.4186,427894033.76,61199
2017-10-03,52.21,52.36,51.26,51.84,11304643,-0.239,-0.46%,51.6578,584781506.54,65436
2017-10-02,52.21,52.63,51.62,52.08,15636031,-0.01,-0.02%,51.8969,814797765.87,99039
2017-09-29,50.59,52.28,50.56,52.09,21008733,1.465,2.90%,51.9069,1083086027.83,128276
2017-09-28,48.92,50.88,48.65,50.62,22109112,1.774,3.64%,50.4421,1104973997.21,132550
2017-09-27,46.73,49.71,46.68,48.84,20364432,2.91,6.36%,48.6683,985518603.02,135935
2017-09-26,46.56,46.86,45.58,45.92,11086582,-0.409,-0.88%,45.7586,511218072.23,64701
2017-09-25,47.52,47.64,45.97,46.33,11445862,-1.435,-3.01%,46.1672,532346286.19,73848
2017-09-22,46.89,47.92,46.84,47.77,5867667,0.618,1.31%,47.6021,279577938.29,41824
2017-09-21,47.31,47.53,46.76,47.15,8533594,-0.13,-0.27%,46.9843,403058080.32,55217
2017-09-20,48.37,48.37,46.78,47.28,11021297,-0.977,-2.03%,47.1138,521855547.41,70564
2017-09-19,48.03,48.50,47.58,48.26,9384975,0.209,0.44%,48.0904,452445215.04,55034
2017-09-18,47.80,48.5272,47.74,48.05,11215511,0.907,1.93%,47.8811,539805281.01,65942
2017-09-15,46.97,47.69,46.87,47.14,13880440,0.09,0.19%,46.9743,656123679.45,65098
2017-09-14,45.98,47.36,45.78,47.05,12338916,0.927,2.02%,46.8846,580105227.04,74207
2017-09-13,46.10,46.42,45.53,46.12,7500510,0.468,1.03%,45.9579,346004054.18,50231
2017-09-12,45.84,46.02,45.37,45.65,7234426,0.07,0.15%,45.4895,330064457.41,46322
2017-09-11,44.89,45.79,44.85,45.58,8893042,1.226,2.77%,45.4198,404773076.22,50871
2017-09-08,45.20,45.25,44.12,44.35,8128854,-0.867,-1.92%,44.1941,362133528.05,46450
2017-09-07,44.94,45.40,44.59,45.22,8291534,0.488,1.10%,45.0611,374103657.95,54431
2017-09-06,44.70,44.955,44.21,44.73,12116667,0.249,0.56%,44.5728,541029840.47,46840
2017-09-05,44.63,44.96,43.87,44.48,9214780,-0.618,-1.37%,44.3237,409174943.29,55975
2017-09-01,45.19,45.2964,44.76,45.10,5307511,-0.02,-0.04%,44.9415,239274304.25,38319
2017-08-31,45.43,45.47,44.84,45.12,9213406,-0.349,-0.77%,44.9614,415952020.50,43667
2017-08-30,44.00,45.49,43.99,45.47,8797177,1.445,3.29%,45.3102,395986589.34,52814
2017-08-29,43.02,44.19,42.933,44.02,6768784,0.389,0.89%,43.8653,296708042.44,43348
2017-08-28,43.36,43.721,43.36,43.63,5545131,0.319,0.74%,43.4766,241718343.30,37361
2017-08-25,43.79,43.95,43.12,43.31,6385750,-0.409,-0.94%,43.1578,277766932.04,42361
2017-08-24,44.30,44.31,43.25,43.72,9252991,-0.299,-0.68%,43.5663,404408134.15,53842
2017-08-23,44.20,44.20,43.83,44.02,8480893,-0.428,-0.97%,43.8653,373338857.95,50754
2017-08-22,43.62,44.53,43.61,44.45,8664516,1.236,2.87%,44.2938,383561799.37,52564
2017-08-21,44.11,44.26,43.0211,43.31,14374518,-0.984,-2.23%,43.0581,623841115.38,76867
2017-08-18,44.77,45.25,43.66,44.30,20996205,1.173,2.74%,44.0424,930484659.74,98752
2017-08-17,44.33,44.40,43.00,43.12,14283433,-1.332,-3.01%,42.8692,620814474.87,82268
2017-08-16,44.35,44.616,43.76,44.46,8490601,0.577,1.32%,44.2014,375743897.22,54443
2017-08-15,43.85,44.35,43.60,43.88,6250208,0.099,0.23%,43.6248,274377849.74,41933
2017-08-14,43.70,44.24,43.59,43.78,9764788,0.696,1.62%,43.5254,427721228.01,55330
2017-08-11,42.03,43.14,41.98,43.08,10761599,1.044,2.50%,42.8295,461155007.23,55554
2017-08-10,43.37,43.58,41.94,42.03,11299315,-1.77,-4.06%,41.7856,480443427.51,73887
2017-08-09,43.39,44.025,43.06,43.81,5634688,-0.089,-0.21%,43.5552,245972291.80,38437
2017-08-08,44.04,44.52,43.73,43.90,9798285,-0.06,-0.14%,43.6447,432039690.02,57202
2017-08-07,42.86,44.045,42.85,43.96,7758354,1.133,2.66%,43.7043,338909535.49,46762
2017-08-04,42.85,43.14,42.36,42.82,7510942,0.119,0.28%,42.571,321203654.54,42046
2017-08-03,42.70,43.115,42.31,42.70,11475763,-0.03,-0.07%,42.4517,489237482.40,72501
2017-08-02,44.35,44.44,42.51,42.73,15631985,-1.362,-3.11%,42.4815,671620825.96,93672
2017-08-01,44.39,44.79,44.015,44.10,9452283,-0.209,-0.47%,43.8435,418292579.07,57294
2017-07-31,45.43,45.48,44.01,44.31,11121273,-0.935,-2.08%,44.0523,495407192.78,66119
2017-07-28,45.90,46.00,44.91,45.25,9584336,-0.785,-1.72%,44.9868,434071328.35,58950
2017-07-27,47.50,47.59,45.30,46.04,17026585,-1.402,-2.97%,45.7722,791298874.66,112199
2017-07-26,46.61,47.47,46.52,47.45,9161265,1.044,2.26%,47.174,432089497.15,49162
2017-07-25,46.63,46.665,45.85,46.40,7271894,-0.378,-0.81%,46.1301,337502278.97,45287
2017-07-24,46.68,47.02,46.56,46.78,8495499,-0.03,-0.06%,46.5079,397468360.30,42495
2017-07-21,46.78,47.00,46.23,46.81,7539498,-0.437,-0.93%,46.5378,351494359.78,41372
2017-07-20,47.11,47.34,46.37,47.25,8782346,0.07,0.15%,46.9752,413097474.65,43883
2017-07-19,46.90,47.21,46.7446,47.18,9533910,0.557,1.20%,46.9056,448262196.05,50960
2017-07-18,46.02,46.63,45.68,46.62,6594152,0.467,1.02%,46.3489,305340836.78,37035
2017-07-17,46.20,46.45,45.68,46.15,7679902,0.03,0.07%,45.8816,353605942.82,48802
2017-07-14,45.38,46.13,45.35,46.12,8085735,0.815,1.81%,45.8518,370405563.60,47735
2017-07-13,45.28,45.6569,44.9915,45.30,9036082,0.02,0.04%,45.0365,409075558.56,56378
2017-07-12,45.68,45.98,44.84,45.28,10395825,-0.119,-0.26%,45.0167,471120492.35,64087
2017-07-11,44.21,45.50,44.04,45.40,13527360,1.183,2.69%,45.136,608703022.51,82008
2017-07-10,43.60,44.50,43.51,44.21,10357926,0.666,1.54%,43.9529,456819007.78,66010
2017-07-07,42.36,43.795,42.36,43.54,10748709,1.422,3.40%,43.2868,466185525.65,65577
2017-07-06,41.72,42.59,41.56,42.11,11934214,-0.01,-0.02%,41.8651,502984419.48,86941
2017-07-05,41.28,42.23,41.25,42.12,10942496,1.104,2.71%,41.875,458489367.78,72135
2017-07-03,41.33,41.96,40.98,41.01,6519489,-0.298,-0.73%,40.7715,269731659.41,43172
2017-06-30,41.81,42.02,41.09,41.31,10044092,-0.129,-0.31%,41.0697,416751353.55,56092
2017-06-29,42.35,42.46,40.79,41.44,12362485,-1.243,-2.93%,41.199,512885703.62,83446
2017-06-28,41.90,42.775,41.42,42.69,14308333,0.795,1.91%,42.4417,605119720.40,81423
