date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,78.81,78.87,78.11,78.35,969208,-0.44,-0.56%,78.35,76000855.29,8034
2018-03-09,77.80,78.81,77.57,78.79,778914,1.54,1.99%,78.79,61099929.51,9367
2018-03-08,76.75,77.28,76.35,77.25,849013,0.73,0.95%,77.25,65185396.16,8400
2018-03-07,75.28,76.68,74.29,76.52,1322219,0.41,0.54%,76.52,100583238.19,11424
2018-03-06,75.53,76.125,74.78,76.11,1074018,0.91,1.21%,76.11,81242655.65,9311
2018-03-05,73.97,75.49,73.605,75.20,935073,0.68,0.91%,75.20,70073263.49,8646
2018-03-02,73.56,74.70,73.191,74.52,997209,0.34,0.46%,74.52,73889688.69,9438
2018-03-01,75.75,75.88,73.73,74.18,985410,-1.56,-2.06%,74.18,73516897.36,9414
2018-02-28,77.88,78.02,75.71,75.74,1494130,-1.94,-2.50%,75.74,114262157.39,13693
2018-02-27,78.35,79.10,77.67,77.68,1054111,-0.72,-0.92%,77.68,82550013.93,9971
2018-02-26,77.19,78.62,76.95,78.40,1271641,1.64,2.14%,78.40,99313422.50,8443
2018-02-23,76.89,77.05,75.90,76.76,1005961,0.29,0.38%,76.76,76961409.46,5813
2018-02-22,76.49,77.135,76.29,76.47,744574,0.12,0.16%,76.47,57038007.13,7152
2018-02-21,75.82,77.11,75.82,76.35,1261520,0.63,0.83%,76.35,96738726.41,11141
2018-02-20,76.14,77.06,75.64,75.72,1143845,-0.83,-1.08%,75.72,86978497.68,10783
2018-02-16,75.56,76.94,75.42,76.55,1391067,0.71,0.94%,76.55,106418606.38,11450
2018-02-15,75.35,75.87,74.55,75.84,1162046,1.13,1.51%,75.84,87600110.27,8133
2018-02-14,74.05,74.87,73.84,74.71,902150,0.29,0.39%,74.71,67115112.75,8500
2018-02-13,73.86,74.56,73.51,74.42,981307,0.42,0.57%,74.42,72766603.81,8637
2018-02-12,73.05,74.33,72.64,74.00,1739764,1.70,2.35%,74.00,128088308.19,14757
2018-02-09,72.73,72.92,71.16,72.30,2040009,0.25,0.35%,72.30,147006849.08,17151
2018-02-08,74.13,74.49,72.01,72.05,1594486,-2.11,-2.85%,72.05,116438343.08,14151
2018-02-07,74.25,75.00,74.10,74.16,1569087,-0.55,-0.74%,74.16,117065305.31,15144
2018-02-06,72.41,75.32,71.585,74.71,2698939,0.81,1.10%,74.71,199572337.23,20754
2018-02-05,76.78,77.46,73.88,73.90,2557551,-3.35,-4.34%,73.90,192279737.90,15744
2018-02-02,77.84,78.37,77.16,77.25,1949820,-0.66,-0.85%,77.25,151166378.09,16915
2018-02-01,77.31,78.51,76.15,77.91,1625763,1.61,2.11%,77.91,126542196.29,13836
2018-01-31,76.74,77.24,75.93,76.30,1612107,-0.25,-0.33%,76.30,123121151.28,14792
2018-01-30,77.33,77.90,76.55,76.55,1638371,-0.94,-1.21%,76.55,125889647.32,11174
2018-01-29,77.74,78.155,77.47,77.49,1029675,-0.59,-0.76%,77.49,79969080.77,7303
2018-01-26,77.37,78.09,76.78,78.08,775336,1.10,1.43%,78.08,60296061.01,6923
2018-01-25,77.37,77.5408,76.38,76.98,695201,0.08,0.10%,76.98,53416261.04,5719
2018-01-24,77.13,77.35,76.10,76.90,806871,-0.10,-0.13%,76.90,61989843.83,5820
2018-01-23,76.48,77.38,76.35,77.00,823500,0.50,0.65%,77.00,63443623.37,6887
2018-01-22,76.80,76.94,76.10,76.50,792259,-0.48,-0.62%,76.50,60504506.10,7478
2018-01-19,76.41,77.32,76.41,76.98,1649683,0.91,1.20%,76.98,126841712.38,11637
