date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,232.20,232.73,229.25,229.86,1961969,-2.94,-1.26%,229.86,451355376.99,15587
2018-03-09,230.44,233.29,228.20,232.80,1957225,4.01,1.75%,232.80,453405494.22,15341
2018-03-08,231.99,232.135,227.36,228.79,1998743,-2.32,-1.00%,228.79,458158326.40,16576
2018-03-07,230.64,232.16,229.99,231.86,972972,-0.887,-0.38%,231.1099,225362439.61,10370
2018-03-06,232.31,233.39,230.05,232.75,991771,0.708,0.31%,231.9971,230046170.90,12389
2018-03-05,231.83,232.91,228.44,232.04,1244494,-1.037,-0.45%,231.2894,287725249.35,13931
2018-03-02,230.88,233.77,229.31,233.08,989788,1.037,0.45%,232.326,229367713.52,12599
2018-03-01,234.65,236.645,229.30,232.04,1498414,-3.329,-1.42%,231.2894,348505648.84,17572
2018-02-28,237.47,239.69,235.34,235.38,1593652,-1.824,-0.77%,234.6185,377562310.63,13227
2018-02-27,238.88,240.77,237.04,237.21,1341496,-1.007,-0.42%,236.4426,319876559.29,14903
2018-02-26,235.43,238.66,234.35,238.22,974303,2.97,1.27%,237.4494,231471065.06,10934
2018-02-23,234.98,235.56,232.83,235.24,1052677,1.555,0.67%,234.479,246879579.76,12544
2018-02-22,233.27,235.17,232.00,233.68,1023480,1.645,0.71%,232.924,239054535.76,12184
2018-02-21,233.00,235.44,232.00,232.03,967000,-0.189,-0.08%,231.2794,225644614.03,11845
2018-02-20,233.28,234.85,231.62,232.22,998789,-2.791,-1.19%,231.4688,232623567.30,11593
2018-02-16,231.36,236.30,231.36,235.02,1086638,2.95,1.28%,234.2597,254965022.93,11681
2018-02-15,237.10,237.10,229.331,232.06,1532815,-2.95,-1.26%,231.3093,354773183.22,16492
2018-02-14,231.71,235.73,231.46,235.02,1500188,1.565,0.67%,234.2597,351631027.57,14731
2018-02-13,230.83,234.83,229.36,233.45,1397867,0.678,0.29%,232.6948,324027400.41,16041
2018-02-12,232.68,234.45,230.46,232.77,1790861,1.057,0.46%,232.017,416619427.29,18238
2018-02-09,232.29,233.43,225.34,231.71,2597160,1.136,0.49%,230.9604,595172909.55,30386
2018-02-08,238.02,240.25,230.42,230.57,2362384,-7.845,-3.30%,229.8241,554824514.52,28239
2018-02-07,233.88,240.68,232.71,238.44,2312331,3.598,1.54%,237.6686,552003164.13,27226
2018-02-06,225.82,236.35,224.61,234.83,2347075,4.366,1.90%,234.0703,543630778.92,31205
2018-02-05,238.11,239.665,227.81,230.45,2016395,-8.702,-3.65%,229.7045,471207185.71,26170
2018-02-02,242.05,243.84,238.62,239.18,1380018,-4.735,-1.95%,238.4063,332158737.69,16879
2018-02-01,247.42,248.92,241.91,243.93,2001670,-3.907,-1.58%,243.1409,489401651.44,19689
2018-01-31,260.21,267.95,244.82,247.85,4063338,4.396,1.81%,247.0482,1017876493.94,38505
2018-01-30,243.81,249.47,239.48,243.44,4527895,-13.536,-5.28%,242.6525,1104875652.27,32564
2018-01-29,256.69,259.04,256.07,257.02,1975854,-1.166,-0.45%,256.1885,508855507.65,16149
2018-01-26,251.35,258.53,250.11,258.19,1213291,6.818,2.72%,257.3548,310163848.84,12990
2018-01-25,252.91,254.407,250.22,251.35,1075777,-1.635,-0.65%,250.5369,270416563.78,10441
2018-01-24,251.09,253.87,250.05,252.99,1472839,2.482,0.99%,252.1716,371858833.81,14466
2018-01-23,250.47,250.68,248.71,250.50,1007294,0.00,0.00%,249.6896,251691803.36,11964
2018-01-22,250.15,250.91,248.00,250.50,1267381,0.439,0.18%,249.6896,316943597.50,13172
2018-01-19,250.65,250.68,249.345,250.06,1523463,0.409,0.16%,249.2511,380973068.83,12052
2018-01-18,250.25,250.25,247.01,249.65,1205673,0.498,0.20%,248.8424,300553243.52,13032
2018-01-17,243.01,250.04,242.16,249.15,1712364,7.376,3.06%,248.344,424456623.85,19347
2018-01-16,241.20,243.805,240.58,241.75,1513841,1.924,0.80%,240.9679,366615416.06,14767
2018-01-12,239.13,240.40,237.57,239.82,1916549,4.804,2.05%,239.0442,458418594.44,18041
2018-01-11,234.00,237.00,233.90,235.00,1520365,1.106,0.47%,234.2398,358431879.35,13914
2018-01-10,233.07,234.77,232.07,233.89,851162,-0.768,-0.33%,233.1334,198496737.36,8940
2018-01-09,231.82,235.47,231.01,234.66,1777122,2.831,1.23%,233.9009,414630449.20,15494
2018-01-08,233.49,233.49,230.725,231.82,1630822,-2.512,-1.08%,231.0701,377912037.34,12318
2018-01-05,230.19,234.54,229.88,234.34,1427607,4.117,1.79%,233.5819,333021539.56,12317
2018-01-04,229.60,231.41,228.86,230.21,1062980,1.057,0.46%,229.4653,244648959.67,11706
2018-01-03,227.87,229.545,225.06,229.15,1302278,3.14,1.39%,228.4087,297639802.89,14238
2018-01-02,225.00,226.60,223.75,226.00,1291425,0.987,0.44%,225.2689,291371853.48,11088
2017-12-29,227.81,228.4999,224.80,225.01,857906,-2.023,-0.89%,224.2821,193528272.26,6484
2017-12-28,226.20,227.39,225.00,227.04,703418,1.794,0.80%,226.3055,159455713.35,8786
2017-12-27,226.21,226.34,224.12,225.24,1237411,-0.189,-0.08%,224.5113,278474647.10,9205
2017-12-26,225.67,226.93,225.01,225.43,441253,-0.169,-0.08%,224.7007,99648761.12,6369
2017-12-22,226.01,226.82,223.6684,225.60,1215518,0.518,0.23%,224.8702,273095688.61,10216
2017-12-21,228.11,228.86,224.96,225.08,934743,-2.831,-1.25%,224.3519,211186229.87,10263
2017-12-20,228.96,231.18,227.78,227.92,1109883,-0.07,-0.03%,227.1827,254476000.89,12290
2017-12-19,226.85,229.12,225.45,227.99,1134317,0.967,0.43%,227.2525,258530002.91,12373
2017-12-18,228.73,229.42,224.54,227.02,1441532,0.807,0.36%,226.2856,326574644.77,13023
2017-12-15,227.16,229.08,225.76,226.21,3398367,-0.907,-0.40%,225.4782,769785834.93,17895
2017-12-14,231.855,232.53,226.12,227.12,1937513,-4.924,-2.13%,226.3853,441825262.30,18310
2017-12-13,229.74,232.95,228.36,232.06,2604697,3.299,1.45%,231.3093,602732767.21,19932
2017-12-12,226.16,229.09,225.13,228.75,2179499,2.721,1.21%,228.01,497081597.46,15602
2017-12-11,225.60,227.68,225.08,226.02,1401901,1.166,0.52%,225.2888,316744939.96,13063
