date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,148.20,148.44,145.58,146.31,1019716,-1.72,-1.16%,146.31,149435935.20,10271
2018-03-09,145.00,148.16,144.98,148.03,1489346,3.80,2.63%,148.03,219528176.59,14202
2018-03-08,143.00,144.75,142.305,144.23,791647,1.74,1.22%,144.23,113720435.12,8267
2018-03-07,140.99,142.92,140.69,142.49,891099,0.32,0.23%,142.49,126790841.03,9842
2018-03-06,141.42,142.26,139.19,142.17,1007314,0.79,0.56%,142.17,142101624.81,11779
2018-03-05,137.79,141.97,136.63,141.38,1136518,2.89,2.09%,141.38,159916096.19,10419
2018-03-02,136.82,138.68,136.30,138.49,819714,1.04,0.76%,138.49,112810564.53,9624
2018-03-01,140.12,141.16,137.00,137.45,1174275,-2.87,-2.05%,137.45,162692842.08,14273
2018-02-28,143.01,144.27,140.28,140.32,1811011,-2.14,-1.50%,140.32,256516341.08,12948
2018-02-27,142.94,144.31,142.42,142.46,1360612,-0.84,-0.59%,142.46,194633219.95,14689
2018-02-26,142.38,143.32,141.52,143.30,996950,1.39,0.98%,143.30,142168257.25,10016
2018-02-23,139.72,142.04,138.41,141.91,1080638,2.79,2.01%,141.91,152217950.06,7696
2018-02-22,139.93,140.01,137.70,139.12,1482850,-0.25,-0.18%,139.12,205859335.21,15661
2018-02-21,140.63,142.06,139.325,139.37,1099456,-1.35,-0.96%,139.37,154717020.54,10931
2018-02-20,140.23,141.98,139.89,140.72,941118,-0.14,-0.10%,140.72,132527871.61,9120
2018-02-16,140.36,141.65,139.79,140.86,1240956,-0.03,-0.02%,140.86,174814462.00,11570
2018-02-15,140.46,141.32,139.87,140.89,1292299,0.92,0.66%,140.89,181576259.54,12421
2018-02-14,138.79,140.60,138.20,139.97,1611245,0.74,0.53%,139.97,225056653.71,15640
2018-02-13,139.03,139.8858,137.92,139.23,1196625,-0.73,-0.52%,139.23,166538257.29,12739
2018-02-12,138.75,140.97,138.29,139.96,1422535,2.05,1.49%,139.96,198971600.68,13909
2018-02-09,137.50,138.80,134.79,137.91,2396733,1.86,1.37%,137.91,328817411.17,23345
2018-02-08,140.28,141.16,135.93,136.05,2089622,-4.50,-3.20%,136.05,289313979.23,22155
2018-02-07,139.65,142.63,139.35,140.55,1959934,0.63,0.45%,140.55,276889272.10,20637
2018-02-06,137.63,140.36,135.49,139.92,3317906,-0.42,-0.30%,139.92,458802679.42,34200
2018-02-05,143.54,144.99,139.77,140.34,2567809,-3.25,-2.26%,140.34,364462245.17,26209
2018-02-02,143.21,147.98,140.63,143.59,2229826,-0.89,-0.62%,143.59,322510230.17,18454
2018-02-01,142.00,144.57,140.96,144.48,1374383,2.31,1.62%,144.48,197222698.82,14503
2018-01-31,141.39,142.97,140.79,142.17,1846205,0.78,0.55%,142.17,262405098.91,17765
2018-01-30,142.17,143.375,141.09,141.75,1463458,-0.589,-0.41%,141.39,207693034.45,12230
2018-01-29,142.95,143.24,141.38,142.34,1157936,-1.127,-0.79%,141.9785,164825682.00,12639
2018-01-26,140.05,143.48,139.55,143.47,1184563,3.91,2.81%,143.1056,168968263.68,11936
2018-01-25,138.85,139.98,138.17,139.55,1183654,0.718,0.52%,139.1955,165010474.63,10455
2018-01-24,137.84,139.26,136.50,138.83,1209522,1.406,1.03%,138.4774,167119572.49,13469
2018-01-23,135.87,138.68,135.67,137.42,1063309,1.436,1.06%,137.071,146290968.79,11770
2018-01-22,135.20,136.17,134.77,135.98,1136856,0.798,0.59%,135.6346,154343385.85,10463
2018-01-19,135.64,135.83,134.38,135.18,1301523,0.10,0.07%,134.8366,175847992.92,9831
2018-01-18,136.07,136.08,133.41,135.08,1132123,-1.416,-1.04%,134.7369,152535812.37,11545
2018-01-17,135.15,136.98,134.88,136.50,1040415,1.955,1.46%,136.1533,141918079.62,10796
2018-01-16,136.39,136.75,134.29,134.54,1265477,-2.005,-1.47%,134.1983,171025113.87,13130
2018-01-12,135.89,137.29,134.61,136.55,905682,1.277,0.95%,136.2032,123605255.91,9462
2018-01-11,136.51,136.62,134.92,135.27,737133,-1.386,-1.02%,134.9264,99788809.33,10263
