date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,66.85,66.85,66.10,66.28,657012,-0.21,-0.32%,66.28,43647318.93,6371
2018-03-09,65.00,66.60,64.73,66.49,758849,1.95,3.02%,66.49,50198101.15,6732
2018-03-08,64.06,64.81,63.84,64.54,1204265,0.52,0.81%,64.54,77344453.11,8736
2018-03-07,62.48,64.15,62.48,64.02,802129,0.74,1.17%,64.02,51055233.31,7208
2018-03-06,63.00,63.46,62.77,63.28,965955,0.47,0.75%,63.28,61030139.05,8928
2018-03-05,61.50,63.03,61.40,62.81,947220,0.93,1.50%,62.81,59282478.85,6824
2018-03-02,61.56,62.18,60.73,61.88,1064376,-0.18,-0.29%,61.88,65680255.56,10138
2018-03-01,64.19,64.21,61.40,62.06,1521761,-2.13,-3.32%,62.06,95172122.96,14508
2018-02-28,65.65,65.91,64.19,64.19,1150345,-1.20,-1.84%,64.19,74706331.93,8718
2018-02-27,66.42,66.769,65.38,65.39,1038097,-0.84,-1.27%,65.39,68318687.50,8880
2018-02-26,66.56,66.65,65.77,66.23,906016,-0.18,-0.27%,66.23,60015570.75,7850
2018-02-23,66.16,66.58,65.68,66.41,751671,0.85,1.30%,66.41,49736536.66,7649
2018-02-22,65.62,66.30,65.16,65.56,772949,0.18,0.28%,65.56,50798340.45,8006
2018-02-21,65.34,66.89,65.32,65.38,1026258,-0.06,-0.09%,65.38,67739071.63,9774
2018-02-20,65.10,66.07,65.07,65.44,1214174,-0.10,-0.15%,65.44,79515106.65,12392
2018-02-16,64.98,66.37,64.98,65.54,1723921,0.31,0.48%,65.54,113398378.70,14912
2018-02-15,64.44,65.26,63.965,65.23,1186672,1.17,1.83%,65.23,76761358.10,10391
2018-02-14,62.27,64.13,62.04,64.06,939111,1.33,2.12%,64.06,59581259.74,7828
2018-02-13,61.76,62.89,61.42,62.73,773892,0.75,1.21%,62.73,48325138.02,7791
2018-02-12,61.58,62.53,60.99,61.98,1063604,1.02,1.67%,61.98,65861555.81,9465
2018-02-09,60.89,61.51,58.71,60.96,1271778,0.72,1.20%,60.96,76783772.26,12364
2018-02-08,62.76,62.825,60.22,60.24,1237492,-2.48,-3.95%,60.24,75777898.11,11317
2018-02-07,62.16,63.86,62.13,62.72,1155280,0.40,0.64%,62.72,72912352.53,8878
2018-02-06,60.30,62.71,59.50,62.32,2007185,0.76,1.23%,62.32,123951072.23,17174
2018-02-05,64.29,64.74,61.45,61.56,1560335,-3.08,-4.76%,61.56,98101305.66,14359
2018-02-02,66.16,66.40,64.63,64.64,1005986,-2.15,-3.22%,64.64,65626615.37,9141
2018-02-01,66.99,68.12,66.34,66.79,1481479,0.01,0.01%,66.79,99520939.97,13262
2018-01-31,67.16,67.44,66.33,66.78,4651935,0.36,0.54%,66.78,310490103.35,14295
2018-01-30,64.20,67.07,63.00,66.42,2342707,-0.22,-0.33%,66.42,154916926.08,21704
2018-01-29,67.84,68.39,66.78,66.82,1373455,-1.017,-1.50%,66.64,92348544.47,13957
2018-01-26,67.72,68.12,67.20,67.84,1310565,0.439,0.65%,67.6572,88544807.98,8405
2018-01-25,67.05,67.81,66.92,67.40,1418651,0.598,0.90%,67.2184,95545652.58,11198
2018-01-24,67.16,67.649,66.46,66.80,900702,0.00,0.00%,66.62,60190735.18,7988
2018-01-23,66.89,67.19,66.37,66.80,655594,-0.199,-0.30%,66.62,43758810.78,6234
2018-01-22,67.03,67.065,66.42,67.00,929272,-0.04,-0.06%,66.8195,62112360.20,8519
2018-01-19,66.18,67.05,65.95,67.04,635213,1.127,1.71%,66.8594,42355057.64,5387
2018-01-18,65.43,66.11,65.43,65.91,507710,0.319,0.49%,65.7324,33431321.01,4642
2018-01-17,65.47,65.76,64.99,65.59,677984,0.519,0.80%,65.4133,44440288.45,6153
2018-01-16,65.69,66.19,64.83,65.07,1003245,-0.249,-0.38%,64.8947,65706750.75,8324
2018-01-12,64.88,65.37,64.65,65.32,856560,0.568,0.88%,65.144,55828562.74,8646
2018-01-11,63.61,64.77,63.57,64.75,558679,1.336,2.11%,64.5756,35934398.09,5762
2018-01-10,63.12,63.70,63.00,63.41,634427,0.17,0.27%,63.2392,40248683.31,7283
2018-01-09,63.32,63.655,63.15,63.24,526384,-0.05,-0.08%,63.0696,33365437.81,5425
2018-01-08,62.88,63.40,62.60,63.29,572328,0.299,0.48%,63.1195,36188891.80,4849
2018-01-05,62.41,63.00,62.3704,62.99,619430,0.798,1.29%,62.8203,38878462.01,6331
2018-01-04,62.00,62.40,61.82,62.19,934479,0.289,0.47%,62.0225,58102454.12,7591
