date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,35.41,35.88,35.22,35.41,3036793,0.09,0.25%,35.41,107642146.46,23660
2018-03-09,35.29,35.69,35.135,35.32,3409316,0.35,1.00%,35.32,120451635.45,26248
2018-03-08,34.75,35.09,34.54,34.97,3900002,0.32,0.92%,34.97,136083701.89,30854
2018-03-07,34.80,35.45,34.45,34.65,5018704,-0.71,-2.01%,34.65,174615848.57,35094
2018-03-06,35.58,35.68,35.02,35.36,4726929,0.15,0.43%,35.36,167148454.22,37083
2018-03-05,34.44,35.565,34.44,35.21,3579761,0.43,1.24%,35.21,126247012.35,28463
2018-03-02,33.92,34.84,33.60,34.78,4532539,0.51,1.49%,34.78,155195966.51,30865
2018-03-01,34.24,34.75,33.90,34.27,5861904,0.12,0.35%,34.27,201582050.53,39316
2018-02-28,35.00,35.26,34.04,34.15,8278809,-0.65,-1.87%,34.15,286176471.73,41532
2018-02-27,35.89,36.47,34.79,34.80,5756560,-1.18,-3.28%,34.80,203949083.65,40273
2018-02-26,36.39,36.71,35.65,35.98,5468084,-0.15,-0.42%,35.98,196984488.99,36351
2018-02-23,35.00,36.285,34.80,36.13,8077559,1.28,3.67%,36.13,288917338.71,49271
2018-02-22,38.25,38.4399,34.50,34.85,13587409,-2.35,-6.32%,34.85,481616731.39,81831
2018-02-21,38.02,38.19,37.05,37.20,6918395,-1.10,-2.87%,37.20,258991403.65,47162
2018-02-20,38.29,38.74,38.04,38.30,3073146,0.19,0.50%,38.30,117752269.39,24439
2018-02-16,37.76,38.74,37.42,38.11,4157701,0.01,0.03%,38.11,158666821.69,23510
2018-02-15,38.44,38.45,37.09,38.10,4033576,-0.10,-0.26%,38.10,152454446.21,30222
2018-02-14,37.00,38.40,36.88,38.20,4485517,0.50,1.33%,38.20,169854166.71,33381
2018-02-13,37.70,37.95,37.30,37.70,4334097,-0.41,-1.08%,37.70,163095125.65,33147
2018-02-12,37.70,38.45,36.68,38.11,5521996,0.88,2.36%,38.11,208472908.95,42329
2018-02-09,38.16,38.50,35.70,37.23,5896142,-0.50,-1.33%,37.23,217721086.90,44353
2018-02-08,39.68,40.074,37.72,37.73,5190142,-1.82,-4.60%,37.73,199616821.40,38358
2018-02-07,41.18,41.9722,39.33,39.55,5675382,-1.57,-3.82%,39.55,228416883.69,39341
2018-02-06,40.03,41.73,39.65,41.12,5749211,0.19,0.46%,41.12,234803831.16,46093
2018-02-05,42.02,42.93,40.71,40.93,4051871,-1.89,-4.41%,40.93,168549993.23,32679
2018-02-02,44.00,44.20,42.34,42.82,5153633,-1.87,-4.18%,42.82,221048688.67,34279
2018-02-01,45.02,45.355,44.37,44.69,3981392,-0.18,-0.40%,44.69,178183842.65,29649
2018-01-31,44.64,45.48,44.48,44.87,5031882,0.30,0.67%,44.87,226170158.93,35437
2018-01-30,45.80,46.00,44.22,44.57,5887464,-2.08,-4.46%,44.57,263475317.93,36476
2018-01-29,47.69,47.95,46.58,46.65,3180804,-1.43,-2.97%,46.65,150064839.47,22619
2018-01-26,47.62,48.09,47.21,48.08,3132470,0.63,1.33%,48.08,149873327.87,20883
2018-01-25,48.65,48.97,47.42,47.45,4112204,-0.67,-1.39%,47.45,197194619.75,29716
2018-01-24,47.87,48.80,47.47,48.12,5617061,0.35,0.73%,48.12,270512905.73,35978
2018-01-23,47.99,48.32,46.82,47.77,4447401,0.11,0.23%,47.77,211407998.17,29224
