date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,92.34,93.07,91.1825,91.45,750269,-0.82,-0.89%,91.45,68876401.81,6295
2018-03-09,90.77,92.45,90.52,92.27,1147232,2.57,2.87%,92.27,105331489.63,9123
2018-03-08,89.69,90.03,88.89,89.70,916725,0.28,0.31%,89.70,82171092.74,8473
2018-03-07,89.02,89.66,88.37,89.42,1678217,-0.53,-0.59%,89.42,149613985.35,17440
2018-03-06,89.43,90.68,88.61,89.95,1384863,1.13,1.27%,89.95,124185578.70,13362
2018-03-05,88.03,89.28,87.37,88.82,2155421,0.21,0.24%,88.82,190840281.29,15823
2018-03-02,87.06,89.19,86.91,88.61,1752778,0.84,0.96%,88.61,154951005.31,17387
2018-03-01,91.12,91.475,86.51,87.77,2284442,-3.56,-3.90%,87.77,201574570.35,23339
2018-02-28,92.99,93.16,91.29,91.33,1245356,-1.29,-1.39%,91.33,114783237.09,9431
2018-02-27,94.73,94.91,92.60,92.62,1021610,-2.10,-2.22%,92.62,95582305.63,10071
2018-02-26,93.82,94.79,93.05,94.72,859820,1.66,1.78%,94.72,81006193.29,8447
2018-02-23,93.21,93.78,92.21,93.06,862063,0.12,0.13%,93.06,79985091.33,7204
2018-02-22,93.23,93.86,92.29,92.94,970073,0.39,0.42%,92.94,90296276.78,10067
2018-02-21,92.31,94.15,91.7601,92.55,1073823,0.21,0.23%,92.55,99937572.12,9129
2018-02-20,91.74,93.40,91.74,92.34,1456082,-0.06,-0.06%,92.34,134681837.84,12951
2018-02-16,92.65,93.90,92.37,92.40,1154629,-0.93,-1.00%,92.40,107265388.57,10029
2018-02-15,93.52,93.65,91.64,93.33,1327931,0.64,0.69%,93.33,123281411.77,13430
2018-02-14,90.16,92.93,89.91,92.69,1675917,1.92,2.12%,92.69,153476813.63,15845
2018-02-13,90.76,91.99,90.28,90.77,1036393,-0.67,-0.73%,90.77,94159198.70,10056
2018-02-12,89.25,92.30,88.64,91.44,1973202,2.88,3.25%,91.44,179652796.50,18867
2018-02-09,90.30,90.69,86.18,88.56,3252030,-0.71,-0.80%,88.56,286510080.39,28778
2018-02-08,93.43,93.80,89.24,89.27,2706723,-4.42,-4.72%,89.27,246689748.97,26602
2018-02-07,92.53,95.345,92.2395,93.69,1868427,1.09,1.18%,93.69,175672802.45,19944
2018-02-06,89.81,93.39,88.91,92.60,3273314,1.46,1.60%,92.60,300532025.42,31340
2018-02-05,93.88,95.625,91.01,91.14,2658375,-3.07,-3.26%,91.14,248168988.05,24286
2018-02-02,95.80,95.985,94.11,94.21,2546866,-1.59,-1.66%,94.21,241893447.58,21745
2018-02-01,90.83,96.91,90.80,96.02,2753387,1.137,1.20%,95.80,262899852.96,24639
2018-01-31,95.26,95.97,94.14,94.88,3162947,0.249,0.26%,94.6626,301158148.28,22968
2018-01-30,94.41,95.27,93.99,94.63,1490160,-0.259,-0.27%,94.4132,140995501.40,11637
2018-01-29,95.23,95.47,94.16,94.89,3313098,0.409,0.43%,94.6726,314199782.47,17050
2018-01-26,93.17,94.74,92.75,94.48,2662855,1.985,2.15%,94.2635,250707188.46,13930
2018-01-25,94.00,94.34,92.07,92.49,1851534,-1.048,-1.12%,92.2781,171873842.66,12567
2018-01-24,93.71,94.69,92.87,93.54,1944175,0.708,0.76%,93.3257,182232494.01,15192
2018-01-23,93.23,93.55,92.32,92.83,1489794,-0.718,-0.77%,92.6173,138279604.15,11491
2018-01-22,94.09,94.38,92.18,93.55,1893389,0.03,0.03%,93.3357,176482118.43,15623
2018-01-19,93.47,94.04,92.74,93.52,2515335,0.419,0.45%,93.3057,234948055.12,17295
2018-01-18,93.92,94.00,92.45,93.10,1450126,-0.459,-0.49%,92.8867,134980518.12,11379
2018-01-17,92.38,94.18,91.93,93.56,2119459,0.998,1.08%,93.3457,198075708.86,14588
2018-01-16,93.96,94.02,92.19,92.56,2331889,-0.349,-0.38%,92.3479,217006532.42,16222
2018-01-12,92.33,93.2931,92.06,92.91,1401989,0.848,0.92%,92.6971,130032526.78,11504
2018-01-11,90.56,92.27,90.14,92.06,2031599,1.596,1.77%,91.8491,186151682.29,12150
2018-01-10,92.19,92.44,90.18,90.46,2333864,-2.285,-2.47%,90.2528,212079108.55,16845
2018-01-09,92.29,93.69,92.23,92.75,2765617,0.818,0.89%,92.5375,257269264.68,19867
