date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,125.95,126.55,125.47,126.03,714545,0.05,0.04%,126.03,90054044.90,5941
2018-03-09,126.27,126.42,124.51,125.98,471960,0.34,0.27%,125.98,59260368.01,5355
2018-03-08,126.16,126.40,124.88,125.64,388090,-0.14,-0.11%,125.64,48686778.84,5365
2018-03-07,124.96,126.24,124.75,125.78,470484,0.37,0.30%,125.78,59159608.07,5327
2018-03-06,124.91,125.76,123.18,125.41,589452,0.42,0.34%,125.41,73491967.01,7078
2018-03-05,122.77,125.825,122.52,124.99,618839,1.50,1.21%,124.99,77283454.17,6772
2018-03-02,122.24,123.70,121.13,123.49,512203,0.89,0.73%,123.49,62826094.19,5787
2018-03-01,120.81,123.10,120.22,122.60,653889,1.29,1.06%,122.60,79963940.65,7932
2018-02-28,121.30,123.25,121.28,121.31,848276,0.47,0.39%,121.31,103345791.67,7601
2018-02-27,123.15,123.555,120.45,120.84,543491,-2.54,-2.06%,120.84,65956198.15,5664
2018-02-26,123.17,123.40,121.69,123.38,308953,0.73,0.60%,123.38,37962889.36,4393
2018-02-23,120.50,122.67,120.20,122.65,273958,2.68,2.23%,122.65,33380242.66,3596
2018-02-22,119.07,120.80,119.04,119.97,515925,1.54,1.30%,119.97,61954697.82,7029
2018-02-21,120.57,121.22,118.32,118.43,680856,-2.54,-2.10%,118.43,81116271.49,6894
2018-02-20,122.28,123.94,120.80,120.97,774519,-1.69,-1.38%,120.97,94272831.61,7466
2018-02-16,121.90,123.18,121.73,122.66,575957,0.92,0.76%,122.66,70593076.26,6224
2018-02-15,120.57,121.77,120.16,121.74,559750,1.68,1.40%,121.74,67838650.48,6116
2018-02-14,119.34,120.45,117.90,120.06,498772,-0.30,-0.25%,120.06,59660775.88,6296
2018-02-13,118.85,120.86,117.86,120.36,792487,1.28,1.07%,120.36,94739159.68,9076
2018-02-12,118.81,119.68,115.36,119.08,920817,1.04,0.88%,119.08,108921211.79,8935
2018-02-09,115.83,118.91,114.59,118.04,958186,3.46,3.02%,118.04,111793592.93,10636
2018-02-08,118.59,120.375,114.00,114.58,1065853,-4.38,-3.68%,114.58,124844396.83,11287
2018-02-07,118.20,120.91,117.77,118.96,963488,0.42,0.35%,118.96,115404425.76,10202
2018-02-06,119.11,120.29,116.45,118.54,1051676,-1.34,-1.12%,118.54,124487735.77,11396
2018-02-05,123.94,124.43,119.68,119.88,852131,-4.24,-3.42%,119.88,103510334.63,9189
2018-02-02,124.46,125.679,122.68,124.12,672220,-1.10,-0.88%,124.12,83504513.51,7798
2018-02-01,129.70,130.405,125.15,125.22,848941,-4.48,-3.45%,125.22,107072047.77,9251
2018-01-31,125.87,129.70,125.87,129.70,926192,3.95,3.14%,129.70,119241202.53,9884
2018-01-30,125.45,126.12,123.34,125.75,727398,1.24,1.00%,125.75,91087297.27,7569
2018-01-29,126.21,126.21,124.17,124.51,570715,-1.96,-1.55%,124.51,71153066.80,7161
2018-01-26,127.26,127.41,125.55,126.47,365743,-0.50,-0.39%,126.47,46172756.88,4475
2018-01-25,126.50,127.11,126.02,126.97,425465,0.35,0.28%,126.97,53895483.18,5213
2018-01-24,127.41,127.93,125.90,126.62,562129,-1.05,-0.82%,126.62,71165420.10,8202
2018-01-23,127.30,127.87,126.80,127.67,524049,0.35,0.27%,127.67,66764376.61,7275
2018-01-22,125.96,127.32,125.355,127.32,738629,1.37,1.09%,127.32,93845678.11,6797
2018-01-19,125.68,126.11,125.13,125.95,616812,0.57,0.45%,125.95,77515785.48,6050
