date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,25.22,25.24,24.72,24.93,3162104,-0.26,-1.03%,24.93,78855638.87,18493
2018-03-09,24.94,25.19,24.77,25.19,2334194,0.39,1.57%,25.19,58418554.82,16128
2018-03-08,24.75,24.87,24.355,24.80,2275342,0.18,0.73%,24.80,56160635.17,14111
2018-03-07,24.28,24.73,24.22,24.62,1969543,0.07,0.29%,24.62,48354947.41,13197
2018-03-06,24.45,24.75,24.38,24.55,3446351,0.22,0.90%,24.55,84655059.69,17399
2018-03-05,23.70,24.435,23.63,24.33,3767970,0.42,1.76%,24.33,91302125.69,17738
2018-03-02,23.84,24.10,23.40,23.91,2803108,-0.11,-0.46%,23.91,66750284.66,15627
2018-03-01,24.46,24.66,23.83,24.02,3461488,-0.37,-1.52%,24.02,83751508.69,21531
2018-02-28,24.82,25.025,24.39,24.39,5266873,-0.35,-1.41%,24.39,129266207.09,15046
2018-02-27,25.14,25.34,24.71,24.74,2755300,-0.39,-1.55%,24.74,68848069.77,16152
2018-02-26,25.22,25.29,24.995,25.13,2522601,0.00,0.00%,25.13,63393369.27,16909
2018-02-23,24.59,25.14,24.53,25.13,3678909,0.59,2.40%,25.13,91709083.34,21194
2018-02-22,24.83,24.995,24.435,24.54,2544708,-0.12,-0.49%,24.54,62813335.61,17190
2018-02-21,24.91,25.41,24.65,24.66,2659895,-0.20,-0.80%,24.66,66516310.79,18510
2018-02-20,25.10,25.47,24.755,24.86,3331675,-0.50,-1.97%,24.86,83301763.41,19663
2018-02-16,25.18,25.87,25.07,25.36,5483054,0.14,0.56%,25.36,139054575.57,26070
2018-02-15,25.74,25.76,24.91,25.22,4514646,-0.26,-1.02%,25.22,113872577.46,29214
2018-02-14,24.55,25.70,24.55,25.48,4540985,0.70,2.82%,25.48,115417643.58,29617
2018-02-13,24.61,24.87,24.465,24.78,5422667,-0.06,-0.24%,24.78,134047129.83,25709
2018-02-12,24.81,25.18,24.53,24.84,4938440,0.18,0.73%,24.84,122557137.08,28185
2018-02-09,24.65,24.90,23.32,24.66,8213509,0.21,0.86%,24.66,198348579.15,55682
2018-02-08,25.13,25.19,24.19,24.45,7449056,-0.65,-2.59%,24.45,183391274.39,49927
2018-02-07,25.10,25.46,24.87,25.10,5549170,-0.18,-0.71%,25.10,139702591.07,38651
2018-02-06,26.19,26.40,25.0006,25.28,10017497,-1.24,-4.68%,25.28,254731795.74,63503
2018-02-05,27.40,27.71,25.84,26.52,10925986,-2.59,-8.90%,26.52,293812841.95,71431
2018-02-02,29.76,29.76,28.83,29.11,7621840,-1.00,-3.32%,29.11,222638290.85,34642
2018-02-01,29.75,30.3889,29.72,30.11,2808421,0.11,0.37%,30.11,84565384.19,17253
2018-01-31,30.00,30.51,29.77,30.06,3403246,0.14,0.47%,30.00,102395422.67,20666
2018-01-30,30.02,30.18,29.38,29.92,4431343,-0.339,-1.12%,29.8603,132261031.59,19639
2018-01-29,30.83,30.91,30.165,30.26,2462723,-0.579,-1.88%,30.1996,74771262.49,15973
2018-01-26,30.56,30.86,30.33,30.84,2288049,0.369,1.21%,30.7784,70275372.66,15265
2018-01-25,30.65,30.80,30.15,30.47,1980633,-0.01,-0.03%,30.4092,60275092.87,12982
2018-01-24,30.34,30.67,30.25,30.48,2536214,0.18,0.59%,30.4192,77280738.39,17457
2018-01-23,30.43,30.43,30.105,30.30,2262464,-0.13,-0.43%,30.2395,68505305.83,14837
2018-01-22,30.22,30.43,30.04,30.43,3581297,0.21,0.69%,30.3693,108528705.84,21715
2018-01-19,30.30,30.45,29.82,30.22,4542170,-0.13,-0.43%,30.1597,136868209.33,22484
2018-01-18,30.23,30.58,29.96,30.35,3307378,-0.19,-0.62%,30.2894,100426151.66,20770
2018-01-17,30.41,30.69,30.32,30.54,3226006,0.13,0.43%,30.479,98471797.54,21475
2018-01-16,30.92,31.17,30.09,30.41,4977510,-0.429,-1.39%,30.3493,152209284.23,22932
2018-01-12,30.50,30.90,30.36,30.84,3440987,0.439,1.45%,30.7784,105781470.05,16634
2018-01-11,29.91,30.44,29.861,30.40,3113340,0.609,2.05%,30.3393,94064384.39,16934
2018-01-10,29.57,29.93,29.43,29.79,2073434,-0.02,-0.07%,29.7305,61672857.44,13796
2018-01-09,29.80,29.99,29.45,29.81,2393516,0.05,0.17%,29.7505,71251905.23,14579
2018-01-08,29.68,29.84,29.42,29.76,4185923,0.15,0.51%,29.7006,124279568.30,18969
2018-01-05,29.25,29.63,29.10,29.61,3700696,0.289,0.99%,29.5509,109005913.94,20301
2018-01-04,28.20,29.45,28.011,29.32,6599189,1.337,4.79%,29.2615,192180618.58,32467
2018-01-03,27.61,28.00,27.00,27.98,5596957,0.22,0.79%,27.9242,154432653.57,25629
2018-01-02,27.31,27.77,27.30,27.76,2996297,0.509,1.87%,27.7046,82857023.42,15074
2017-12-29,27.62,27.67,27.23,27.25,2690411,-0.369,-1.34%,27.1956,73576891.90,14067
2017-12-28,27.30,27.65,27.20,27.62,2425028,0.279,1.02%,27.5649,66733744.13,12738
2017-12-27,27.07,27.365,26.96,27.34,1873745,0.269,1.00%,27.2854,51063013.93,12280
2017-12-26,26.80,27.24,26.71,27.07,1988122,0.24,0.89%,27.016,53780509.29,11690
2017-12-22,26.55,26.955,26.42,26.83,2748156,0.03,0.11%,26.7764,73617111.01,15889
2017-12-21,26.32,26.82,26.08,26.80,3582473,0.669,2.56%,26.7465,95324429.86,20244
2017-12-20,25.74,26.225,25.70,26.13,3205873,0.499,1.95%,26.0778,83526485.17,15783
2017-12-19,25.56,25.67,25.15,25.63,2580353,0.02,0.08%,25.5788,65898156.72,13079
2017-12-18,25.62,25.72,25.46,25.61,2872815,0.309,1.23%,25.5589,73496516.04,13468
2017-12-15,25.22,25.40,25.0799,25.30,6665258,0.309,1.24%,25.2495,168513765.52,15362
2017-12-14,25.30,25.34,24.85,24.99,3069203,-0.19,-0.75%,24.9401,76733573.89,17502
2017-12-13,24.65,25.54,24.61,25.18,3949453,0.529,2.15%,25.1297,99729604.53,22516
2017-12-12,24.44,24.67,24.35,24.65,2121024,0.22,0.90%,24.6008,52136852.77,14219
2017-12-11,24.45,24.56,24.14,24.43,2389519,-0.04,-0.16%,24.3812,58306937.47,16371
2017-12-08,24.70,24.72,24.34,24.47,1600896,-0.12,-0.49%,24.4212,39178867.09,11158
2017-12-07,24.09,24.735,23.94,24.59,2143356,0.459,1.91%,24.5409,52521191.94,14028
2017-12-06,24.18,24.355,24.01,24.13,5073298,-0.10,-0.41%,24.0818,122473690.51,13734
2017-12-05,24.73,24.73,24.13,24.23,2380957,-0.499,-2.02%,24.1816,57761676.34,12537
2017-12-04,24.87,25.27,24.70,24.73,4075098,0.23,0.94%,24.6806,101571760.60,23869
2017-12-01,24.63,24.78,24.01,24.50,2651161,-0.11,-0.45%,24.4511,64887104.50,16994
2017-11-30,24.21,24.63,24.00,24.61,3313166,0.539,2.24%,24.5609,81028533.73,15386
2017-11-29,24.25,24.465,24.03,24.07,3236732,-0.16,-0.66%,24.022,78321599.39,14813
2017-11-28,23.71,24.32,23.58,24.23,3486117,0.619,2.63%,24.1816,83935075.16,19783
2017-11-27,23.92,24.00,23.04,23.61,4575294,-0.379,-1.58%,23.5629,107128317.44,28705
2017-11-24,23.85,24.16,23.84,23.99,1945418,0.24,1.01%,23.9421,46716051.97,8466
2017-11-22,23.79,23.99,23.71,23.75,1673791,0.01,0.04%,23.7026,39835248.31,12733
2017-11-21,24.12,24.25,23.63,23.74,3275944,-0.15,-0.63%,23.6926,78056644.95,17593
2017-11-20,23.81,23.91,23.61,23.89,2011419,0.04,0.17%,23.8423,47886268.50,13315
2017-11-17,23.65,24.07,23.60,23.85,1911188,0.12,0.51%,23.8024,45568797.59,11024
2017-11-16,23.43,23.91,23.43,23.73,2216580,0.369,1.58%,23.6826,52594249.95,13559
2017-11-15,23.10,23.675,22.74,23.36,4249522,0.16,0.69%,23.3134,99183108.31,15524
2017-11-14,23.63,23.79,23.13,23.20,4490122,-0.589,-2.48%,23.1537,104497033.27,20805
2017-11-13,24.13,24.29,23.69,23.79,2834993,-0.449,-1.86%,23.7425,67708673.63,17523
2017-11-10,24.39,24.565,24.20,24.24,2386717,-0.21,-0.86%,24.1916,58186582.84,14947
2017-11-09,24.60,24.60,24.13,24.45,2888827,-0.329,-1.33%,24.4012,70386671.40,19006
2017-11-08,24.97,25.09,24.54,24.78,4166035,-0.299,-1.20%,24.7305,103203960.24,17294
2017-11-07,25.58,25.62,24.90,25.08,3789048,-0.529,-2.07%,25.0299,95078285.92,21518
2017-11-06,25.35,25.77,25.23,25.61,4326708,0.269,1.07%,25.5589,110555298.62,20151
2017-11-03,25.16,25.5442,25.0176,25.34,2715017,0.10,0.40%,25.2894,68701213.71,16231
2017-11-02,25.02,25.32,24.7903,25.24,3331139,0.18,0.72%,25.1896,83562774.39,20358
2017-11-01,25.25,25.63,25.00,25.12,4199184,0.00,0.00%,25.01,105800271.72,23280
2017-10-31,24.76,25.15,24.635,25.12,2998716,0.339,1.37%,25.01,74964775.34,16752
2017-10-30,24.47,24.83,24.32,24.78,2924105,0.169,0.69%,24.6715,72125663.97,17276
2017-10-27,24.51,24.67,24.34,24.61,2927309,0.02,0.08%,24.5022,71800593.13,16533
2017-10-26,24.99,25.08,24.29,24.59,5047048,-0.269,-1.09%,24.4823,124586208.28,21510
2017-10-25,24.32,24.97,24.12,24.86,3878129,0.528,2.18%,24.7511,95864067.98,24816
2017-10-24,24.52,25.219,23.925,24.33,7952300,-0.02,-0.08%,24.2234,194545146.72,37515
2017-10-23,27.42,27.55,24.25,24.35,12679496,-2.808,-10.38%,24.2433,319047551.83,64065
2017-10-20,26.94,27.31,26.83,27.17,4236940,0.488,1.84%,27.051,114822319.66,25584
2017-10-19,26.65,26.69,26.33,26.68,2878234,-0.209,-0.78%,26.5631,76465009.39,20260
2017-10-18,26.82,26.95,26.67,26.89,2424606,0.05,0.19%,26.7722,65153542.06,14072
2017-10-17,27.00,27.23,26.77,26.84,2191471,-0.329,-1.21%,26.7224,59024091.56,16029
2017-10-16,27.24,27.44,27.00,27.17,3416978,0.01,0.04%,27.051,92782792.53,16848
2017-10-13,27.67,27.68,27.035,27.16,9037754,-0.398,-1.45%,27.041,245941959.41,26612
