date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,79.24,79.63,76.29,76.86,8450783,-1.36,-1.74%,76.86,655476295.99,56850
2018-03-09,76.855,78.25,76.41,78.22,8934731,1.41,1.84%,78.22,693925059.08,53114
2018-03-08,74.51,76.91,74.23,76.81,8860522,2.74,3.70%,76.81,674780300.82,54114
2018-03-07,73.38,74.14,72.75,74.07,5834774,0.15,0.20%,74.07,428788777.43,42114
2018-03-06,75.40,75.48,72.86,73.92,8413256,-1.18,-1.57%,73.92,619993850.95,57348
2018-03-05,73.66,75.35,72.92,75.10,6276549,1.09,1.47%,75.10,467594238.86,43463
2018-03-02,71.22,74.35,70.74,74.01,6942413,2.00,2.78%,74.01,506660862.20,53484
2018-03-01,73.16,73.42,71.52,72.01,8123915,-1.12,-1.53%,72.01,586632817.12,64335
2018-02-28,73.15,74.82,72.97,73.13,7469666,0.52,0.72%,73.13,550335358.71,52362
2018-02-27,73.05,73.36,72.0221,72.61,4141839,-0.55,-0.75%,72.61,300898237.34,31089
2018-02-26,72.68,74.12,72.68,73.16,4868504,1.09,1.51%,73.16,356164884.23,37298
2018-02-23,69.95,72.07,69.79,72.07,5842100,2.58,3.71%,72.07,415846081.94,47581
2018-02-22,70.06,70.70,69.07,69.49,5229239,-0.73,-1.04%,69.49,365191095.77,37377
2018-02-21,70.90,71.84,70.22,70.22,5555734,-0.62,-0.88%,70.22,393973787.36,45748
2018-02-20,69.97,71.29,69.75,70.84,5386393,0.65,0.93%,70.84,381150379.41,38744
2018-02-16,71.96,72.1252,69.79,70.19,6497699,-1.80,-2.50%,70.19,459566187.96,47818
2018-02-15,70.00,72.07,69.05,71.99,6182546,2.34,3.36%,71.99,439318092.43,52053
2018-02-14,67.21,69.90,67.11,69.65,7197634,1.62,2.38%,69.65,497320362.88,58585
2018-02-13,67.96,68.21,67.18,68.03,5373597,-0.29,-0.42%,68.03,363960807.21,41359
2018-02-12,67.16,69.20,67.16,68.32,8315677,1.24,1.85%,68.32,568446748.84,60515
2018-02-09,66.99,67.78,63.32,67.08,18582250,1.25,1.90%,67.08,1225276753.56,123081
2018-02-08,69.63,69.79,65.76,65.83,11179322,-3.63,-5.23%,65.83,752584165.05,88443
2018-02-07,69.62,70.86,69.43,69.46,6255211,-0.24,-0.34%,69.46,438214917.95,51723
2018-02-06,66.00,69.84,65.72,69.70,10524316,1.72,2.53%,69.70,716098498.18,82751
2018-02-05,70.54,71.13,66.91,67.98,10160732,-3.44,-4.82%,67.98,705809731.10,83090
2018-02-02,72.66,72.96,71.38,71.42,6198415,-1.93,-2.63%,71.42,446757635.17,49099
2018-02-01,73.48,74.24,73.16,73.35,5136990,-0.78,-1.05%,73.35,378147179.80,41897
2018-01-31,72.96,74.945,72.96,74.13,7058952,2.52,3.52%,74.13,522527436.89,51291
2018-01-30,71.435,71.88,70.7276,71.61,5284585,-0.84,-1.16%,71.61,377396143.45,40478
2018-01-29,72.50,72.68,71.70,72.45,7863823,-0.07,-0.10%,72.45,568290217.77,35076
2018-01-26,71.34,72.59,70.755,72.52,5748494,1.70,2.40%,72.52,413906606.06,34513
2018-01-25,70.60,71.20,69.95,70.82,4676928,0.74,1.06%,70.82,330658589.78,30976
2018-01-24,71.66,71.90,69.88,70.08,9137394,-1.47,-2.05%,70.08,644770521.97,50886
2018-01-23,71.32,72.3651,71.15,71.55,5194898,0.25,0.35%,71.55,373122592.99,33116
2018-01-22,70.45,71.40,69.68,71.30,3862712,0.73,1.03%,71.30,273909597.25,28291
2018-01-19,70.22,70.84,69.48,70.57,5210041,0.77,1.10%,70.57,366615126.98,33410
2018-01-18,70.11,70.725,69.17,69.80,5620207,-0.56,-0.80%,69.80,392282310.54,41427
2018-01-17,69.97,70.82,68.79,70.36,7076063,1.65,2.40%,70.36,496245791.24,46980
2018-01-16,70.92,71.18,68.40,68.71,5371714,-1.65,-2.35%,68.71,373668700.21,40990
2018-01-12,69.70,70.71,69.05,70.36,8021879,1.12,1.62%,70.36,563273304.54,59191
