date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,260.65,264.2993,259.62,262.84,5388086,9.06,3.57%,262.84,1412503254.00,50834
2018-03-09,248.58,254.275,247.63,253.78,3078182,6.83,2.77%,253.78,775692149.26,31561
2018-03-08,248.26,248.30,245.915,246.95,3355403,-0.10,-0.04%,246.95,828238566.60,30411
2018-03-07,248.69,249.40,244.332,247.05,3154859,-3.91,-1.56%,247.05,778817711.24,33173
2018-03-06,249.31,251.30,247.32,250.96,3003004,3.98,1.61%,250.96,748784047.40,27280
2018-03-05,249.90,251.335,243.42,246.98,2589960,-3.89,-1.55%,246.98,642076722.01,27292
2018-03-02,240.43,251.18,240.23,250.87,2740164,7.56,3.11%,250.87,678581660.73,28827
2018-03-01,245.86,249.12,241.31,243.31,2604435,-3.15,-1.28%,243.31,636894157.88,33879
2018-02-28,254.08,254.49,245.98,246.46,2883400,-5.35,-2.12%,246.46,715670989.74,31483
2018-02-27,252.09,255.67,251.68,251.81,2117622,-1.14,-0.45%,251.81,536143186.62,25099
2018-02-26,251.96,254.44,251.00,252.95,2887800,-0.76,-0.30%,252.95,729741267.07,30212
2018-02-23,252.14,255.03,250.29,253.71,1827971,4.36,1.75%,253.71,463028801.64,20321
2018-02-22,249.12,253.10,248.27,249.35,1934190,0.73,0.29%,249.35,485014824.89,21079
2018-02-21,252.49,253.47,248.448,248.62,2815556,-1.00,-0.40%,248.62,705395102.85,33856
2018-02-20,248.75,255.74,247.52,249.62,4169278,0.73,0.29%,249.62,1050917443.46,42342
2018-02-16,251.27,252.37,248.04,248.89,3263877,-2.94,-1.17%,248.89,816375266.51,33230
2018-02-15,249.28,251.84,244.43,251.83,2553977,4.17,1.68%,251.83,636534718.81,26488
2018-02-14,245.00,248.65,243.48,247.66,2549105,1.80,0.73%,247.66,628928150.35,28178
2018-02-13,241.01,246.03,240.06,245.86,2371856,1.46,0.60%,245.86,578501930.61,27702
