date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,117.28,117.56,116.36,116.52,507409,-0.81,-0.69%,116.52,59252277.00,4795
2018-03-09,116.00,117.62,114.89,117.33,614675,1.83,1.58%,117.33,71868359.12,5226
2018-03-08,115.91,116.94,114.77,115.50,518707,-0.29,-0.25%,115.50,59966431.43,6089
2018-03-07,113.86,116.21,112.93,115.79,700388,1.27,1.11%,115.79,80507606.60,7631
2018-03-06,114.73,115.03,112.49,114.52,1305908,0.18,0.16%,114.52,148834616.84,12695
2018-03-05,114.37,115.20,113.47,114.79,770800,-0.369,-0.32%,114.34,88441025.46,8034
2018-03-02,115.25,115.88,114.0201,115.16,665705,-0.777,-0.67%,114.7086,76574726.06,7647
2018-03-01,118.21,118.48,114.78,115.94,648801,-2.201,-1.87%,115.4855,75523436.46,8540
2018-02-28,119.11,119.56,118.07,118.15,587165,-0.757,-0.64%,117.6869,69596533.58,6449
2018-02-27,120.33,120.39,118.90,118.91,406402,-1.195,-1.00%,118.4439,48525978.48,5968
2018-02-26,119.62,120.41,118.29,120.11,411999,0.976,0.82%,119.6392,49319662.40,5423
2018-02-23,118.38,119.207,117.68,119.13,456732,0.887,0.75%,118.663,54191223.03,5694
2018-02-22,117.60,118.69,116.9901,118.24,494117,1.315,1.13%,117.7765,58406757.07,5929
2018-02-21,117.08,119.17,116.8301,116.92,455473,-0.159,-0.14%,116.4617,53630932.78,5548
2018-02-20,118.11,118.66,116.775,117.08,549370,-1.713,-1.45%,116.621,64547868.86,6003
2018-02-16,119.31,119.715,118.66,118.80,642638,-0.727,-0.61%,118.3343,76536993.71,6751
2018-02-15,118.67,119.56,117.61,119.53,596468,1.404,1.19%,119.0614,70888219.46,5444
2018-02-14,116.31,118.29,115.8882,118.12,633857,1.235,1.06%,117.657,74505570.61,7172
2018-02-13,115.24,117.20,114.85,116.88,618167,1.225,1.06%,116.4218,71921927.88,6541
2018-02-12,112.69,116.38,112.6557,115.65,989084,4.174,3.76%,115.1967,113941427.38,9455
2018-02-09,111.78,112.26,108.83,111.46,982169,0.687,0.62%,111.0231,108890141.33,10534
2018-02-08,114.63,114.88,110.75,110.77,789020,-3.994,-3.49%,110.3358,88624199.50,9038
2018-02-07,114.22,116.84,114.22,114.78,852676,0.538,0.47%,114.3301,98688941.08,8989
2018-02-06,111.65,114.64,111.48,114.24,1320459,0.428,0.38%,113.7922,149378398.01,13384
2018-02-05,116.79,118.29,113.76,113.81,1137320,-3.805,-3.25%,113.3639,131710048.28,11619
2018-02-02,119.91,120.53,117.52,117.63,923292,-2.719,-2.27%,117.1689,109568671.86,9112
2018-02-01,119.60,121.44,118.05,120.36,1290812,-2.311,-1.89%,119.8882,154665448.81,13595
2018-01-31,121.28,123.67,120.00,122.68,1671359,5.329,4.56%,122.1991,203819183.16,18284
2018-01-30,118.31,118.81,117.32,117.33,1039012,-1.335,-1.13%,116.8701,122399294.82,10451
2018-01-29,120.75,121.17,118.55,118.67,661591,-2.341,-1.94%,118.2048,78927798.36,7134
2018-01-26,121.40,121.67,120.54,121.02,426583,0.06,0.05%,120.5456,51646729.72,4682
2018-01-25,120.44,121.56,120.23,120.96,521340,0.896,0.75%,120.4858,63098076.84,5643
2018-01-24,120.14,120.3022,119.47,120.06,501924,0.319,0.27%,119.5894,60236517.61,5631
2018-01-23,120.41,120.41,119.60,119.74,543307,-0.986,-0.82%,119.2706,65152713.69,5517
2018-01-22,121.34,121.74,120.26,120.73,532710,-0.608,-0.50%,120.2567,64265066.32,5615
2018-01-19,121.43,123.20,120.80,121.34,685650,0.707,0.59%,120.8643,83308341.34,6997
2018-01-18,119.95,121.255,119.06,120.63,583064,1.743,1.47%,120.1571,70189882.78,5802
2018-01-17,118.05,119.6799,117.65,118.88,483091,1.494,1.28%,118.414,57418351.82,5554
2018-01-16,119.53,120.00,116.92,117.38,620640,-1.962,-1.65%,116.9199,73250386.81,6802
2018-01-12,119.92,120.32,119.07,119.35,498611,-0.219,-0.18%,118.8821,59566718.68,4490
2018-01-11,118.89,119.64,118.505,119.57,324298,0.976,0.83%,119.1013,38675045.27,4164
2018-01-10,118.79,119.05,117.75,118.59,347672,-0.319,-0.27%,118.1251,41163891.97,4906
2018-01-09,118.72,119.29,118.49,118.91,481834,0.309,0.26%,118.4439,57320387.30,5355
2018-01-08,118.14,119.215,118.035,118.60,664478,0.438,0.37%,118.1351,78819726.51,4447
2018-01-05,117.08,118.52,116.82,118.16,437081,1.375,1.18%,117.6968,51580714.24,5074
2018-01-04,116.42,117.12,116.215,116.78,534027,0.767,0.66%,116.3222,62351723.67,5705
2018-01-03,115.83,116.17,115.38,116.01,640632,0.329,0.29%,115.5552,74149674.09,5352
2018-01-02,115.15,115.68,114.75,115.68,401841,0.817,0.71%,115.2265,46346007.05,5117
2017-12-29,115.58,115.8231,114.86,114.86,351984,-0.707,-0.61%,114.4097,40519618.79,3616
2017-12-28,115.68,115.68,114.945,115.57,276252,0.428,0.37%,115.117,31869740.15,3421
2017-12-27,114.87,115.4895,114.61,115.14,374456,0.319,0.28%,114.6887,43118660.45,4146
2017-12-26,114.13,114.84,113.89,114.82,271782,0.647,0.57%,114.3699,31150052.59,4265
2017-12-22,114.16,114.48,113.33,114.17,568938,0.149,0.13%,113.7225,64896096.74,4161
2017-12-21,116.50,117.00,113.85,114.02,531280,-2.65,-2.28%,113.573,60837912.51,6120
2017-12-20,117.00,117.92,116.53,116.68,767562,-0.418,-0.36%,116.2226,89753714.20,7246
2017-12-19,116.75,117.63,116.32,117.10,863825,0.976,0.84%,116.641,101129428.43,8453
2017-12-18,116.53,116.85,115.57,116.12,694210,0.209,0.18%,115.6648,80583322.69,6492
2017-12-15,115.70,116.13,115.15,115.91,1076620,1.624,1.43%,115.4556,124687333.85,6532
2017-12-14,114.43,115.03,114.09,114.28,640904,-0.09,-0.08%,113.832,73313732.78,6221
2017-12-13,114.34,114.639,113.93,114.37,522023,-0.09,-0.08%,113.9217,59705621.60,5524
2017-12-12,115.00,115.56,113.65,114.46,535852,-0.518,-0.45%,114.0113,61311111.46,6015
2017-12-11,113.85,115.31,113.51,114.98,810220,1.245,1.10%,114.5293,92986321.05,7683
2017-12-08,112.36,113.84,111.95,113.73,874416,1.375,1.23%,113.2842,99199605.26,6845
2017-12-07,111.56,112.52,111.56,112.35,638605,0.837,0.75%,111.9096,71589043.95,6907
2017-12-06,112.95,113.07,111.3899,111.51,858431,-1.693,-1.50%,111.0729,96109976.82,7202
2017-12-05,112.16,113.87,112.16,113.21,902626,1.634,1.47%,112.7662,102190708.72,10241
2017-12-04,113.42,113.57,111.88,112.02,782057,-0.605,-0.54%,111.1327,87942839.88,8108
2017-12-01,114.00,114.33,111.2604,112.63,748778,-1.478,-1.31%,111.7378,84328834.73,8261
2017-11-30,112.31,114.795,111.85,114.12,1313460,2.222,2.00%,113.216,149616954.94,11515
2017-11-29,111.93,112.25,111.44,111.88,604379,-0.119,-0.11%,110.9938,67558617.23,7029
2017-11-28,112.07,112.1741,111.45,112.00,510390,0.079,0.07%,111.1128,57118972.90,4940
2017-11-27,111.67,112.28,111.31,111.92,558104,0.218,0.20%,111.0335,62441800.10,5983
2017-11-24,111.13,111.75,110.90,111.70,282025,0.595,0.54%,110.8152,31415897.08,3004
2017-11-22,110.56,111.10,109.68,111.10,628258,0.675,0.62%,110.2199,69501141.14,6880
2017-11-21,111.20,111.83,110.00,110.42,805280,-0.278,-0.25%,109.5453,89036408.10,8568
2017-11-20,110.00,111.31,109.57,110.70,946145,2.391,2.23%,109.8231,104623191.75,8678
2017-11-17,107.87,108.64,107.31,108.29,600693,0.04,0.04%,107.4322,65007717.89,6674
2017-11-16,107.89,108.58,107.56,108.25,667076,0.546,0.51%,107.3925,72169210.70,6716
