date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,81.35,82.39,81.32,82.20,959385,0.84,1.03%,82.20,78805346.00,8645
2018-03-09,80.93,81.38,80.46,81.36,665894,0.56,0.69%,81.36,53962470.93,7332
2018-03-08,80.50,81.075,80.25,80.80,947975,0.62,0.77%,80.80,76572841.78,8759
2018-03-07,79.43,80.52,79.15,80.18,1061772,0.49,0.61%,80.18,84945623.79,10159
2018-03-06,80.15,80.37,79.51,79.69,1122522,-0.50,-0.62%,79.69,89621842.17,11114
2018-03-05,78.73,80.88,78.66,80.19,1992421,1.31,1.66%,80.19,159742857.76,18961
2018-03-02,78.96,80.14,78.15,78.88,1373786,-0.27,-0.34%,78.88,108184619.91,12657
2018-03-01,79.28,80.37,78.39,79.15,1233896,-0.21,-0.26%,79.15,97777449.22,12711
2018-02-28,79.88,80.76,79.36,79.36,1069318,-0.60,-0.75%,79.36,85430018.88,9894
2018-02-27,80.99,81.94,79.73,79.96,986728,-0.84,-1.04%,79.96,79205660.06,9708
2018-02-26,81.50,81.64,80.58,80.80,804279,0.17,0.21%,80.80,65118482.21,8830
2018-02-23,78.81,80.80,78.81,80.63,655775,1.89,2.40%,80.63,52670639.41,7062
2018-02-22,78.87,79.545,78.26,78.74,988204,-0.11,-0.14%,78.74,78007713.02,10762
2018-02-21,79.04,81.06,78.82,78.85,1250359,-1.00,-1.25%,78.85,99732526.21,12786
2018-02-20,80.25,80.83,79.57,79.85,1025979,-0.65,-0.81%,79.85,82063080.11,10417
2018-02-16,79.69,81.06,79.43,80.50,1012733,0.79,0.99%,80.50,81535998.70,9482
2018-02-15,78.43,79.72,78.35,79.71,718145,1.38,1.76%,79.71,56883263.64,7462
2018-02-14,78.10,78.82,77.68,78.33,726330,-0.44,-0.56%,78.33,56962789.06,7429
2018-02-13,77.83,78.93,77.31,78.77,921193,0.85,1.09%,78.77,72181660.12,7770
2018-02-12,78.21,78.34,77.07,77.92,1016930,-0.02,-0.03%,77.92,79032017.64,9609
2018-02-09,76.61,78.68,76.39,77.94,1775391,1.88,2.47%,77.94,137333169.32,15644
2018-02-08,77.77,78.46,76.04,76.06,1572047,-1.90,-2.44%,76.06,121066703.65,13926
2018-02-07,79.00,79.74,77.96,77.96,1268677,-1.00,-1.27%,77.96,99780181.18,13074
2018-02-06,78.02,79.26,76.79,78.96,2169607,0.555,0.71%,78.96,169716221.00,22148
2018-02-05,81.00,81.54,78.61,78.82,1883739,-2.387,-2.95%,78.405,150184710.44,16922
2018-02-02,81.71,82.29,81.00,81.22,1101786,-0.617,-0.76%,80.7924,89758511.45,9671
2018-02-01,83.28,83.505,81.53,81.84,1334666,-1.323,-1.60%,81.4091,109486922.91,14951
2018-01-31,83.27,83.27,82.5207,83.17,1175213,0.06,0.07%,82.7321,97544267.89,9638
2018-01-30,82.93,84.03,82.84,83.11,1030566,-0.627,-0.75%,82.6724,85839435.72,9758
2018-01-29,84.65,84.65,83.20,83.74,829815,-1.194,-1.41%,83.2991,69484867.72,7890
2018-01-26,84.65,85.00,83.83,84.94,869541,0.408,0.49%,84.4928,73584648.87,7892
2018-01-25,83.97,84.61,83.20,84.53,764845,0.776,0.93%,84.085,64251800.05,8957
2018-01-24,84.20,84.4889,83.63,83.75,853493,-0.448,-0.53%,83.3091,71612466.72,9604
2018-01-23,82.86,84.70,82.83,84.20,1113950,1.233,1.49%,83.7567,93862460.75,9907
2018-01-22,83.45,83.75,82.66,82.96,1317832,-0.05,-0.06%,82.5232,109643093.95,11351
2018-01-19,82.84,83.53,82.38,83.01,1323868,0.597,0.73%,82.573,110051048.51,9310
2018-01-18,82.47,83.13,81.83,82.41,1561120,-0.099,-0.12%,81.9761,128757593.27,12508
2018-01-17,82.09,82.80,81.98,82.51,1482198,0.288,0.35%,82.0756,122229723.38,12900
2018-01-16,81.25,83.60,80.96,82.22,3111494,1.383,1.72%,81.7871,256976914.18,24047
2018-01-12,84.41,84.62,80.57,80.83,4003734,-3.889,-4.61%,80.4044,326443530.83,29380
2018-01-11,84.86,84.99,84.02,84.74,1394240,-0.955,-1.12%,84.2938,117901418.28,12402
2018-01-10,86.51,86.51,85.36,85.70,828976,-1.005,-1.16%,85.2488,71061681.28,8950
2018-01-09,87.50,87.535,85.87,86.71,864397,-0.786,-0.90%,86.2535,74877283.70,10061
2018-01-08,87.00,87.52,86.8001,87.50,1284302,0.746,0.86%,87.0393,112006558.87,11373
2018-01-05,87.78,88.03,86.36,86.75,1141271,-0.855,-0.98%,86.2933,99114167.32,11794
2018-01-04,88.27,88.82,87.35,87.61,931758,-0.836,-0.95%,87.1487,81923148.71,9223
2018-01-03,88.51,89.43,87.91,88.45,947297,-0.627,-0.71%,87.9843,83859015.06,10320
2018-01-02,91.00,91.48,88.59,89.08,1140208,-2.397,-2.63%,88.611,101898171.26,9807
2017-12-29,91.82,92.27,91.34,91.49,802399,-0.129,-0.14%,91.0083,73593801.60,6810
2017-12-28,91.34,91.69,90.49,91.62,855289,0.776,0.86%,91.1376,78090392.55,7289
2017-12-27,90.57,91.82,90.25,90.84,907571,0.418,0.46%,90.3617,82676834.75,8006
2017-12-26,90.58,91.72,90.36,90.42,795742,-0.09,-0.10%,89.9439,72392321.29,7814
2017-12-22,89.92,90.86,89.64,90.51,640682,0.806,0.90%,90.0335,57925773.44,6150
2017-12-21,89.29,90.09,88.82,89.70,1094088,0.358,0.40%,89.2277,98117577.71,8959
2017-12-20,89.57,89.85,88.9941,89.34,695659,0.338,0.38%,88.8696,62198483.01,6730
2017-12-19,90.54,90.78,89.00,89.00,560817,-1.482,-1.65%,88.5314,50132776.47,5755
2017-12-18,91.18,91.42,90.07,90.49,785636,-0.328,-0.36%,90.0136,71115139.85,6885
2017-12-15,91.53,91.78,90.74,90.82,1782902,0.468,0.52%,90.3418,162445007.92,8458
2017-12-14,89.15,90.89,88.85,90.35,1465752,0.418,0.47%,89.8743,132422625.70,8768
2017-12-13,89.41,90.64,89.30,89.93,989004,0.607,0.68%,89.4565,89012841.41,8886
2017-12-12,91.99,91.99,89.30,89.32,1270829,-2.915,-3.18%,88.8497,114271300.50,11822
2017-12-11,91.55,92.37,90.47,92.25,1291793,0.726,0.80%,91.7643,118565875.75,10075
2017-12-08,91.05,91.55,90.6931,91.52,610302,0.438,0.48%,91.0381,55716272.41,5849
2017-12-07,90.69,91.10,90.30,91.08,515845,0.139,0.15%,90.6005,46871100.43,6014
2017-12-06,90.74,91.20,90.3299,90.94,536134,0.279,0.31%,90.4612,48764922.57,6425
2017-12-05,91.50,91.72,90.44,90.66,621828,-0.657,-0.72%,90.1827,56493026.54,7474
2017-12-04,91.39,91.70,90.82,91.32,1026677,0.099,0.11%,90.8392,93699817.06,7501
2017-12-01,91.71,91.97,90.53,91.22,701546,-0.338,-0.37%,90.7397,63990170.72,7584
2017-11-30,90.46,91.78,90.34,91.56,899864,1.204,1.34%,91.0779,82241168.87,7415
2017-11-29,89.44,90.67,89.03,90.35,688881,0.776,0.87%,89.8743,62073753.90,8098
2017-11-28,89.61,89.70,89.025,89.57,788311,0.368,0.41%,89.0984,70562844.89,5806
2017-11-27,88.63,89.45,88.63,89.20,695664,0.458,0.52%,88.7304,62047386.61,7615
2017-11-24,88.80,89.26,88.58,88.74,198417,0.08,0.09%,88.2728,17618639.31,2426
2017-11-22,88.50,88.95,88.11,88.66,646638,0.08,0.09%,88.1932,57224404.40,6895
2017-11-21,88.50,89.06,88.33,88.58,730213,0.199,0.23%,88.1136,64702869.04,6729
2017-11-20,89.07,89.28,88.1775,88.38,1081653,-0.637,-0.72%,87.9147,95630529.60,10416
2017-11-17,89.49,89.74,88.6825,89.02,2047630,-0.666,-0.75%,88.5513,182286503.35,10377
2017-11-16,89.92,89.99,89.30,89.69,754388,-0.129,-0.14%,89.2178,67706197.77,8721
2017-11-15,90.82,91.39,89.78,89.82,1085877,-0.885,-0.98%,89.3471,98117761.92,10782
2017-11-14,89.36,90.76,89.28,90.71,690125,1.184,1.33%,90.2324,62439416.17,7155
2017-11-13,88.66,89.78,88.60,89.52,682413,0.776,0.88%,89.0487,60998730.04,7460
2017-11-10,89.05,89.335,88.36,88.74,693393,-0.567,-0.64%,88.2728,61519552.82,6998
2017-11-09,89.74,90.40,88.71,89.31,964950,-0.512,-0.57%,88.8398,86248594.47,8898
2017-11-08,89.85,90.485,89.42,90.24,843607,0.238,0.27%,89.3521,75954502.97,8065
2017-11-07,88.86,90.13,88.24,90.00,725153,1.376,1.57%,89.1144,65100297.31,6915
2017-11-06,88.71,89.21,88.36,88.61,733676,-0.149,-0.17%,87.7381,65174649.65,8423
2017-11-03,88.60,89.17,88.03,88.76,951786,-0.683,-0.77%,87.8866,84458672.35,10344
2017-11-02,87.99,90.22,87.74,89.45,1430309,2.218,2.57%,88.5698,127719210.44,16454
2017-11-01,88.00,88.05,87.04,87.21,831858,-0.545,-0.63%,86.3519,72734010.00,10343
2017-10-31,87.54,87.99,87.43,87.76,641256,0.00,0.00%,86.8965,56254952.75,6118
2017-10-30,87.68,87.93,87.528,87.76,855294,0.089,0.10%,86.8965,75031565.92,7202
2017-10-27,87.21,88.20,87.18,87.67,965519,0.178,0.21%,86.8073,84673887.33,8638
2017-10-26,87.25,88.155,87.20,87.49,779060,0.554,0.64%,86.6291,68273216.81,8054
