date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,152.62,153.94,150.42,150.81,358176,-1.88,-1.23%,150.81,54152877.66,3732
2018-03-09,153.27,153.27,150.06,152.69,416436,0.93,0.61%,152.69,63255948.78,4820
2018-03-08,147.43,152.45,146.39,151.76,671630,4.96,3.38%,151.76,101133115.19,6751
2018-03-07,151.89,153.14,146.03,146.80,820449,-7.40,-4.80%,146.80,121589313.59,8012
2018-03-06,150.85,154.52,149.92,154.20,625350,4.36,2.91%,154.20,95503083.67,6441
2018-03-05,147.21,151.01,145.63,149.84,519050,2.87,1.95%,149.84,77632380.75,5816
2018-03-02,145.19,147.86,143.46,146.97,495214,0.18,0.12%,146.97,72424646.38,5573
2018-03-01,142.84,147.75,141.68,146.79,871250,4.21,2.95%,146.79,126589850.07,8729
2018-02-28,146.50,146.735,142.51,142.58,820653,-2.97,-2.04%,142.58,118435602.01,6931
2018-02-27,148.56,150.395,145.52,145.55,385127,-2.94,-1.98%,145.55,56869543.91,4518
2018-02-26,147.48,148.95,144.54,148.49,539819,1.93,1.32%,148.49,79174945.03,6293
2018-02-23,147.15,147.99,144.87,146.56,304762,0.26,0.18%,146.56,44471591.19,4276
2018-02-22,148.36,149.27,145.63,146.30,531410,-1.28,-0.87%,146.30,78088977.73,6112
2018-02-21,148.98,150.35,147.55,147.58,596493,-1.23,-0.83%,147.58,88575834.35,6733
2018-02-20,150.57,151.40,148.11,148.81,443007,-2.33,-1.54%,148.81,66147061.70,5670
2018-02-16,153.12,154.24,151.12,151.14,336452,-2.35,-1.53%,151.14,51180139.54,4378
2018-02-15,152.28,155.17,152.2045,153.49,386222,1.82,1.20%,153.49,59361403.74,4516
2018-02-14,146.63,152.08,146.40,151.67,367776,2.80,1.88%,151.67,55195390.68,4430
2018-02-13,149.51,150.91,147.8934,148.87,335084,-1.62,-1.08%,148.87,49972797.58,4066
2018-02-12,148.07,152.92,146.92,150.49,562623,3.44,2.34%,150.49,84681851.68,7062
2018-02-09,146.95,148.62,141.77,147.05,560887,1.64,1.13%,147.05,81503044.13,7518
2018-02-08,148.15,148.77,145.215,145.41,636929,-2.66,-1.80%,145.41,93304834.92,6668
2018-02-07,147.98,150.67,147.98,148.07,813480,-0.84,-0.56%,148.07,121566142.08,8427
2018-02-06,142.00,150.00,142.00,148.91,1142218,3.69,2.54%,148.91,168841945.16,13462
2018-02-05,148.76,150.00,144.15,145.22,677374,-4.73,-3.15%,145.22,99003431.30,8348
2018-02-02,152.32,153.07,149.041,149.95,719873,-3.71,-2.41%,149.95,108214468.16,7215
2018-02-01,153.80,154.85,151.51,153.66,796297,-0.78,-0.51%,153.66,122087060.00,8235
2018-01-31,159.25,159.88,153.24,154.44,882499,-3.90,-2.46%,154.44,136872526.45,8997
2018-01-30,162.40,163.30,158.28,158.34,772211,-5.24,-3.20%,158.34,123360247.78,6568
2018-01-29,167.73,168.25,163.05,163.58,448661,-4.84,-2.87%,163.58,73683680.38,5506
2018-01-26,167.79,169.10,166.70,168.42,671485,1.35,0.81%,168.42,112885922.52,7800
2018-01-25,167.42,167.937,164.425,167.07,570745,0.18,0.11%,167.07,95014562.70,7101
2018-01-24,167.82,170.32,165.03,166.89,717344,0.17,0.10%,166.89,120141996.91,8318
2018-01-23,165.37,167.92,164.91,166.72,623812,1.02,0.62%,166.72,104027923.40,7072
2018-01-22,163.01,166.60,161.44,165.70,600460,2.55,1.56%,165.70,98815718.28,7034
2018-01-19,161.48,164.78,161.48,163.15,802369,1.79,1.11%,163.15,131062132.25,8932
2018-01-18,163.73,165.71,160.34,161.49,1310797,-2.308,-1.41%,161.36,213180409.66,11476
2018-01-17,161.20,165.23,161.20,163.80,1018942,3.207,2.00%,163.6681,166595045.35,11358
2018-01-16,160.12,164.32,159.40,160.59,1894247,1.849,1.17%,160.4607,305555977.08,18729
2018-01-12,159.80,161.27,157.84,158.74,1436819,-1.109,-0.69%,158.6122,228971172.67,12444
2018-01-11,158.17,160.50,157.3083,159.85,1325139,0.859,0.54%,159.7213,211009057.27,11203
2018-01-10,155.39,160.89,153.38,158.99,2427410,1.039,0.66%,158.862,382844005.03,24531
2018-01-09,164.00,167.50,157.15,157.95,5310442,-27.758,-14.96%,157.8228,853510636.88,46164
2018-01-08,186.09,186.99,184.27,185.73,1443923,0.37,0.20%,185.5805,268121283.60,11549
2018-01-05,181.00,185.815,180.10,185.36,1036757,4.756,2.64%,185.2108,191056399.94,10244
2018-01-04,177.86,181.05,175.92,180.60,560034,2.958,1.67%,180.4546,100386879.11,5995
