date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,660.10,660.10,645.00,653.26,550146,-6.14,-0.93%,653.26,357865402.39,7930
2018-03-09,656.00,662.49,649.35,659.40,388792,4.80,0.73%,659.40,255075098.69,6112
2018-03-08,657.32,658.84,649.82,654.60,301400,-2.17,-0.33%,654.60,196987777.16,4761
2018-03-07,656.72,662.96,651.86,656.77,338625,-7.95,-1.20%,656.77,222386428.84,6131
2018-03-06,656.50,664.92,651.10,664.72,443105,8.97,1.37%,664.72,291204617.61,8299
2018-03-05,657.72,662.85,650.14,655.75,444198,-7.11,-1.07%,655.75,290935723.53,7506
2018-03-02,654.34,666.61,645.14,662.86,618990,0.86,0.13%,662.86,405831963.61,9701
2018-03-01,664.82,669.00,650.06,662.00,617682,-2.72,-0.41%,662.00,407118255.72,9441
2018-02-28,658.40,687.91,650.60,664.72,1085687,10.25,1.57%,664.72,730905533.36,16365
2018-02-27,708.55,710.589,646.00,654.47,1872327,-81.43,-11.07%,654.47,1247821748.83,26562
2018-02-26,730.00,735.90,717.36,735.90,510537,10.90,1.50%,735.90,371166439.67,8019
2018-02-23,720.95,726.05,720.20,725.00,258493,8.12,1.13%,725.00,187118241.64,5131
2018-02-22,721.46,728.36,713.58,716.88,246698,-2.61,-0.36%,716.88,177977729.38,4909
2018-02-21,731.60,750.45,717.52,719.49,488082,6.26,0.88%,719.49,354257040.13,7988
2018-02-20,710.00,728.705,707.9003,713.23,309800,-0.82,-0.11%,713.23,222526930.07,6387
2018-02-16,725.77,728.67,707.72,714.05,360652,-10.55,-1.46%,714.05,258400390.00,5866
2018-02-15,726.73,728.64,714.62,724.60,375327,3.76,0.52%,724.60,271486089.24,5628
2018-02-14,708.22,729.47,704.64,720.84,352308,8.96,1.26%,720.84,253838146.17,6060
2018-02-13,728.36,728.36,707.135,711.88,372874,-18.32,-2.51%,711.88,265808656.59,6184
2018-02-12,725.55,739.68,718.92,730.20,450664,6.70,0.93%,730.20,328903452.21,7913
2018-02-09,723.85,729.48,680.23,723.50,895670,4.93,0.69%,723.50,630943871.50,13737
2018-02-08,732.73,752.25,718.57,718.57,666326,-9.76,-1.34%,718.57,488853151.66,8320
2018-02-07,742.14,753.73,726.40,728.33,412194,-16.74,-2.25%,728.33,303478444.20,7377
2018-02-06,720.10,753.98,710.05,745.07,513286,13.48,1.84%,745.07,379103190.15,8069
2018-02-05,747.00,763.77,730.48,731.59,551111,-18.99,-2.53%,731.59,413222726.34,9658
2018-02-02,763.37,771.13,748.71,750.58,338797,-13.80,-1.81%,750.58,257478599.50,6807
2018-02-01,761.32,770.89,756.41,764.38,321622,-1.06,-0.14%,764.38,245706756.40,4378
