date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,355.20,355.23,343.26,344.19,6088821,-10.33,-2.91%,344.19,2110732884.15,73871
2018-03-09,352.65,354.89,350.23,354.52,3538348,5.79,1.66%,354.52,1248971869.32,42711
2018-03-08,349.51,352.50,343.95,348.73,4319915,1.69,0.49%,348.73,1503381325.88,44496
2018-03-07,341.52,348.4093,339.50,347.04,4575690,-1.88,-0.54%,347.04,1580907383.33,50576
2018-03-06,354.24,355.21,346.0219,348.92,4888282,-3.83,-1.09%,348.92,1712109791.42,58948
2018-03-05,338.00,354.77,336.61,352.75,8140161,8.08,2.34%,352.75,2815884746.22,82210
2018-03-02,341.82,346.09,335.30,344.67,10021332,-5.02,-1.44%,344.67,3418867132.79,112488
2018-03-01,362.33,362.74,346.40,349.69,8977971,-12.52,-3.46%,349.69,3173374422.64,112054
2018-02-28,366.80,371.60,362.21,362.21,5472898,-2.43,-0.67%,362.21,2008870413.96,56947
2018-02-27,364.60,369.89,363.30,364.64,4774134,1.16,0.32%,364.64,1752039012.91,56400
2018-02-26,359.50,364.05,358.2123,363.48,4148132,6.82,1.91%,363.48,1500544800.94,43479
2018-02-23,358.18,358.77,353.0668,356.66,3355378,0.74,0.21%,356.66,1193885471.53,37300
2018-02-22,354.65,358.07,352.64,355.92,3414299,3.55,1.01%,355.92,1214973577.17,40696
2018-02-21,352.56,360.81,351.75,352.37,5258555,-0.98,-0.28%,352.37,1873323098.61,52573
2018-02-20,352.00,357.79,351.40,353.35,4303395,-1.69,-0.48%,353.35,1527330416.51,45912
2018-02-16,356.59,359.50,353.5101,355.04,5211615,-1.42,-0.40%,355.04,1858230294.41,53230
2018-02-15,348.47,356.55,348.05,356.46,5827488,11.61,3.37%,356.46,2058550712.95,69954
2018-02-14,341.34,347.43,341.17,344.85,4340180,1.69,0.49%,344.85,1497250040.89,48217
2018-02-13,340.45,347.8799,340.29,343.16,4030233,-0.64,-0.19%,343.16,1388103667.01,48028
2018-02-12,336.57,347.75,335.13,343.80,6885010,10.97,3.30%,343.80,2355865497.52,69889
2018-02-09,333.55,337.81,319.25,332.83,8832974,3.17,0.96%,332.83,2904198821.24,107077
2018-02-08,348.00,349.00,329.40,329.66,8295905,-16.75,-4.84%,329.66,2801508610.34,97527
2018-02-07,340.52,353.59,339.87,348.12,7946670,7.175,2.11%,346.41,2772098395.38,91500
2018-02-06,320.00,341.67,317.65,340.91,11935140,11.971,3.66%,339.2355,3971713361.00,135141
2018-02-05,342.67,350.00,317.39,328.88,10511290,-19.932,-5.74%,327.2645,3548691536.96,128906
2018-02-02,354.00,355.199,348.70,348.91,5486074,-7.991,-2.25%,347.1962,1929595176.43,66450
2018-02-01,352.95,361.45,352.04,356.94,6067581,2.557,0.73%,355.1867,2171707141.37,66419
2018-01-31,360.50,360.97,351.62,354.37,11409626,16.578,4.93%,352.6293,4061986008.87,111196
2018-01-30,339.17,339.98,334.16,337.71,4983055,-3.095,-0.91%,336.0512,1680736992.88,54659
2018-01-29,341.23,344.48,340.10,340.82,3324878,-2.388,-0.70%,339.1459,1134813963.89,41054
2018-01-26,344.33,345.98,341.25,343.22,5236260,0.109,0.03%,341.5341,1795144214.40,54326
2018-01-25,336.21,343.615,335.30,343.11,4747478,8.379,2.52%,341.4246,1618626085.70,52533
2018-01-24,336.20,338.99,334.14,334.69,4205351,-0.896,-0.27%,333.046,1414185779.44,49954
2018-01-23,338.34,338.94,334.81,335.59,4537784,-2.398,-0.71%,333.9416,1526785073.53,53909
2018-01-22,335.29,341.3812,332.04,338.00,6792870,0.269,0.08%,336.3397,2292361927.00,61737
2018-01-19,341.67,344.00,335.75,337.73,7264401,-2.418,-0.71%,336.0711,2461209503.90,71919
2018-01-18,350.70,350.83,339.15,340.16,9458634,-10.797,-3.09%,338.4891,3242487742.78,98719
2018-01-17,337.73,352.23,336.41,351.01,9699917,15.772,4.73%,349.2858,3351060512.13,93555
2018-01-16,339.90,347.73,331.33,335.16,12305475,-1.045,-0.31%,333.5137,4176089152.80,122241
2018-01-12,330.38,336.88,330.38,336.21,6559284,8.05,2.47%,334.5585,2192700319.70,71904
2018-01-11,322.13,328.40,321.19,328.12,4635344,7.821,2.45%,326.5083,1509375574.19,53081
2018-01-10,317.49,322.15,315.50,320.26,4479288,1.821,0.57%,318.6869,1429402937.48,45573
2018-01-09,310.59,319.91,310.49,318.43,5641298,8.239,2.67%,316.8659,1786109564.25,58885
2018-01-08,308.66,310.86,305.75,310.15,4124862,1.304,0.42%,308.6265,1273123212.82,41182
2018-01-05,296.77,308.89,296.72,308.84,6177731,12.11,4.10%,307.323,1881770333.55,57833
2018-01-04,297.94,298.42,295.47,296.67,4171720,-1.124,-0.38%,295.2128,1237590902.93,39860
2018-01-03,295.94,298.50,295.47,297.80,3211195,0.955,0.32%,296.3372,953012399.00,34290
2018-01-02,295.75,296.99,295.396,296.84,2978918,1.921,0.65%,295.3819,882200336.78,30456
2017-12-29,296.94,297.30,294.83,294.91,1824591,-1.433,-0.49%,293.4614,539330472.35,18045
2017-12-28,295.81,296.99,294.74,296.35,1436751,0.726,0.25%,294.8943,425095697.88,16671
2017-12-27,296.41,296.80,294.80,295.62,1447837,0.259,0.09%,294.1679,427774710.17,14091
2017-12-26,295.54,297.44,294.65,295.36,1394737,0.259,0.09%,293.9092,412360985.87,16893
2017-12-22,295.135,296.52,293.01,295.10,2257350,0.07,0.02%,293.6505,664996183.47,23426
2017-12-21,298.04,298.3852,294.1301,295.03,5398275,-2.856,-0.96%,293.5808,1599515533.17,38475
2017-12-20,298.88,299.33,297.11,297.90,2533689,0.647,0.22%,296.4367,755603523.87,24063
2017-12-19,296.35,297.58,294.1809,297.25,2728367,1.105,0.37%,295.7899,809440705.24,24978
2017-12-18,295.08,297.14,294.52,296.14,2901644,2.189,0.75%,294.6854,858771887.19,29571
2017-12-15,296.05,297.37,293.02,293.94,6933490,0.06,0.02%,292.4962,2045676358.84,39315
2017-12-14,292.64,296.82,292.60,293.88,3913444,2.03,0.70%,292.4365,1152610154.41,35708
2017-12-13,290.50,295.85,289.70,291.84,5003328,1.891,0.66%,290.4065,1464701927.14,45855
2017-12-12,288.16,292.80,287.72,289.94,5517550,6.747,2.39%,288.5158,1603928881.65,49370
2017-12-11,286.21,286.49,279.90,283.16,4065242,-2.727,-0.96%,281.7691,1151038734.00,37766
2017-12-08,285.01,287.32,283.56,285.90,4440528,3.911,1.39%,284.4957,1267283613.64,35741
2017-12-07,278.49,284.79,277.80,281.97,4264354,3.682,1.33%,280.585,1203727263.03,36158
2017-12-06,274.87,279.14,274.0046,278.27,2538083,2.717,0.99%,276.9031,705186800.54,23884
2017-12-05,279.01,279.44,274.86,275.54,2806075,-2.418,-0.87%,274.1865,775885899.64,30912
2017-12-04,276.16,281.83,276.00,277.97,5523013,6.558,2.43%,276.6046,1541225022.34,50572
2017-12-01,277.51,278.73,270.60,271.38,4592483,-5.393,-1.96%,270.047,1255695820.37,49529
2017-11-30,269.91,277.04,269.43,276.80,4820313,7.463,2.78%,275.4404,1324968424.19,39152
2017-11-29,269.48,269.6807,266.15,269.30,3029095,1.304,0.49%,267.9772,812631942.35,29765
2017-11-28,267.00,268.01,265.23,267.99,2262052,2.398,0.91%,266.6736,603552265.88,22062
2017-11-27,265.38,266.84,264.72,265.58,1772196,-0.299,-0.11%,264.2755,470897789.48,16189
2017-11-24,265.26,266.57,264.5304,265.88,788957,0.726,0.28%,264.574,209745496.56,8816
2017-11-22,267.00,267.48,264.53,265.15,1471390,-1.831,-0.69%,263.8476,390360826.40,15792
2017-11-21,266.24,267.00,264.71,266.99,2267052,2.348,0.89%,265.6785,603743680.45,20251
2017-11-20,263.00,265.6189,262.76,264.63,2447398,2.358,0.90%,263.3301,647601966.15,20463
2017-11-17,262.82,263.74,262.03,262.26,1724790,-1.433,-0.55%,260.9718,452734828.55,17863
2017-11-16,263.76,265.04,263.34,263.70,2710174,0.836,0.32%,262.4047,715897080.24,22673
2017-11-15,261.42,264.77,260.15,262.86,2510533,1.095,0.42%,261.5688,659975781.35,25626
2017-11-14,262.00,262.40,260.20,261.76,2358169,-0.657,-0.25%,260.4742,616023381.89,22279
2017-11-13,261.67,263.36,260.49,262.42,2604867,1.562,0.60%,261.131,682762788.62,25203
2017-11-10,262.11,262.50,259.60,260.85,1740621,-1.841,-0.70%,259.5687,453384885.13,20742
2017-11-09,265.01,266.75,259.5626,262.70,3215203,-1.443,-0.55%,261.4096,845694764.71,32830
