date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,40.43,40.54,39.72,39.83,2956520,-0.63,-1.56%,39.83,118162732.23,19265
2018-03-09,39.78,40.56,39.49,40.46,4139047,0.94,2.38%,40.46,166627928.81,24291
2018-03-08,39.50,39.62,39.07,39.52,2212489,0.21,0.53%,39.52,87071053.20,17637
2018-03-07,39.20,39.535,38.82,39.31,2315833,-0.29,-0.73%,39.31,90807162.94,18839
2018-03-06,39.46,39.99,39.06,39.60,3373496,0.22,0.56%,39.60,133492407.81,22113
2018-03-05,38.40,39.53,38.31,39.38,3243977,0.59,1.52%,39.38,127102671.58,23504
2018-03-02,38.11,38.88,37.99,38.79,2746691,0.43,1.12%,38.79,105730966.79,21443
2018-03-01,38.73,38.98,38.10,38.36,4802653,-0.31,-0.80%,38.36,184897347.45,35628
2018-02-28,39.29,39.60,38.66,38.67,3681836,-0.49,-1.25%,38.67,144003214.86,23800
2018-02-27,39.72,40.10,39.16,39.16,3356109,-0.68,-1.71%,39.16,132719334.00,24880
2018-02-26,39.61,39.85,39.07,39.84,3368293,0.53,1.35%,39.84,133668194.96,14933
2018-02-23,38.88,39.32,38.64,39.31,3241852,0.59,1.52%,39.31,126612769.98,17192
2018-02-22,39.38,39.66,38.66,38.72,3469337,-0.35,-0.90%,38.72,135482178.97,19209
2018-02-21,39.11,39.85,38.86,39.07,3428061,0.21,0.54%,39.07,135413825.84,26327
2018-02-20,38.95,39.26,38.605,38.86,3351480,-0.24,-0.61%,38.86,130350492.45,22681
2018-02-16,38.86,39.53,38.77,39.10,4494647,0.04,0.10%,39.10,175973695.71,23530
2018-02-15,39.98,40.24,38.555,39.06,5113312,-0.75,-1.88%,39.06,198951218.14,36377
2018-02-14,38.66,39.87,38.51,39.81,3193411,0.97,2.50%,39.81,126153057.41,20243
2018-02-13,38.44,38.97,38.30,38.84,3141467,0.01,0.03%,38.84,121605688.08,18795
2018-02-12,38.60,39.35,38.48,38.83,3152375,0.61,1.60%,38.83,122669134.40,23768
2018-02-09,38.45,38.69,37.06,38.22,4443932,0.22,0.58%,38.22,168255824.53,34397
2018-02-08,39.41,39.56,37.99,38.00,4718035,-1.44,-3.65%,38.00,182424219.81,31453
2018-02-07,39.46,40.33,39.44,39.44,3689034,-0.28,-0.70%,39.44,146989718.36,26085
2018-02-06,37.68,39.83,37.01,39.72,5570478,0.77,1.98%,39.72,217728505.26,48472
2018-02-05,40.29,40.96,38.94,38.95,5026727,-1.93,-4.72%,38.95,200491549.28,38642
2018-02-02,41.58,41.97,40.67,40.88,3831607,-1.19,-2.83%,40.88,158039362.75,26110
2018-02-01,42.09,42.45,41.405,42.07,6795330,-0.34,-0.80%,42.07,285050686.31,33759
2018-01-31,42.92,42.92,42.23,42.41,6746940,-0.31,-0.73%,42.41,286603628.59,34519
2018-01-30,44.64,45.21,42.45,42.72,4830479,-2.40,-5.32%,42.72,208355683.32,31553
2018-01-29,45.70,45.87,45.06,45.12,2996029,-0.74,-1.61%,45.12,135516629.40,18627
2018-01-26,45.34,45.90,45.02,45.86,3239528,0.70,1.55%,45.86,147618008.50,19165
2018-01-25,45.58,45.73,44.90,45.16,2190975,-0.36,-0.79%,45.16,99057875.30,16642
2018-01-24,45.71,45.96,45.1682,45.52,2306196,0.01,0.02%,45.52,105047785.90,17975
2018-01-23,45.25,45.64,45.15,45.51,2266612,0.16,0.35%,45.51,103076365.71,19014
2018-01-22,44.85,45.35,44.59,45.35,2339798,0.46,1.02%,45.35,105434606.35,16498
2018-01-19,44.76,45.04,44.73,44.89,2948206,0.26,0.58%,44.89,132394780.23,13418
2018-01-18,44.88,45.20,44.58,44.63,3033796,-0.27,-0.60%,44.63,135933122.14,19435
2018-01-17,44.11,45.19,44.05,44.90,3268938,1.11,2.53%,44.90,146022649.76,23131
2018-01-16,45.77,45.90,43.75,43.79,4716143,-0.74,-1.66%,43.79,210306181.92,28717
2018-01-12,44.17,44.67,44.12,44.53,1996244,0.59,1.34%,44.53,88822699.11,14618
2018-01-11,43.42,43.95,43.03,43.94,2529964,0.67,1.55%,43.94,110248479.04,18086
2018-01-10,43.75,43.92,43.24,43.27,4639512,-0.39,-0.89%,43.27,201314136.92,25466
2018-01-09,44.05,44.56,43.62,43.66,2258221,-0.26,-0.59%,43.66,99248591.64,15142
2018-01-08,43.51,44.04,43.37,43.92,2404406,0.35,0.80%,43.92,105377449.73,13220
2018-01-05,43.37,43.58,43.06,43.57,1973764,0.27,0.62%,43.57,85568278.84,13000
2018-01-04,43.68,44.04,43.25,43.30,2110546,-0.15,-0.35%,43.30,91863131.33,13427
2018-01-03,43.25,43.505,43.06,43.45,2033069,0.20,0.46%,43.45,88142765.18,14795
2018-01-02,43.77,43.77,43.07,43.25,2378328,-0.08,-0.18%,43.25,103113395.07,15840
2017-12-29,43.73,43.73,43.325,43.33,1092782,-0.20,-0.46%,43.33,47500717.96,7679
2017-12-28,43.46,43.55,43.36,43.53,1415335,0.10,0.23%,43.53,61531322.55,8801
2017-12-27,43.58,43.66,43.32,43.43,1021705,-0.14,-0.32%,43.43,44387448.57,6727
2017-12-26,43.97,44.11,43.49,43.57,941468,-0.34,-0.77%,43.57,41067249.35,7766
2017-12-22,43.86,44.03,43.661,43.91,966435,0.30,0.69%,43.91,42416286.11,7547
2017-12-21,43.96,44.005,43.73,43.84,1730147,0.149,0.34%,43.61,75930530.58,10419
2017-12-20,44.00,44.13,43.48,43.69,2675449,0.01,0.02%,43.4608,116943742.02,13277
2017-12-19,44.025,44.16,43.645,43.68,2699114,0.03,0.07%,43.4509,118268678.71,16812
2017-12-18,43.96,43.98,43.54,43.65,1879432,0.189,0.44%,43.421,82164545.84,13573
2017-12-15,43.465,43.855,43.26,43.46,2928031,0.388,0.91%,43.232,127503153.66,14441
2017-12-14,43.84,43.97,43.065,43.07,2254349,-0.617,-1.42%,42.8441,97681420.09,12959
2017-12-13,44.16,44.61,43.67,43.69,2671155,-0.458,-1.04%,43.4608,117733322.93,16333
2017-12-12,44.15,44.31,43.95,44.15,1746969,0.05,0.11%,43.9184,77147545.12,13860
2017-12-11,44.70,44.78,44.03,44.10,1642877,-0.567,-1.28%,43.8687,72670048.63,12101
2017-12-08,44.78,44.78,44.25,44.67,1504766,0.169,0.38%,44.4357,67041145.90,9228
2017-12-07,44.12,44.80,44.12,44.50,1544189,0.209,0.47%,44.2666,68766763.41,12854
2017-12-06,43.96,44.90,43.905,44.29,2473451,0.139,0.32%,44.0577,110070051.10,16571
2017-12-05,44.67,44.71,44.07,44.15,2239779,-0.468,-1.05%,43.9184,99219291.27,14490
2017-12-04,44.09,44.71,44.01,44.62,2752913,1.134,2.62%,44.3859,122510514.23,19202
2017-12-01,43.42,43.57,42.33,43.48,2921897,0.129,0.30%,43.2519,126348152.90,21547
2017-11-30,43.33,43.92,43.23,43.35,3581539,0.219,0.51%,43.1226,155548806.73,21196
2017-11-29,42.46,43.76,42.45,43.13,3005211,0.955,2.28%,42.9037,129936776.82,23138
2017-11-28,41.24,42.23,41.045,42.17,2865197,0.985,2.40%,41.9488,120106705.91,17164
2017-11-27,41.23,41.50,41.14,41.18,1814284,-0.03,-0.07%,40.964,74803114.38,11832
2017-11-24,41.52,41.55,41.125,41.21,660470,-0.189,-0.46%,40.9938,27231052.61,5468
2017-11-22,41.66,41.91,41.285,41.40,2224810,-0.179,-0.43%,41.1828,92341778.04,12706
2017-11-21,40.97,41.965,40.89,41.58,3961577,0.816,2.01%,41.3619,164802874.87,21009
2017-11-20,40.58,41.00,40.45,40.76,2086948,0.279,0.69%,40.5462,85133848.54,14023
2017-11-17,40.40,40.71,40.27,40.48,1829590,-0.07,-0.17%,40.2676,74152885.68,13354
2017-11-16,40.61,40.91,40.305,40.55,2033659,0.099,0.25%,40.3373,82687110.71,15157
2017-11-15,40.50,40.74,40.22,40.45,2766621,-0.378,-0.93%,40.2378,112071362.45,19073
2017-11-14,40.55,40.86,40.55,40.83,2340264,0.02,0.05%,40.6158,95400639.63,15322
2017-11-13,40.80,40.97,40.47,40.81,1799353,-0.318,-0.78%,40.5959,73299755.54,13285
2017-11-10,41.29,41.45,41.01,41.13,1961239,-0.199,-0.48%,40.9142,80668833.33,14990
2017-11-09,41.58,41.72,40.89,41.33,2921025,-0.557,-1.34%,41.1132,120601510.06,21450
2017-11-08,41.72,41.99,41.36,41.89,3167342,0.109,0.26%,41.6702,132418672.84,17070
2017-11-07,42.69,42.84,41.68,41.78,2310079,-0.806,-1.90%,41.5608,96996749.78,15087
2017-11-06,42.74,42.88,42.58,42.59,1816330,-0.199,-0.47%,42.3666,77545681.02,12201
2017-11-03,42.86,42.93,42.385,42.79,1899957,-0.239,-0.56%,42.5655,81034064.73,12717
2017-11-02,42.34,43.29,42.31,43.03,1995755,0.617,1.46%,42.8043,85604096.84,15187
2017-11-01,42.45,42.73,42.25,42.41,1759351,0.279,0.66%,42.1875,74777009.41,13007
2017-10-31,42.55,42.58,42.12,42.13,2432338,-0.408,-0.96%,41.909,102762799.82,14047
2017-10-30,42.66,43.15,42.50,42.54,2493561,-0.338,-0.79%,42.3168,106618825.95,19850
2017-10-27,43.76,43.95,42.82,42.88,2490908,-1.064,-2.43%,42.6551,107254684.90,14677
2017-10-26,43.98,44.15,42.76,43.95,3197895,-0.209,-0.48%,43.7194,139775545.38,24213
2017-10-25,44.74,44.74,43.72,44.16,3188842,-0.637,-1.43%,43.9283,140436659.08,25356
2017-10-24,44.77,45.17,44.74,44.80,2593097,0.259,0.58%,44.565,116427088.80,18084
2017-10-23,45.04,45.395,44.54,44.54,2822354,-0.527,-1.18%,44.3063,126408643.69,16972
2017-10-20,45.23,45.40,44.89,45.07,2007734,0.199,0.45%,44.8336,90557454.73,12715
2017-10-19,44.52,44.98,44.52,44.87,1986450,0.07,0.16%,44.6346,89018869.27,12734
2017-10-18,44.50,44.92,44.44,44.80,1420997,0.408,0.92%,44.565,63551145.10,10482
2017-10-17,44.76,44.894,44.29,44.39,1424992,-0.358,-0.80%,44.1571,63403408.80,9152
2017-10-16,44.66,44.89,44.57,44.75,2360493,0.109,0.25%,44.5152,105567450.34,13219
2017-10-13,44.76,45.095,44.64,44.64,1914216,-0.159,-0.36%,44.4058,85829890.74,16253
2017-10-12,44.87,45.13,44.76,44.80,2136473,-0.129,-0.29%,44.565,95919228.54,14277
2017-10-11,45.00,45.04,44.66,44.93,3364048,0.01,0.02%,44.6943,150963073.63,17629
2017-10-10,44.77,45.35,44.66,44.92,2356021,0.209,0.47%,44.6844,105992382.96,18483
