date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,30.34,30.95,30.27,30.79,5750072,0.55,1.82%,30.79,176640285.57,30481
2018-03-09,29.55,30.32,29.55,30.24,5970210,0.93,3.17%,30.24,179563468.83,30680
2018-03-08,29.11,29.80,28.83,29.31,7533521,0.39,1.35%,29.31,220908864.04,41830
2018-03-07,28.25,29.00,28.23,28.92,6977356,0.37,1.30%,28.92,200755061.48,35599
2018-03-06,28.13,28.635,28.06,28.55,5565866,0.53,1.89%,28.55,158209440.49,30420
2018-03-05,27.27,28.20,27.13,28.02,4058516,0.57,2.08%,28.02,112941235.54,26122
2018-03-02,26.97,27.57,26.33,27.45,3327568,0.32,1.18%,27.45,90184403.47,21174
2018-03-01,26.45,27.4847,26.38,27.13,8132227,0.73,2.77%,27.13,219754413.40,42119
2018-02-28,27.15,27.27,26.29,26.40,3674263,-0.60,-2.22%,26.40,97520730.66,22102
2018-02-27,27.71,27.98,26.99,27.00,3075397,-0.63,-2.28%,27.00,83825779.26,19154
2018-02-26,28.22,28.22,27.26,27.63,5885814,-0.40,-1.43%,27.63,162415847.22,23512
2018-02-23,28.13,28.48,27.6736,28.03,4811591,-0.01,-0.04%,28.03,134709420.36,32568
2018-02-22,27.08,28.57,27.08,28.04,9084326,1.28,4.78%,28.04,254766261.69,52826
2018-02-21,26.32,28.23,25.87,26.76,11369999,0.32,1.21%,26.76,310004182.47,63727
2018-02-20,26.55,26.98,26.27,26.44,3625358,-0.09,-0.34%,26.44,96031999.30,22815
2018-02-16,26.00,27.02,26.00,26.53,4532145,0.39,1.49%,26.53,120579000.32,27590
2018-02-15,26.50,26.77,25.53,26.14,4577379,-0.28,-1.06%,26.14,119356892.25,28029
2018-02-14,25.64,26.63,25.63,26.42,6140902,0.48,1.85%,26.42,161362197.44,40055
2018-02-13,26.73,26.76,25.9025,25.94,4477042,-0.91,-3.39%,25.94,116637017.44,28955
2018-02-12,26.88,27.12,26.01,26.85,9381432,0.35,1.32%,26.85,250150893.36,46497
2018-02-09,27.67,27.775,25.68,26.50,6341890,-1.00,-3.64%,26.50,168418553.99,43837
2018-02-08,28.94,29.06,27.45,27.50,7637940,-1.31,-4.55%,27.50,213881957.14,41409
2018-02-07,29.43,29.83,28.64,28.81,3656339,-0.41,-1.40%,28.81,106347672.86,25653
2018-02-06,28.85,29.59,28.03,29.22,8368661,-0.16,-0.54%,29.22,241787596.30,51180
2018-02-05,30.78,31.24,29.21,29.38,4453397,-1.67,-5.38%,29.38,133768520.49,29608
2018-02-02,31.80,31.98,30.90,31.05,6506376,-1.22,-3.78%,31.05,203679374.51,38404
2018-02-01,32.50,33.07,32.05,32.45,6530479,0.298,0.93%,32.27,212420090.37,36626
2018-01-31,31.87,32.82,31.65,32.15,7545874,0.288,0.91%,31.9717,242220314.28,40474
2018-01-30,31.08,31.89,30.72,31.86,6497647,0.457,1.46%,31.6833,203799529.85,35834
2018-01-29,32.50,32.70,31.32,31.40,4832574,-1.333,-4.09%,31.2258,153405934.61,26945
2018-01-26,32.47,33.005,32.10,32.74,3885072,0.428,1.33%,32.5584,127011092.40,23737
2018-01-25,33.80,33.8839,32.29,32.31,6469444,-1.462,-4.35%,32.1308,212478621.17,37968
2018-01-24,35.96,36.16,33.1589,33.78,10236277,-2.029,-5.70%,33.5926,347402351.52,63136
2018-01-23,35.56,36.04,34.995,35.82,6187327,0.269,0.76%,35.6213,221257588.43,36587
2018-01-22,35.00,35.755,34.36,35.55,6013088,0.806,2.33%,35.3528,211808769.89,26730
2018-01-19,34.37,34.94,34.2001,34.74,5061821,0.00,0.00%,34.5473,175241533.78,21747
2018-01-18,36.07,36.12,34.64,34.74,7035413,-1.541,-4.27%,34.5473,249504956.01,31049
2018-01-17,36.36,36.65,35.94,36.29,4075132,0.01,0.03%,36.0887,148018998.37,22301
2018-01-16,37.08,37.10,36.06,36.28,3872694,-0.915,-2.47%,36.0788,141150010.69,23266
2018-01-12,36.42,37.225,36.25,37.20,4082422,0.696,1.92%,36.9937,150850114.20,26178
2018-01-11,35.50,36.62,35.10,36.50,5641504,1.024,2.90%,36.2975,204444900.59,34132
2018-01-10,34.97,35.65,34.87,35.47,3496155,0.438,1.26%,35.2732,123643479.42,24836
2018-01-09,34.52,35.05,34.09,35.03,3396731,0.517,1.51%,34.8357,118064652.86,22811
2018-01-08,34.42,34.58,33.65,34.51,4656781,0.07,0.20%,34.3186,159509120.08,22182
2018-01-05,34.70,34.70,33.69,34.44,4034566,-0.189,-0.55%,34.249,137955710.62,21306
2018-01-04,33.78,34.67,33.30,34.63,6213650,1.094,3.28%,34.4379,212642989.71,33041
2018-01-03,32.43,33.65,32.41,33.53,4954241,1.293,4.03%,33.344,164745734.19,30787
2018-01-02,31.71,32.24,31.61,32.23,3653271,0.587,1.86%,32.0512,116984938.02,23409
2017-12-29,31.58,31.795,31.06,31.64,3050236,0.239,0.76%,31.4645,96250996.14,18605
2017-12-28,32.00,32.13,31.27,31.40,2746359,-0.627,-1.97%,31.2258,86629409.85,17296
2017-12-27,32.08,32.35,31.88,32.03,2930091,-0.03,-0.09%,31.8523,93883060.38,15249
2017-12-26,32.23,32.47,31.90,32.06,2191608,-0.169,-0.53%,31.8822,70279731.43,13910
2017-12-22,32.00,32.46,31.49,32.23,2640570,-0.07,-0.22%,32.0512,85154540.47,16859
2017-12-21,32.90,33.12,32.29,32.30,6206689,-0.438,-1.34%,32.1208,202150451.81,34045
2017-12-20,31.86,32.88,31.81,32.74,4432071,0.905,2.86%,32.5584,144149266.67,25784
2017-12-19,31.18,32.091,30.86,31.83,6025242,0.796,2.58%,31.6534,191033430.74,24805
2017-12-18,30.48,31.225,30.33,31.03,6014837,0.766,2.54%,30.8579,185704603.77,24568
2017-12-15,30.61,30.84,30.10,30.26,9025329,-0.328,-1.08%,30.0921,273662632.41,24487
2017-12-14,30.24,30.84,30.02,30.59,7625301,0.259,0.86%,30.4203,233146025.80,28589
2017-12-13,30.90,31.02,30.09,30.33,5404062,-0.617,-2.00%,30.1618,164272617.23,27099
2017-12-12,30.68,31.66,30.59,30.95,5889758,0.358,1.18%,30.7783,182672116.56,30358
2017-12-11,30.25,30.69,30.21,30.59,7036912,0.328,1.09%,30.4203,214594142.86,32874
