date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.26,57.41,56.31,56.44,4794216,-0.79,-1.38%,56.44,271351652.37,35185
2018-03-09,55.94,57.45,55.73,57.23,6573563,1.54,2.77%,57.23,374779842.31,43704
2018-03-08,57.40,57.56,55.14,55.69,8016414,-1.21,-2.13%,55.69,448407736.79,57951
2018-03-07,56.39,57.10,56.07,56.90,5049143,0.03,0.05%,56.90,286085325.98,33275
2018-03-06,56.83,57.16,56.30,56.87,7012099,0.46,0.82%,56.87,397747102.25,49966
2018-03-05,54.98,56.68,54.805,56.41,4397289,1.04,1.88%,56.41,246636526.18,32785
2018-03-02,55.19,55.47,54.11,55.37,5399043,-0.14,-0.25%,55.37,296223963.43,37911
2018-03-01,57.04,57.19,55.12,55.51,6691126,-1.52,-2.67%,55.51,373926798.40,47784
2018-02-28,58.06,58.30,56.99,57.03,5078470,-0.96,-1.66%,57.03,292211410.81,26578
2018-02-27,58.20,58.67,57.97,57.99,4572649,-0.19,-0.33%,57.99,266520628.55,33233
2018-02-26,57.22,58.22,56.88,58.18,3922225,1.28,2.25%,58.18,226628537.37,27635
2018-02-23,56.19,56.93,56.14,56.90,3208089,1.00,1.79%,56.90,181298377.56,21618
2018-02-22,56.74,57.41,55.80,55.90,4275917,-0.55,-0.97%,55.90,241066519.78,32465
2018-02-21,56.47,57.36,56.29,56.45,3890866,0.03,0.05%,56.45,221324508.09,28252
2018-02-20,56.20,56.825,56.0499,56.42,2980830,0.17,0.30%,56.42,168318044.72,21227
2018-02-16,55.98,56.60,55.90,56.25,3377602,0.09,0.16%,56.25,190221410.68,21981
2018-02-15,56.50,56.68,55.67,56.16,3224786,0.18,0.32%,56.16,180929140.31,23204
2018-02-14,54.53,56.055,54.53,55.98,4066985,1.17,2.13%,55.98,226541252.30,29781
2018-02-13,54.36,55.00,54.12,54.81,3100285,0.20,0.37%,54.81,169389480.97,23167
2018-02-12,54.51,55.17,53.90,54.61,4857374,0.53,0.98%,54.61,265302005.80,33278
2018-02-09,53.98,54.46,52.11,54.08,6199593,0.79,1.48%,54.08,331568542.30,48797
2018-02-08,55.30,55.64,53.24,53.29,7132390,-2.05,-3.70%,53.29,388726160.42,54858
2018-02-07,55.22,56.205,55.21,55.34,6123722,-0.15,-0.27%,55.34,341154793.90,43340
2018-02-06,53.32,55.65,52.68,55.49,10571958,1.11,2.04%,55.49,578706517.65,82383
2018-02-05,55.76,56.72,54.27,54.38,7296108,-1.95,-3.46%,54.38,404760514.44,54993
2018-02-02,57.12,57.775,56.22,56.33,4359936,-1.17,-2.03%,56.33,247583308.26,36019
2018-02-01,56.68,57.55,56.38,57.50,3232280,0.80,1.41%,57.50,185205658.60,23727
2018-01-31,56.69,57.155,56.38,56.70,3484760,0.00,0.00%,56.70,197665288.77,22619
2018-01-30,57.16,57.61,56.70,56.70,4401256,-0.82,-1.43%,56.70,250836095.87,26730
2018-01-29,57.39,57.9399,57.26,57.52,4057570,-0.02,-0.03%,57.52,233793186.69,26674
2018-01-26,56.86,57.78,56.67,57.78,5054994,0.926,1.64%,57.54,290409516.51,25770
2018-01-25,57.75,57.89,56.71,56.85,4546117,-0.916,-1.59%,56.6138,259624991.32,28427
2018-01-24,57.86,58.33,57.37,57.77,3972328,0.05,0.09%,57.53,229794046.52,25804
2018-01-23,57.48,57.96,57.18,57.72,3832688,0.00,0.00%,57.4802,220846488.71,26384
2018-01-22,56.60,57.81,56.47,57.72,5563104,1.105,1.96%,57.4802,319288846.61,39986
2018-01-19,55.56,57.00,55.45,56.61,8964500,1.255,2.28%,56.3748,505123102.83,53758
2018-01-18,55.41,55.84,54.67,55.35,11105334,-2.529,-4.39%,55.1201,613883040.50,63061
