date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,2180.00,2218.10,2174.07,2206.09,530129,35.48,1.63%,2206.09,1168516374.67,13442
2018-03-09,2169.00,2177.96,2159.07,2170.61,489399,20.53,0.95%,2170.61,1062442005.28,14497
2018-03-08,2137.99,2169.15,2130.68,2150.08,584365,27.15,1.28%,2150.08,1255924235.32,14618
2018-03-07,2065.00,2127.96,2065.00,2122.93,580288,37.42,1.79%,2122.93,1221931695.56,15278
2018-03-06,2075.10,2095.87,2058.81,2085.51,533079,12.85,0.62%,2085.51,1109586245.61,15028
2018-03-05,2020.00,2077.00,2014.89,2072.66,614827,38.87,1.91%,2072.66,1262851528.53,16606
2018-03-02,2002.82,2037.87,1995.58,2033.79,642399,5.42,0.27%,2033.79,1298492957.39,13899
2018-03-01,2034.61,2053.54,1998.83,2028.37,837536,-5.67,-0.28%,2028.37,1700123430.42,21811
2018-02-28,2051.00,2087.34,2034.04,2034.04,1441073,129.03,6.77%,2034.04,2962891467.39,35711
2018-02-27,1884.00,1919.75,1870.02,1905.01,661915,-0.63,-0.03%,1905.01,1261412110.51,17784
2018-02-26,1905.95,1923.22,1897.66,1905.64,570074,-1.38,-0.07%,1905.64,1088356628.88,13320
2018-02-23,1889.73,1907.81,1875.16,1907.02,555264,29.88,1.59%,1907.02,1051141732.28,14641
2018-02-22,1884.19,1907.75,1870.72,1877.14,432450,-3.54,-0.19%,1877.14,814236117.00,12643
2018-02-21,1913.42,1916.04,1880.66,1880.68,518735,-13.94,-0.74%,1880.68,984181307.92,12563
2018-02-20,1883.07,1915.32,1880.93,1894.62,407957,9.62,0.51%,1894.62,774553503.93,11931
2018-02-16,1874.62,1926.87,1868.68,1885.00,559426,14.75,0.79%,1885.00,1053884974.73,13976
2018-02-15,1850.86,1875.82,1836.09,1870.25,491255,51.84,2.85%,1870.25,913386206.53,13088
2018-02-14,1784.22,1825.83,1773.02,1818.41,452419,20.55,1.14%,1818.41,816470855.86,12088
2018-02-13,1779.23,1804.83,1762.00,1797.86,375764,7.86,0.44%,1797.86,673191013.44,9810
2018-02-12,1773.99,1801.69,1732.35,1790.00,682342,25.00,1.42%,1790.00,1205891635.14,17857
2018-02-09,1767.98,1824.00,1714.07,1765.00,1137502,-41.06,-2.27%,1765.00,1992529402.34,27730
2018-02-08,1884.21,1889.28,1803.01,1806.06,677102,-76.62,-4.07%,1806.06,1243517289.68,15352
2018-02-07,1847.39,1900.37,1836.68,1882.68,491231,24.02,1.29%,1882.68,923086918.85,13101
2018-02-06,1800.01,1864.00,1800.01,1858.66,564479,32.73,1.79%,1858.66,1040621721.68,14876
