date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,578.34,578.80,569.01,571.79,410921,-5.39,-0.93%,571.79,235200102.79,8149
2018-03-09,558.33,578.65,558.33,577.18,814709,23.79,4.30%,577.18,466516370.10,14972
2018-03-08,548.87,554.37,547.02,553.39,595221,5.96,1.09%,553.39,328004991.33,8817
2018-03-07,540.42,548.515,538.33,547.43,465886,-1.23,-0.22%,547.43,253469893.37,7864
2018-03-06,543.16,549.00,540.14,548.66,387462,6.28,1.16%,548.66,211507723.63,7759
2018-03-05,532.65,546.16,531.4162,545.26,384595,7.639,1.43%,542.3799,208372080.31,8346
2018-03-02,530.22,539.7998,527.09,537.58,636469,1.989,0.37%,534.7405,340410127.59,12228
2018-03-01,548.60,549.02,527.03,535.58,779735,-13.777,-2.52%,532.7511,418988703.60,14447
2018-02-28,554.74,566.4014,548.83,549.43,721147,-3.322,-0.60%,546.5279,400434981.91,9927
2018-02-27,561.95,565.49,552.76,552.77,616407,-11.141,-1.99%,549.8503,344523831.45,8978
2018-02-26,553.15,564.22,550.69,563.97,639590,14.145,2.59%,560.9911,357937974.27,10433
2018-02-23,543.76,549.91,542.05,549.75,366653,10.166,1.89%,546.8462,200361899.79,7166
2018-02-22,547.96,552.17,537.49,539.53,626096,-4.009,-0.74%,536.6802,339774037.24,9435
2018-02-21,542.60,556.06,542.42,543.56,486257,0.955,0.18%,540.6889,266913503.44,9351
2018-02-20,541.00,546.43,537.25,542.60,532149,1.492,0.28%,539.734,288470339.75,9447
2018-02-16,539.35,548.48,537.83,541.10,534425,0.448,0.08%,538.2419,290032298.40,8701
2018-02-15,546.41,547.71,531.17,540.65,647959,0.706,0.13%,537.7943,349032735.60,10737
2018-02-14,517.90,540.35,516.40,539.94,657379,18.571,3.58%,537.088,350331383.68,11387
2018-02-13,520.86,526.52,518.77,521.27,517482,-4.088,-0.78%,518.5167,269839247.57,9186
2018-02-12,526.32,532.1397,519.88,525.38,614748,3.85,0.74%,522.6049,322957903.60,11852
2018-02-09,517.05,525.99,500.01,521.51,938570,12.066,2.38%,518.7554,481553222.11,18469
2018-02-08,534.23,536.49,509.01,509.38,1038698,-22.759,-4.30%,506.6895,541831117.56,19267
2018-02-07,535.18,541.66,532.00,532.26,672416,-2.944,-0.55%,529.4486,360661793.69,12458
2018-02-06,510.81,538.52,507.26,535.22,1076684,10.196,1.95%,532.393,565789461.62,18985
2018-02-05,539.99,553.03,518.50,524.97,1129441,-23.227,-4.26%,522.1971,606376593.79,18222
2018-02-02,565.26,565.26,545.81,548.32,808150,-16.781,-2.98%,545.4238,447523674.32,14651
2018-02-01,561.41,568.48,558.75,565.19,659597,3.372,0.60%,562.2047,372208905.79,11861
2018-01-31,564.81,566.97,559.65,561.80,665825,-0.487,-0.09%,558.8326,375183975.47,14062
2018-01-30,570.05,571.53,562.18,562.29,851135,-12.066,-2.11%,559.32,482126226.77,13398
2018-01-29,585.53,585.53,574.20,574.42,611014,-12.315,-2.11%,571.3859,353035006.28,11058
2018-01-26,578.21,586.95,577.12,586.80,516601,11.24,1.96%,583.7005,301947619.97,9772
2018-01-25,585.00,585.93,572.95,575.50,892464,-12.106,-2.07%,572.4602,515230805.06,14923
2018-01-24,591.90,592.45,583.18,587.67,642174,-1.999,-0.34%,584.5659,377841183.49,11312
2018-01-23,593.00,594.52,588.40,589.68,643398,-3.561,-0.60%,586.5653,379614487.05,10604
2018-01-22,592.46,593.44,581.99,593.26,843573,2.984,0.51%,590.1264,496697622.23,12133
2018-01-19,582.62,590.56,581.03,590.26,591655,10.982,1.91%,587.1422,346843418.01,10271
2018-01-18,577.27,584.21,575.02,579.22,819845,2.696,0.47%,576.1606,475212100.28,13671
2018-01-17,567.21,578.63,565.29,576.51,983901,13.439,2.40%,573.4649,565245528.07,15921
2018-01-16,562.62,571.82,561.06,563.00,1370552,7.431,1.34%,560.0262,774724545.88,19445
2018-01-12,552.70,556.37,546.71,555.53,941849,17.517,3.27%,552.5957,520849836.83,16254
2018-01-11,534.15,538.955,530.61,537.92,765925,6.316,1.19%,535.0787,409602364.14,13235
2018-01-10,534.47,535.88,529.78,531.57,483772,-2.357,-0.44%,528.7622,257358454.72,10313
2018-01-09,529.00,540.00,528.57,533.94,547671,4.426,0.84%,531.1197,293306642.78,10324
2018-01-08,523.94,529.72,523.52,529.49,561517,3.899,0.75%,526.6932,296346711.11,9801
2018-01-05,523.86,525.94,520.89,525.57,482968,4.417,0.85%,522.7939,252935828.60,8527
2018-01-04,516.50,521.31,515.01,521.13,389830,6.754,1.32%,518.3774,202715002.05,7888
2018-01-03,508.66,514.74,508.16,514.34,448724,5.342,1.06%,511.6233,229954304.97,9751
2018-01-02,518.78,518.78,506.4801,508.97,527135,-4.715,-0.92%,506.2816,268887361.18,10161
2017-12-29,520.00,520.0299,513.71,513.71,306692,-4.247,-0.82%,510.9966,157937770.54,5927
2017-12-28,515.00,518.30,514.71,517.98,222400,3.641,0.71%,515.244,115023319.32,5306
2017-12-27,514.37,515.62,512.26,514.32,216019,0.597,0.12%,511.6034,111051179.94,4250
2017-12-26,513.33,513.99,510.01,513.72,177023,1.592,0.31%,511.0065,90702729.82,4269
2017-12-22,513.89,514.67,508.64,512.12,258244,-1.462,-0.29%,509.415,132264056.04,5682
2017-12-21,516.41,518.6799,512.88,513.59,374923,-0.955,-0.19%,510.8772,193025436.43,6374
2017-12-20,515.61,520.42,512.54,514.55,294654,-1.263,-0.25%,511.8321,151823288.33,6833
2017-12-19,517.40,520.74,515.06,515.82,424475,-3.024,-0.59%,513.0954,219279044.89,8999
2017-12-18,517.45,519.46,515.0701,518.86,433278,6.953,1.37%,516.1194,224395842.15,7504
2017-12-15,506.89,515.71,506.37,511.87,896396,5.093,1.01%,509.1663,457998812.00,9704
2017-12-14,512.63,514.7548,506.49,506.75,336332,-5.769,-1.13%,504.0733,171197251.34,7630
2017-12-13,517.02,518.88,511.40,512.55,482113,-5.153,-1.00%,509.8427,248211441.16,6962
2017-12-12,513.94,518.55,511.67,517.73,430666,5.57,1.09%,514.9954,222193584.32,9204
2017-12-11,515.13,515.71,510.79,512.13,398137,-3.342,-0.65%,509.4249,204172314.95,9408
2017-12-08,514.20,517.305,511.61,515.49,471686,3.064,0.60%,512.7672,243114013.75,7329
2017-12-07,511.41,516.47,511.27,512.41,416743,0.587,0.12%,509.7034,214130021.02,7484
2017-12-06,507.00,516.5199,506.20,511.82,386891,-0.298,-0.06%,509.1166,198315007.62,9137
2017-12-05,513.62,515.483,510.90,512.12,501543,-1.373,-0.27%,509.415,256965774.22,9129
2017-12-04,509.11,515.60,508.095,513.50,716880,11.36,2.27%,510.7877,367320414.09,9827
2017-12-01,499.67,504.40,490.73,502.08,574691,3.372,0.68%,499.428,286953210.18,9072
2017-11-30,503.94,509.00,499.56,501.19,1071210,0.366,0.07%,496.056,538359589.73,11311
2017-11-29,495.83,505.33,494.10,500.82,685005,7.681,1.57%,495.6898,342886911.79,12515
2017-11-28,482.85,493.56,480.695,493.06,447598,10.986,2.30%,488.0093,218794381.70,9592
2017-11-27,480.70,484.17,480.22,481.96,339337,2.197,0.46%,477.023,163657569.22,6712
2017-11-24,481.13,482.92,479.34,479.74,134441,0.792,0.17%,474.8257,64651472.31,2418
2017-11-22,481.20,483.98,478.315,478.94,265359,-2.395,-0.50%,474.0339,127416658.84,5127
2017-11-21,477.71,482.7392,477.02,481.36,440921,6.522,1.39%,476.4291,212041416.86,7744
2017-11-20,474.99,476.37,472.8501,474.77,392224,0.772,0.16%,469.9066,186058185.36,7326
2017-11-17,471.75,479.25,471.66,473.99,505577,-0.03,-0.01%,469.1346,240474632.21,7967
2017-11-16,473.21,474.35,470.56,474.02,247538,3.484,0.75%,469.1643,117153035.78,5685
2017-11-15,467.86,472.275,463.75,470.50,470414,0.049,0.01%,465.6804,221117733.31,5971
2017-11-14,463.22,470.61,462.60,470.45,365975,5.285,1.15%,465.6309,171365180.32,7123
2017-11-13,462.38,465.43,461.0679,465.11,499094,-0.713,-0.15%,460.3456,231424927.30,7289
2017-11-10,466.15,468.88,463.57,465.83,304532,-0.762,-0.17%,461.0582,141851445.04,6847
2017-11-09,469.36,471.99,462.51,466.60,454974,-5.543,-1.19%,461.8203,212165370.65,8327
2017-11-08,472.14,473.93,470.96,472.20,362202,-1.158,-0.25%,467.3629,171005897.82,6228
2017-11-07,475.21,479.53,472.23,473.37,240385,-2.217,-0.47%,468.521,114059579.37,5654
2017-11-06,478.75,479.79,475.05,475.61,241614,-3.464,-0.73%,470.738,115118348.65,5862
2017-11-03,473.23,480.17,472.10,479.11,435634,4.147,0.88%,474.2022,208255166.52,6787
2017-11-02,469.43,476.91,469.325,474.92,528822,5.572,1.20%,470.0551,250540323.11,8349
2017-11-01,473.21,473.85,468.80,469.29,449755,-1.524,-0.33%,464.4828,211966622.03,7665
2017-10-31,471.72,473.175,470.24,470.83,413065,-1.445,-0.31%,466.007,194809646.73,7774
2017-10-30,475.33,475.66,471.5986,472.29,321075,-2.811,-0.60%,467.452,151874172.15,6109
2017-10-27,473.69,477.859,470.66,475.13,432631,1.633,0.35%,470.2629,205627635.38,7587
2017-10-26,472.18,475.30,470.67,473.48,495196,4.325,0.93%,468.6298,234440651.19,7834
2017-10-25,473.72,474.81,465.15,469.11,584365,-4.563,-0.97%,464.3046,273906348.47,9984
2017-10-24,477.65,478.28,472.04,473.72,510368,-0.663,-0.14%,468.8674,242031983.02,9536
2017-10-23,476.99,479.47,473.73,474.39,436872,-2.207,-0.47%,469.5305,208066396.60,8368
2017-10-20,489.79,489.79,475.19,476.62,532146,-0.168,-0.04%,471.7377,253800269.00,7822
2017-10-19,474.00,477.64,472.24,476.79,464164,-0.703,-0.15%,471.9059,220848058.26,6823
2017-10-18,477.43,477.88,474.3501,477.50,414918,1.93,0.41%,472.6087,197765980.69,7626
2017-10-17,477.22,478.459,472.795,475.55,431729,-2.385,-0.50%,470.6786,205162606.41,7431
2017-10-16,476.63,478.7472,474.731,477.96,425474,2.445,0.52%,473.0639,203093369.27,7987
2017-10-13,480.51,483.56,475.07,475.49,639780,-5.048,-1.06%,470.6192,306148761.02,8665
2017-10-12,476.00,485.23,473.99,480.59,1241743,6.592,1.41%,475.667,597446963.27,16534
2017-10-11,474.00,474.365,460.16,473.93,1031750,8.354,1.81%,469.0752,485421247.95,14245
2017-10-10,463.25,465.49,461.63,465.49,688104,3.009,0.66%,460.7217,319360510.95,10526
2017-10-09,464.91,465.81,461.66,462.45,339624,-0.762,-0.17%,457.7128,157035617.50,5809
2017-10-06,464.43,465.87,459.39,463.22,458566,-1.198,-0.26%,458.4749,211972145.88,7526
2017-10-05,458.56,465.61,456.955,464.43,642975,6.453,1.42%,459.6725,297274836.75,10078
2017-10-04,450.85,457.94,448.985,457.91,840471,7.047,1.58%,453.2193,380977389.55,9475
2017-10-03,449.42,450.90,446.87,450.79,541347,0.831,0.19%,446.1723,243404090.61,7835
2017-10-02,447.73,450.49,447.01,449.95,416892,2.831,0.64%,445.3409,187275848.20,7337
2017-09-29,445.00,448.53,443.56,447.09,457746,0.97,0.22%,442.5102,204486263.72,8759
2017-09-28,442.00,446.65,439.52,446.11,473541,7.631,1.76%,441.5402,210233484.45,9840
2017-09-27,438.27,438.68,433.87,438.40,410182,3.959,0.92%,433.9092,179265850.63,7980
2017-09-26,438.66,438.66,433.80,434.40,308425,-3.197,-0.74%,429.9502,134151741.96,6110
2017-09-25,435.49,437.80,433.18,437.63,288569,2.118,0.49%,433.1471,125910490.21,7745
