date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,67.90,68.18,67.18,67.45,5031691,-0.47,-0.69%,67.45,340147685.45,38006
2018-03-09,66.95,68.05,66.67,67.92,6260866,1.17,1.75%,67.92,423016757.38,37139
2018-03-08,66.20,66.96,66.08,66.75,3728442,0.65,0.98%,66.75,248125902.41,25318
2018-03-07,64.90,66.26,64.70,66.10,5927647,0.63,0.96%,66.10,389355489.65,41985
2018-03-06,67.22,67.40,65.185,65.47,6543428,-1.35,-2.02%,65.47,430817833.79,41586
2018-03-05,65.83,67.14,65.60,66.82,6339604,0.65,0.98%,66.82,421845732.55,39977
2018-03-02,65.45,66.50,65.13,66.17,5391365,0.48,0.73%,66.17,355731341.76,35767
2018-03-01,66.10,66.52,64.83,65.69,7801327,-0.51,-0.77%,65.69,512967074.72,59846
2018-02-28,67.85,67.94,66.17,66.20,8363900,-1.64,-2.42%,66.20,558707499.60,48279
2018-02-27,68.54,68.8796,67.82,67.84,4398540,-0.79,-1.15%,67.84,299832293.97,29966
2018-02-26,67.99,68.865,67.88,68.63,4229351,0.68,1.00%,68.63,289361423.26,32843
2018-02-23,66.17,68.03,66.17,67.95,5240848,2.01,3.05%,67.95,353620757.84,36415
2018-02-22,67.00,67.00,65.86,65.94,6528408,-0.59,-0.89%,65.94,432780002.32,42417
2018-02-21,67.34,67.75,66.51,66.53,7046249,-0.82,-1.22%,66.53,473179880.59,47769
2018-02-20,68.49,68.83,67.04,67.35,8703677,-1.61,-2.33%,67.35,590160652.29,55886
2018-02-16,68.86,70.05,68.52,68.96,10547419,-0.02,-0.03%,68.96,728712466.54,73852
2018-02-15,67.31,69.44,67.1816,68.98,15684900,3.63,5.55%,68.98,1071984631.66,101091
2018-02-14,63.59,65.94,63.27,65.35,10290569,1.48,2.32%,65.35,668583176.53,63941
2018-02-13,62.80,64.11,62.69,63.87,7519098,0.71,1.12%,63.87,478178443.38,40621
2018-02-12,62.95,63.588,62.30,63.16,7502933,0.46,0.73%,63.16,474020781.26,46450
2018-02-09,63.30,63.32,60.57,62.70,11158002,0.01,0.02%,62.70,689833286.39,84568
2018-02-08,62.55,64.7652,62.53,62.69,14961705,0.06,0.10%,62.69,952568862.14,99163
2018-02-07,60.64,62.77,60.30,62.63,12176593,1.73,2.84%,62.63,755070678.05,66525
2018-02-06,59.83,61.205,58.44,60.90,18286290,-0.06,-0.10%,60.90,1090147601.54,124907
2018-02-05,65.43,65.89,60.93,60.96,23181859,-2.52,-3.97%,60.96,1448560905.60,147268
2018-02-02,62.89,64.29,62.85,63.48,11719210,0.68,1.08%,63.48,744945517.79,69309
2018-02-01,62.18,62.98,61.945,62.80,7132976,0.20,0.32%,62.80,446465536.14,48855
2018-01-31,63.96,64.03,61.935,62.60,8886885,-1.36,-2.13%,62.60,555796780.98,52883
2018-01-30,63.93,64.61,63.31,63.96,5847968,-0.47,-0.73%,63.96,374822532.34,38709
2018-01-29,64.12,64.9599,64.08,64.43,6763254,0.18,0.28%,64.43,437078028.87,41535
2018-01-26,63.93,64.731,63.63,64.25,6727310,0.73,1.15%,64.25,431837700.78,39607
2018-01-25,64.00,64.26,63.20,63.52,6183219,-0.24,-0.38%,63.52,393596175.30,37976
2018-01-24,63.71,64.00,63.14,63.76,6430049,0.33,0.52%,63.76,408897097.56,38858
2018-01-23,62.99,63.68,62.80,63.43,6459887,0.15,0.24%,63.43,409458742.42,37813
2018-01-22,62.29,63.425,62.02,63.28,6748074,1.00,1.61%,63.28,425187930.33,37367
2018-01-19,62.10,62.42,61.56,62.28,7490267,0.45,0.73%,62.28,465044716.76,43030
2018-01-18,61.81,61.90,61.095,61.83,7904177,-0.02,-0.03%,61.83,486707302.59,41151
2018-01-17,60.33,62.00,60.28,61.85,10608482,1.93,3.22%,61.85,650039391.67,64626
2018-01-16,61.75,61.86,59.42,59.92,14471659,-2.89,-4.60%,59.92,872324455.69,89388
2018-01-12,62.75,63.22,62.52,62.81,5489236,0.34,0.54%,62.81,344983414.65,35538
2018-01-11,61.99,62.52,61.80,62.47,6591063,0.46,0.74%,62.47,410398370.79,31671
2018-01-10,61.52,62.07,61.18,62.01,5096335,0.16,0.26%,62.01,314703624.60,32149
2018-01-09,61.87,62.10,61.55,61.85,5156771,-0.06,-0.10%,61.85,319031187.43,33432
2018-01-08,61.78,62.20,61.21,61.91,4663711,0.02,0.03%,61.91,288158973.46,27063
2018-01-05,61.87,62.175,61.48,61.89,6113360,0.14,0.23%,61.89,377945179.33,33820
2018-01-04,61.00,61.82,60.78,61.75,6403211,0.79,1.30%,61.75,393801644.99,36662
2018-01-03,61.21,61.505,60.70,61.36,7433967,0.05,0.08%,60.96,455084131.95,35354
2018-01-02,61.40,61.51,60.84,61.31,6472651,0.03,0.05%,60.9103,395905154.86,34277
2017-12-29,61.97,62.255,61.26,61.28,3953493,-0.487,-0.79%,60.8805,243386746.77,20671
2017-12-28,61.60,61.85,61.37,61.77,2500533,0.089,0.15%,61.3673,154213913.90,18278
2017-12-27,61.35,62.02,61.30,61.68,3722252,0.417,0.69%,61.2779,229750451.10,20816
2017-12-26,60.98,61.55,60.96,61.26,3674245,0.298,0.49%,60.8606,225449762.59,18484
2017-12-22,61.50,61.71,60.60,60.96,5477246,-0.536,-0.88%,60.5626,334033292.50,28933
2017-12-21,61.29,61.80,61.03,61.50,6195597,0.298,0.49%,61.0991,381213633.64,32797
2017-12-20,61.70,61.75,60.59,61.20,6980326,-0.358,-0.58%,60.801,426097157.14,40148
2017-12-19,62.55,62.76,61.52,61.56,5546036,-0.835,-1.35%,61.1587,343363579.74,31104
2017-12-18,62.60,62.75,62.18,62.40,5608892,-0.01,-0.02%,61.9932,350396822.05,30788
2017-12-15,62.56,62.84,61.97,62.41,8856775,0.278,0.45%,62.0031,552799393.47,31996
2017-12-14,63.28,63.52,61.72,62.13,5507924,-1.331,-2.11%,61.725,343383287.43,34958
2017-12-13,63.14,63.97,63.00,63.47,4352438,0.189,0.30%,63.0562,276494121.08,27581
2017-12-12,63.19,63.65,63.19,63.28,4832382,0.258,0.41%,62.8675,306477697.86,30404
2017-12-11,62.22,63.41,62.09,63.02,4502938,0.596,0.96%,62.6092,283590640.37,23208
2017-12-08,61.82,62.72,61.68,62.42,5309959,0.576,0.94%,62.0131,331675177.83,28650
2017-12-07,60.96,61.89,60.96,61.84,5140490,0.864,1.43%,61.4369,316814598.13,31810
2017-12-06,62.09,62.29,60.83,60.97,4758697,-1.043,-1.69%,60.5725,291236834.27,33626
2017-12-05,62.66,63.00,61.63,62.02,4828815,-0.447,-0.72%,61.6157,299861159.06,28450
2017-12-04,63.17,63.87,62.44,62.47,4893852,-0.765,-1.22%,62.0628,308277665.38,32811
2017-12-01,63.16,63.62,62.44,63.24,4186236,0.05,0.08%,62.8277,264301614.21,29347
2017-11-30,63.09,63.80,62.53,63.19,8050700,0.288,0.46%,62.7781,508218833.35,32473
2017-11-29,62.43,63.39,61.90,62.90,5064185,0.378,0.61%,62.49,318480406.22,33323
2017-11-28,61.72,62.96,61.61,62.52,8515746,0.904,1.48%,62.1124,532446695.05,32022
2017-11-27,61.53,61.84,61.34,61.61,3032616,0.179,0.29%,61.2084,186749272.66,18990
2017-11-24,61.15,61.61,61.03,61.43,1985668,0.288,0.47%,61.0295,122003276.24,11213
2017-11-22,61.28,61.77,61.00,61.14,3192233,-0.099,-0.16%,60.7414,195619996.74,22794
2017-11-21,61.20,61.74,60.98,61.24,3967968,0.437,0.72%,60.8408,243584278.41,25192
2017-11-20,61.17,61.2199,60.15,60.80,4902710,-0.517,-0.85%,60.4036,297357539.22,31931
2017-11-17,61.56,61.895,60.99,61.32,4147934,-0.546,-0.89%,60.9203,254319137.36,22916
2017-11-16,61.25,61.97,61.01,61.87,4286221,0.795,1.31%,61.4667,264296796.43,26359
2017-11-15,61.26,61.28,60.53,61.07,3349184,-0.179,-0.29%,60.6719,204374646.22,23013
2017-11-14,60.96,61.65,60.67,61.25,3986891,0.258,0.43%,60.8507,244267629.76,26775
2017-11-13,60.70,61.21,60.50,60.99,4222587,0.129,0.21%,60.5924,257037721.23,29949
2017-11-10,61.75,61.75,60.34,60.86,5592728,-1.123,-1.82%,60.4633,339657858.90,35212
2017-11-09,62.21,62.35,61.76,61.99,3670232,-0.586,-0.94%,61.5859,227493858.20,25873
2017-11-08,61.63,62.82,61.625,62.58,4535865,0.666,1.08%,62.172,283339089.40,28206
2017-11-07,61.58,62.43,61.45,61.91,4047238,0.229,0.37%,61.5064,250816287.30,28263
2017-11-06,62.24,62.27,61.28,61.68,4222569,-0.536,-0.87%,61.2779,260441633.39,28334
2017-11-03,62.08,62.25,61.795,62.22,3327317,-0.01,-0.02%,61.8144,206486824.72,24656
2017-11-02,62.15,62.87,61.73,62.23,4058167,0.07,0.11%,61.8243,252830715.16,28764
2017-11-01,61.86,62.35,61.49,62.16,4713267,0.497,0.81%,61.7548,292477174.11,32150
2017-10-31,60.94,61.90,60.68,61.66,8234174,0.815,1.35%,61.258,505654844.95,49922
2017-10-30,61.09,61.53,60.28,60.84,8443729,0.894,1.50%,60.4434,514474955.65,52660
2017-10-27,60.98,61.69,59.79,59.94,9539873,-1.003,-1.66%,59.5493,574822490.93,53767
2017-10-26,62.51,63.25,60.40,60.95,13116258,-3.09,-4.85%,60.5527,803286346.91,79231
2017-10-25,63.46,64.56,63.41,64.06,5371064,0.407,0.64%,63.6424,344624680.50,39676
2017-10-24,63.75,64.05,63.36,63.65,6197622,-0.099,-0.16%,63.2351,394801592.18,39289
2017-10-23,64.62,64.69,63.69,63.75,5990197,-0.666,-1.04%,63.3344,384052489.37,35355
2017-10-20,64.79,64.99,64.21,64.42,5227420,-0.248,-0.39%,64.00,336942284.53,27206
2017-10-19,63.82,64.69,63.675,64.67,4919544,0.964,1.52%,64.2484,316873786.61,34073
2017-10-18,64.25,64.70,63.55,63.70,5595032,-0.477,-0.75%,63.2847,357317464.50,34480
2017-10-17,63.63,64.37,63.41,64.18,5030781,0.527,0.83%,63.7616,322250545.63,33524
2017-10-16,64.54,65.04,63.31,63.65,6692649,-1.629,-2.51%,63.2351,427858808.53,41996
2017-10-13,65.51,66.10,65.14,65.29,6209580,-0.06,-0.09%,64.8644,407118116.05,33607
2017-10-12,65.15,65.73,64.90,65.35,5339734,0.238,0.37%,64.924,348585674.25,29043
2017-10-11,65.13,65.50,64.93,65.11,3875585,-0.02,-0.03%,64.6855,252478589.12,25372
2017-10-10,64.24,65.26,64.16,65.13,5008533,0.974,1.53%,64.7054,325003866.64,34403
2017-10-09,64.76,64.86,64.085,64.15,3267679,-0.656,-1.02%,63.7318,210121811.08,23109
2017-10-06,63.89,65.03,63.83,64.81,6161423,1.003,1.58%,64.3875,398143199.86,34710
2017-10-05,64.22,64.34,63.73,63.80,6091778,-0.546,-0.85%,63.3841,389542484.56,31002
2017-10-04,64.47,64.79,64.38,64.74,4583823,0.444,0.70%,63.9305,296180885.76,22542
2017-10-03,64.41,64.79,64.17,64.29,5056183,-0.267,-0.42%,63.4861,325338770.42,29460
2017-10-02,63.80,64.78,63.64,64.56,5991743,0.81,1.29%,63.7528,386686517.57,32658
2017-09-29,63.16,63.75,63.06,63.74,5404324,0.721,1.16%,62.943,343119276.96,26870
2017-09-28,62.79,63.459,62.59,63.01,5842502,0.059,0.10%,62.2221,368696703.35,33434
2017-09-27,62.78,63.145,62.57,62.95,4674205,0.02,0.03%,62.1629,294213327.79,24514
2017-09-26,63.12,63.60,62.805,62.93,3497913,-0.257,-0.41%,62.1431,220466974.76,20416
2017-09-25,63.33,63.69,63.06,63.19,5959010,-0.168,-0.27%,62.3999,377044255.00,29500
2017-09-22,63.33,63.55,63.04,63.36,3667703,0.03,0.05%,62.5678,232005390.97,21412
2017-09-21,63.35,63.74,63.03,63.33,5250092,-0.158,-0.25%,62.5381,332672987.85,27552
2017-09-20,62.92,63.72,62.72,63.49,5561290,0.553,0.89%,62.6961,352171703.47,32024
2017-09-19,62.70,63.1264,62.59,62.93,4844305,0.227,0.37%,62.1431,304743848.28,27797
2017-09-18,62.49,63.21,62.27,62.70,6976468,0.217,0.35%,61.916,438493226.87,34857
2017-09-15,62.90,63.38,62.31,62.48,10407558,-0.207,-0.33%,61.6988,652524953.59,40194
2017-09-14,62.38,63.11,62.32,62.69,5347129,0.207,0.34%,61.9061,335965617.27,34119
2017-09-13,62.88,63.08,62.23,62.48,4356991,-0.533,-0.86%,61.6988,272494268.86,28023
2017-09-12,62.44,63.09,62.42,63.02,4780698,0.296,0.48%,62.232,300614062.21,32183
2017-09-11,62.62,63.135,62.14,62.72,6086467,0.099,0.16%,61.9358,380782564.89,38239
2017-09-08,62.74,63.18,62.23,62.62,6579322,-0.217,-0.35%,61.837,412016427.63,43068
2017-09-07,60.50,63.47,60.49,62.84,17301923,2.933,4.96%,62.0543,1079515923.11,99442
2017-09-06,60.00,60.29,59.77,59.87,5389284,0.059,0.10%,59.1214,323239860.80,28855
2017-09-05,59.54,60.22,59.39,59.81,4383655,-0.089,-0.15%,59.0622,262066863.28,28946
2017-09-01,60.36,60.65,59.72,59.90,6284460,-0.573,-0.96%,59.151,377236362.89,39536
2017-08-31,59.63,60.75,59.61,60.48,9716921,1.086,1.85%,59.7238,585391212.37,52077
2017-08-30,58.87,59.70,58.82,59.38,5327786,0.513,0.88%,58.6375,316211685.87,31226
2017-08-29,58.35,59.02,58.18,58.86,3984514,0.276,0.48%,58.124,234074673.83,25120
2017-08-28,58.64,58.8899,58.45,58.58,3292255,0.207,0.36%,57.8475,192972474.90,21741
2017-08-25,58.29,58.67,58.18,58.37,4070765,0.197,0.34%,57.6402,237866017.98,23225
2017-08-24,57.98,58.34,57.80,58.17,4470989,0.296,0.52%,57.4427,260101215.79,27777
2017-08-23,57.63,58.17,57.43,57.87,4017429,0.197,0.35%,57.1464,232573339.79,25413
2017-08-22,56.79,57.80,56.65,57.67,4441031,1.017,1.82%,56.9489,255156611.61,28758
2017-08-21,56.42,56.92,56.25,56.64,4879394,0.217,0.39%,55.9318,276395698.19,28319
2017-08-18,56.68,56.94,56.41,56.42,4809885,-0.346,-0.62%,55.7145,272382628.37,25966
2017-08-17,57.48,57.53,56.73,56.77,4393721,-0.721,-1.27%,56.0602,250648373.41,27445
2017-08-16,57.33,57.69,56.94,57.50,7881340,-0.365,-0.64%,56.781,451349138.70,45037
2017-08-15,57.66,57.9949,57.50,57.87,5843318,0.247,0.43%,57.1464,337871491.96,28854
2017-08-14,56.96,57.76,56.70,57.62,5654336,0.879,1.57%,56.8995,324603340.79,30749
2017-08-11,56.61,57.01,56.41,56.73,4060530,0.138,0.25%,56.0207,230601616.08,27047
2017-08-10,57.25,57.25,56.55,56.59,5134568,-0.80,-1.41%,55.8824,291940070.99,36643
2017-08-09,56.79,57.56,56.51,57.40,7675555,0.484,0.86%,56.6823,439659820.07,44229
2017-08-08,56.35,57.57,56.3025,56.91,7887217,0.602,1.08%,56.1984,450307356.77,43746
2017-08-07,56.00,56.35,55.57,56.30,5126033,0.346,0.63%,55.596,287673048.85,26393
2017-08-04,55.56,56.22,55.5204,55.95,4161468,0.444,0.81%,55.2504,232540439.00,26060
2017-08-03,55.10,55.88,55.08,55.50,5484412,0.267,0.49%,54.806,304201851.17,36296
2017-08-02,56.29,56.45,55.10,55.23,6294198,-0.869,-1.57%,54.5394,349213598.25,37281
2017-08-01,57.15,57.17,55.665,56.11,11075279,-0.78,-1.39%,55.4084,624510107.73,56781
2017-07-31,55.59,57.20,55.50,56.90,10824270,1.61,2.95%,56.1885,614427877.27,58790
2017-07-28,54.24,55.59,53.94,55.27,9099647,1.017,1.90%,54.5789,499718407.67,51699
2017-07-27,53.33,54.44,52.06,54.24,21645111,-1.718,-3.11%,53.5618,1158493851.74,111576
2017-07-26,55.95,56.145,55.50,55.98,8049264,0.03,0.05%,55.28,450074829.99,43326
2017-07-25,55.86,56.18,55.77,55.95,7312939,0.346,0.63%,55.2504,409336202.69,40372
