date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,213.20,213.36,211.24,211.82,4967030,-1.12,-0.53%,211.82,1053905751.60,38097
2018-03-09,206.95,213.24,206.25,212.94,5494342,7.65,3.73%,212.94,1158173305.60,43294
2018-03-08,204.32,205.49,203.03,205.29,3084500,0.99,0.48%,205.29,630379499.42,25915
2018-03-07,202.35,204.83,201.75,204.30,3622810,-0.25,-0.12%,204.30,736749603.81,30943
2018-03-06,204.86,204.86,202.37,204.55,3203318,1.31,0.64%,204.55,652885353.70,29601
2018-03-05,199.60,204.1256,199.12,203.24,4041139,1.90,0.94%,203.24,818501591.72,33349
2018-03-02,199.98,201.974,198.98,201.34,5025518,-0.19,-0.09%,201.34,1008338882.75,47904
2018-03-01,206.82,208.5699,200.28,201.53,6983958,-5.67,-2.74%,201.53,1421643986.61,65097
2018-02-28,211.00,211.535,200.47,207.20,5378272,-2.46,-1.17%,207.20,1125105142.41,40190
2018-02-27,212.00,213.13,209.65,209.66,5903429,-0.96,-0.46%,209.66,1247767780.19,51833
2018-02-26,207.71,211.14,205.36,210.62,8254143,7.86,3.88%,210.62,1725447150.52,61535
2018-02-23,201.39,202.97,200.805,202.76,4128443,2.03,1.01%,202.76,833653295.45,33190
2018-02-22,201.57,203.28,200.16,200.73,4034009,-0.29,-0.14%,200.73,813939982.96,31713
2018-02-21,202.50,205.221,200.77,201.02,4994392,-2.03,-1.00%,201.02,1014079046.81,35491
2018-02-20,203.34,204.70,202.35,203.05,4116688,-0.74,-0.36%,203.05,837355700.69,31023
2018-02-16,203.99,206.32,203.16,203.79,4382492,-0.11,-0.05%,203.79,895901055.04,34109
2018-02-15,202.38,203.90,200.31,203.90,4357944,3.36,1.68%,203.90,882610450.02,38386
2018-02-14,197.04,200.76,195.99,200.54,4348102,2.55,1.29%,200.54,865118583.90,36556
2018-02-13,197.58,198.84,195.92,197.99,3967686,-0.90,-0.45%,197.99,784349098.60,35348
2018-02-12,198.51,200.66,196.14,198.89,5128865,2.87,1.46%,198.89,1020136982.57,42903
2018-02-09,195.68,197.57,189.30,196.02,8931743,4.60,2.40%,196.02,1728650460.19,85445
2018-02-08,200.37,200.99,191.04,191.42,8044402,-8.95,-4.47%,191.42,1568987269.29,71985
2018-02-07,202.00,204.48,200.00,200.37,5758041,-0.87,-0.43%,200.37,1164846419.93,50432
2018-02-06,193.15,201.92,190.18,201.24,10662988,4.44,2.26%,201.24,2106712002.38,100265
2018-02-05,205.49,207.10,196.00,196.80,10746479,-12.32,-5.89%,196.80,2166034494.20,98515
2018-02-02,216.16,216.58,207.87,209.12,6080558,-8.13,-3.74%,209.12,1286030069.71,57964
2018-02-01,214.49,217.50,214.03,217.25,4508901,2.87,1.34%,217.25,974586204.49,35968
2018-01-31,214.99,215.05,213.37,214.38,4626303,-0.03,-0.01%,214.38,990798446.01,36989
2018-01-30,214.97,216.62,214.10,214.41,5040126,-1.05,-0.49%,214.41,1085124748.32,39392
2018-01-29,217.15,217.62,215.19,215.46,3021260,-1.73,-0.80%,215.46,652346903.18,23562
2018-01-26,215.52,217.34,215.15,217.19,3640838,2.09,0.97%,217.19,787824478.23,27456
2018-01-25,216.24,216.50,214.28,215.10,3088344,-0.51,-0.24%,215.10,664883060.27,26459
2018-01-24,216.12,216.89,214.59,215.61,4294243,0.05,0.02%,215.61,926404432.78,36101
2018-01-23,216.04,216.35,212.77,215.56,3659082,-0.41,-0.19%,215.56,787303308.56,34601
2018-01-22,213.29,216.08,213.25,215.97,3267192,2.72,1.28%,215.97,701997603.06,27970
2018-01-19,213.45,214.30,212.11,213.25,5140181,0.06,0.03%,213.25,1096335959.24,32815
2018-01-18,215.67,215.78,213.055,213.19,5141495,-0.97,-0.45%,213.19,1099890209.82,34527
2018-01-17,211.92,214.50,211.14,214.16,4600654,3.87,1.84%,214.16,982868276.16,34372
2018-01-16,213.12,214.03,209.36,210.29,6220020,0.13,0.06%,210.29,1316940682.26,45638
2018-01-12,207.27,210.39,206.80,210.16,4184374,3.47,1.68%,210.16,874146261.98,33589
2018-01-11,205.96,207.28,205.7156,206.69,3641516,1.08,0.53%,206.69,752114985.73,33462
2018-01-10,203.00,205.724,202.50,205.61,3793089,2.59,1.28%,205.61,776481356.44,33095
2018-01-09,203.34,204.40,202.58,203.02,3834919,0.28,0.14%,203.02,780123831.66,36006
2018-01-08,201.15,203.07,199.80,202.74,3887912,1.32,0.66%,202.74,785169419.22,28826
2018-01-05,201.00,201.67,199.31,201.42,4207636,0.73,0.36%,201.42,843604968.53,31579
2018-01-04,200.90,202.1299,200.01,200.69,3899998,0.90,0.45%,200.69,784698235.69,33287
2018-01-03,197.00,200.00,197.00,199.79,3526694,2.57,1.30%,199.79,701921800.29,29231
2018-01-02,198.87,198.87,195.96,197.22,4112983,-1.00,-0.50%,197.22,811158534.12,35846
2017-12-29,200.00,200.07,198.22,198.22,3565996,-1.34,-0.67%,198.22,709113624.12,24394
2017-12-28,199.34,199.96,198.82,199.56,2340013,0.87,0.44%,199.56,466640431.63,21743
2017-12-27,197.50,198.82,197.28,198.69,3343161,1.12,0.57%,198.69,662846311.61,19936
2017-12-26,197.97,198.57,197.28,197.57,1769585,-0.35,-0.18%,197.57,349799331.43,16121
2017-12-22,199.15,199.68,196.88,197.92,3786759,-0.97,-0.49%,197.92,749725536.23,23132
2017-12-21,198.76,199.56,198.21,198.89,3262442,1.10,0.56%,198.89,648935362.50,22714
2017-12-20,199.41,199.75,197.68,197.79,3914274,-0.12,-0.06%,197.79,776172586.28,28227
2017-12-19,200.455,200.50,197.68,197.91,3645240,-1.43,-0.72%,197.91,724149942.05,30332
2017-12-18,199.15,200.26,198.94,199.34,4600104,1.56,0.79%,199.34,918146418.62,33266
2017-12-15,198.27,199.20,197.23,197.78,9169379,1.12,0.57%,197.78,1815992640.93,40871
2017-12-14,197.94,198.19,195.9355,196.66,3594449,-0.74,-0.37%,196.66,707642050.19,33102
2017-12-13,198.56,199.63,197.35,197.40,4151856,-1.67,-0.84%,197.40,823850776.58,32841
2017-12-12,197.00,199.92,197.00,199.07,4343014,2.37,1.20%,199.07,863980551.91,34896
2017-12-11,196.63,197.18,195.30,196.70,3605038,0.26,0.13%,196.70,708125634.80,29867
2017-12-08,196.82,197.28,195.02,196.44,3953424,0.10,0.05%,196.44,774806975.51,25413
2017-12-07,195.91,196.75,194.98,196.34,2650907,0.33,0.17%,196.34,519569994.24,23998
2017-12-06,195.79,196.8299,194.80,196.01,3315684,-0.06,-0.03%,196.01,649857638.10,26745
2017-12-05,197.77,197.99,195.50,196.07,3411657,-0.89,-0.45%,196.07,670926735.57,28073
2017-12-04,196.18,199.48,196.18,196.96,4899504,2.40,1.23%,196.96,968654189.45,42878
2017-12-01,193.59,194.99,189.72,194.56,5177289,1.55,0.80%,194.56,1001026777.94,42598
2017-11-30,190.35,193.81,189.95,193.01,6420402,3.16,1.66%,193.01,1236440285.23,41905
2017-11-29,188.20,192.00,187.57,189.85,4898043,2.31,1.23%,189.85,932153038.54,40252
2017-11-28,184.10,187.84,184.02,187.54,3721044,4.05,2.21%,187.54,694195642.99,34153
2017-11-27,182.74,183.87,182.41,183.49,2985187,1.13,0.62%,183.49,547302724.82,18764
2017-11-24,182.66,182.98,182.2456,182.36,1038600,-0.20,-0.11%,182.36,189555923.56,8868
2017-11-22,183.78,183.78,181.94,182.56,3017043,-0.62,-0.34%,182.56,550781419.87,19813
2017-11-21,181.78,183.50,181.51,183.18,3046964,1.55,0.85%,183.18,557850655.58,23392
2017-11-20,181.43,181.98,180.44,181.63,2428837,0.57,0.31%,181.63,440630269.66,19141
2017-11-17,181.70,181.94,180.50,181.06,2715940,-0.99,-0.54%,181.06,492035282.61,22212
2017-11-16,182.21,183.05,181.65,182.05,3944011,0.24,0.13%,182.05,718585343.29,24442
2017-11-15,182.13,182.90,181.41,181.81,4004451,-1.53,-0.83%,181.81,728894375.69,29700
2017-11-14,183.66,184.00,182.5001,183.34,3087975,-1.06,-0.57%,183.34,565937195.71,20737
2017-11-13,183.16,184.85,183.16,184.40,1889919,0.72,0.39%,184.40,348452299.91,17273
2017-11-10,183.84,184.07,182.51,183.68,3043339,-0.81,-0.44%,183.68,557780709.86,24113
2017-11-09,183.34,184.679,181.76,184.49,3572294,-0.11,-0.06%,184.49,654925134.44,31647
2017-11-08,186.31,186.89,184.35,184.60,4118808,-1.70,-0.91%,184.60,761514334.77,21918
2017-11-07,187.23,188.19,185.61,186.30,2500555,-0.38,-0.20%,186.30,466692607.76,23059
2017-11-06,186.10,187.57,185.30,186.68,2603060,-0.59,-0.32%,186.68,485540556.13,21619
2017-11-03,188.13,188.55,187.02,187.27,2159941,-1.34,-0.71%,187.27,405248983.60,18906
2017-11-02,186.75,188.78,185.89,188.61,3340869,1.44,0.77%,188.61,627334015.08,26030
2017-11-01,188.10,188.13,186.73,187.17,2727823,0.23,0.12%,187.17,511008344.56,24175
2017-10-31,188.06,188.11,186.41,186.94,3290354,-0.91,-0.48%,186.94,615633548.12,26032
2017-10-30,188.02,188.52,187.3474,187.85,2473723,-0.74,-0.39%,187.85,465008554.67,21559
2017-10-27,188.32,188.63,187.05,188.59,2978782,-0.02,-0.01%,188.59,560257060.41,22532
2017-10-26,189.65,189.92,187.831,188.61,2740876,-0.19,-0.10%,188.61,517434814.77,22370
2017-10-25,189.83,190.00,187.66,188.80,2743589,-0.98,-0.52%,188.80,516768604.58,27204
2017-10-24,189.92,190.68,189.53,189.78,2888644,0.39,0.21%,189.78,548478827.04,23559
2017-10-23,189.18,189.72,188.64,189.39,2418165,0.35,0.19%,189.39,457831268.92,19645
2017-10-20,187.75,189.04,187.58,189.04,2934866,1.83,0.98%,189.04,553147721.82,19380
2017-10-19,187.16,187.50,186.43,187.21,2831912,-0.64,-0.34%,187.21,529417367.71,19134
2017-10-18,187.75,188.13,186.80,187.85,2192928,0.46,0.25%,187.85,411701853.12,20495
2017-10-17,187.96,188.00,186.50,187.39,2273060,-0.57,-0.30%,187.39,425660137.07,18091
2017-10-16,188.00,188.62,187.57,187.96,2316734,0.59,0.31%,187.96,435444095.09,19088
2017-10-13,186.77,188.00,186.33,187.37,2830248,1.07,0.57%,187.37,530187618.16,22198
2017-10-12,187.70,187.99,185.97,186.30,2640716,-1.16,-0.62%,186.30,492414584.51,22946
2017-10-11,187.40,187.95,186.48,187.46,2750551,-0.54,-0.29%,187.46,515216187.41,23164
2017-10-10,187.46,188.20,187.16,188.00,2212831,0.50,0.27%,188.00,415397764.66,20461
2017-10-09,187.50,187.95,186.639,187.50,2036652,0.07,0.04%,187.50,381436109.12,14884
2017-10-06,187.20,187.62,186.05,187.43,2995155,0.31,0.17%,187.43,560055889.62,21088
2017-10-05,186.17,188.04,185.80,187.12,2786086,1.29,0.69%,187.12,521156484.92,25185
2017-10-04,186.20,186.67,185.51,185.83,2071581,0.16,0.09%,185.83,385316154.15,18708
2017-10-03,185.60,186.51,184.60,185.67,3173887,0.26,0.14%,185.67,589604481.97,26269
2017-10-02,183.45,185.47,182.9301,185.41,2577545,2.09,1.14%,185.41,475688427.39,22408
2017-09-29,183.59,183.68,182.42,183.32,2761562,0.11,0.06%,183.32,505676510.68,19209
2017-09-28,183.40,183.95,182.44,183.21,1930837,-0.06,-0.03%,183.21,353518492.93,15938
2017-09-27,182.87,184.00,182.51,183.27,2593883,1.41,0.78%,183.27,475262036.41,20055
2017-09-26,182.55,182.87,181.74,181.86,2381967,-0.66,-0.36%,181.86,433846526.80,17898
2017-09-25,181.99,182.64,180.80,182.52,2424610,0.66,0.36%,182.52,441273860.43,18452
2017-09-22,182.63,182.84,181.3034,181.86,2688065,-1.30,-0.71%,181.86,488899568.88,20903
2017-09-21,183.32,183.93,183.03,183.16,2368980,-0.66,-0.36%,183.16,434527041.29,21741
2017-09-20,183.30,183.93,182.46,183.82,3742122,0.81,0.44%,183.82,686282781.94,28189
2017-09-19,181.50,183.01,181.50,183.01,3159030,1.54,0.85%,183.01,576869953.38,27268
2017-09-18,180.50,181.74,180.27,181.47,3698635,1.58,0.88%,181.47,670272792.93,26157
2017-09-15,179.24,180.36,178.81,179.89,9234842,1.32,0.74%,179.89,1660429347.54,28559
2017-09-14,178.80,179.16,178.38,178.57,3304129,-0.35,-0.20%,178.57,590407670.79,24030
2017-09-13,177.76,179.15,177.61,178.92,2679361,0.29,0.16%,178.92,478595197.14,22961
2017-09-12,178.00,178.72,177.80,178.63,2348503,0.76,0.43%,178.63,418739395.36,21684
2017-09-11,177.75,179.24,177.33,177.87,4107611,2.37,1.35%,177.87,730855563.72,30943
2017-09-08,173.90,175.815,173.57,175.50,3736383,1.51,0.87%,175.50,654697753.71,30448
2017-09-07,177.05,177.48,172.61,173.99,4620639,-2.80,-1.58%,173.99,803211199.03,41568
2017-09-06,177.35,177.87,176.73,176.79,4270318,-0.19,-0.11%,176.79,756374925.75,27398
2017-09-05,180.29,180.29,176.29,176.98,4890720,-3.75,-2.07%,176.98,869308083.71,42813
2017-09-01,181.60,181.97,180.57,180.73,2536811,-0.43,-0.24%,180.73,459327315.88,26499
2017-08-31,180.35,181.87,180.25,181.16,4376292,0.81,0.45%,181.16,792372733.66,31829
2017-08-30,178.71,181.03,178.51,180.35,3304304,1.73,0.97%,180.35,595117300.33,25371
