date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,51.65,51.95,50.77,50.77,1186479,-0.79,-1.53%,50.77,60758263.11,11487
2018-03-09,50.20,51.59,50.00,51.56,1664491,1.71,3.43%,51.56,85316537.22,14732
2018-03-08,49.01,50.00,48.70,49.85,1550100,1.00,2.05%,49.85,76671774.75,13699
2018-03-07,48.37,49.08,48.26,48.85,1003843,-0.02,-0.04%,48.85,48897887.19,9151
2018-03-06,49.00,49.17,48.28,48.87,1010474,0.15,0.31%,48.87,49346082.49,9572
2018-03-05,47.78,48.96,47.42,48.72,1655598,0.71,1.48%,48.72,80118332.51,14271
2018-03-02,47.81,48.30,47.23,48.01,1794688,-0.31,-0.64%,48.01,85996964.03,15226
2018-03-01,49.11,49.47,47.80,48.32,2850350,-0.76,-1.55%,48.32,138296676.07,24035
2018-02-28,50.11,50.22,49.08,49.08,2191615,-0.84,-1.68%,49.08,108626799.16,18022
2018-02-27,52.05,52.12,50.09,50.09,1988889,-1.814,-3.51%,49.92,100897965.88,18750
2018-02-26,52.52,52.55,51.41,51.91,2139614,-0.409,-0.78%,51.7338,110934415.68,17937
2018-02-23,52.63,52.63,51.81,52.32,1000784,0.08,0.15%,52.1424,52253975.02,8462
2018-02-22,52.26,52.65,51.93,52.24,1448733,0.149,0.29%,52.0627,75702485.34,12415
2018-02-21,52.33,52.815,51.845,52.09,1744870,-0.169,-0.33%,51.9132,91245690.87,11366
2018-02-20,52.00,53.04,51.38,52.26,1316760,0.04,0.08%,52.0826,68931449.78,12718
2018-02-16,52.61,53.07,52.08,52.22,1363379,-0.448,-0.85%,52.0428,71516658.97,11624
2018-02-15,53.98,54.06,52.37,52.67,1774339,-0.817,-1.53%,52.4912,93548327.83,14686
2018-02-14,51.82,53.67,51.78,53.49,1504651,1.176,2.26%,53.3085,79732154.65,15345
2018-02-13,52.50,53.17,51.83,52.31,1487133,-0.658,-1.25%,52.1325,77655195.76,13638
2018-02-12,53.24,53.81,52.73,52.97,1709515,0.359,0.68%,52.7902,90976888.92,16436
2018-02-09,53.09,53.555,50.40,52.61,2343846,0.668,1.29%,52.4314,122000782.10,23015
2018-02-08,54.30,54.47,51.86,51.94,3527357,-3.05,-5.56%,51.7637,186550758.23,31050
2018-02-07,53.92,55.78,53.07,55.00,2417604,0.837,1.55%,54.8133,133524970.03,22158
2018-02-06,51.32,54.53,50.75,54.16,2706124,1.804,3.46%,53.9762,144227432.99,23982
2018-02-05,54.17,54.77,52.35,52.35,2196585,-2.113,-3.89%,52.1723,117379068.60,18378
2018-02-02,55.91,56.25,54.38,54.47,1234726,-1.913,-3.40%,54.2851,67926003.66,10935
2018-02-01,55.73,56.62,55.21,56.39,1014613,0.13,0.23%,56.1986,57035457.21,9317
2018-01-31,57.09,57.41,56.04,56.26,1104176,-0.458,-0.81%,56.0691,62350674.41,9410
2018-01-30,56.58,57.19,56.33,56.72,940157,-0.10,-0.18%,56.5275,53293359.88,9503
2018-01-29,56.96,57.73,56.81,56.82,1045896,-0.339,-0.59%,56.6272,59783889.15,10407
2018-01-26,56.68,57.16,56.43,57.16,1141863,0.897,1.60%,56.966,65017388.04,9471
2018-01-25,57.07,57.15,56.02,56.26,1103996,-0.478,-0.85%,56.0691,62215657.04,9435
2018-01-24,56.54,57.365,56.26,56.74,1277586,0.628,1.12%,56.5474,72433932.81,10469
2018-01-23,56.55,56.595,55.61,56.11,1180311,-0.369,-0.66%,55.9196,66062821.08,10871
2018-01-22,57.14,57.20,55.595,56.48,1509460,-0.458,-0.81%,56.2883,84935751.91,11711
2018-01-19,57.23,57.41,56.82,56.94,959170,-0.169,-0.30%,56.7467,54687325.98,7917
2018-01-18,58.00,58.16,56.90,57.11,1272618,-0.797,-1.38%,56.9162,72887185.21,10785
2018-01-17,56.76,58.22,55.62,57.91,2016150,1.585,2.82%,57.7135,115893306.08,16063
2018-01-16,57.50,57.69,56.18,56.32,1635471,-0.907,-1.59%,56.1288,92911370.82,13609
2018-01-12,56.13,57.89,56.13,57.23,2346968,1.316,2.36%,57.0358,134172888.89,17959
2018-01-11,54.56,55.99,54.52,55.91,1191482,1.395,2.57%,55.7202,66105199.05,10632
2018-01-10,55.55,55.67,54.16,54.51,1196489,-1.226,-2.21%,54.325,65457840.87,10985
2018-01-09,55.59,56.25,55.39,55.74,1444733,0.419,0.76%,55.5508,80686542.25,11622
2018-01-08,55.40,55.74,55.01,55.32,1868719,0.03,0.05%,55.1322,103454412.31,14497
2018-01-05,54.10,55.36,54.04,55.29,2202127,1.555,2.90%,55.1023,121024376.75,14361
2018-01-04,52.39,54.035,52.35,53.73,1694153,1.684,3.25%,53.5476,90868906.66,12887
2018-01-03,51.87,52.12,51.63,52.04,1182346,0.259,0.50%,51.8634,61411856.42,9692
2018-01-02,51.38,51.82,51.09,51.78,1186902,0.688,1.35%,51.6043,61275508.27,8407
2017-12-29,52.31,52.42,51.08,51.09,803161,-1.007,-1.94%,50.9166,41172063.25,6868
2017-12-28,51.67,52.12,51.44,52.10,653399,0.528,1.03%,51.9232,33881072.74,6501
2017-12-27,51.46,51.68,51.34,51.57,611979,0.08,0.16%,51.395,31534829.90,4946
2017-12-26,51.64,51.84,51.33,51.49,420143,-0.219,-0.43%,51.3152,21645424.52,4120
2017-12-22,51.90,52.22,51.45,51.71,749204,-0.289,-0.56%,51.5345,38748279.47,6086
2017-12-21,53.20,53.42,51.88,52.00,1293866,-1.056,-2.00%,51.8235,67668824.34,9959
2017-12-20,52.70,53.20,52.40,53.06,1661415,0.857,1.65%,52.8799,87690982.30,12177
2017-12-19,52.24,52.33,51.93,52.20,2868528,0.01,0.02%,52.0228,149675362.03,16670
2017-12-18,52.27,52.77,52.00,52.19,1371394,0.658,1.28%,52.0129,71781545.89,10662
2017-12-15,51.59,51.94,51.20,51.53,2531872,-0.01,-0.02%,51.3551,130572626.74,12383
2017-12-14,52.51,52.57,51.53,51.54,1566381,-0.777,-1.49%,51.3651,81080136.42,11942
2017-12-13,53.53,53.64,52.30,52.32,1208293,-1.056,-1.99%,52.1424,63744636.64,9697
2017-12-12,53.62,53.75,53.175,53.38,1368280,-0.179,-0.34%,53.1988,73092885.45,12186
2017-12-11,53.85,53.90,53.19,53.56,1392272,-0.199,-0.37%,53.3782,74416394.02,9246
2017-12-08,53.92,53.925,53.25,53.76,1044185,0.08,0.15%,53.5775,56002312.58,10280
2017-12-07,53.26,53.70,52.99,53.68,946118,0.628,1.19%,53.4978,50658807.84,7529
2017-12-06,54.05,54.34,52.90,53.05,1721448,-1.325,-2.45%,52.8699,91706549.54,11211
2017-12-05,54.42,54.47,53.66,54.38,1895044,0.14,0.26%,54.1954,102809434.38,13117
2017-12-04,55.38,55.67,54.20,54.24,1363848,-0.767,-1.40%,54.0559,74854609.27,12265
2017-12-01,55.82,55.82,53.76,55.01,1376151,-0.668,-1.20%,54.8233,75424371.62,12401
2017-11-30,55.01,55.86,54.885,55.68,1999849,0.987,1.81%,55.491,111049273.15,14064
2017-11-29,54.40,55.02,54.30,54.86,1183734,0.566,1.05%,54.5044,64873193.60,12294
2017-11-28,53.27,54.35,53.24,54.29,973703,1.232,2.34%,53.9381,52647845.65,7824
2017-11-27,52.95,53.19,52.72,53.05,1308963,0.169,0.32%,52.7061,69332157.37,7916
2017-11-24,52.91,53.05,52.72,52.88,412107,-0.01,-0.02%,52.5372,21799557.37,2526
2017-11-22,52.83,52.9813,52.56,52.89,1327518,0.238,0.46%,52.5471,70148631.81,8897
2017-11-21,52.65,52.90,52.36,52.65,2770587,0.298,0.57%,52.3087,145707270.43,14252
2017-11-20,52.17,52.79,52.17,52.35,1366566,0.407,0.79%,52.0106,71742643.29,9570
2017-11-17,51.73,52.15,51.54,51.94,1875900,-0.099,-0.19%,51.6033,97237443.46,14657
2017-11-16,51.92,52.17,51.56,52.04,1130380,0.358,0.70%,51.7027,58719741.34,10028
2017-11-15,51.61,51.995,51.25,51.68,1063648,-0.387,-0.75%,51.345,55024843.62,8413
2017-11-14,51.85,52.375,51.65,52.07,1449210,0.04,0.08%,51.7325,75512614.52,9885
2017-11-13,51.77,52.26,51.58,52.03,923470,-0.04,-0.08%,51.6927,48069441.17,8152
2017-11-10,51.86,52.42,51.84,52.07,928154,-0.03,-0.06%,51.7325,48434573.93,7591
2017-11-09,51.70,52.12,51.46,52.10,1428542,-0.089,-0.17%,51.7623,74178089.04,10443
2017-11-08,52.19,52.35,51.46,52.19,1157662,-0.209,-0.40%,51.8517,60200454.54,8176
2017-11-07,52.72,52.99,52.19,52.40,1089827,-0.238,-0.46%,52.0603,57188276.22,8958
2017-11-06,53.04,53.11,52.24,52.64,969851,-0.328,-0.62%,52.2988,51044033.04,8508
2017-11-03,53.03,53.55,52.80,52.97,1731661,0.07,0.13%,52.6266,91870798.08,12754
2017-11-02,52.82,53.17,52.63,52.90,1474007,0.199,0.38%,52.5571,77974595.90,13249
2017-11-01,53.39,53.48,52.62,52.70,986595,-0.02,-0.04%,52.3584,52167990.44,8775
2017-10-31,52.70,52.95,52.54,52.72,1083409,0.328,0.63%,52.3782,57182216.51,8542
2017-10-30,52.72,52.80,51.96,52.39,1491102,-0.477,-0.91%,52.0504,78236147.72,12232
2017-10-27,53.34,53.53,51.80,52.87,1291182,-0.497,-0.94%,52.5273,67867234.82,10603
2017-10-26,51.66,53.84,51.60,53.37,2553330,1.699,3.31%,53.024,135794528.16,18716
2017-10-25,52.49,52.665,51.19,51.66,1888801,-1.083,-2.07%,51.3251,97672056.72,16958
2017-10-24,52.64,53.28,52.53,52.75,1416446,0.616,1.19%,52.408,74935419.80,11599
