date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,123.30,125.92,123.30,125.56,886398,1.94,1.57%,125.56,110928780.30,10082
2018-03-09,122.45,123.76,121.44,123.62,675636,1.31,1.07%,123.62,83082529.22,6322
2018-03-08,123.10,123.34,121.46,122.31,522613,-0.43,-0.35%,122.31,63847874.79,6620
2018-03-07,121.70,122.85,121.11,122.74,655823,0.64,0.52%,122.74,80302956.84,6558
2018-03-06,121.10,122.25,120.31,122.10,495358,0.74,0.61%,122.10,60238100.24,6307
2018-03-05,119.27,121.81,118.92,121.36,503085,2.43,2.04%,121.36,60906121.86,5626
2018-03-02,118.00,119.15,117.16,118.93,639876,0.93,0.79%,118.93,75707500.99,6393
2018-03-01,117.87,119.70,117.08,118.00,963510,-0.87,-0.73%,118.00,114089776.97,10359
2018-02-28,119.98,120.71,118.84,118.87,1064963,-0.64,-0.54%,118.87,127154848.44,8194
2018-02-27,121.91,122.23,119.20,119.51,979472,-1.92,-1.58%,119.51,117666850.03,10709
2018-02-26,121.41,121.905,119.87,121.43,687921,0.46,0.38%,121.43,83227204.50,7401
2018-02-23,118.61,120.99,118.35,120.97,652318,2.50,2.11%,120.97,78299619.31,7372
2018-02-22,116.49,119.92,116.27,118.47,897829,2.62,2.26%,118.47,106599388.01,10499
2018-02-21,119.00,119.58,115.85,115.85,1040681,-3.54,-2.97%,115.85,121856214.73,10478
2018-02-20,119.49,121.17,119.10,119.39,934153,-0.25,-0.21%,119.39,112257241.68,9783
2018-02-16,117.45,120.19,117.45,119.64,911631,2.24,1.91%,119.64,108757211.82,8512
2018-02-15,116.51,118.50,116.425,117.40,1062852,1.94,1.68%,117.40,124712960.92,11373
2018-02-14,115.67,115.67,113.32,115.46,1006285,-0.73,-0.63%,115.46,115618067.02,9358
2018-02-13,115.06,116.665,114.05,116.19,736619,1.05,0.91%,116.19,85054896.58,7753
2018-02-12,115.59,115.8223,111.57,115.14,829181,-0.21,-0.18%,115.14,94482964.35,9386
2018-02-09,113.10,116.38,111.82,115.35,941519,3.26,2.91%,115.35,107289685.71,10243
2018-02-08,114.99,116.47,112.05,112.09,1134871,-3.25,-2.82%,112.09,129165471.11,12260
2018-02-07,114.96,116.965,114.96,115.34,927972,0.02,0.02%,115.34,107382883.87,8780
2018-02-06,112.95,115.66,111.87,115.32,1731981,0.58,0.51%,115.32,197033702.19,16524
2018-02-05,118.50,120.72,114.601,114.74,1051909,-4.60,-3.85%,114.74,122696735.92,11151
2018-02-02,118.09,119.59,117.34,119.34,977951,0.15,0.13%,119.34,116054687.17,10349
2018-02-01,123.59,123.88,119.125,119.19,1020514,-4.52,-3.65%,119.19,122988335.64,13593
2018-01-31,119.97,125.37,119.97,123.71,2001103,4.29,3.59%,123.71,245849693.37,18945
2018-01-30,120.89,121.74,119.36,119.42,1106796,-1.92,-1.58%,119.42,132576587.09,10893
2018-01-29,122.37,122.63,121.20,121.34,604248,-1.63,-1.33%,121.34,73365577.59,7068
2018-01-26,123.21,123.62,121.84,122.97,559227,0.29,0.24%,122.97,68630343.95,5973
2018-01-25,123.12,123.62,121.50,122.68,846394,-0.56,-0.45%,122.68,103481650.56,8820
2018-01-24,124.08,124.63,122.89,123.24,603827,-0.91,-0.73%,123.24,74467766.05,7693
2018-01-23,123.62,124.29,123.28,124.15,1083235,0.68,0.55%,124.15,134104112.78,10603
2018-01-22,121.95,123.68,121.7001,123.47,1067107,1.52,1.25%,123.47,131444386.70,9306
2018-01-19,121.66,122.31,120.89,121.95,1061517,0.77,0.64%,121.95,129121253.87,8554
2018-01-18,122.07,122.31,120.68,121.18,1080886,-1.32,-1.08%,121.18,131214310.54,8972
2018-01-17,122.33,122.60,120.855,122.50,844437,0.94,0.77%,122.50,102902575.18,9708
2018-01-16,122.74,124.535,121.44,121.56,826741,-0.77,-0.63%,121.56,101208194.69,8289
2018-01-12,123.99,124.27,122.23,122.33,637036,-1.53,-1.24%,122.33,78174963.98,6572
2018-01-11,124.91,125.15,123.73,123.86,447865,-0.79,-0.63%,123.86,55550203.02,6067
2018-01-10,124.98,124.98,123.615,124.65,582601,-0.75,-0.60%,124.65,72473167.58,7805
2018-01-09,126.05,126.40,125.22,125.40,598889,-1.34,-1.06%,125.40,75171282.43,7408
2018-01-08,127.54,128.00,125.82,126.74,724340,-1.12,-0.88%,126.74,91663054.70,7945
2018-01-05,126.83,127.97,126.515,127.86,860912,1.38,1.09%,127.86,109976514.71,7869
2018-01-04,129.00,129.00,126.46,126.48,2078973,-2.87,-2.22%,126.48,265941901.84,11368
2018-01-03,129.57,129.80,128.731,129.35,570631,0.07,0.05%,129.35,73813450.31,6778
2018-01-02,130.39,130.39,128.89,129.28,689987,-0.75,-0.58%,129.28,89317862.21,5875
