date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,75.95,76.53,75.92,76.02,13398244,-0.09,-0.12%,76.02,1020993394.81,75536
2018-03-09,74.95,76.37,74.60,76.11,15939242,2.00,2.70%,76.11,1207691134.52,91171
2018-03-08,74.14,74.23,73.127,74.11,10878604,0.19,0.26%,74.11,801785054.38,63592
2018-03-07,73.18,74.075,72.86,73.92,14654894,-0.14,-0.19%,73.92,1076972523.29,82959
2018-03-06,74.93,74.99,73.75,74.06,14891169,-0.36,-0.48%,74.06,1103778909.02,91567
2018-03-05,73.07,74.94,72.70,74.42,16814605,0.74,1.00%,74.42,1243471953.87,87851
2018-03-02,73.17,73.87,71.881,73.68,21061225,0.02,0.03%,73.68,1536704628.74,126177
2018-03-01,75.50,75.935,73.20,73.66,23803242,-1.83,-2.42%,73.66,1771912072.91,136362
2018-02-28,76.60,77.13,75.45,75.49,19329866,-0.89,-1.17%,75.49,1473474067.98,86598
2018-02-27,77.52,77.8752,76.35,76.38,19977213,-1.27,-1.64%,76.38,1539094292.71,107465
2018-02-26,77.23,77.735,76.72,77.65,17288327,0.57,0.74%,77.65,1337978324.20,80206
2018-02-23,76.48,77.11,76.20,77.08,12481152,0.81,1.06%,77.08,956692869.32,72137
2018-02-22,77.28,77.48,75.94,76.27,16049529,-0.73,-0.95%,76.27,1230812667.66,89399
2018-02-21,76.40,78.42,76.40,77.00,15888801,0.54,0.71%,77.00,1232758762.66,101549
2018-02-20,76.64,77.23,76.087,76.46,12040858,-0.36,-0.47%,76.46,922519872.03,63324
2018-02-16,76.80,77.37,76.6133,76.82,11644917,-0.26,-0.34%,76.82,896631895.56,65537
2018-02-15,77.18,77.46,76.40,77.08,11066364,0.37,0.48%,77.08,851776343.93,66897
2018-02-14,75.03,76.86,74.73,76.71,16261319,1.53,2.04%,76.71,1236940011.84,99723
2018-02-13,74.34,75.375,74.15,75.18,11749123,0.42,0.56%,75.18,879692979.31,74047
2018-02-12,74.47,75.50,73.97,74.76,16677666,1.08,1.47%,74.76,1248145816.38,105429
2018-02-09,73.02,74.28,71.00,73.68,26616450,1.81,2.52%,73.68,1931641854.10,164886
2018-02-08,75.07,75.25,71.80,71.87,24941084,-3.12,-4.16%,71.87,1829314879.82,145924
2018-02-07,74.77,76.075,74.32,74.99,18908378,0.17,0.23%,74.99,1425955756.70,115320
2018-02-06,71.52,75.19,71.15,74.82,32116677,1.55,2.12%,74.82,2364381617.84,203588
2018-02-05,75.52,77.225,72.20,73.27,31087807,-3.75,-4.87%,73.27,2324312936.69,170499
2018-02-02,78.65,79.06,76.88,77.02,18561206,-1.86,-2.36%,77.02,1443454671.19,101733
2018-02-01,78.27,79.23,78.14,79.20,12437151,0.717,0.92%,78.88,979433911.96,72762
2018-01-31,78.78,79.39,78.19,78.48,16266280,-0.139,-0.18%,78.1629,1280694129.35,75965
2018-01-30,79.20,79.60,78.615,78.62,15816875,-1.335,-1.68%,78.3024,1248266509.65,76772
2018-01-29,80.12,80.70,79.83,79.96,14611142,-0.12,-0.15%,79.637,1172362631.28,68082
2018-01-26,79.61,80.08,78.955,80.08,12807783,0.637,0.81%,79.7565,1020419535.47,60278
2018-01-25,79.85,80.3901,79.21,79.44,16178829,-0.01,-0.01%,79.1191,1291049505.54,85079
2018-01-24,78.96,79.705,78.66,79.45,18108648,0.896,1.15%,79.129,1436434983.49,88196
2018-01-23,78.46,78.885,77.96,78.55,10080008,-0.04,-0.05%,78.2327,792048361.73,60030
2018-01-22,78.24,78.90,78.05,78.59,11561072,0.289,0.37%,78.2725,906381767.14,60661
2018-01-19,77.57,78.38,77.43,78.30,17813995,0.906,1.18%,77.9837,1389567087.90,82777
2018-01-18,77.66,77.70,77.08,77.39,15420833,-0.08,-0.10%,77.0773,1193204656.49,76456
2018-01-17,76.89,77.6568,76.10,77.47,20958364,0.359,0.47%,77.157,1612420081.49,97108
2018-01-16,77.76,78.44,76.79,77.11,26181356,0.269,0.35%,76.7985,2026668083.41,133609
2018-01-12,75.90,76.96,75.78,76.84,16946726,1.275,1.69%,76.5296,1295421513.13,83159
2018-01-11,75.98,76.02,75.14,75.56,15459949,-0.09,-0.12%,75.2547,1166975636.49,71994
2018-01-10,75.70,76.2833,75.37,75.65,14007988,0.339,0.45%,75.3444,1061846099.56,71103
2018-01-09,74.76,75.89,74.6099,75.31,14209525,0.777,1.05%,75.0057,1071732250.93,74565
2018-01-08,75.17,75.24,74.331,74.53,14215682,-0.876,-1.17%,74.2289,1060356093.42,67950
2018-01-05,75.71,75.77,74.96,75.41,15300543,-0.10,-0.13%,75.1053,1152507235.36,68676
2018-01-04,75.01,76.115,74.66,75.51,16864920,0.916,1.23%,75.2049,1275552319.68,77668
2018-01-03,74.35,74.7356,73.97,74.59,14657944,0.229,0.31%,74.2887,1091298911.22,72902
2018-01-02,75.09,75.18,74.015,74.36,15819844,-0.05,-0.07%,74.0596,1176556601.94,70442
2017-12-29,75.17,75.29,74.38,74.41,10074857,-0.667,-0.89%,74.1094,752614879.25,43689
2017-12-28,74.91,75.17,74.84,75.08,8759802,0.189,0.25%,74.7767,657189936.65,40651
2017-12-27,74.67,75.08,74.52,74.89,10845092,0.11,0.15%,74.5874,811420022.86,45985
2017-12-26,75.45,75.72,74.415,74.78,10882080,-0.707,-0.94%,74.4779,813831500.66,53936
2017-12-22,75.87,75.99,75.05,75.49,12006574,-0.329,-0.44%,75.185,905916887.73,49791
2017-12-21,74.98,76.08,74.94,75.82,14085694,1.155,1.55%,75.5137,1067243637.54,62505
2017-12-20,75.37,75.765,74.61,74.66,17643967,-0.04,-0.05%,74.3584,1323744111.45,69549
2017-12-19,75.94,76.15,74.65,74.70,17655055,-0.966,-1.28%,74.3982,1325910749.57,81121
2017-12-18,75.39,76.005,75.27,75.67,16449299,0.896,1.20%,75.3643,1244843585.15,78091
2017-12-15,74.50,75.15,74.27,74.77,37121111,0.847,1.15%,74.4679,2775172513.67,91749
2017-12-14,75.25,75.4305,73.78,73.92,24778469,-1.215,-1.62%,73.6214,1844861185.73,111282
2017-12-13,75.95,76.315,75.05,75.14,20231575,-1.006,-1.33%,74.8364,1531845010.58,92500
2017-12-12,76.04,76.80,75.5244,76.15,18381856,0.299,0.40%,75.8424,1398769280.80,92273
2017-12-11,75.55,76.13,75.53,75.85,10461659,0.139,0.18%,75.5436,793649645.91,55425
2017-12-08,75.32,75.72,74.965,75.71,12460938,0.727,0.97%,75.4041,939185582.37,58052
2017-12-07,74.35,75.32,74.26,74.98,19173389,-0.458,-0.61%,74.6771,1435934254.27,97831
2017-12-06,76.24,76.50,75.09,75.44,16612465,-1.096,-1.44%,75.1352,1259890192.84,83886
2017-12-05,76.98,77.28,76.19,76.54,16045934,-0.558,-0.73%,76.2308,1231203970.26,91987
2017-12-04,77.02,77.92,76.62,77.10,23151442,1.584,2.11%,76.7885,1789001982.45,125186
2017-12-01,75.71,76.24,73.78,75.51,18269756,0.01,0.01%,75.2049,1375593380.10,112225
2017-11-30,75.73,76.8893,75.1499,75.50,23179633,0.458,0.61%,75.195,1757680950.09,105057
2017-11-29,74.42,75.77,74.05,75.04,21876367,1.335,1.82%,74.7368,1640759355.11,125404
2017-11-28,71.44,74.00,71.13,73.70,18048317,2.301,3.24%,73.4023,1316875271.89,86987
2017-11-27,71.99,72.36,71.305,71.39,12615197,-0.627,-0.87%,71.1016,904694639.38,55849
2017-11-24,72.41,72.52,71.99,72.02,4676099,-0.239,-0.33%,71.729,337899837.67,22863
2017-11-22,72.45,73.15,72.26,72.26,9146179,-0.12,-0.17%,71.9681,664849077.49,46847
2017-11-21,72.50,72.59,72.13,72.38,9632060,0.329,0.46%,72.0876,697354372.66,49961
2017-11-20,71.77,72.30,71.28,72.05,10000030,0.717,1.01%,71.7589,719113217.33,50519
2017-11-17,71.16,71.83,70.94,71.33,11812986,-0.339,-0.47%,71.0418,843578466.30,57064
2017-11-16,72.11,72.3199,71.51,71.67,12415631,-0.06,-0.08%,71.3805,891916980.20,63957
2017-11-15,70.62,72.07,70.02,71.73,17541796,0.199,0.28%,71.4402,1252222019.63,76442
2017-11-14,71.65,71.805,71.04,71.53,13188856,-0.458,-0.64%,71.241,941313579.66,67731
2017-11-13,71.67,72.15,71.48,71.99,13500569,-0.259,-0.36%,71.6992,971014209.23,60394
2017-11-10,72.53,72.86,72.11,72.25,12853126,-0.179,-0.25%,71.9581,930817022.62,54649
2017-11-09,71.72,72.76,71.45,72.43,15468706,0.09,0.12%,72.1374,1114960661.36,86189
2017-11-08,72.39,72.57,71.52,72.34,18710614,-0.369,-0.51%,72.0477,1350310098.37,76081
2017-11-07,73.78,74.00,72.3199,72.71,17255669,-1.086,-1.48%,72.4163,1257825728.63,75352
2017-11-06,73.59,74.03,73.17,73.80,12636568,-0.249,-0.34%,73.5018,929825248.14,55508
2017-11-03,74.22,74.39,73.84,74.05,10692579,-0.368,-0.50%,73.7508,791622659.05,49871
2017-11-02,73.95,74.85,73.33,74.74,12997496,0.704,0.96%,74.1193,965107177.70,65622
2017-11-01,73.99,74.52,73.81,74.03,11361923,0.526,0.72%,73.4152,841527303.29,50637
2017-10-31,73.87,74.09,73.2648,73.50,11733543,-0.278,-0.38%,72.8896,864030661.76,53668
2017-10-30,73.21,73.91,73.18,73.78,10556913,-0.089,-0.12%,73.1673,777334662.38,53813
2017-10-27,73.43,73.98,73.01,73.87,11309869,0.079,0.11%,73.2565,832785883.67,54125
2017-10-26,73.66,74.25,73.5958,73.79,13213118,0.169,0.23%,73.1772,976616301.88,62906
2017-10-25,74.48,74.63,73.2601,73.62,14122521,-0.615,-0.84%,73.0086,1041976546.41,75720
2017-10-24,73.96,74.75,73.73,74.24,15260158,0.704,0.97%,73.6235,1133575016.84,69776
2017-10-23,73.48,74.01,73.43,73.53,10821466,0.00,0.00%,72.9194,797873018.74,50078
2017-10-20,73.76,73.88,73.1799,73.53,15634587,0.645,0.89%,72.9194,1149443579.34,70059
2017-10-19,72.35,72.94,71.71,72.88,12322700,-0.238,-0.33%,72.2748,894490634.22,53822
2017-10-18,72.66,73.33,72.55,73.12,15126734,0.922,1.29%,72.5128,1104949529.51,68886
