date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,37.16,37.25,36.475,36.81,2892541,-0.31,-0.84%,36.81,106195312.68,19300
2018-03-09,36.47,37.13,36.31,37.12,3463177,0.96,2.65%,37.12,127725399.77,23036
2018-03-08,36.05,36.215,35.77,36.16,2449415,0.20,0.56%,36.16,88281061.01,16531
2018-03-07,35.59,36.05,35.5798,35.96,1899921,0.24,0.67%,35.96,68124847.92,13707
2018-03-06,35.64,35.735,35.35,35.72,1619412,0.18,0.51%,35.72,57670470.99,12945
2018-03-05,35.11,35.67,35.045,35.54,2282959,0.22,0.62%,35.54,80949982.09,16139
2018-03-02,35.20,35.39,34.985,35.32,2657112,0.12,0.34%,35.32,93524998.95,20283
2018-03-01,35.21,35.56,34.90,35.20,4296464,0.10,0.28%,35.20,151042441.11,35574
2018-02-28,35.42,35.71,35.10,35.10,3432728,-0.15,-0.43%,35.10,121363130.41,18773
2018-02-27,35.46,35.815,35.25,35.25,2867305,-0.11,-0.31%,35.25,101599615.13,23592
2018-02-26,35.50,35.675,35.24,35.36,3041140,-0.07,-0.20%,35.36,107586072.21,18458
2018-02-23,35.06,35.47,34.955,35.43,3406800,0.58,1.66%,35.43,120001497.95,24614
2018-02-22,34.81,35.26,34.77,34.85,3056165,0.16,0.46%,34.85,106818159.17,24242
2018-02-21,34.90,35.22,34.675,34.69,3375958,-0.115,-0.33%,34.69,117924268.90,22487
2018-02-20,35.14,35.40,34.935,35.06,2212220,-0.278,-0.79%,34.805,77789577.16,16145
2018-02-16,35.29,35.74,35.235,35.34,1782964,0.099,0.28%,35.083,63182984.42,14995
2018-02-15,34.93,35.36,34.65,35.24,2146305,0.486,1.41%,34.9837,75385915.37,17558
2018-02-14,33.95,34.79,33.76,34.75,3012989,0.566,1.67%,34.4973,103992691.65,21732
2018-02-13,33.91,34.205,33.83,34.18,2343592,0.159,0.47%,33.9314,79820779.59,19974
2018-02-12,33.63,34.13,33.63,34.02,2865499,0.566,1.70%,33.7726,97222108.61,22963
2018-02-09,33.01,33.74,32.47,33.45,4416064,0.784,2.42%,33.2067,146170345.00,38479
2018-02-08,33.93,33.93,32.64,32.66,4392348,-1.33,-3.94%,32.4225,145973294.91,37638
2018-02-07,33.55,34.40,33.45,34.00,4136564,0.298,0.89%,33.7527,140968425.75,31935
2018-02-06,33.08,33.825,32.64,33.70,4117675,0.139,0.42%,33.4549,136989673.68,35338
2018-02-05,34.94,35.05,33.55,33.56,4572939,-1.40,-4.03%,33.3159,156807930.35,37482
2018-02-02,34.53,35.40,34.53,34.97,3037256,-0.407,-1.16%,34.7157,106808457.33,20197
2018-02-01,35.74,35.89,35.23,35.38,3488422,-0.467,-1.31%,35.1227,123614602.21,24541
2018-01-31,35.75,36.56,35.18,35.85,4527763,0.298,0.84%,35.5893,162430522.88,33914
2018-01-30,35.49,35.92,35.22,35.55,3481305,-0.089,-0.25%,35.2914,123486480.19,25871
2018-01-29,35.79,35.93,35.56,35.64,2105468,-0.258,-0.72%,35.3808,75213368.08,17585
2018-01-26,35.31,35.92,35.14,35.90,2269313,0.764,2.19%,35.6389,81029199.67,17422
2018-01-25,35.06,35.46,34.93,35.13,3259486,0.228,0.66%,34.8745,114573530.71,20562
2018-01-24,34.95,35.26,34.73,34.90,2501853,0.149,0.43%,34.6462,87401799.23,17082
2018-01-23,34.63,35.10,34.55,34.75,2356683,0.03,0.09%,34.4973,81996328.50,15168
