date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,38.07,38.32,37.93,38.05,1790173,-0.01,-0.03%,38.05,68225394.19,11529
2018-03-09,38.19,38.27,37.79,38.06,2484034,0.08,0.21%,38.06,94371544.28,17949
2018-03-08,37.87,37.98,37.67,37.98,2393453,0.21,0.56%,37.98,90705961.66,14646
2018-03-07,37.97,38.0075,37.46,37.77,4300760,-0.52,-1.36%,37.77,162283716.63,20904
2018-03-06,38.00,38.30,37.59,38.29,4748333,0.50,1.32%,38.29,180594650.03,29648
2018-03-05,36.75,37.79,36.72,37.79,3742380,0.92,2.50%,37.79,140469308.93,21613
2018-03-02,36.31,36.91,36.30,36.87,3025596,0.47,1.29%,36.87,110975145.85,19334
2018-03-01,36.06,36.52,35.89,36.40,4653857,0.27,0.75%,36.40,168824177.50,27366
2018-02-28,36.36,36.59,36.12,36.13,2503723,-0.07,-0.19%,36.13,90732235.03,14027
2018-02-27,36.58,36.79,36.20,36.20,1713098,-0.33,-0.90%,36.20,62356967.63,12320
2018-02-26,36.45,36.63,36.14,36.53,1916762,0.25,0.69%,36.53,69915649.70,14110
2018-02-23,35.92,36.33,35.67,36.28,2379362,0.34,0.95%,36.28,86042619.51,16223
2018-02-22,35.75,36.33,35.68,35.94,2097608,0.25,0.70%,35.94,75600001.10,14366
2018-02-21,36.33,36.60,35.68,35.69,2677711,-0.39,-1.08%,35.69,96655459.57,18074
2018-02-20,36.26,36.69,36.06,36.08,3060629,-0.17,-0.47%,36.08,111179331.71,21695
2018-02-16,36.19,36.4981,36.04,36.25,3195155,-0.11,-0.30%,36.25,115916759.85,22484
2018-02-15,35.63,36.38,35.46,36.36,2668317,0.82,2.31%,36.36,96231110.19,18556
2018-02-14,35.49,35.61,34.9676,35.54,4646445,0.07,0.20%,35.54,164083387.83,28782
2018-02-13,35.50,35.74,35.23,35.47,5216518,-0.23,-0.64%,35.47,185061453.39,32798
2018-02-12,35.79,36.13,35.60,35.70,5897999,0.14,0.39%,35.70,211324165.86,37564
2018-02-09,35.77,36.13,35.33,35.56,6282399,0.07,0.20%,35.56,224321418.17,40787
2018-02-08,35.93,36.19,35.47,35.49,3797552,-0.40,-1.11%,35.49,136296199.55,29708
2018-02-07,35.72,36.66,35.65,35.89,3871827,0.18,0.50%,35.89,140100418.34,25784
2018-02-06,35.10,35.94,34.7456,35.71,5659525,0.06,0.17%,35.71,200422054.86,34364
2018-02-05,36.67,37.035,35.65,35.65,4169368,-1.06,-2.89%,35.65,151135820.89,25097
2018-02-02,37.41,37.51,36.69,36.71,3424861,-0.90,-2.39%,36.71,126622649.17,22240
2018-02-01,37.90,38.10,37.5199,37.61,2647518,-0.39,-1.03%,37.61,99822569.36,17835
2018-01-31,37.86,38.235,37.66,38.00,3312698,0.14,0.37%,38.00,125936925.13,17513
2018-01-30,38.12,38.44,37.86,37.86,4089930,-0.35,-0.92%,37.86,155951529.85,24562
2018-01-29,38.36,39.08,38.21,38.21,4796554,-0.078,-0.20%,38.21,184897985.69,29490
2018-01-26,38.05,38.51,37.685,38.50,4588443,0.457,1.21%,38.2875,174653567.49,22884
2018-01-25,37.66,38.1101,37.65,38.04,2977784,0.438,1.17%,37.8301,113061762.51,18014
2018-01-24,37.85,37.98,37.565,37.60,2677417,-0.119,-0.32%,37.3925,101009920.51,18032
2018-01-23,37.56,37.96,37.31,37.72,2789556,-0.05,-0.13%,37.5118,105389336.41,18110
2018-01-22,37.72,37.95,37.535,37.77,2954162,0.00,0.00%,37.5615,111465917.70,16626
2018-01-19,37.45,37.80,37.34,37.77,4254143,0.607,1.64%,37.5615,160029262.87,23003
2018-01-18,37.20,37.47,37.07,37.16,2937169,-0.099,-0.27%,36.9549,109437486.54,17797
2018-01-17,36.97,37.50,36.775,37.26,4194399,0.487,1.33%,37.0544,156381518.59,21785
2018-01-16,36.95,37.10,36.725,36.77,3351711,0.06,0.16%,36.5671,123567472.46,20290
2018-01-12,36.82,36.86,36.55,36.71,1934894,-0.05,-0.14%,36.5074,71021319.44,12600
2018-01-11,36.90,36.95,36.5769,36.76,2705010,-0.07,-0.19%,36.5571,99466923.56,15895
2018-01-10,37.33,37.43,36.605,36.83,2773864,-0.557,-1.50%,36.6267,102174725.67,14885
2018-01-09,37.29,37.52,36.97,37.39,3310746,-0.129,-0.35%,37.1836,123609678.27,20240
2018-01-08,38.01,38.01,37.41,37.52,2715796,-0.537,-1.42%,37.3129,102008776.69,16141
2018-01-05,37.95,38.27,37.69,38.06,4567124,0.119,0.32%,37.8499,173906481.83,26680
2018-01-04,37.47,38.03,37.26,37.94,3263434,0.607,1.63%,37.7306,123491315.55,20510
2018-01-03,37.55,37.56,37.14,37.33,2904996,-0.189,-0.51%,37.124,108643271.44,17161
2018-01-02,37.68,37.78,37.22,37.52,2544486,-0.149,-0.40%,37.3129,95506691.69,16573
2017-12-29,38.05,38.24,37.65,37.67,2392097,-0.378,-1.00%,37.4621,90603788.39,14220
2017-12-28,38.15,38.22,37.68,38.05,1876344,-0.02,-0.05%,37.84,71144924.53,13111
2017-12-27,38.21,38.36,37.95,38.07,2696672,-0.139,-0.37%,37.8599,102654986.97,15919
2017-12-26,38.12,38.63,38.02,38.21,1890332,0.129,0.34%,37.9991,72246490.96,12101
2017-12-22,37.97,38.26,37.92,38.08,2880973,0.229,0.61%,37.8698,109643341.55,19140
2017-12-21,38.53,39.2082,37.511,37.85,5292894,-0.288,-0.76%,37.6411,201019599.28,30855
2017-12-20,37.98,38.29,37.545,38.14,5700980,0.159,0.42%,37.9295,216930789.16,33706
2017-12-19,38.13,38.265,37.80,37.98,4347740,0.209,0.56%,37.7704,165303813.88,27380
2017-12-18,37.87,38.21,37.69,37.77,3730982,0.01,0.03%,37.5615,141226783.49,23530
2017-12-15,37.26,37.845,37.13,37.76,5247351,0.746,2.03%,37.5516,197312954.51,21683
2017-12-14,37.44,37.52,36.98,37.01,4000575,-0.328,-0.88%,36.8057,148574118.46,22250
2017-12-13,37.63,37.67,37.16,37.34,3420912,-0.209,-0.56%,37.1339,127734261.03,23062
2017-12-12,37.81,37.83,37.42,37.55,3399908,0.308,0.83%,37.3428,127836782.19,22526
2017-12-11,37.12,37.28,36.96,37.24,3001333,-0.01,-0.03%,37.0345,111485090.54,16848
2017-12-08,37.30,37.405,36.9701,37.25,2127211,0.00,0.00%,37.0444,79198322.50,14763
2017-12-07,37.11,37.48,36.92,37.25,3609293,0.169,0.46%,37.0444,134463416.67,23387
2017-12-06,37.13,37.27,36.865,37.08,3776293,-0.09,-0.24%,36.8754,139985829.60,22512
2017-12-05,38.08,38.13,37.00,37.17,2480723,-0.756,-2.00%,36.9649,92459895.19,17860
2017-12-04,37.94,38.17,37.56,37.93,5798735,0.457,1.23%,37.7207,219497051.49,36110
2017-12-01,37.45,37.79,36.64,37.47,5626839,0.139,0.38%,37.2632,210521473.99,33184
2017-11-30,37.26,37.61,36.6447,37.33,4501910,0.129,0.35%,37.124,167814223.60,23160
2017-11-29,36.38,37.62,36.31,37.20,4073314,0.756,2.09%,36.9947,151919919.76,28416
2017-11-28,36.09,36.47,35.90,36.44,2720872,0.497,1.39%,36.2389,98669158.03,15078
2017-11-27,35.45,36.0552,35.44,35.94,2659292,0.477,1.35%,35.7416,95482988.18,15502
2017-11-24,35.69,35.72,35.46,35.46,617532,-0.05,-0.14%,35.2643,21935689.49,4845
2017-11-22,35.52,35.66,35.375,35.51,1857279,-0.03,-0.08%,35.314,66012920.19,12969
2017-11-21,35.72,35.9001,35.42,35.54,1946207,-0.229,-0.64%,35.3439,69329290.17,12334
2017-11-20,35.76,35.88,35.58,35.77,1801919,0.06,0.17%,35.5726,64389081.61,14263
2017-11-17,35.44,36.10,35.44,35.71,2263529,0.09,0.25%,35.5129,80932375.27,16481
2017-11-16,35.40,35.87,35.37,35.62,2491201,0.438,1.25%,35.4234,88884253.03,16625
2017-11-15,35.73,35.77,35.16,35.18,3662184,-0.686,-1.92%,34.9858,129748304.31,23957
2017-11-14,34.77,35.92,34.72,35.87,3876801,1.024,2.96%,35.672,137953680.15,24157
2017-11-13,34.82,35.24,34.73,34.84,2509537,0.04,0.11%,34.6477,87513517.85,16703
2017-11-10,33.81,34.96,33.81,34.80,2810891,0.835,2.47%,34.6079,97190469.09,18770
2017-11-09,34.25,34.48,33.905,33.96,2154877,-0.348,-1.02%,33.7726,73375106.90,14449
2017-11-08,33.85,34.38,33.85,34.31,2044805,0.547,1.63%,34.1206,70032084.77,15448
2017-11-07,33.32,33.93,33.21,33.76,2436664,0.438,1.32%,33.5737,82231374.38,14984
2017-11-06,33.84,33.93,33.24,33.32,2869514,-0.587,-1.74%,33.1361,95867659.22,18703
2017-11-03,33.79,34.1868,33.765,33.91,1731437,0.05,0.15%,33.7229,58830712.71,13089
2017-11-02,33.87,34.10,33.70,33.86,2491130,-0.269,-0.79%,33.6731,84481494.89,17305
2017-11-01,34.26,34.53,34.10,34.13,2854684,-0.03,-0.09%,33.9416,97869492.40,17318
2017-10-31,33.80,34.455,33.79,34.16,2905641,0.627,1.88%,33.9715,99428754.09,19091
2017-10-30,33.91,34.27,33.50,33.53,4789152,0.052,0.16%,33.3449,161718576.15,30496
2017-10-27,33.43,33.73,33.255,33.69,3480572,0.306,0.93%,33.2927,116740490.63,21094
2017-10-26,33.81,34.01,33.32,33.38,4251942,-0.544,-1.62%,32.9864,142423614.74,24549
2017-10-25,34.10,34.20,33.77,33.93,2887660,-0.237,-0.70%,33.5299,98027353.59,19922
2017-10-24,34.15,34.34,34.025,34.17,2275878,-0.04,-0.12%,33.7671,77781888.12,14587
2017-10-23,33.94,34.26,33.84,34.21,2132327,0.296,0.88%,33.8066,72662311.38,14635
2017-10-20,33.84,34.17,33.735,33.91,4282826,0.148,0.44%,33.5101,145504803.33,17182
2017-10-19,33.98,34.11,33.615,33.76,2851514,-0.336,-1.00%,33.3619,96270819.61,17004
2017-10-18,34.26,34.31,33.96,34.10,2968687,-0.109,-0.32%,33.6979,101201931.25,17548
2017-10-17,34.35,34.53,34.12,34.21,3497079,-0.287,-0.84%,33.8066,119764118.30,17451
2017-10-16,34.27,34.62,34.24,34.50,2707096,0.168,0.50%,34.0932,93407188.84,16694
2017-10-13,34.70,34.70,34.20,34.33,4692253,-0.257,-0.75%,33.9252,161197819.10,24694
2017-10-12,33.79,34.64,33.79,34.59,3692859,0.791,2.37%,34.1821,127316964.10,24760
2017-10-11,33.71,33.955,33.63,33.79,2269872,0.069,0.21%,33.3915,76652269.99,13995
2017-10-10,33.62,33.89,33.42,33.72,2639459,0.257,0.78%,33.3224,88839974.72,17759
2017-10-09,34.16,34.16,33.42,33.46,2444976,-0.613,-1.82%,33.0654,82377940.67,16953
2017-10-06,34.15,34.375,34.01,34.08,3426397,-0.02,-0.06%,33.6781,117004659.58,17413
2017-10-05,34.01,34.32,33.84,34.10,2723936,0.138,0.41%,33.6979,92916066.49,19444
2017-10-04,33.37,34.03,33.15,33.96,4381765,0.544,1.65%,33.5595,148143706.33,28136
2017-10-03,33.50,33.51,33.21,33.41,3899597,0.069,0.21%,33.016,130064775.68,24388
2017-10-02,33.75,33.84,33.22,33.34,4201604,-0.395,-1.19%,32.9468,140444214.44,23544
2017-09-29,34.19,34.455,33.66,33.74,5224032,-0.208,-0.62%,33.3421,177220719.80,27071
2017-09-28,33.74,34.56,33.59,33.95,6995141,0.603,1.83%,33.5497,237961720.83,37793
2017-09-27,33.40,33.45,32.90,33.34,5203019,-0.02,-0.06%,32.9468,172435209.01,29827
2017-09-26,33.55,33.61,33.29,33.36,3595876,-0.109,-0.33%,32.9666,120262465.46,22199
2017-09-25,33.08,33.545,33.00,33.47,4679590,0.316,0.97%,33.0753,156102755.29,24926
2017-09-22,33.53,33.739,32.92,33.15,3348834,-0.267,-0.81%,32.7591,111361074.30,22425
2017-09-21,33.74,33.84,33.325,33.42,4234279,-0.277,-0.83%,33.0259,142018301.99,24490
2017-09-20,33.84,33.92,33.17,33.70,4784078,-0.464,-1.38%,33.3026,161134870.53,30128
2017-09-19,34.83,34.9558,34.11,34.17,3243137,-0.712,-2.06%,33.7671,111106163.47,20375
