date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,158.24,159.34,153.85,154.50,4880417,-3.75,-2.37%,154.50,758661959.79,42497
2018-03-09,155.12,158.42,154.33,158.25,4576744,4.66,3.03%,158.25,719062098.99,41310
2018-03-08,151.73,153.97,150.29,153.59,4105005,2.08,1.37%,153.59,624958834.50,33706
2018-03-07,150.00,152.27,148.81,151.51,5491026,-2.24,-1.46%,151.51,827700105.27,40887
2018-03-06,152.64,154.98,151.67,153.75,5795581,2.63,1.74%,153.75,888521525.75,49128
2018-03-05,145.15,151.86,144.01,151.12,8453004,4.74,3.24%,151.12,1262391820.04,65225
2018-03-02,149.13,149.88,145.86,146.38,9509411,-3.85,-2.56%,146.38,1398479799.71,82398
2018-03-01,153.67,156.19,148.51,150.23,9434816,-4.40,-2.85%,150.23,1431557038.46,89697
2018-02-28,161.50,162.34,154.17,154.63,7298582,-6.63,-4.11%,154.63,1149277133.78,60189
2018-02-27,163.26,164.60,161.24,161.26,4127704,-2.43,-1.48%,161.26,673237322.66,40752
2018-02-26,163.05,164.05,161.55,163.69,6254350,1.28,0.79%,163.69,1020535986.53,40641
2018-02-23,159.40,162.48,159.22,162.41,4450847,3.55,2.23%,162.41,715838486.73,38455
2018-02-22,156.41,159.78,156.20,158.86,4723266,3.63,2.34%,158.86,748714995.03,43641
2018-02-21,155.70,158.40,155.04,155.23,4179354,-0.33,-0.21%,155.23,654792714.96,39480
2018-02-20,155.17,158.25,154.27,155.56,5094572,-0.73,-0.47%,155.56,797215698.47,45105
2018-02-16,160.13,161.00,156.0876,156.29,5991556,-3.69,-2.31%,156.29,950027428.47,50288
2018-02-15,159.80,160.3431,157.48,159.98,4914500,1.92,1.21%,159.98,783226744.90,45605
2018-02-14,152.39,158.59,152.34,158.06,5560057,4.09,2.66%,158.06,868855706.84,48431
2018-02-13,151.25,155.20,151.00,153.97,5512149,1.68,1.10%,153.97,846896648.57,45063
2018-02-12,151.87,153.45,150.25,152.29,5756787,3.08,2.06%,152.29,874592553.86,48019
2018-02-09,148.71,150.89,142.88,149.21,9528067,3.22,2.21%,149.21,1401164994.67,90788
2018-02-08,153.85,154.19,145.92,145.99,9101934,-8.35,-5.41%,145.99,1363403787.89,80814
2018-02-07,155.36,158.09,154.28,154.34,7156489,-2.07,-1.32%,154.34,1115986415.65,62372
2018-02-06,148.07,156.5599,146.81,156.41,13908666,5.33,3.53%,156.41,2126558311.20,118218
2018-02-05,154.93,158.93,142.85,151.08,11390549,-6.41,-4.07%,151.08,1749663492.63,105638
2018-02-02,160.77,160.80,156.53,157.49,7602821,-4.75,-2.93%,157.49,1203608287.02,68870
2018-02-01,161.24,163.74,160.18,162.24,4323603,-0.54,-0.33%,162.24,701757789.91,41909
2018-01-31,164.70,165.79,161.893,162.78,7013992,-0.98,-0.60%,162.78,1145479603.53,50730
2018-01-30,160.33,164.71,159.81,163.76,8694776,1.18,0.73%,163.76,1411357898.99,65794
2018-01-29,165.58,165.88,159.42,162.58,9496821,-4.48,-2.68%,162.58,1547617259.04,81877
