date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,144.19,145.08,142.17,143.09,1148954,-0.91,-0.63%,143.09,164801914.00,13034
2018-03-09,142.73,144.00,141.18,144.00,1568986,2.09,1.47%,144.00,224821075.56,14246
2018-03-08,140.76,142.3277,140.22,141.91,1247739,1.27,0.90%,141.91,176604911.93,11073
2018-03-07,140.80,141.14,139.57,140.64,1462748,-1.29,-0.91%,140.64,205544338.20,13812
2018-03-06,141.75,142.22,140.40,141.93,1176263,0.37,0.26%,141.93,166482887.15,11850
2018-03-05,139.51,142.48,139.11,141.56,1357036,1.70,1.22%,141.56,191983529.28,13868
2018-03-02,139.04,140.02,137.49,139.86,1784650,0.05,0.04%,139.86,247978536.30,17726
2018-03-01,142.03,143.35,139.18,139.81,1377033,-2.11,-1.49%,139.81,193764172.42,17336
2018-02-28,144.68,145.67,141.83,141.92,1315306,-2.27,-1.57%,141.92,188284941.15,12283
2018-02-27,146.11,146.58,144.19,144.19,1739360,-1.95,-1.33%,144.19,252272806.92,18910
2018-02-26,144.19,146.6462,144.03,146.14,1803216,2.13,1.48%,146.14,262919587.67,16264
2018-02-23,143.28,144.01,142.19,144.01,1386440,0.94,0.66%,144.01,198982173.82,12303
2018-02-22,144.00,145.285,142.72,143.07,1996686,-0.65,-0.45%,143.07,287161367.86,19102
2018-02-21,145.53,146.74,143.67,143.72,1581339,-1.72,-1.18%,143.72,229305777.84,18058
2018-02-20,146.89,147.66,144.54,145.44,1270533,-1.56,-1.06%,145.44,185050831.79,14250
2018-02-16,146.70,148.10,146.05,147.00,1514310,-0.07,-0.05%,147.00,222803935.93,12994
2018-02-15,147.72,148.58,146.28,147.07,1783073,-0.22,-0.15%,147.07,262392375.99,16290
2018-02-14,144.50,147.36,143.80,147.29,1989089,2.17,1.50%,147.29,290059211.73,20675
2018-02-13,143.76,145.52,143.36,145.12,1387834,0.51,0.35%,145.12,200860601.40,15315
2018-02-12,144.98,146.28,142.48,144.61,2205831,0.09,0.06%,144.61,318895194.33,21831
2018-02-09,141.66,145.59,140.09,144.52,3508423,4.13,2.94%,144.52,500963650.40,37071
2018-02-08,147.65,148.02,140.31,140.39,2266041,-7.13,-4.83%,140.39,324460080.35,25309
2018-02-07,145.60,149.64,144.8931,147.52,3102309,1.64,1.12%,147.52,459109955.05,29036
2018-02-06,145.00,147.09,141.45,145.88,3348689,-1.47,-1.00%,145.88,484136270.15,33999
2018-02-05,152.99,153.66,146.57,147.35,2327624,-5.90,-3.85%,147.35,348251973.37,26365
2018-02-02,155.05,156.4405,153.10,153.25,1469096,-2.23,-1.43%,153.25,226380832.92,15878
2018-02-01,155.84,156.90,154.58,155.48,2088052,-0.67,-0.43%,155.48,324719205.62,18682
2018-01-31,154.35,157.50,153.845,156.15,3363810,3.09,2.02%,156.15,523261608.76,25561
2018-01-30,153.94,155.55,152.93,153.06,2203700,-1.06,-0.69%,153.06,339257975.45,19028
2018-01-29,155.50,155.81,153.93,154.12,1334670,-1.68,-1.08%,154.12,206145659.39,13433
2018-01-26,154.96,155.91,154.25,155.80,1311417,0.99,0.64%,155.80,203932311.06,11784
2018-01-25,154.91,155.29,153.285,154.81,1641686,-0.17,-0.11%,154.81,253703591.77,14536
2018-01-24,153.16,155.38,152.57,154.98,2113562,1.69,1.10%,154.98,326327930.13,22572
2018-01-23,149.80,154.19,149.75,153.29,3036061,3.50,2.34%,153.29,462637070.06,26433
2018-01-22,148.54,149.82,148.39,149.79,1436637,1.59,1.07%,149.79,214627684.77,14594
2018-01-19,148.01,148.30,146.95,148.20,1474974,0.51,0.35%,148.20,218215152.33,12372
2018-01-18,147.55,148.31,146.43,147.69,1327419,0.15,0.10%,147.69,195617191.62,12525
2018-01-17,146.52,147.82,145.78,147.54,1729098,1.87,1.28%,147.54,254606270.72,18122
2018-01-16,145.96,146.17,144.68,145.67,1867848,0.03,0.02%,145.67,272018055.16,19551
2018-01-12,144.70,145.82,143.67,145.64,1357440,1.14,0.79%,145.64,196882141.96,13492
2018-01-11,145.23,145.88,143.85,144.50,1428613,-0.79,-0.54%,144.50,206247764.49,14483
2018-01-10,145.53,145.83,144.95,145.29,1541601,-0.56,-0.38%,145.29,224080941.08,16551
2018-01-09,143.74,146.22,142.86,145.85,2208646,2.32,1.62%,145.85,321363830.45,20603
2018-01-08,143.56,143.74,142.011,143.53,1556053,-0.73,-0.51%,143.53,222767824.53,13977
2018-01-05,144.36,144.96,142.78,144.26,1629097,0.26,0.18%,144.26,234415657.88,13987
2018-01-04,143.61,145.33,143.34,144.00,1935542,0.58,0.40%,144.00,279493410.64,15630
2018-01-03,141.91,144.14,141.76,143.42,2675392,1.12,0.79%,143.42,382492861.70,24337
2018-01-02,146.42,147.07,141.40,142.30,1986481,-3.83,-2.62%,142.30,283262327.72,17310
2017-12-29,146.68,147.25,146.00,146.13,1311145,-0.03,-0.02%,146.13,191995467.44,10240
2017-12-28,145.65,146.62,145.54,146.16,1270945,0.70,0.48%,146.16,185710667.69,12086
2017-12-27,145.59,146.38,145.135,146.17,1134126,0.856,0.59%,145.4601,165581070.21,12627
2017-12-26,144.89,146.27,144.60,145.31,744585,0.109,0.08%,144.6042,108106214.99,7948
2017-12-22,145.31,145.82,144.30,145.20,1322843,0.189,0.13%,144.4948,192015479.24,11593
2017-12-21,146.80,146.95,144.769,145.01,1621912,-0.955,-0.66%,144.3057,235715615.85,13579
2017-12-20,147.59,148.085,145.73,145.97,1656967,-1.642,-1.12%,145.261,242471009.96,15921
2017-12-19,147.99,149.115,147.10,147.62,1502503,-0.239,-0.16%,146.903,222166667.03,17278
2017-12-18,149.625,150.10,147.07,147.86,1394799,-0.856,-0.58%,147.1418,206386046.64,12406
2017-12-15,147.12,149.40,146.66,148.72,2532963,2.587,1.78%,147.9977,375614408.01,15206
2017-12-14,148.32,148.65,145.23,146.12,2639861,-2.309,-1.56%,145.4103,386780847.37,21645
2017-12-13,150.72,150.72,148.39,148.44,1236869,-2.05,-1.37%,147.719,184350704.74,13744
2017-12-12,150.05,150.77,149.60,150.50,1216935,0.259,0.17%,149.769,182910986.81,13297
2017-12-11,150.04,150.28,149.13,150.24,1306392,0.189,0.13%,149.5103,195604754.70,14315
2017-12-08,149.41,150.11,148.26,150.05,1311812,0.607,0.41%,149.3212,196103825.33,11825
2017-12-07,150.63,150.98,148.90,149.44,1383400,-1.423,-0.95%,148.7142,207191953.57,13960
2017-12-06,149.98,151.31,149.58,150.87,1395822,0.687,0.46%,150.1372,210671058.53,14648
2017-12-05,151.46,151.46,149.00,150.18,1476218,-0.637,-0.42%,149.4506,221563611.01,13814
2017-12-04,153.38,153.38,150.81,150.82,1311570,-0.816,-0.54%,150.0875,198733186.37,15816
2017-12-01,151.91,152.79,148.20,151.64,1556358,-0.468,-0.31%,150.9035,235030265.75,16052
2017-11-30,153.00,153.47,150.61,152.11,2256821,-0.527,-0.35%,151.3712,343520036.05,17330
2017-11-29,152.25,153.335,151.58,152.64,1408596,1.065,0.71%,151.8986,214837315.26,17355
2017-11-28,149.76,152.12,149.00,151.57,1119583,2.299,1.55%,150.8338,169348569.05,12895
2017-11-27,148.93,149.70,148.16,149.26,798175,0.328,0.22%,148.535,119101370.77,9471
2017-11-24,149.10,149.10,148.05,148.93,465154,0.677,0.46%,148.2066,69154169.81,5862
2017-11-22,148.76,149.11,147.97,148.25,982159,-0.925,-0.62%,147.53,145776643.14,10093
2017-11-21,149.50,150.00,148.97,149.18,960641,0.179,0.12%,148.4554,143461444.88,9799
2017-11-20,148.57,149.41,147.84,149.00,983255,0.368,0.25%,148.2763,146400040.39,11993
2017-11-17,148.19,149.16,147.98,148.63,966673,-0.229,-0.15%,147.9081,143738719.63,9741
2017-11-16,151.48,151.48,148.80,148.86,1244819,-2.289,-1.52%,148.137,186049847.32,13312
2017-11-15,150.25,151.75,149.025,151.16,1597537,0.468,0.31%,150.4258,241206055.37,16446
2017-11-14,150.68,151.04,149.41,150.69,1216348,-0.647,-0.43%,149.9581,183065733.23,13821
2017-11-13,151.14,151.83,150.02,151.34,1065364,-0.01,-0.01%,150.6049,161126939.39,12053
2017-11-10,151.15,151.89,150.05,151.35,1016006,-0.289,-0.19%,150.6149,153775097.90,11908
2017-11-09,149.73,151.72,149.25,151.64,1206725,1.533,1.03%,150.9035,182430816.28,15182
2017-11-08,151.66,151.66,149.62,150.10,1466340,0.299,0.20%,149.371,220341213.60,13547
2017-11-07,149.82,150.81,149.13,149.80,1345219,0.597,0.40%,149.0724,201669509.92,13140
2017-11-06,147.75,149.41,147.27,149.20,1472269,0.925,0.63%,148.4753,219133820.92,16597
2017-11-03,148.65,149.68,147.76,148.27,1822331,-0.985,-0.66%,147.5499,270455892.24,18210
2017-11-02,151.60,152.12,147.78,149.26,2708702,-2.04,-1.35%,148.535,405112360.55,28181
2017-11-01,150.53,152.25,150.51,151.31,1511371,0.488,0.32%,150.5751,228896554.56,16847
2017-10-31,152.67,153.45,150.77,150.82,2128614,-2.06,-1.35%,150.0875,322589135.77,21291
2017-10-30,152.65,154.31,151.38,152.89,1338058,0.139,0.09%,152.1474,205097813.91,14269
2017-10-27,154.25,154.25,151.4998,152.75,2419552,-1.99,-1.29%,152.0081,368809710.34,20042
2017-10-26,154.87,155.39,154.04,154.75,1218626,0.547,0.36%,153.9984,188704220.26,13055
2017-10-25,154.54,155.27,153.39,154.20,1536007,-0.199,-0.13%,153.4511,236453250.89,18859
2017-10-24,155.60,156.00,154.39,154.40,1512990,-0.786,-0.51%,153.6501,234484160.03,14089
2017-10-23,154.18,155.24,153.32,155.19,854821,1.184,0.77%,154.4362,132139713.29,9106
2017-10-20,155.08,155.29,153.27,154.00,1737950,0.02,0.01%,153.252,267739190.33,14826
2017-10-19,150.95,154.05,150.12,153.98,1561837,2.856,1.90%,153.2321,238424121.74,14433
2017-10-18,149.72,151.18,148.91,151.11,941377,1.025,0.69%,150.3761,141688982.18,12045
2017-10-17,150.06,150.45,149.06,150.08,1250676,-0.239,-0.16%,149.3511,187476293.63,12337
2017-10-16,148.66,150.73,148.54,150.32,1503052,1.473,0.99%,149.5899,225478582.70,15687
2017-10-13,146.60,149.19,145.96,148.84,1855687,2.249,1.54%,148.1171,275516135.10,18084
2017-10-12,147.62,148.04,146.22,146.58,1117982,-0.786,-0.54%,145.8681,163924749.12,11422
2017-10-11,146.94,147.47,146.445,147.37,871356,0.09,0.06%,146.6542,128227628.40,9895
2017-10-10,146.04,147.33,145.67,147.28,724189,1.224,0.84%,146.5647,106363619.81,8742
2017-10-09,146.09,146.59,145.00,146.05,976682,-0.10,-0.07%,145.3406,142546841.43,9829
2017-10-06,145.99,146.62,145.03,146.15,1139962,0.438,0.30%,145.4401,166451783.98,12495
2017-10-05,144.84,146.29,144.32,145.71,1362680,0.955,0.66%,145.0023,198357424.06,13308
2017-10-04,144.40,145.08,144.29,144.75,924602,0.05,0.03%,144.0469,133780623.62,10855
2017-10-03,145.39,145.39,143.885,144.70,1536714,-0.786,-0.54%,143.9972,221796127.58,17560
2017-10-02,142.55,145.56,142.375,145.49,2225569,2.926,2.06%,144.7834,321742934.49,21418
2017-09-29,141.73,142.7095,141.64,142.55,1413249,0.358,0.25%,141.8576,201094723.44,13166
2017-09-28,141.48,142.67,141.42,142.19,1796660,0.985,0.70%,141.4994,255124652.78,15501
2017-09-27,142.54,142.54,141.60,141.91,1414821,0.297,0.21%,140.5142,200887778.17,14765
2017-09-26,142.86,142.86,140.87,141.61,1635078,-1.584,-1.12%,140.2172,231924528.99,15763
2017-09-25,142.59,143.39,141.82,143.21,1119155,0.614,0.43%,141.8014,159948848.07,9515
2017-09-22,142.75,143.09,141.64,142.59,1009627,-0.356,-0.25%,141.1875,143823939.69,10105
2017-09-21,143.81,144.67,142.94,142.95,944906,-0.921,-0.65%,141.544,135518957.12,11239
2017-09-20,143.90,144.30,142.70,143.88,1080696,0.406,0.29%,142.4648,155300647.06,13252
2017-09-19,143.52,144.57,142.90,143.47,1590289,-0.099,-0.07%,142.0589,228370004.10,16218
2017-09-18,143.72,144.06,142.665,143.57,974927,0.059,0.04%,142.1579,139948342.31,12004
2017-09-15,142.79,143.66,142.46,143.51,2307678,0.713,0.50%,142.0985,330483833.30,14316
2017-09-14,144.59,144.59,141.60,142.79,1711993,-1.743,-1.22%,141.3856,244274596.43,17025
2017-09-13,146.42,146.84,144.20,144.55,1809292,-2.436,-1.67%,143.1282,261958865.11,16041
2017-09-12,145.89,147.02,145.24,147.01,2330213,1.119,0.77%,145.5641,340894654.33,22009
2017-09-11,142.71,146.84,142.71,145.88,4895214,4.981,3.57%,144.4452,713518359.59,39869
2017-09-08,134.43,142.75,134.04,140.85,4374312,5.911,4.43%,139.4646,612818084.82,39591
2017-09-07,137.45,137.66,133.82,134.88,2786252,-2.802,-2.06%,133.5534,376361135.90,28823
2017-09-06,137.10,139.15,136.28,137.71,2861606,0.852,0.63%,136.3555,394524768.80,26405
2017-09-05,139.30,139.99,136.54,136.85,2436722,-3.604,-2.59%,135.504,335934017.08,24249
2017-09-01,141.47,142.28,140.31,140.49,1397324,-0.921,-0.66%,139.1082,197180768.85,15774
2017-08-31,141.60,141.74,140.54,141.42,1858489,0.257,0.18%,140.029,262465988.09,15773
2017-08-30,142.53,142.53,141.12,141.16,1223837,-0.723,-0.51%,139.7716,173378060.37,12615
2017-08-29,140.59,142.35,140.59,141.89,1242597,0.109,0.08%,140.4944,176276987.45,13816
2017-08-28,143.29,143.29,140.59,141.78,1541145,-1.832,-1.29%,140.3855,218321834.02,15142
2017-08-25,142.80,144.15,142.65,143.63,1312740,1.723,1.23%,142.2173,188223219.73,14481
2017-08-24,140.59,142.35,140.59,141.89,1242597,-2.327,-1.63%,140.4944,176276987.45,13816
2017-08-23,144.80,145.27,143.94,144.24,1024521,-1.059,-0.74%,142.8213,147980903.47,10773
2017-08-22,145.42,145.56,144.85,145.31,1054599,-0.02,-0.01%,143.8808,153182137.27,11726
2017-08-21,145.58,145.7861,144.76,145.33,1289348,-0.109,-0.08%,143.9006,187285462.17,11621
2017-08-18,145.25,146.34,145.25,145.44,1054117,-0.505,-0.35%,144.0095,153615485.86,10415
2017-08-17,147.80,148.02,145.89,145.95,910363,-2.05,-1.40%,144.5145,133497045.02,11415
2017-08-16,148.41,148.94,147.88,148.02,904889,0.05,0.03%,146.5641,134141653.87,8735
2017-08-15,147.81,148.75,147.73,147.97,847534,0.564,0.39%,146.5146,125494633.13,9686
