date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,124.17,124.54,123.06,123.82,1253509,-0.72,-0.58%,123.82,155361115.10,12628
2018-03-09,120.22,124.55,120.18,124.54,1432695,4.65,3.88%,124.54,176346408.84,15219
2018-03-08,119.39,120.65,118.90,119.89,1257486,1.10,0.93%,119.89,150648242.50,10986
2018-03-07,117.60,119.10,117.22,118.79,1488372,0.62,0.52%,118.79,176086415.79,12668
2018-03-06,115.35,119.20,115.16,118.17,2139407,2.82,2.44%,118.17,251891358.37,18589
2018-03-05,114.51,116.57,113.12,115.35,1957395,0.35,0.30%,115.35,225622728.45,15228
2018-03-02,111.03,116.37,110.70,115.00,1907402,3.64,3.27%,115.00,218179892.52,19522
2018-03-01,111.63,112.73,111.07,111.36,2780233,-0.38,-0.34%,111.36,310983651.71,27687
2018-02-28,110.99,113.49,110.58,112.01,1800923,1.816,1.65%,111.7401,201751862.25,16418
2018-02-27,110.94,111.93,110.16,110.19,1271456,-1.137,-1.02%,109.9244,140828298.73,12511
2018-02-26,108.94,111.96,108.86,111.33,1609023,2.574,2.37%,111.0617,177990220.80,15696
2018-02-23,110.11,110.12,108.27,108.75,2064160,-1.207,-1.10%,108.4879,224593872.29,20606
2018-02-22,111.34,112.07,109.59,109.96,992886,-1.337,-1.20%,109.695,109641211.83,11132
2018-02-21,111.24,113.10,110.75,111.30,1400520,0.519,0.47%,111.0318,156851433.47,13910
2018-02-20,110.96,113.025,110.03,110.78,1707206,-0.668,-0.60%,110.513,189864105.23,15164
2018-02-16,116.84,117.39,110.84,111.45,2804005,-5.986,-5.11%,111.1814,314272179.40,23078
2018-02-15,116.47,117.58,114.62,117.45,2075493,2.444,2.13%,117.1669,241756600.14,20287
2018-02-14,111.59,115.62,111.32,115.00,2331852,2.773,2.48%,114.7228,265393427.72,19464
2018-02-13,110.73,113.47,109.54,112.22,2403518,1.536,1.39%,111.9496,268166122.69,21843
2018-02-12,108.58,113.32,108.35,110.68,2567309,3.561,3.33%,110.4133,285272513.66,23125
2018-02-09,104.35,108.61,96.81,107.11,7012910,-4.03,-3.63%,106.8519,723662112.77,58035
2018-02-08,114.41,114.88,111.07,111.15,3246257,-3.407,-2.98%,110.8821,366141733.42,28152
2018-02-07,111.01,116.09,111.01,114.565,4190808,-2.369,-2.03%,114.2889,476471577.09,39737
2018-02-06,125.57,125.68,108.00,116.94,7648364,-13.557,-10.41%,116.6582,889557376.89,71354
2018-02-05,133.17,136.57,130.05,130.53,1719284,-4.11,-3.06%,130.2154,228442962.01,18939
2018-02-02,136.19,136.94,134.525,134.65,861578,-1.905,-1.40%,134.3255,116776191.07,10038
2018-02-01,134.17,136.80,133.5598,136.56,892994,2.165,1.61%,136.2309,121545743.75,9063
2018-01-31,133.57,135.42,133.50,134.39,872360,1.097,0.83%,134.0661,117478795.03,9092
2018-01-30,134.53,134.90,132.38,133.29,1434199,-1.816,-1.35%,132.9688,191616814.26,12919
2018-01-29,137.20,138.54,134.73,135.11,983605,-1.905,-1.39%,134.7844,133597259.95,10399
2018-01-26,137.50,137.635,136.0001,137.02,953655,-0.14,-0.10%,136.6898,130675698.83,9086
2018-01-25,136.38,137.43,135.26,137.16,793921,1.586,1.17%,136.8294,108456019.51,8605
2018-01-24,135.00,135.66,133.39,135.57,605938,0.758,0.56%,135.2433,81803757.45,7686
2018-01-23,134.34,134.96,133.9275,134.81,635940,0.249,0.19%,134.4851,85601499.90,6302
2018-01-22,133.81,134.64,133.37,134.56,607592,0.678,0.51%,134.2357,81594322.59,6956
2018-01-19,133.06,134.15,132.6461,133.88,885343,0.968,0.73%,133.5573,118225059.26,9051
2018-01-18,131.07,133.00,130.77,132.91,760612,1.387,1.06%,132.5897,100698627.49,8013
2018-01-17,130.86,131.87,130.57,131.52,721010,0.728,0.56%,131.203,94799629.89,8097
2018-01-16,132.22,133.06,129.83,130.79,861865,-0.718,-0.55%,130.4748,113255577.56,9952
2018-01-12,132.19,132.62,131.42,131.51,618182,-0.678,-0.51%,131.1931,81452655.59,7211
2018-01-11,132.41,133.31,131.86,132.19,1082999,-0.14,-0.11%,131.8714,143456334.83,9927
2018-01-10,130.48,132.46,130.31,132.33,791947,1.536,1.18%,132.0111,104462245.79,8625
2018-01-09,129.70,131.57,129.70,130.79,1085896,1.257,0.97%,130.4748,142082409.39,9690
2018-01-08,127.47,129.95,127.05,129.53,1130469,1.925,1.51%,129.2178,146192890.93,10103
2018-01-05,124.05,127.83,124.05,127.60,1241414,3.551,2.87%,127.2925,157466382.95,11837
2018-01-04,123.75,124.90,123.49,124.04,918106,0.479,0.39%,123.7411,113891195.28,9383
2018-01-03,122.35,124.10,120.35,123.56,1010731,0.808,0.66%,123.2622,124514213.91,11436
2018-01-02,124.88,125.30,122.35,122.75,842098,-1.836,-1.48%,122.4542,103643791.54,9560
2017-12-29,125.07,125.7599,124.28,124.59,673010,-0.259,-0.21%,124.2897,84092750.93,8067
2017-12-28,125.10,125.10,123.72,124.85,823042,0.09,0.07%,124.5491,102400182.77,8056
2017-12-27,123.87,125.54,123.7216,124.76,646965,0.718,0.58%,124.4593,80758733.70,6193
2017-12-26,124.19,124.47,123.24,124.04,521377,-0.429,-0.35%,123.7411,64662669.81,5592
2017-12-22,124.65,125.20,124.295,124.47,683640,-0.16,-0.13%,124.17,85110766.75,6399
2017-12-21,124.50,125.00,123.7612,124.63,1635214,0.399,0.32%,124.3296,203089693.53,13022
2017-12-20,124.70,125.52,123.27,124.23,945467,-0.419,-0.34%,123.9306,117416048.16,10259
2017-12-19,126.32,127.22,124.52,124.65,1585061,-1.137,-0.91%,124.3496,198597068.48,11267
2017-12-18,126.58,126.96,125.54,125.79,1761498,-0.579,-0.46%,125.4868,221777984.86,12161
2017-12-15,126.39,127.0734,125.15,126.37,2725489,0.309,0.25%,126.0654,344475497.73,13378
2017-12-14,126.87,127.61,125.17,126.06,1699193,-0.219,-0.17%,125.7562,214503646.90,13576
2017-12-13,127.82,128.30,126.1153,126.28,1591362,-1.337,-1.05%,125.9757,201860383.59,12229
2017-12-12,126.82,128.32,126.26,127.62,1204174,1.267,1.01%,127.3124,153724161.64,13400
2017-12-11,126.76,126.98,124.76,126.35,1263784,1.077,0.86%,126.0455,159298732.16,13688
2017-12-08,125.00,125.50,124.01,125.27,1213704,1.077,0.87%,124.9681,151787822.42,11783
2017-12-07,123.76,124.76,122.37,124.19,919932,0.778,0.63%,123.8907,114090645.55,11125
2017-12-06,123.69,124.35,122.84,123.41,1019965,-0.359,-0.29%,123.1126,126120913.11,11924
2017-12-05,123.02,123.9795,121.27,123.77,1349837,0.658,0.54%,123.4717,166290323.76,12826
2017-12-04,126.00,127.78,122.35,123.11,1550489,-1.137,-0.92%,122.8133,191604425.64,15564
2017-12-01,124.42,125.00,122.29,124.25,1566422,0.818,0.66%,123.9506,194187231.64,15319
2017-11-30,121.18,124.2502,120.80,123.43,2264414,2.763,2.30%,123.1325,279227308.73,14287
2017-11-29,123.32,125.04,119.78,120.93,2075732,-1.782,-1.46%,120.3692,252414526.42,22970
2017-11-28,121.00,122.7999,120.72,122.72,886010,2.21,1.84%,122.1509,108177215.52,10687
2017-11-27,120.58,121.0186,120.3941,120.50,786428,0.368,0.31%,119.9412,94874681.78,8024
2017-11-24,119.63,120.8427,119.54,120.13,333008,0.776,0.65%,119.5729,40017925.01,4304
2017-11-22,119.76,120.23,118.46,119.35,701099,-0.279,-0.23%,118.7965,83523823.85,8860
2017-11-21,120.14,120.49,118.20,119.63,936974,0.398,0.34%,119.0752,111735776.09,10602
2017-11-20,116.73,119.29,116.73,119.23,1413336,2.737,2.36%,118.6771,167835668.24,11716
2017-11-17,115.95,116.85,115.89,116.48,777530,0.458,0.40%,115.9398,90509271.48,7332
2017-11-16,115.75,116.335,115.23,116.02,671769,0.508,0.44%,115.4819,77945416.86,7189
2017-11-15,116.79,116.80,115.37,115.51,757098,-1.085,-0.93%,114.9743,87701370.74,9170
2017-11-14,115.68,116.909,115.51,116.60,1497844,0.856,0.74%,116.0593,174315985.68,12054
2017-11-13,114.68,116.13,114.5101,115.74,881137,1.284,1.13%,115.2032,101818434.37,10186
2017-11-10,114.33,115.315,113.90,114.45,1037068,0.319,0.28%,113.9192,118745945.31,10095
2017-11-09,113.06,114.41,109.84,114.13,853690,0.707,0.63%,113.6007,96773762.28,9874
2017-11-08,113.31,113.77,112.62,113.42,743343,0.00,0.00%,112.894,84305391.50,7613
2017-11-07,113.29,116.56,112.35,113.42,1115834,-1.015,-0.89%,112.894,127005722.21,11259
2017-11-06,115.07,115.71,114.00,114.44,1020857,-0.577,-0.50%,113.9093,117122028.32,11660
2017-11-03,115.55,115.91,114.89,115.02,581696,-0.547,-0.48%,114.4866,67049833.38,8207
2017-11-02,113.48,115.74,113.12,115.57,947138,2.926,2.61%,115.034,108820708.26,10841
2017-11-01,113.69,113.81,112.60,112.63,513835,-0.428,-0.38%,112.1077,58037392.46,6423
2017-10-31,111.60,113.38,111.4509,113.06,793793,1.194,1.07%,112.5357,89605517.72,9157
2017-10-30,111.82,112.73,111.76,111.86,528917,-0.09,-0.08%,111.3412,59311648.53,6696
2017-10-27,111.33,112.50,110.78,111.95,657414,0.458,0.41%,111.4308,73619638.35,8076
2017-10-26,110.00,111.62,109.60,111.49,757321,1.752,1.60%,110.973,84026737.77,9237
2017-10-25,110.15,110.509,108.47,109.73,939093,-0.518,-0.47%,109.2211,102680794.87,11397
2017-10-24,111.00,111.252,110.01,110.25,525257,-0.438,-0.40%,109.7387,57923946.35,6675
2017-10-23,109.93,111.04,109.44,110.69,726346,0.697,0.64%,110.1767,80246775.08,8604
2017-10-20,109.29,110.09,109.21,109.99,742937,1.055,0.97%,109.4799,81558910.64,7702
2017-10-19,109.56,109.56,108.12,108.93,813420,-0.657,-0.60%,108.4248,88426137.41,9292
2017-10-18,109.58,109.79,108.86,109.59,760133,0.06,0.05%,109.0818,83247168.79,9043
2017-10-17,110.11,110.49,109.39,109.53,765497,-0.169,-0.15%,109.022,84046251.93,8784
2017-10-16,110.15,110.645,109.46,109.70,927050,-0.796,-0.72%,109.1913,101885399.08,10229
2017-10-13,110.20,110.67,109.92,110.50,646002,0.478,0.44%,109.9875,71293799.47,7585
2017-10-12,108.82,110.37,108.768,110.02,681222,0.916,0.84%,109.5098,74919469.22,7421
2017-10-11,108.64,109.10,107.93,109.10,803467,0.667,0.62%,108.594,87331132.57,8390
2017-10-10,109.23,109.29,108.33,108.43,599111,-0.786,-0.72%,107.9271,65035701.98,7321
2017-10-09,107.85,109.34,107.85,109.22,710379,1.045,0.97%,108.7135,77351190.90,7502
2017-10-06,108.80,109.10,107.63,108.17,1626518,-0.259,-0.24%,107.6683,175978803.73,15651
2017-10-05,110.21,110.21,108.39,108.43,932273,-0.906,-0.83%,107.9271,101381698.95,12501
2017-10-04,109.20,109.65,108.32,109.34,739901,0.269,0.25%,108.8329,80651584.82,9037
2017-10-03,108.71,109.61,108.05,109.07,1019023,0.886,0.82%,108.5642,110928189.23,11479
2017-10-02,107.92,108.41,107.48,108.18,674136,0.547,0.51%,107.6783,72835727.76,8466
2017-09-29,107.37,108.26,107.01,107.63,785024,0.309,0.29%,107.1309,84405509.65,10113
2017-09-28,106.54,107.72,106.51,107.32,601619,0.617,0.58%,106.8223,64561081.31,6967
2017-09-27,105.35,107.07,105.00,106.70,864115,1.981,1.90%,106.2052,92185333.24,8250
2017-09-26,106.31,106.70,104.665,104.71,846367,-1.593,-1.51%,104.2244,89088238.33,9065
2017-09-25,106.72,106.99,105.575,106.31,784980,-0.289,-0.27%,105.817,83357477.56,8101
2017-09-22,106.20,106.72,105.81,106.60,733778,0.338,0.32%,106.1056,78126282.16,7612
2017-09-21,106.60,106.975,105.56,106.26,973621,-0.139,-0.13%,105.7672,103174968.85,9386
2017-09-20,105.66,107.06,105.43,106.40,919634,0.966,0.92%,105.9066,97939190.01,9560
2017-09-19,105.54,106.26,105.26,105.43,1514186,-0.06,-0.06%,104.9411,159760641.33,9825
2017-09-18,104.65,105.81,104.65,105.49,1577320,0.816,0.78%,105.0008,166296134.65,10810
2017-09-15,105.85,106.41,104.64,104.67,6221349,-1.175,-1.11%,104.1846,652174608.99,18846
2017-09-14,105.00,106.5299,105.00,105.85,1966366,0.478,0.46%,105.3591,208200464.16,14539
2017-09-13,104.73,105.60,104.02,105.37,1698216,0.637,0.61%,104.8813,178346280.90,14408
2017-09-12,104.73,105.49,104.28,104.73,1132370,0.348,0.34%,104.2443,118656388.07,12697
2017-09-11,105.36,105.8961,103.86,104.38,1296653,-0.358,-0.34%,103.8959,135681377.03,16277
2017-09-08,103.76,105.91,103.70,104.74,1126133,1.055,1.02%,104.2543,118143364.16,12170
2017-09-07,104.01,104.32,103.19,103.68,966959,-0.05,-0.05%,103.1992,100318415.60,10855
2017-09-06,102.57,104.10,102.46,103.73,1355885,1.523,1.50%,103.2489,140300562.40,15593
2017-09-05,100.53,102.32,100.53,102.20,1603220,1.254,1.25%,101.726,163097560.20,16793
2017-09-01,100.61,101.16,100.52,100.94,649371,0.05,0.05%,100.4719,65563248.19,7289
2017-08-31,100.64,101.35,100.33,100.89,987395,0.617,0.62%,100.4221,99663405.50,10529
2017-08-30,100.41,100.57,99.64,100.27,728417,0.199,0.20%,99.805,73010466.93,6818
2017-08-29,100.00,100.38,99.66,100.34,634092,0.189,0.19%,99.6059,63506787.39,6742
2017-08-28,100.00,100.44,99.17,100.15,720810,0.377,0.38%,99.4173,72011981.00,8696
2017-08-25,98.90,99.9899,98.55,99.77,787535,1.30,1.33%,99.0401,78297705.46,9211
2017-08-24,99.00,99.04,98.19,98.46,738548,0.06,0.06%,97.7397,72812572.88,8733
2017-08-23,98.81,99.40,98.37,98.40,865003,-0.705,-0.72%,97.6801,85561163.65,10429
2017-08-22,97.20,99.24,97.03,99.11,1048420,2.005,2.08%,98.3849,103276523.37,11275
2017-08-21,96.21,97.39,95.71,97.09,924756,0.784,0.82%,96.3797,89618684.71,8772
2017-08-18,96.93,97.32,96.24,96.30,1240866,-0.883,-0.92%,95.5955,119863961.54,11616
2017-08-17,97.87,98.04,97.13,97.19,797320,-0.635,-0.65%,96.4789,77713885.81,8727
2017-08-16,97.79,98.55,97.50,97.83,667439,0.288,0.30%,97.1143,65414726.60,7311
2017-08-15,97.28,98.06,96.86,97.54,1029453,0.467,0.48%,96.8264,100460635.92,11018
2017-08-14,96.46,98.02,96.24,97.07,909570,0.834,0.87%,96.3598,88548103.00,10662
2017-08-11,96.98,97.27,95.81,96.23,540038,-0.437,-0.46%,95.526,51950714.31,6627
2017-08-10,96.65,97.24,96.35,96.67,806762,-0.129,-0.13%,95.9627,78081840.58,9135
2017-08-09,95.51,96.95,94.91,96.80,759090,1.33,1.40%,96.0918,73187578.85,7980
