date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,52.28,52.84,52.10,52.29,8704397,0.11,0.21%,52.29,455552363.91,22839
2018-03-09,52.89,53.20,50.54,52.18,8606576,-0.48,-0.91%,52.18,444990188.28,48699
2018-03-08,52.00,52.745,52.00,52.66,2106083,0.73,1.41%,52.66,110546028.42,16695
2018-03-07,52.89,53.07,51.80,52.11,3806027,-1.116,-2.10%,51.93,198700764.42,28630
2018-03-06,53.46,53.75,52.065,53.23,3460589,-0.179,-0.34%,53.0461,183272565.04,27811
2018-03-05,53.10,53.80,53.00,53.41,2390342,0.09,0.17%,53.2255,127935523.58,17290
2018-03-02,51.90,53.44,51.77,53.32,3410997,1.206,2.32%,53.1358,180004649.32,22733
2018-03-01,53.05,53.16,51.65,52.11,2594559,-0.857,-1.62%,51.93,135494256.19,24700
2018-02-28,54.19,54.44,52.95,52.97,3082288,-1.176,-2.18%,52.787,164403558.18,25419
2018-02-27,55.60,56.08,54.13,54.15,2437258,-1.525,-2.75%,53.963,133653021.02,20916
2018-02-26,55.25,55.82,54.725,55.68,1982051,0.558,1.02%,55.4877,109747517.61,16027
2018-02-23,54.69,55.20,54.24,55.12,2855572,0.797,1.47%,54.9296,156474617.22,18179
2018-02-22,55.74,56.055,54.19,54.32,2833222,-1.056,-1.91%,54.1324,155373568.66,22386
2018-02-21,55.85,56.24,55.32,55.38,2638074,-0.867,-1.55%,55.1887,146924289.24,23228
2018-02-20,55.21,56.76,55.10,56.25,3267535,0.857,1.55%,56.0557,184113915.81,24223
2018-02-16,57.00,57.48,55.02,55.39,5503864,-1.345,-2.38%,55.1987,307566922.54,37767
2018-02-15,56.07,57.07,55.4401,56.74,5333672,0.887,1.59%,56.544,301640614.30,37506
2018-02-14,54.27,56.095,54.06,55.85,4108214,1.176,2.16%,55.6571,227866148.43,31623
2018-02-13,53.03,54.70,52.98,54.67,4699402,1.505,2.84%,54.4812,254859726.84,32874
2018-02-12,53.19,53.59,52.72,53.16,4591383,0.399,0.76%,52.9764,244164711.19,36061
2018-02-09,52.08,53.24,50.63,52.76,4509499,0.957,1.85%,52.5778,233738178.52,36203
2018-02-08,53.55,53.97,51.74,51.80,4790143,-1.634,-3.07%,51.6211,251951692.43,36706
2018-02-07,53.91,54.90,53.30,53.44,4062203,-0.369,-0.69%,53.2554,218675203.87,24637
2018-02-06,53.10,54.82,52.8787,53.81,4368497,-0.269,-0.50%,53.6241,235696690.17,31727
2018-02-05,55.25,56.18,53.99,54.08,4686617,-1.315,-2.38%,53.8932,257668665.45,31994
2018-02-02,59.08,59.09,55.29,55.40,7625902,-3.518,-5.99%,55.2086,428675423.95,50136
2018-02-01,57.66,59.59,57.66,58.93,3933301,1.315,2.29%,58.7265,231933693.54,24707
2018-01-31,58.50,59.125,57.15,57.61,4435144,-0.787,-1.35%,57.411,256572153.45,23070
2018-01-30,58.54,59.29,58.36,58.40,2663067,-0.329,-0.56%,58.1983,156212748.62,16719
2018-01-29,59.31,59.53,58.59,58.73,4499715,-1.266,-2.12%,58.5271,265258469.23,25268
2018-01-26,59.59,60.07,59.41,60.00,2829344,0.727,1.23%,59.7928,169267001.52,16567
2018-01-25,59.29,60.10,58.47,59.27,4618556,0.04,0.07%,59.0653,273532030.07,25074
2018-01-24,57.76,59.28,57.61,59.23,3909427,1.704,2.97%,59.0254,229498947.88,24263
2018-01-23,58.05,58.53,57.16,57.52,4838921,-0.727,-1.25%,57.3213,278443355.18,28544
2018-01-22,57.18,58.26,56.56,58.25,6673917,0.498,0.87%,58.0488,384345113.77,37964
2018-01-19,59.99,60.19,57.67,57.75,6221146,-2.242,-3.75%,57.5505,363436854.64,34054
2018-01-18,59.28,61.59,59.02,60.00,7368913,1.096,1.87%,59.7928,445367927.42,42258
2018-01-17,59.53,61.00,58.03,58.90,5879816,-0.528,-0.89%,58.6966,346351578.69,36614
2018-01-16,59.19,60.20,58.45,59.43,5830865,0.598,1.02%,59.2247,346810485.83,37929
2018-01-12,57.78,59.45,57.26,58.83,6280314,1.046,1.82%,58.6268,366791816.27,35871
2018-01-11,56.85,57.89,56.83,57.78,3483080,1.116,1.98%,57.5804,199945482.92,22236
2018-01-10,56.24,57.25,55.68,56.66,3773426,0.668,1.20%,56.4643,213620694.62,21532
2018-01-09,56.64,56.86,55.865,55.99,5276572,-0.767,-1.36%,55.7966,296956153.73,33919
2018-01-08,57.58,57.64,56.43,56.76,3633141,-0.817,-1.42%,56.564,206755107.74,24671
2018-01-05,58.26,58.29,57.39,57.58,3170137,-0.419,-0.72%,57.3811,182679854.74,21130
2018-01-04,59.43,59.50,57.42,58.00,6646527,-1.196,-2.03%,57.7997,385671482.05,32150
2018-01-03,59.20,59.41,58.76,59.20,2966279,0.03,0.05%,58.9955,175405293.50,19018
2018-01-02,58.19,59.55,58.19,59.17,3177671,0.169,0.29%,58.9656,187887096.99,20531
2017-12-29,59.29,59.44,58.87,59.00,2334987,-0.259,-0.44%,58.7962,137873010.70,14325
2017-12-28,59.31,59.59,58.9437,59.26,2136811,-0.03,-0.05%,59.0553,126476575.96,15610
2017-12-27,60.35,60.38,58.97,59.29,3696268,-0.897,-1.50%,59.0852,219238396.12,21692
2017-12-26,59.87,60.42,59.87,60.19,1647914,0.02,0.03%,59.9821,99178370.93,9835
2017-12-22,60.34,60.66,59.96,60.17,2404502,-0.359,-0.59%,59.9622,144734963.14,16190
2017-12-21,59.85,60.77,59.77,60.53,5008539,0.448,0.75%,60.3209,302786422.06,25308
2017-12-20,59.63,60.47,58.84,60.08,5498510,0.618,1.04%,59.8725,329024119.22,33196
2017-12-19,59.08,60.01,59.00,59.46,3018790,0.458,0.78%,59.2546,179679609.45,18575
2017-12-18,59.06,59.565,58.58,59.00,3653015,0.10,0.17%,58.7962,215522500.46,21027
2017-12-15,58.54,59.12,58.20,58.90,4759997,0.767,1.32%,58.6966,280053252.54,23232
2017-12-14,58.00,58.57,57.51,58.13,4458602,0.957,1.68%,57.9292,258940511.79,24335
2017-12-13,57.89,58.15,57.125,57.17,3145222,-0.797,-1.38%,56.9725,180740175.94,20326
2017-12-12,57.84,58.14,57.18,57.97,3253434,0.289,0.50%,57.7698,188394256.91,16047
2017-12-11,57.87,57.90,56.91,57.68,4317138,0.209,0.37%,57.4808,248107449.13,25204
2017-12-08,57.15,57.70,56.58,57.47,2519846,0.448,0.79%,57.2715,144564013.55,19813
2017-12-07,57.29,58.10,57.04,57.20,2964510,-0.228,-0.40%,56.823,170222469.54,18903
2017-12-06,58.35,58.62,57.31,57.43,2798507,-0.666,-1.15%,57.0515,161512543.26,22717
2017-12-05,60.16,60.29,58.08,58.10,4501128,-1.987,-3.33%,57.7171,263744801.46,32560
2017-12-04,57.57,60.14,57.51,60.10,6750877,2.97,5.24%,59.7039,401133546.88,45935
2017-12-01,55.89,57.29,55.51,57.11,5410523,1.043,1.87%,56.7336,306441282.83,34832
2017-11-30,56.53,56.84,55.61,56.06,6163492,-0.477,-0.85%,55.6906,345491696.53,28389
2017-11-29,54.79,56.75,54.56,56.54,7724115,1.768,3.25%,56.1674,434178984.68,42316
2017-11-28,55.87,55.87,54.41,54.76,7858616,-1.192,-2.14%,54.3991,430681445.86,40878
2017-11-27,56.73,56.75,55.49,55.96,6221659,-0.576,-1.03%,55.5912,347613769.23,35405
2017-11-24,56.50,56.96,56.21,56.54,3207803,0.298,0.53%,56.1674,181424426.40,16131
2017-11-22,56.64,57.22,55.86,56.24,6799756,-0.497,-0.88%,55.8694,382849504.37,28905
2017-11-21,55.89,56.87,55.78,56.74,14975149,0.805,1.45%,56.3661,845492390.05,30813
2017-11-20,56.64,57.29,55.86,55.93,10854900,-0.805,-1.43%,55.5614,610440780.59,31127
2017-11-17,56.30,57.25,55.16,56.74,29535496,0.338,0.60%,56.3661,1665062405.58,44463
2017-11-16,55.67,57.60,55.65,56.40,29783811,0.358,0.64%,56.0283,1691283953.27,53418
2017-11-15,56.33,56.75,55.63,56.04,29475697,-0.368,-0.66%,55.6707,1658176940.42,46633
2017-11-14,55.92,56.75,54.70,56.41,23062473,0.487,0.88%,56.0383,1293181817.90,55937
2017-11-13,56.58,56.74,55.32,55.92,21413836,-0.815,-1.45%,55.5515,1195366665.06,41646
2017-11-10,58.51,58.90,56.48,56.74,17567296,-1.331,-2.31%,56.3661,1005169846.52,60971
2017-11-09,56.80,58.70,56.67,58.08,12348663,0.825,1.45%,57.6972,715762355.17,44969
2017-11-08,57.37,57.84,56.60,57.25,12565659,-0.358,-0.62%,56.8727,719224117.44,28359
2017-11-07,57.17,59.25,57.13,57.61,15637219,0.646,1.14%,57.2303,909634214.53,48246
2017-11-06,55.20,57.25,54.621,56.96,10498182,1.55,2.82%,56.5846,589140515.36,48330
2017-11-03,53.96,56.20,52.75,55.40,15150100,0.934,1.73%,55.0349,833232380.95,66517
2017-11-02,56.07,56.07,54.00,54.46,12759699,-1.719,-3.08%,54.1011,704175033.66,54188
2017-11-01,56.21,56.71,55.74,56.19,7009898,0.07,0.12%,55.8197,394065089.26,28533
2017-10-31,56.19,56.45,55.80,56.12,5025223,0.00,0.00%,55.7502,281991660.03,18745
2017-10-30,56.51,57.24,56.12,56.12,4882154,-0.626,-1.11%,55.7502,276094454.99,22531
2017-10-27,57.07,57.18,55.51,56.75,4936987,-0.288,-0.51%,56.376,278458749.92,24330
2017-10-26,57.09,58.01,56.76,57.04,6161269,-0.228,-0.40%,56.6641,354310520.43,21293
2017-10-25,56.95,57.455,56.55,57.27,2290973,0.328,0.58%,56.8926,130722692.57,18802
2017-10-24,57.65,58.11,56.90,56.94,4457105,-1.003,-1.74%,56.5648,255307351.28,26426
2017-10-23,58.82,58.82,57.84,57.95,3633097,-0.964,-1.65%,57.5681,211272510.70,20565
2017-10-20,58.35,59.27,58.21,58.92,7968950,1.083,1.88%,58.5317,469310527.23,33574
2017-10-19,56.85,57.89,56.70,57.83,1966845,0.864,1.53%,57.4489,113202733.63,16096
2017-10-18,56.71,57.84,56.51,56.96,3243482,0.298,0.53%,56.5846,185370004.24,20311
2017-10-17,56.74,56.94,56.35,56.66,2288582,-0.238,-0.42%,56.2866,129592095.46,15062
2017-10-16,56.99,57.60,56.58,56.90,2987608,-0.099,-0.18%,56.525,170085064.20,20626
2017-10-13,56.44,57.32,56.22,57.00,2699990,0.487,0.87%,56.6244,153327985.22,15949
2017-10-12,56.60,57.27,56.37,56.51,3857279,-0.586,-1.03%,56.1376,218551376.07,22512
2017-10-11,57.33,57.39,56.36,57.10,4973413,-0.288,-0.51%,56.7237,282476932.50,25924
2017-10-10,58.32,58.51,57.12,57.39,2848545,-0.527,-0.92%,57.0118,164006308.65,20262
2017-10-09,58.35,58.49,57.84,57.92,1262520,-0.377,-0.65%,57.5383,73247088.79,9927
2017-10-06,58.78,58.88,57.93,58.30,2352066,-0.596,-1.02%,57.9158,136919846.65,18944
2017-10-05,59.91,60.28,58.51,58.90,3967343,-1.063,-1.78%,58.5118,234968225.94,27853
2017-10-04,58.81,60.14,58.66,59.97,4217996,1.073,1.83%,59.5748,251902639.64,25795
2017-10-03,58.44,59.04,58.15,58.89,3558283,0.338,0.58%,58.5019,208881061.43,22889
2017-10-02,58.37,58.71,57.60,58.55,3511908,0.546,0.95%,58.1641,204743365.45,24875
2017-09-29,57.06,58.10,56.91,58.00,5982394,1.073,1.90%,57.6178,344411519.58,34637
2017-09-28,57.97,58.20,56.92,56.92,3647141,-1.281,-2.22%,56.5449,209245418.31,27641
2017-09-27,58.05,58.66,57.47,58.21,4550389,0.209,0.36%,57.8264,264550392.82,27412
2017-09-26,60.00,60.21,57.99,58.00,3754810,-2.086,-3.49%,57.6178,219897680.36,27418
2017-09-25,59.40,60.74,59.26,60.10,4654948,0.864,1.47%,59.7039,280664359.42,35184
2017-09-22,58.73,59.26,58.28,59.23,1988782,0.437,0.75%,58.8397,117204145.80,14219
2017-09-21,59.00,59.15,58.55,58.79,1581857,-0.258,-0.44%,58.4026,93083188.77,13335
2017-09-20,58.91,59.39,58.67,59.05,1793680,0.199,0.34%,58.6609,105919178.83,14006
2017-09-19,57.83,58.99,57.44,58.85,4056804,1.123,1.96%,58.4622,237050161.19,28507
2017-09-18,58.34,58.805,57.45,57.72,2822953,-0.507,-0.88%,57.3396,163663715.09,18924
2017-09-15,57.89,58.834,57.89,58.23,4952980,0.079,0.14%,57.8463,288949176.08,25235
2017-09-14,60.08,60.16,57.59,58.15,5421773,-2.344,-3.90%,57.7668,316737446.69,31952
2017-09-13,59.00,60.60,59.00,60.51,3588771,1.679,2.87%,60.1112,216119026.69,28400
2017-09-12,58.06,59.45,57.63,58.82,3634048,0.815,1.41%,58.4324,213147973.61,27889
2017-09-11,59.79,59.92,57.92,58.00,5047231,-1.411,-2.39%,57.6178,294995454.74,33577
2017-09-08,60.24,60.39,58.68,59.42,5201381,-1.073,-1.79%,59.0284,308038609.43,34836
2017-09-07,61.97,61.99,59.25,60.50,6183504,-1.291,-2.10%,60.1013,373856735.68,49765
2017-09-06,63.82,63.82,61.84,61.98,3733172,-1.644,-2.61%,61.3927,233139835.53,26379
2017-09-05,64.10,64.51,63.31,63.64,1735465,-0.693,-1.09%,63.037,110656778.34,18065
2017-09-01,64.23,64.69,64.02,64.34,977372,0.277,0.44%,63.7304,62934738.44,9145
2017-08-31,64.57,64.99,64.01,64.06,1508741,-0.446,-0.70%,63.453,96951693.64,12493
2017-08-30,63.26,64.55,63.04,64.51,2319840,1.228,1.96%,63.8988,148482591.04,17703
2017-08-29,63.35,63.75,63.04,63.27,2210772,-0.475,-0.75%,62.6705,140080047.48,17479
2017-08-28,64.13,64.63,63.54,63.75,1301353,-0.139,-0.22%,63.146,83139490.96,12634
2017-08-25,64.10,64.68,63.75,63.89,1792224,-0.089,-0.14%,63.2846,114768329.27,14822
2017-08-24,64.90,65.10,63.98,63.98,2233271,-0.733,-1.14%,63.3738,143751556.22,16872
2017-08-23,65.27,65.50,64.35,64.72,1972608,-0.921,-1.42%,64.1068,127660725.52,17206
2017-08-22,65.11,65.94,64.87,65.65,1237303,0.634,0.98%,65.028,81144666.77,11755
2017-08-21,64.92,65.24,64.69,65.01,1357428,0.208,0.32%,64.394,88181380.27,10445
2017-08-18,65.77,65.84,64.78,64.80,1922117,-0.882,-1.35%,64.186,125362573.54,16995
2017-08-17,66.45,67.11,65.585,65.69,2756424,-0.822,-1.25%,65.0676,182670037.72,19661
2017-08-16,66.85,66.94,66.16,66.52,1808631,-0.178,-0.27%,65.8897,120299895.46,16593
2017-08-15,66.42,66.91,65.86,66.70,2092887,0.416,0.63%,66.068,139105854.55,15031
