date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,110.77,112.04,110.77,111.39,3442892,0.40,0.36%,111.39,383568197.70,27926
2018-03-09,110.65,110.99,110.11,110.99,3951926,0.75,0.68%,110.99,436308323.50,28088
2018-03-08,108.58,110.6097,107.90,110.24,4080658,2.64,2.45%,110.24,448197194.33,30452
2018-03-07,106.93,108.10,106.93,107.60,2197670,-0.13,-0.12%,107.60,236408040.74,19012
2018-03-06,107.61,108.93,107.34,107.73,2326663,0.01,0.01%,107.73,251372507.65,21568
2018-03-05,104.02,107.99,104.02,107.72,2935853,3.16,3.02%,107.72,314402464.79,25220
2018-03-02,105.25,105.69,103.65,104.56,3842742,-1.51,-1.42%,104.56,401599805.62,31374
2018-03-01,108.10,108.50,105.42,106.07,6252305,-3.99,-3.63%,106.07,666913123.13,53490
2018-02-28,110.51,112.13,109.93,110.06,3383977,-0.30,-0.27%,110.06,376073969.32,28532
2018-02-27,111.41,111.78,108.60,110.36,3278039,-1.18,-1.06%,110.36,361325552.96,29652
2018-02-26,110.57,111.56,109.85,111.54,1670641,1.10,1.00%,111.54,185676180.12,16940
2018-02-23,108.79,110.44,108.445,110.44,1726093,1.98,1.83%,110.44,189330503.16,15508
2018-02-22,107.39,109.51,106.90,108.46,2293906,1.67,1.56%,108.46,249301710.96,20219
2018-02-21,108.76,109.26,106.74,106.79,2443737,-1.78,-1.64%,106.79,263719302.03,20116
2018-02-20,108.77,109.72,108.52,108.57,2480883,-0.55,-0.50%,108.57,270323020.38,20583
2018-02-16,107.53,110.09,107.53,109.12,2769025,1.48,1.37%,109.12,302716829.71,23299
2018-02-15,105.63,107.99,104.62,107.64,2673854,2.28,2.16%,107.64,285417879.40,22810
2018-02-14,106.07,106.26,104.01,105.36,2917804,-1.00,-0.94%,105.36,307055845.06,21157
2018-02-13,105.13,106.75,104.72,106.36,1879166,1.25,1.19%,106.36,199210648.86,16501
2018-02-12,104.50,105.66,103.83,105.11,3325278,1.25,1.20%,105.11,349292435.11,26864
2018-02-09,104.15,104.75,100.76,103.86,3670325,0.05,0.05%,103.86,377955879.02,37456
2018-02-08,108.50,109.17,103.79,103.81,4391419,-4.94,-4.54%,103.81,467003385.20,35194
2018-02-07,108.30,109.91,107.82,108.75,2978747,0.20,0.18%,108.75,324250765.96,23816
2018-02-06,109.06,110.29,106.93,108.55,4553823,-1.96,-1.77%,108.55,493365582.81,38378
2018-02-05,111.55,112.92,109.89,110.51,2853197,-1.59,-1.42%,110.51,317508806.61,27004
2018-02-02,112.66,113.19,111.25,112.10,1809706,-0.97,-0.86%,112.10,203022274.79,17773
2018-02-01,112.91,114.47,112.33,113.07,3168653,0.30,0.27%,113.07,358970801.51,25036
2018-01-31,110.09,113.3899,110.07,112.77,2814801,2.74,2.49%,112.77,316530590.35,24758
2018-01-30,109.02,110.41,108.66,110.03,2954592,0.20,0.18%,110.03,324405190.09,23489
2018-01-29,110.52,111.15,108.84,109.83,3214495,-0.80,-0.72%,109.83,354213581.02,27128
2018-01-26,110.35,110.87,108.75,110.63,3328827,2.02,1.86%,110.63,366822211.73,28401
2018-01-25,109.38,110.22,107.16,108.61,4370710,-0.98,-0.89%,108.61,473751514.96,33945
2018-01-24,110.48,110.91,109.35,109.59,2405721,-0.74,-0.67%,109.59,264244579.88,23220
2018-01-23,108.92,110.44,108.4762,110.33,2996389,2.03,1.87%,110.33,329124449.46,23011
2018-01-22,107.50,108.37,106.89,108.30,2837797,0.95,0.88%,108.30,305824918.84,20780
2018-01-19,106.25,107.65,105.67,107.35,2868067,1.24,1.17%,107.35,306391906.41,21801
2018-01-18,105.71,106.32,105.21,106.11,2062459,0.08,0.08%,106.11,218278116.68,19519
2018-01-17,105.40,106.99,105.05,106.03,2616728,0.71,0.67%,106.03,277625852.34,25583
2018-01-16,103.98,106.77,103.98,105.32,2844785,1.75,1.69%,105.32,301194806.57,20754
2018-01-12,104.05,104.07,103.07,103.57,2430421,-0.12,-0.12%,103.57,251683301.46,20239
2018-01-11,104.95,105.19,102.60,103.69,4380675,-1.23,-1.17%,103.69,454058203.48,28103
2018-01-10,105.95,106.53,103.34,104.92,4849650,-2.76,-2.56%,104.92,506370651.90,33095
2018-01-09,108.30,108.67,107.63,107.68,1031933,-0.67,-0.62%,107.68,111463491.75,11391
2018-01-08,108.01,108.73,107.72,108.35,1776476,0.32,0.30%,108.35,192461045.35,12663
2018-01-05,107.43,108.41,107.26,108.03,1769361,0.82,0.76%,108.03,191100924.73,14096
2018-01-04,108.29,108.76,107.10,107.21,2240434,-1.26,-1.16%,107.21,241234998.39,18164
2018-01-03,108.75,109.50,108.08,108.47,2078871,-0.46,-0.42%,108.47,225722046.14,19637
2018-01-02,110.53,110.96,108.47,108.93,2036131,-2.08,-1.87%,108.93,222563348.82,16736
2017-12-29,110.00,111.425,109.61,111.01,1266797,1.19,1.08%,111.01,140519694.12,12281
2017-12-28,109.64,110.21,109.01,109.82,1779287,0.39,0.36%,109.82,195309150.85,14063
