date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,92.55,93.09,91.43,92.28,8400655,-0.275,-0.30%,92.28,774959944.91,41842
2018-03-09,91.79,92.57,90.75,92.555,6365905,1.365,1.50%,92.555,585547470.55,45544
2018-03-08,90.54,91.45,90.17,91.19,5757561,0.97,1.08%,91.19,523249769.13,43510
2018-03-07,88.59,90.70,88.46,90.22,6554781,1.05,1.18%,90.22,587731455.94,48373
2018-03-06,89.59,89.75,88.3714,89.17,5373843,0.13,0.15%,89.17,478518342.47,42478
2018-03-05,88.76,89.81,87.70,89.04,8188770,-0.29,-0.32%,89.04,725364849.66,60252
2018-03-02,86.95,89.93,86.55,89.33,8720716,2.14,2.45%,89.33,773860501.02,69977
2018-03-01,87.39,89.4171,87.00,87.19,11984078,0.07,0.08%,87.19,1055185352.79,98061
2018-02-28,89.96,91.75,87.11,87.12,27959602,-8.66,-9.04%,87.12,2467931914.34,184951
2018-02-27,96.25,96.95,95.63,95.78,6356895,-0.71,-0.74%,95.78,611382577.02,49353
2018-02-26,95.98,96.71,95.3204,96.49,5002872,0.88,0.92%,96.49,481154121.27,39245
2018-02-23,94.54,95.66,93.9435,95.61,4031211,1.83,1.95%,95.61,382503725.31,32516
2018-02-22,94.31,95.55,93.71,93.78,4565299,-0.11,-0.12%,93.78,431862384.26,38643
2018-02-21,93.90,95.72,93.80,93.89,4179650,0.04,0.04%,93.89,395596888.30,33826
2018-02-20,94.79,95.40,93.461,93.85,4820758,-1.41,-1.48%,93.85,455201100.97,36661
2018-02-16,96.01,96.80,95.24,95.26,5783343,-0.88,-0.92%,95.26,555339919.08,43683
2018-02-15,95.33,97.43,95.00,96.14,7521985,1.75,1.85%,96.14,725010653.79,55694
2018-02-14,92.08,94.6961,91.90,94.39,6986288,2.41,2.62%,94.39,655143041.58,54884
2018-02-13,91.62,92.45,90.72,91.98,7879386,0.47,0.51%,91.98,723082514.98,40832
2018-02-12,93.23,93.80,91.10,91.51,6663068,-1.00,-1.08%,91.51,613621248.35,50191
2018-02-09,91.92,94.135,88.32,92.51,11150259,1.49,1.64%,92.51,1016981527.66,91852
2018-02-08,95.28,95.48,90.98,91.02,7325335,-4.14,-4.35%,91.02,681177099.98,57967
2018-02-07,95.86,96.75,94.53,95.16,7363913,-1.09,-1.13%,95.16,705391479.63,54606
2018-02-06,93.03,96.55,92.85,96.25,10070841,2.51,2.68%,96.25,954137690.74,84319
2018-02-05,99.61,100.27,93.63,93.74,11360754,-6.06,-6.07%,93.74,1092163075.19,88379
2018-02-02,99.75,100.7227,98.85,99.80,5659319,-0.54,-0.54%,99.80,564910228.80,45831
2018-02-01,100.54,101.21,99.99,100.34,7297812,-0.82,-0.81%,100.34,732416936.16,52648
2018-01-31,102.06,102.54,100.43,101.16,7064387,-0.42,-0.41%,101.16,716311512.86,48323
2018-01-30,102.64,103.73,100.87,101.58,6742476,-1.68,-1.63%,101.58,686705902.15,49994
2018-01-29,104.76,105.83,102.81,103.26,7140142,-1.91,-1.82%,103.26,740396303.54,54546
2018-01-26,104.94,106.67,104.60,105.17,7992037,0.78,0.75%,105.17,842574462.81,50833
2018-01-25,106.10,106.28,101.80,104.39,11169447,1.28,1.24%,104.39,1161598797.60,74120
2018-01-24,104.97,105.33,102.71,103.11,9397299,-1.44,-1.38%,103.11,974759393.92,68891
2018-01-23,103.00,106.275,103.00,104.55,10546653,1.64,1.59%,104.55,1105155966.89,79028
2018-01-22,100.00,103.50,99.99,102.91,12934277,0.26,0.25%,102.91,1323303926.79,90338
2018-01-19,102.00,103.05,102.00,102.65,8112136,0.93,0.91%,102.65,832649886.93,53923
2018-01-18,102.40,102.86,101.27,101.72,9279762,-0.30,-0.29%,101.72,946022404.69,69290
2018-01-17,103.00,104.35,101.75,102.02,11874787,-2.80,-2.67%,102.02,1216767577.14,86626
2018-01-16,106.72,107.29,104.68,104.82,6253148,-1.18,-1.11%,104.82,660656135.51,47188
2018-01-12,104.76,106.43,104.31,106.00,8748823,1.42,1.36%,106.00,924236405.27,54350
2018-01-11,105.62,105.83,104.34,104.58,7010835,-0.88,-0.83%,104.58,735472465.94,54122
2018-01-10,105.26,105.8234,104.65,105.46,8539241,-0.03,-0.03%,105.46,899792163.37,38138
2018-01-09,104.33,106.10,103.83,105.49,7472191,1.31,1.26%,105.49,786431551.85,54188
2018-01-08,106.00,106.15,101.13,104.18,11417214,-0.81,-0.77%,104.18,1179145246.41,86832
2018-01-05,106.01,106.68,104.05,104.99,10586730,-1.69,-1.58%,104.99,1110489591.18,71156
2018-01-04,109.95,109.98,106.565,106.68,5929880,-2.46,-2.25%,106.68,635803998.81,51104
2018-01-03,106.22,109.89,105.82,109.14,5451800,2.98,2.81%,109.14,592187534.90,44779
2018-01-02,105.29,106.70,104.58,106.16,4742039,1.80,1.72%,106.16,502505583.75,42573
2017-12-29,104.27,105.36,104.15,104.36,4500810,-0.39,-0.37%,104.36,471079430.04,32687
2017-12-28,104.74,105.5747,104.08,104.75,3927803,0.29,0.28%,104.75,411420993.17,35559
2017-12-27,106.57,107.209,104.10,104.46,5967386,-2.51,-2.35%,104.46,627381073.40,50320
2017-12-26,105.96,107.33,105.68,106.97,2688150,0.64,0.60%,106.97,287178588.66,23495
2017-12-22,102.89,106.80,102.35,106.33,9611942,-1.55,-1.44%,106.33,1013168440.66,65169
2017-12-21,108.19,109.44,107.72,107.88,5347006,-0.39,-0.36%,107.88,580046044.79,42617
2017-12-20,107.50,108.63,107.50,108.27,3847895,1.21,1.13%,108.27,415938587.12,36931
2017-12-19,107.96,108.69,106.7502,107.06,4932839,-0.98,-0.91%,107.06,529723926.11,43498
2017-12-18,109.66,110.20,107.7238,108.04,5979202,-1.37,-1.25%,108.04,650094495.42,45785
2017-12-15,109.28,109.64,107.68,109.41,10411486,1.17,1.08%,109.41,1137817092.33,39548
2017-12-14,108.15,109.52,107.95,108.24,5353801,0.04,0.04%,108.24,580833972.21,50766
2017-12-13,109.28,109.94,107.33,108.20,5523399,-0.84,-0.77%,108.20,598254800.16,45342
2017-12-12,108.42,109.67,107.44,109.04,5143890,1.04,0.96%,109.04,560132214.63,46131
2017-12-11,110.07,110.81,107.32,108.00,8268566,1.91,1.80%,108.00,896848307.87,54113
2017-12-08,103.74,106.52,103.665,106.09,5797072,3.36,3.27%,106.09,612932683.39,44813
2017-12-07,102.09,103.347,101.81,102.73,4037411,0.56,0.55%,102.73,414504599.52,31516
2017-12-06,102.88,103.50,101.1305,102.17,4278514,-0.39,-0.38%,102.17,436255963.15,37090
2017-12-05,101.89,104.09,101.89,102.56,5344011,-0.05,-0.05%,102.56,550813968.60,36469
2017-12-04,103.00,104.39,102.5301,102.61,5470364,0.47,0.46%,102.61,565324023.79,47306
2017-12-01,100.50,102.46,100.08,102.14,6231193,1.31,1.30%,102.14,633456020.44,57573
2017-11-30,103.54,104.51,100.35,100.83,10492252,-2.29,-2.22%,100.83,1063224340.34,78818
2017-11-29,104.06,105.82,102.68,103.12,5729133,-0.87,-0.84%,103.12,595574049.13,50747
2017-11-28,103.53,104.46,102.71,103.99,4586107,0.66,0.64%,103.99,476675632.29,36173
2017-11-27,104.41,105.34,103.05,103.33,4683962,-1.17,-1.12%,103.33,485493747.98,36875
2017-11-24,105.20,105.79,104.34,104.50,2524615,-0.66,-0.63%,104.50,264584923.40,16064
2017-11-22,104.96,106.13,104.80,105.16,4069084,0.66,0.63%,105.16,428646948.22,35719
2017-11-21,103.69,105.98,103.495,104.50,7092052,1.35,1.31%,104.50,745349736.64,53498
2017-11-20,104.60,105.46,102.405,103.15,6183743,-0.95,-0.91%,103.15,638971649.17,43791
2017-11-17,103.49,104.59,103.24,104.10,5972508,0.75,0.73%,104.10,620792097.26,54138
2017-11-16,100.82,103.91,100.65,103.35,7317241,3.01,3.00%,103.35,753166645.47,58861
2017-11-15,98.56,101.035,98.44,100.34,5984756,1.48,1.50%,100.34,599369255.74,48938
2017-11-14,101.70,101.70,98.84,98.86,9162976,-2.30,-2.27%,98.86,912733000.75,60058
2017-11-13,101.93,102.23,100.78,101.16,5476079,-1.18,-1.15%,101.16,555598167.34,40389
2017-11-10,102.06,102.62,101.00,102.34,6473591,-0.12,-0.12%,102.34,660036708.72,36216
2017-11-09,101.01,102.86,100.22,102.46,6800142,0.81,0.80%,102.46,695805639.36,55386
2017-11-08,102.86,103.52,101.21,101.65,6407786,-0.68,-0.66%,101.65,654058806.97,49859
2017-11-07,101.87,103.02,101.51,102.33,7462336,0.69,0.68%,102.33,762162269.61,53383
2017-11-06,99.89,102.23,99.30,101.64,9157669,1.60,1.60%,101.64,925308852.26,63995
2017-11-03,98.20,100.85,98.17,100.04,7147859,1.84,1.87%,100.04,713902102.97,54254
2017-11-02,101.00,101.03,97.73,98.20,10523279,-2.33,-2.32%,98.20,1043165817.66,80321
2017-11-01,101.89,102.30,100.04,100.53,8320625,-0.44,-0.44%,100.53,842194907.81,62892
2017-10-31,101.93,102.50,98.8309,100.97,12966525,0.00,0.00%,100.97,1303074806.87,85443
2017-10-30,98.63,101.889,98.28,100.97,16067452,2.80,2.85%,100.97,1608878395.26,109987
2017-10-27,99.64,99.83,95.52,98.17,24135277,-1.82,-1.82%,98.17,2347862103.67,165999
2017-10-26,98.95,101.15,94.5513,99.99,69847444,-19.57,-16.37%,99.99,6820070738.92,423422
2017-10-25,120.37,121.60,117.265,119.56,7175679,-0.78,-0.65%,119.56,856820325.01,62878
2017-10-24,123.25,123.25,119.16,120.34,8414903,-2.03,-1.66%,120.34,1015780486.20,64739
2017-10-23,121.76,123.18,121.11,122.37,7667340,1.04,0.86%,122.37,938874416.42,58893
2017-10-20,124.50,124.54,120.80,121.33,27765072,-14.63,-10.76%,121.33,3394807310.72,193445
2017-10-19,136.89,137.45,135.33,135.96,5700001,-1.21,-0.88%,135.96,775320753.72,46026
2017-10-18,138.80,139.395,136.52,137.17,3263662,-1.69,-1.22%,137.17,448337904.17,30522
2017-10-17,137.83,139.72,137.23,138.86,4306128,2.15,1.57%,138.86,598232824.18,35012
2017-10-16,136.50,138.20,136.01,136.71,4175750,0.25,0.18%,136.71,572390659.83,31355
2017-10-13,138.47,138.47,135.54,136.46,5151061,-2.04,-1.47%,136.46,703056983.56,44042
2017-10-12,139.87,139.91,137.55,138.50,4254177,-1.06,-0.76%,138.50,589392170.23,33937
2017-10-11,138.66,140.1958,138.61,139.56,3780329,-0.13,-0.09%,139.56,527397997.02,28531
2017-10-10,139.27,140.03,139.11,139.69,4611562,0.42,0.30%,139.69,643895929.56,30021
2017-10-09,139.72,139.90,138.36,139.27,3445662,0.06,0.04%,139.27,479026399.16,27623
2017-10-06,140.48,141.20,138.24,139.21,5915561,-0.80,-0.57%,139.21,823422393.46,42483
2017-10-05,142.94,142.99,137.91,140.01,13293876,-6.51,-4.44%,140.01,1855470116.52,100784
2017-10-04,146.20,146.89,145.6875,146.52,2124834,0.44,0.30%,146.52,310964328.68,19162
2017-10-03,146.47,146.64,145.12,146.08,2097807,0.04,0.03%,146.08,306120382.37,20989
2017-10-02,146.20,147.17,144.42,146.04,4652489,0.22,0.15%,146.04,679049309.72,36671
2017-09-29,143.00,146.00,142.16,145.82,4324637,3.06,2.14%,145.82,626450711.41,32207
2017-09-28,142.50,143.97,142.07,142.76,2091460,-0.21,-0.15%,142.76,298824410.36,18619
2017-09-27,144.12,144.62,142.13,142.97,2674428,-0.66,-0.46%,142.97,382756093.36,22995
2017-09-26,145.03,146.00,143.47,143.63,3271426,-1.31,-0.90%,143.63,472036331.18,25366
2017-09-25,143.89,146.13,143.695,144.94,4713525,1.05,0.73%,144.94,683220881.34,35935
2017-09-22,143.31,144.19,141.7502,143.89,3549466,0.11,0.08%,143.89,509182649.98,28158
2017-09-21,143.84,144.59,143.02,143.78,2662231,-0.46,-0.32%,143.78,383007647.84,24125
2017-09-20,143.27,144.45,142.80,144.24,3865741,0.77,0.54%,144.24,556377716.67,30888
2017-09-19,142.93,144.00,142.33,143.47,3102753,0.63,0.44%,143.47,444317046.90,27187
2017-09-18,142.55,142.89,141.26,142.84,2684133,0.80,0.56%,142.84,382415050.27,21012
2017-09-15,141.50,142.69,140.36,142.04,5983997,1.43,1.02%,142.04,849520755.10,37471
2017-09-14,140.66,142.30,139.60,140.61,3074739,-0.65,-0.46%,140.61,433228372.92,22409
2017-09-13,141.67,142.30,140.57,141.26,2608434,-0.81,-0.57%,141.26,368372353.76,23104
2017-09-12,140.89,142.07,140.05,142.07,2236582,1.15,0.82%,142.07,316088167.35,21606
2017-09-11,140.56,141.28,139.00,140.92,2950213,0.42,0.30%,140.92,415003164.37,24885
2017-09-08,141.33,142.09,139.86,140.50,3675872,-1.26,-0.89%,140.50,517673127.28,26367
2017-09-07,139.50,142.64,139.23,141.76,4968659,1.60,1.14%,141.76,702301426.49,40129
2017-09-06,139.91,140.53,139.11,140.16,3485477,0.81,0.58%,140.16,488173998.58,26021
2017-09-05,138.35,140.31,137.99,139.35,4310122,-0.03,-0.02%,139.35,599948815.34,32222
2017-09-01,139.00,140.25,137.75,139.38,3901207,0.45,0.32%,139.38,543792711.90,30556
2017-08-31,135.46,139.00,135.08,138.93,6387501,4.59,3.42%,138.93,881627364.92,49750
2017-08-30,132.42,135.88,132.30,134.34,3569380,1.90,1.43%,134.34,480538876.13,29035
2017-08-29,130.74,133.30,130.51,132.44,2197476,0.79,0.60%,132.44,290675196.64,21132
2017-08-28,130.65,132.8899,130.12,131.65,3266645,1.97,1.52%,131.65,430508900.36,28695
2017-08-25,130.70,131.5776,129.62,129.68,2313034,-0.37,-0.28%,129.68,301330430.33,20659
2017-08-24,129.50,130.32,128.39,130.05,2511527,0.86,0.67%,130.05,325434406.15,21427
2017-08-23,129.55,130.25,129.02,129.19,1996262,-1.10,-0.84%,129.19,258392795.57,16825
2017-08-22,128.14,130.73,128.14,130.29,2797496,2.86,2.24%,130.29,362990855.90,25101
2017-08-21,127.45,128.35,126.86,127.43,2912503,-0.22,-0.17%,127.43,371226927.55,25700
2017-08-18,127.43,129.0092,127.27,127.65,4270548,0.07,0.05%,127.65,546648767.86,31088
2017-08-17,130.57,131.17,127.42,127.58,4462431,-3.68,-2.80%,127.58,574225125.75,39788
2017-08-16,131.77,132.12,130.3801,131.26,2219882,-0.11,-0.08%,131.26,291330627.40,21964
2017-08-15,133.62,133.62,131.26,131.37,2455846,-1.59,-1.20%,131.37,323718845.92,21481
2017-08-14,132.05,133.31,131.62,132.96,2930429,2.35,1.80%,132.96,389150996.02,21411
2017-08-11,130.30,131.39,129.91,130.61,2735623,0.24,0.18%,130.61,357053653.48,28852
2017-08-10,135.05,135.40,129.83,130.37,4220980,-5.20,-3.84%,130.37,554554028.13,38002
2017-08-09,133.76,135.76,133.61,135.57,3085703,0.30,0.22%,135.57,416616459.00,28965
2017-08-08,136.67,136.81,134.70,135.27,2836612,-1.79,-1.31%,135.27,385355209.57,23309
2017-08-07,136.20,137.83,136.18,137.06,2874377,0.36,0.26%,137.06,393900507.97,21765
2017-08-04,136.00,136.81,135.02,136.70,3197673,0.80,0.59%,136.70,435834113.04,19239
2017-08-03,135.50,136.85,134.57,135.90,2838895,1.05,0.78%,135.90,385807971.03,25188
2017-08-02,135.11,135.51,133.46,134.85,3052935,-2.21,-1.61%,134.85,410781370.72,23197
2017-08-01,136.20,137.83,136.18,137.06,2864157,1.65,1.22%,137.06,392499973.81,21754
2017-07-31,134.75,136.55,134.24,135.41,4266890,1.31,0.98%,135.41,578994452.35,32919
2017-07-28,133.95,135.13,133.19,134.10,3794219,-0.05,-0.04%,134.10,508086522.24,31655
2017-07-27,138.48,139.00,133.00,134.15,6048153,-3.60,-2.61%,134.15,816133441.39,50756
2017-07-26,136.57,137.81,135.78,137.75,3281447,1.31,0.96%,137.75,450095910.65,28122
2017-07-25,138.70,138.90,135.86,136.44,3645465,-1.40,-1.02%,136.44,499620766.32,32219
2017-07-24,138.00,138.93,137.0956,137.84,4526707,0.10,0.07%,137.84,624588065.26,34895
2017-07-21,136.23,138.17,135.72,137.74,3651611,1.43,1.05%,137.74,501532218.10,30467
2017-07-20,135.15,137.45,134.6012,136.31,3856925,1.31,0.97%,136.31,525740200.59,33642
2017-07-19,134.95,135.97,134.20,135.00,3132525,0.73,0.54%,135.00,422415367.10,26967
2017-07-18,134.80,134.80,132.90,134.27,2109506,-0.60,-0.44%,134.27,282915483.77,22007
2017-07-17,134.31,136.12,133.81,134.87,2783098,0.30,0.22%,134.87,376367966.49,23539
2017-07-14,134.98,135.27,133.38,134.57,3344309,0.10,0.07%,134.57,449358740.96,24825
2017-07-13,133.68,135.99,131.5901,134.47,4994288,0.91,0.68%,134.47,670026311.51,40815
2017-07-12,133.25,133.78,132.51,133.56,2364464,1.31,0.99%,133.56,314972673.02,22570
2017-07-11,132.48,133.35,131.57,132.25,2778672,0.32,0.24%,132.25,367895705.98,21353
2017-07-10,132.61,133.22,131.37,131.93,2439544,-0.63,-0.48%,131.93,322184957.81,21601
2017-07-07,132.25,133.84,131.78,132.56,2942725,0.61,0.46%,132.56,390405846.40,22324
2017-07-06,132.18,133.19,131.23,131.95,3330920,-1.25,-0.94%,131.95,439599665.91,29672
2017-07-05,130.98,133.25,130.21,133.20,3660142,3.02,2.32%,133.20,484871616.27,29323
2017-07-03,130.61,131.35,130.14,130.18,1761176,0.31,0.24%,130.18,230058415.97,15974
2017-06-30,131.81,131.81,128.82,129.87,3946514,-1.83,-1.39%,129.87,513736508.84,32121
2017-06-29,133.53,133.97,130.4601,131.70,4074960,-2.53,-1.88%,131.70,537508291.54,36173
2017-06-28,131.41,134.66,130.39,134.23,5245131,3.38,2.58%,134.23,698959086.62,37969
2017-06-27,133.72,133.85,130.78,130.85,4481903,-3.00,-2.24%,130.85,592223226.75,34966
2017-06-26,134.23,134.44,132.56,133.85,3883232,-0.46,-0.34%,133.85,518866031.49,31250
2017-06-23,133.50,134.56,131.72,134.31,4757377,0.63,0.47%,134.31,635619863.13,35738
2017-06-22,133.00,135.18,132.83,133.68,8887659,0.85,0.64%,133.68,1191474783.98,69384
2017-06-21,126.96,133.71,126.40,132.83,13817243,6.61,5.24%,132.83,1812786757.47,102576
2017-06-20,124.75,127.36,123.6229,126.22,6245139,1.06,0.85%,126.22,789164497.92,47519
2017-06-19,122.88,125.76,122.41,125.16,5971963,2.80,2.29%,125.16,745226494.11,44695
2017-06-16,120.67,122.72,120.66,122.36,7424941,1.75,1.45%,122.36,904498560.98,43082
2017-06-15,120.63,120.91,119.2563,120.61,3376183,-0.43,-0.36%,120.61,405904700.51,28167
2017-06-14,119.80,122.38,119.13,121.04,4724452,1.42,1.19%,121.04,571361580.66,39970
2017-06-13,119.45,119.98,119.12,119.62,2962667,0.27,0.23%,119.62,354294796.47,28264
2017-06-12,117.94,119.93,117.75,119.35,3488340,1.16,0.98%,119.35,416046780.47,33527
2017-06-09,117.02,119.94,116.66,118.19,4568597,1.13,0.97%,118.19,542027535.53,39900
2017-06-08,117.70,117.95,116.05,117.06,3934092,-0.51,-0.43%,117.06,459352001.62,34626
2017-06-07,116.91,118.23,116.88,117.57,2720844,0.69,0.59%,117.57,319919414.16,24110
2017-06-06,117.73,118.08,116.43,116.88,3224614,-1.22,-1.03%,116.88,377265314.34,24784
2017-06-05,119.51,119.589,117.42,118.10,2970832,-0.63,-0.53%,118.10,351459273.91,29128
2017-06-02,116.71,119.05,116.47,118.73,4382276,2.32,1.99%,118.73,518305253.64,34424
2017-06-01,114.51,116.78,114.08,116.41,4273328,2.00,1.75%,116.41,495416192.44,38302
2017-05-31,115.01,115.10,113.63,114.41,4736322,-0.72,-0.63%,114.41,541660637.03,39006
2017-05-30,116.46,116.81,115.06,115.13,3473293,-1.65,-1.41%,115.13,401285232.63,30172
2017-05-26,116.93,117.18,116.345,116.78,2557459,0.04,0.03%,116.78,298672752.13,24317
2017-05-25,117.94,118.08,116.57,116.74,3777102,-1.01,-0.86%,116.74,441991067.23,29098
2017-05-24,117.73,117.93,116.97,117.75,2692435,0.44,0.38%,117.75,316563508.22,24080
2017-05-23,115.90,117.948,115.50,117.31,4396879,1.60,1.38%,117.31,515172375.48,34712
2017-05-22,116.50,116.69,113.63,115.71,5685232,-1.22,-1.04%,115.71,656296052.80,45349
2017-05-19,117.73,118.42,116.88,116.93,3093067,-0.47,-0.40%,116.93,362924889.63,24159
2017-05-18,117.07,119.09,117.07,117.40,3645022,0.30,0.26%,117.40,429046612.96,32906
2017-05-17,118.45,118.80,117.00,117.10,3672459,-2.26,-1.89%,117.10,431297892.75,31688
2017-05-16,119.17,119.84,118.55,119.36,3003719,0.32,0.27%,119.36,358186212.74,23193
