date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,64.92,65.07,64.45,64.64,1564311,-0.27,-0.42%,64.64,101251621.94,11058
2018-03-09,64.01,64.98,63.77,64.91,1868435,1.25,1.96%,64.91,120835439.53,14307
2018-03-08,64.99,65.13,63.395,63.66,2751092,-1.38,-2.12%,63.66,175822683.13,17837
2018-03-07,64.70,65.28,64.042,65.04,1986866,0.06,0.09%,65.04,128996065.05,14758
2018-03-06,64.64,65.05,64.42,64.98,2632056,0.65,1.01%,64.98,170572507.89,22629
2018-03-05,62.76,64.52,62.55,64.33,3450982,1.39,2.21%,64.33,220513915.76,17916
2018-03-02,62.14,63.29,62.10,62.94,4135381,0.57,0.91%,62.94,260539535.82,26923
2018-03-01,64.27,64.83,61.991,62.37,2506022,-1.79,-2.79%,62.37,157963332.72,21529
2018-02-28,64.29,65.17,64.05,64.16,2434547,0.21,0.33%,64.16,156966680.16,20436
2018-02-27,64.54,65.42,63.95,63.95,2582909,-0.30,-0.47%,63.95,166053778.35,19062
2018-02-26,64.68,65.00,63.99,64.25,1465881,-0.28,-0.43%,64.25,94073071.49,12377
2018-02-23,63.23,64.54,62.83,64.53,1698135,1.62,2.58%,64.53,108509001.00,13623
2018-02-22,63.41,64.12,62.73,62.91,2054035,-0.46,-0.73%,62.91,130169014.66,12568
2018-02-21,63.07,64.48,62.98,63.37,1447480,0.37,0.59%,63.37,92392706.30,12191
2018-02-20,63.99,64.50,62.9256,63.00,1485112,-1.22,-1.90%,63.00,94498800.79,13232
2018-02-16,64.40,64.83,63.99,64.22,2522381,-0.18,-0.28%,64.22,162398831.76,14563
2018-02-15,62.70,64.44,62.15,64.40,2284345,2.18,3.50%,64.40,145861351.56,17547
2018-02-14,62.20,62.90,61.93,62.22,2849366,-0.27,-0.43%,62.22,177515054.45,20960
2018-02-13,62.03,62.795,60.795,62.49,2692783,0.00,0.00%,62.49,166948003.28,22268
2018-02-12,61.68,63.11,61.27,62.49,2686857,1.18,1.92%,62.49,167685197.74,21468
2018-02-09,61.56,62.23,59.75,61.31,3790825,0.09,0.15%,61.31,231435677.58,31036
2018-02-08,63.27,63.49,61.18,61.22,3131390,-2.26,-3.56%,61.22,194925263.57,29005
2018-02-07,62.49,64.57,61.53,63.48,6285388,-0.51,-0.80%,63.48,398248462.78,37180
2018-02-06,62.70,64.26,61.2265,63.99,5219182,0.58,0.91%,63.99,330767245.88,40740
2018-02-05,66.40,66.70,63.40,63.41,3887600,-2.98,-4.49%,63.41,253208535.52,29978
2018-02-02,67.83,68.005,66.38,66.39,2217960,-1.90,-2.78%,66.39,148294291.63,17182
2018-02-01,68.89,69.06,67.95,68.29,1301512,-0.84,-1.22%,68.29,88883780.28,12847
2018-01-31,69.50,69.78,68.83,69.13,2276821,-0.23,-0.33%,69.13,157817456.00,17473
2018-01-30,69.02,69.90,68.13,69.36,3413376,0.63,0.92%,69.36,237069025.83,20668
2018-01-29,68.48,69.05,68.08,68.73,2438784,0.13,0.19%,68.73,167716519.45,19564
2018-01-26,68.41,68.81,68.12,68.60,2331961,0.55,0.81%,68.60,159804935.89,17351
2018-01-25,68.14,68.82,67.93,68.05,2528271,0.35,0.52%,68.05,172757366.74,18014
2018-01-24,69.57,69.71,67.64,67.70,3603909,-1.49,-2.15%,67.70,245804537.66,29572
2018-01-23,68.90,69.855,68.63,69.19,2911550,0.06,0.09%,69.19,202018918.70,21285
2018-01-22,69.27,69.41,68.62,69.13,2531314,0.22,0.32%,69.13,174895050.49,19236
2018-01-19,69.40,69.40,68.16,68.91,3157829,-0.58,-0.83%,68.91,217360860.44,21140
2018-01-18,70.28,70.496,68.86,69.49,2434636,-0.79,-1.12%,69.49,169160415.60,17503
2018-01-17,71.21,71.25,70.08,70.28,1945598,-0.34,-0.48%,70.28,137094002.66,16357
2018-01-16,72.25,72.40,70.56,70.62,2152009,-2.28,-3.13%,70.62,153042745.49,15896
2018-01-12,72.67,73.16,72.05,72.90,1750724,0.26,0.36%,72.90,127474575.49,11028
2018-01-11,72.25,73.43,72.20,72.64,1501019,0.29,0.40%,72.64,109179431.38,14631
2018-01-10,71.66,72.62,70.97,72.35,1848177,0.65,0.91%,72.35,133481926.15,15119
2018-01-09,70.57,71.80,70.30,71.70,1719931,1.11,1.57%,71.70,122413921.81,13020
2018-01-08,70.12,70.77,70.01,70.59,1196689,0.06,0.09%,70.59,84390073.88,9528
2018-01-05,69.53,70.54,69.18,70.53,2411076,1.52,2.20%,70.53,168932389.55,11277
2018-01-04,69.24,69.38,68.34,69.01,1022638,-0.06,-0.09%,69.01,70473044.31,8791
2018-01-03,68.54,69.17,68.50,69.07,1109666,0.50,0.73%,69.07,76535870.04,9647
2018-01-02,67.55,69.00,67.54,68.57,1294391,1.18,1.75%,68.57,88826294.46,10591
2017-12-29,67.73,68.04,67.38,67.39,980337,-0.54,-0.79%,67.39,66209760.12,7800
2017-12-28,67.82,67.99,67.26,67.93,874692,0.32,0.47%,67.93,59337569.32,5946
2017-12-27,67.81,68.205,67.44,67.61,1194278,-0.07,-0.10%,67.61,80815158.49,6733
2017-12-26,67.47,68.00,67.12,67.68,1409491,0.30,0.45%,67.68,95180223.83,11871
2017-12-22,67.80,67.995,67.14,67.38,2514667,-0.51,-0.75%,67.38,169536367.16,17333
2017-12-21,68.60,68.92,67.81,67.89,2106974,-0.63,-0.92%,67.89,143512216.82,16071
2017-12-20,69.09,69.13,68.39,68.52,1803273,-0.11,-0.16%,68.52,123713502.69,15010
2017-12-19,68.81,69.55,68.61,68.63,1521622,-0.35,-0.51%,68.63,104881218.48,11500
2017-12-18,69.79,70.28,68.785,68.98,1816879,-0.44,-0.63%,68.98,125833271.33,14365
2017-12-15,68.75,69.59,68.20,69.42,3301973,0.85,1.24%,69.42,228632678.55,13300
