date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,50.65,50.84,50.455,50.56,1355978,-0.03,-0.06%,50.56,68625477.07,11422
2018-03-09,51.00,51.08,50.32,50.59,1394543,-0.39,-0.77%,50.59,70618516.78,11293
2018-03-08,49.97,51.00,49.88,50.98,1396415,1.02,2.04%,50.98,70853981.20,10534
2018-03-07,50.55,50.59,49.86,49.96,2043353,-0.81,-1.60%,49.96,102323946.07,15885
2018-03-06,50.41,50.81,49.9402,50.77,1624599,0.35,0.69%,50.77,82021397.77,12204
2018-03-05,49.99,50.65,49.93,50.42,2104831,0.39,0.78%,50.42,105949751.96,16429
2018-03-02,48.98,50.05,48.98,50.03,1844930,0.94,1.91%,50.03,91608231.71,15351
2018-03-01,49.10,49.73,48.66,49.09,2555734,-0.10,-0.20%,49.09,125660375.32,23128
2018-02-28,49.74,49.77,49.19,49.19,2481703,-0.28,-0.57%,49.19,122681756.88,18999
2018-02-27,49.89,50.53,49.46,49.47,2907338,-0.52,-1.04%,49.47,144930967.93,20153
2018-02-26,49.37,50.2605,49.18,49.99,2189199,0.87,1.77%,49.99,109345465.84,16732
2018-02-23,48.30,49.18,48.00,49.12,1962697,0.95,1.97%,49.12,95853601.39,15304
2018-02-22,48.04,48.58,47.99,48.17,1566097,0.23,0.48%,48.17,75506029.50,12806
2018-02-21,48.34,48.79,47.94,47.94,1846956,-0.44,-0.91%,47.94,89090914.73,14325
2018-02-20,49.42,49.625,48.33,48.38,2135843,-1.40,-2.81%,48.38,103804173.99,17000
2018-02-16,49.57,50.00,49.46,49.78,3294725,0.07,0.14%,49.78,164031867.45,13003
2018-02-15,49.01,49.72,48.42,49.71,1636760,0.83,1.70%,49.71,80626137.99,14071
2018-02-14,48.44,49.06,48.29,48.88,1352308,0.458,0.94%,48.88,65931599.39,12598
2018-02-13,48.50,48.88,48.44,48.64,1603993,0.01,0.02%,48.4225,78058563.15,12935
2018-02-12,48.68,49.29,48.16,48.63,2083859,0.07,0.14%,48.4125,101501737.79,19297
2018-02-09,47.87,48.84,47.46,48.56,3864975,1.175,2.49%,48.3428,186824415.61,33006
2018-02-08,47.46,48.01,47.05,47.38,2372794,0.01,0.02%,47.1681,112905805.33,21738
2018-02-07,48.38,48.84,47.35,47.37,4354860,-0.498,-1.04%,47.1582,209312439.59,34431
2018-02-06,46.91,48.965,46.74,47.87,5139907,0.448,0.95%,47.6559,246888180.34,38027
2018-02-05,46.62,48.79,46.62,47.42,4838847,1.085,2.35%,47.2079,231056768.50,39715
2018-02-02,48.14,48.14,46.13,46.33,5484508,-2.15,-4.45%,46.1228,255726971.71,36920
2018-02-01,48.91,49.03,48.43,48.49,2365659,-0.358,-0.74%,48.2732,115098496.20,16940
2018-01-31,49.03,49.39,48.635,48.85,2763989,-0.249,-0.51%,48.6315,135354185.90,16815
2018-01-30,48.88,49.45,48.68,49.10,1774893,0.169,0.35%,48.8804,87248076.20,13646
2018-01-29,49.03,49.38,48.92,48.93,1726011,-0.179,-0.37%,48.7112,84727013.09,13630
2018-01-26,49.07,49.13,48.68,49.11,2211235,-0.229,-0.47%,48.8904,108172293.88,16264
2018-01-25,49.20,49.57,49.01,49.34,2100779,0.229,0.47%,49.1194,103645793.20,15156
2018-01-24,49.90,50.02,49.01,49.11,2650158,-0.747,-1.50%,48.8904,130444200.76,21479
2018-01-23,49.93,49.97,49.57,49.86,1685125,-0.249,-0.50%,49.637,83845140.16,11548
2018-01-22,49.77,50.11,49.69,50.11,1892874,0.199,0.40%,49.8859,94653137.87,12793
2018-01-19,49.67,50.12,49.67,49.91,1713751,0.438,0.89%,49.6868,85523562.88,11795
2018-01-18,49.82,50.04,49.39,49.47,1444130,-0.378,-0.76%,49.2488,71553244.91,9994
2018-01-17,49.55,50.11,49.48,49.85,2057690,0.597,1.22%,49.6271,102578404.21,14938
2018-01-16,49.45,49.92,49.21,49.25,2435971,0.229,0.47%,49.0298,120348121.71,15374
2018-01-12,49.49,49.54,48.965,49.02,1395497,-0.348,-0.71%,48.8008,68547792.28,10790
2018-01-11,49.72,49.90,49.25,49.37,1666434,-0.418,-0.84%,49.1492,82380081.47,11693
