date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,92.04,92.51,90.70,91.03,783624,-0.71,-0.77%,91.03,71554290.36,8756
2018-03-09,90.01,91.79,89.26,91.74,1630576,2.14,2.39%,91.74,147810625.18,14783
2018-03-08,90.13,90.38,89.24,89.60,1045720,-0.41,-0.46%,89.60,93711203.32,10051
2018-03-07,89.11,90.23,87.95,90.01,1183496,0.02,0.02%,90.01,106144864.96,10435
2018-03-06,90.17,90.84,89.64,89.99,941156,0.21,0.23%,89.99,84767936.02,10011
2018-03-05,89.21,89.97,87.75,89.78,1303700,0.27,0.30%,89.78,115702843.09,14322
2018-03-02,88.54,89.95,88.15,89.51,1418570,-0.19,-0.21%,89.51,126692690.97,15539
2018-03-01,92.71,93.19,89.54,89.70,1863346,-3.20,-3.44%,89.70,169044241.66,20604
2018-02-28,93.72,94.69,92.99,93.36,1573022,-0.109,-0.12%,92.90,147739860.61,13816
2018-02-27,94.81,95.67,93.46,93.47,1147471,-1.154,-1.23%,93.0095,108150336.27,12898
2018-02-26,93.00,94.67,92.415,94.63,854077,1.99,2.16%,94.1638,80245626.16,9957
2018-02-23,90.32,92.67,90.151,92.63,1003426,2.527,2.82%,92.1736,92280940.05,10532
2018-02-22,90.61,91.07,89.86,90.09,982201,-0.09,-0.10%,89.6461,88804382.35,11291
2018-02-21,90.01,91.565,90.01,90.18,1219977,0.209,0.23%,89.7357,111004880.09,13301
2018-02-20,92.50,92.96,89.64,89.97,1204381,-2.637,-2.86%,89.5267,109319739.97,12582
2018-02-16,92.88,93.51,92.33,92.62,876159,-0.328,-0.36%,92.1637,81376683.27,9392
2018-02-15,92.54,92.95,91.44,92.95,1382891,0.517,0.56%,92.492,127850474.51,12915
2018-02-14,90.72,93.22,90.04,92.43,1482291,-0.289,-0.31%,91.9746,137075238.21,14886
2018-02-13,90.77,93.25,90.40,92.72,1182067,1.532,1.69%,92.2632,108930731.83,12285
2018-02-12,89.90,91.33,89.36,91.18,1357120,1.821,2.05%,90.7308,123049619.84,14956
2018-02-09,90.84,91.26,87.161,89.35,2591415,-1.114,-1.24%,88.9098,230665948.77,27287
2018-02-08,92.67,93.14,90.47,90.47,1641312,-2.09,-2.27%,90.0243,150749138.47,17704
2018-02-07,90.47,93.645,90.47,92.57,2069344,1.791,1.98%,92.1139,191724456.72,19073
2018-02-06,88.98,91.38,88.0368,90.77,2467031,0.438,0.49%,90.3228,222863089.02,26630
2018-02-05,91.24,92.12,90.29,90.33,2989152,-1.453,-1.59%,89.8849,272778066.87,30815
2018-02-02,91.17,92.26,90.56,91.79,2046080,-0.189,-0.21%,91.3378,187419076.30,19926
2018-02-01,91.25,92.68,90.1756,91.98,2107356,0.517,0.57%,91.5268,193581458.74,21700
2018-01-31,91.94,95.89,90.31,91.46,7558735,-3.453,-3.66%,91.0094,694302523.96,36888
2018-01-30,95.75,96.83,94.82,94.93,3124657,-1.373,-1.43%,94.4623,298939819.14,27920
2018-01-29,96.29,97.63,96.07,96.31,2123159,-0.418,-0.43%,95.8355,205579693.99,18656
2018-01-26,97.34,100.18,96.58,96.73,2835747,0.199,0.21%,96.2534,276737090.12,25597
2018-01-25,96.65,98.66,96.32,96.53,2246832,0.348,0.36%,96.0544,218569576.87,22271
2018-01-24,95.12,96.52,94.32,96.18,1765635,1.274,1.35%,95.7061,168687561.97,16628
2018-01-23,95.23,95.65,94.33,94.90,1021518,-0.527,-0.56%,94.4324,97053673.34,11119
2018-01-22,94.87,95.67,94.09,95.43,972481,0.269,0.28%,94.9598,92559524.03,11049
2018-01-19,94.04,95.28,93.59,95.16,1622302,1.473,1.58%,94.6911,153667229.31,12386
2018-01-18,93.13,94.55,92.34,93.68,1378418,0.697,0.75%,93.2184,129392014.95,13110
2018-01-17,93.27,93.625,92.69,92.98,1104289,0.01,0.01%,92.5219,102720861.19,12131
2018-01-16,94.50,94.96,92.78,92.97,1601263,-1.304,-1.39%,92.5119,150140918.41,13372
2018-01-12,94.03,94.51,93.22,94.28,983297,0.358,0.38%,93.8155,92457893.78,9953
2018-01-11,91.69,94.005,91.68,93.92,1060314,2.468,2.71%,93.4573,98953374.62,11026
2018-01-10,91.38,92.40,91.085,91.44,1043081,-0.02,-0.02%,90.9895,95613576.56,9536
2018-01-09,90.91,92.41,90.91,91.46,1932576,0.677,0.75%,91.0094,177023857.24,15212
2018-01-08,89.39,91.21,89.39,90.78,1083300,1.204,1.35%,90.3327,98329891.96,10560
2018-01-05,90.08,90.665,89.23,89.57,902520,-0.149,-0.17%,89.1287,80865826.30,9267
2018-01-04,90.34,90.61,89.18,89.72,1610755,0.229,0.26%,89.278,144613432.49,13413
2018-01-03,89.18,89.60,88.45,89.49,1214307,-0.249,-0.28%,89.0491,108154851.57,13597
2018-01-02,89.74,90.079,88.82,89.74,988833,0.647,0.73%,89.2979,88455318.35,10487
2017-12-29,89.70,89.89,89.05,89.09,637881,-0.368,-0.41%,88.6511,56967392.83,6347
2017-12-28,89.51,89.55,88.37,89.46,756059,-0.04,-0.04%,89.0192,67348303.74,7972
2017-12-27,88.97,89.795,88.215,89.50,674476,0.707,0.80%,89.059,60325494.96,6697
2017-12-26,88.60,89.72,88.46,88.79,741034,0.09,0.10%,88.3525,65890414.21,7526
2017-12-22,87.22,89.24,86.89,88.70,1352043,1.562,1.80%,88.263,119353577.92,11733
2017-12-21,86.98,87.26,86.36,87.13,946693,0.378,0.44%,86.7007,82169324.67,9944
2017-12-20,87.32,87.66,86.72,86.75,1250849,0.119,0.14%,86.3226,108967481.73,10116
2017-12-19,86.78,87.31,86.42,86.63,1093921,-0.527,-0.61%,86.2032,94820367.79,9449
2017-12-18,86.88,87.79,86.36,87.16,1819823,0.945,1.10%,86.7306,158859279.56,13134
2017-12-15,85.60,86.75,85.19,86.21,3197453,0.876,1.03%,85.7852,275591428.52,19687
2017-12-14,88.05,88.05,85.62,85.79,2319452,-1.96,-2.26%,84.9096,200069854.88,19450
2017-12-13,88.09,88.54,87.58,87.77,1523452,-0.228,-0.26%,86.8693,134057066.72,14112
2017-12-12,88.19,88.44,87.42,88.00,912938,0.03,0.03%,87.0969,80316135.94,9540
2017-12-11,88.28,88.4199,87.61,87.97,963171,-0.406,-0.46%,87.0672,84688709.55,8989
2017-12-08,87.41,88.41,87.10,88.38,1251442,0.95,1.10%,87.473,110142267.46,10955
2017-12-07,86.85,87.75,86.43,87.42,1708874,0.267,0.31%,86.5228,149078302.29,12832
2017-12-06,85.72,87.33,85.46,87.15,1479818,1.217,1.43%,86.2556,128658870.77,13802
2017-12-05,86.93,87.37,85.71,85.92,1632279,-0.831,-0.97%,85.0382,140847087.67,15096
2017-12-04,87.55,89.11,86.58,86.76,2544671,0.218,0.25%,85.8696,222867296.64,21923
2017-12-01,86.60,87.025,84.56,86.54,2029013,-0.109,-0.13%,85.6519,174997394.08,20501
2017-11-30,84.35,87.17,84.35,86.65,3268456,2.138,2.56%,85.7607,281751059.02,21960
2017-11-29,81.40,84.56,81.14,84.49,2180711,2.93,3.63%,83.6229,182867734.04,19386
2017-11-28,80.20,81.63,79.72,81.53,1405490,1.97,2.50%,80.6933,113734174.92,12982
2017-11-27,79.50,80.04,79.36,79.54,1067986,-0.129,-0.16%,78.7237,85027022.95,8834
2017-11-24,79.45,79.92,77.90,79.67,325519,0.426,0.54%,78.8524,25915624.88,3762
2017-11-22,78.71,79.77,78.70,79.24,896786,0.445,0.57%,78.4268,71134334.47,8174
2017-11-21,78.58,79.00,78.30,78.79,1314633,0.356,0.46%,77.9814,103371771.14,11763
2017-11-20,78.61,78.94,78.23,78.43,1345557,-0.01,-0.01%,77.6251,105619091.70,11196
2017-11-17,78.75,79.3099,77.52,78.44,2570526,-1.94,-2.44%,77.635,201024672.42,21872
2017-11-16,80.07,80.53,79.95,80.40,924803,0.445,0.56%,79.5749,74299942.77,8601
2017-11-15,80.10,80.19,79.52,79.95,1103824,-0.416,-0.52%,79.1295,88220373.64,9677
2017-11-14,80.10,80.61,80.00,80.37,1016525,0.01,0.01%,79.5452,81681335.49,8741
2017-11-13,80.34,80.50,79.79,80.36,1185952,0.03,0.04%,79.5353,95257865.77,9545
2017-11-10,80.31,80.48,80.04,80.33,1115846,-0.346,-0.43%,79.5056,89612683.96,9691
2017-11-09,80.21,81.09,80.14,80.68,2254907,0.049,0.06%,79.852,181959100.27,20211
2017-11-08,80.26,80.93,79.995,80.63,1567423,0.129,0.16%,79.8025,126310752.67,15168
2017-11-07,79.49,80.80,79.10,80.50,2410823,1.405,1.80%,79.6739,193484756.12,18304
2017-11-06,79.45,79.66,78.32,79.08,2183166,-0.356,-0.45%,78.2684,172584280.48,20437
2017-11-03,79.50,80.14,78.99,79.44,2348559,-0.109,-0.14%,78.6247,186818723.16,18943
2017-11-02,80.15,81.35,78.60,79.55,4220585,0.218,0.28%,78.7336,336027758.27,32949
2017-11-01,80.90,80.94,77.83,79.33,3029706,0.792,1.02%,78.5159,239987611.35,28381
2017-10-31,78.30,79.33,78.30,78.53,2280636,0.178,0.23%,77.7241,179594312.71,20014
2017-10-30,79.67,80.03,78.02,78.35,1665780,-1.455,-1.84%,77.5459,131027609.54,16186
2017-10-27,80.08,80.08,78.50,79.82,1649002,0.228,0.29%,79.0008,131089928.72,14976
2017-10-26,79.63,80.83,79.16,79.59,2095430,0.98,1.26%,78.7732,167807084.39,17233
2017-10-25,78.43,78.91,77.94,78.60,1221042,-0.228,-0.29%,77.7934,96061044.53,9822
2017-10-24,78.73,79.65,77.08,78.83,1218294,0.396,0.51%,78.021,96315364.40,11014
2017-10-23,78.68,78.715,77.79,78.43,1052527,0.129,0.17%,77.6251,82421343.26,7241
2017-10-20,78.38,78.70,77.62,78.30,1471007,0.317,0.41%,77.4964,115232498.38,11696
2017-10-19,77.26,78.045,76.75,77.98,712644,0.633,0.83%,77.1797,55333495.66,7271
2017-10-18,75.95,77.67,75.93,77.34,1600981,1.306,1.74%,76.5463,123559683.91,12103
2017-10-17,77.06,77.30,75.95,76.02,1586799,-1.297,-1.69%,75.2398,120903975.89,13530
2017-10-16,78.13,78.70,76.47,77.33,1553186,0.069,0.09%,76.5364,119931557.26,15019
2017-10-13,78.58,78.94,77.15,77.26,1655338,0.079,0.10%,76.4671,129004204.92,14549
2017-10-12,76.93,77.25,76.41,77.18,1062335,0.475,0.63%,76.3879,81812946.71,10562
