date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,77.05,77.05,74.6195,75.24,553967,-1.80,-2.34%,75.24,41740884.41,6679
2018-03-09,75.70,77.12,74.96,77.04,552475,1.78,2.37%,77.04,42378496.51,4708
2018-03-08,75.71,75.8599,74.70,75.26,490292,-0.46,-0.61%,75.26,36819978.03,5141
2018-03-07,75.34,76.06,75.31,75.72,577759,-0.32,-0.42%,75.72,43712901.60,4836
2018-03-06,76.01,76.11,75.15,76.04,415326,0.15,0.20%,76.04,31498617.89,4832
2018-03-05,74.40,76.27,74.171,75.89,505538,1.28,1.72%,75.89,38253710.63,5186
2018-03-02,72.40,74.80,72.33,74.61,768601,1.27,1.73%,74.61,56793658.78,8504
2018-03-01,74.80,75.35,73.00,73.34,478941,-1.25,-1.68%,73.34,35356028.56,6158
2018-02-28,76.21,76.75,74.59,74.59,530458,-1.29,-1.70%,74.59,39916576.74,4345
2018-02-27,77.08,77.80,75.87,75.88,595289,-1.38,-1.79%,75.88,45530104.12,7331
2018-02-26,76.00,77.29,75.52,77.26,456466,1.46,1.93%,77.26,34991226.52,4408
2018-02-23,75.20,75.83,74.65,75.80,341393,0.88,1.17%,75.80,25739714.42,3742
2018-02-22,75.65,76.80,74.76,74.92,396993,-0.62,-0.82%,74.92,29946976.00,5173
2018-02-21,75.78,76.82,75.51,75.54,416195,-0.15,-0.20%,75.54,31651831.60,4966
2018-02-20,76.85,77.20,75.361,75.69,377126,-1.50,-1.94%,75.69,28654810.74,4444
2018-02-16,75.96,77.46,75.93,77.19,538827,1.00,1.31%,77.19,41435727.87,5298
2018-02-15,75.86,76.37,75.37,76.19,502777,0.62,0.82%,76.19,38199480.59,5295
2018-02-14,73.71,75.67,72.591,75.57,573985,1.60,2.16%,75.57,43018635.75,6416
2018-02-13,73.81,74.35,73.26,73.97,888329,-0.34,-0.46%,73.97,65559676.02,5392
2018-02-12,72.71,75.22,72.0243,74.31,1071362,2.17,3.01%,74.31,79459838.30,11810
2018-02-09,71.11,72.52,69.865,72.14,1332743,1.80,2.56%,72.14,94871207.83,10985
2018-02-08,73.60,74.06,70.29,70.34,1029207,-2.29,-3.15%,70.34,73988752.59,10139
2018-02-07,72.27,73.84,72.27,72.63,1037517,0.03,0.04%,72.63,75746508.89,9160
2018-02-06,72.35,73.13,69.98,72.60,1152987,-0.79,-1.08%,72.60,82780334.29,12483
2018-02-05,75.93,76.40,73.08,73.39,965860,-2.99,-3.91%,73.39,72072969.65,10692
2018-02-02,76.95,77.68,76.31,76.38,459841,-0.79,-1.02%,76.38,35290383.50,4373
2018-02-01,76.63,77.28,76.31,77.17,809897,0.27,0.35%,77.17,62374970.66,5356
2018-01-31,76.52,77.53,76.15,76.90,1092765,0.51,0.67%,76.90,84058456.12,6967
2018-01-30,76.47,77.50,76.29,76.39,479086,-0.20,-0.26%,76.39,36683001.79,4884
2018-01-29,77.49,77.633,76.51,76.59,461420,-0.92,-1.19%,76.59,35456544.54,4897
2018-01-26,77.48,77.80,77.13,77.51,476447,0.29,0.38%,77.51,36916676.31,4625
2018-01-25,77.27,77.65,76.82,77.22,404074,-0.02,-0.03%,77.22,31172217.21,4439
2018-01-24,77.87,78.04,76.98,77.24,557969,0.23,0.30%,77.24,43150217.36,6195
2018-01-23,75.88,77.52,75.88,77.01,754296,1.08,1.42%,77.01,57970714.57,6903
2018-01-22,75.32,76.105,75.2601,75.93,440684,0.77,1.02%,75.93,33431624.83,4187
2018-01-19,75.10,75.60,74.69,75.16,443868,0.30,0.40%,75.16,33350558.82,4282
2018-01-18,74.91,75.30,74.76,74.86,401895,-0.20,-0.27%,74.86,30108579.23,4245
2018-01-17,74.60,75.29,74.51,75.06,453505,0.86,1.16%,75.06,34029401.18,5224
2018-01-16,74.27,74.62,73.85,74.20,634081,0.17,0.23%,74.20,47080917.53,6142
2018-01-12,72.96,74.15,72.63,74.03,399467,1.26,1.73%,74.03,29460276.20,4170
2018-01-11,72.29,72.965,72.18,72.77,551019,0.58,0.80%,72.77,40023276.09,5837
2018-01-10,73.11,73.6108,72.15,72.19,549938,-1.02,-1.39%,72.19,39869033.92,6572
2018-01-09,73.76,74.61,73.11,73.21,679548,-0.46,-0.62%,73.21,50097223.13,7302
2018-01-08,73.82,74.03,73.29,73.67,468600,-0.33,-0.45%,73.67,34485349.44,4360
2018-01-05,73.80,74.08,73.40,74.00,431484,0.38,0.52%,74.00,31868484.00,4355
2018-01-04,72.70,73.79,72.58,73.62,622416,0.83,1.14%,73.62,45703558.74,6257
2018-01-03,73.07,73.24,72.34,72.79,534018,-0.29,-0.40%,72.79,38808965.67,6034
2018-01-02,75.37,75.55,72.54,73.08,645367,-1.89,-2.52%,73.08,47427235.42,7155
2017-12-29,75.31,75.54,74.9067,74.97,394207,-0.11,-0.15%,74.97,29607386.24,3798
2017-12-28,74.55,75.11,73.14,75.08,341164,0.53,0.71%,75.08,25521207.66,3767
2017-12-27,74.42,74.77,74.03,74.55,223221,0.28,0.38%,74.55,16626282.47,2710
2017-12-26,74.13,74.62,73.88,74.27,265782,0.28,0.38%,74.27,19719612.57,2691
2017-12-22,73.87,74.09,73.49,73.99,284968,0.33,0.45%,73.99,21050481.58,2949
2017-12-21,73.64,73.94,73.50,73.66,373656,0.21,0.29%,73.66,27546092.20,4725
