date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,71.36,71.65,70.89,71.08,2975202,-0.16,-0.22%,71.08,211717712.83,19400
2018-03-09,71.15,71.57,70.76,71.24,2928242,0.22,0.31%,71.24,208421718.03,21034
2018-03-08,69.75,71.05,69.65,71.02,4134840,1.34,1.92%,71.02,292801549.60,26076
2018-03-07,69.08,69.90,69.01,69.68,3303251,0.04,0.06%,69.68,229943936.57,19805
2018-03-06,70.09,70.41,69.23,69.64,2948307,-0.43,-0.61%,69.64,205389788.61,22034
2018-03-05,68.99,70.15,68.97,70.07,3096859,0.80,1.15%,70.07,216354494.60,20843
2018-03-02,68.50,69.39,68.50,69.27,3189293,0.41,0.60%,69.27,220254360.58,23642
2018-03-01,68.87,69.46,68.39,68.86,4997389,-0.11,-0.16%,68.86,344020648.56,38596
2018-02-28,70.30,70.36,68.97,68.97,3795986,-0.95,-1.36%,68.97,263052339.84,24194
2018-02-27,71.18,71.29,69.92,69.92,3071086,-1.15,-1.62%,69.92,215866054.50,23119
2018-02-26,70.77,71.13,70.49,71.07,2844686,0.77,1.10%,71.07,201645726.41,21359
2018-02-23,69.76,70.30,69.40,70.30,2398535,0.91,1.31%,70.30,167858617.72,17656
2018-02-22,69.28,69.78,69.16,69.39,3162126,0.25,0.36%,69.39,219610630.96,23842
2018-02-21,69.98,70.45,69.14,69.14,2749103,-0.89,-1.27%,69.14,191279147.61,23337
2018-02-20,70.80,70.97,69.79,70.03,3016716,-1.43,-2.00%,70.03,211727385.88,23799
2018-02-16,70.94,71.84,70.81,71.46,4421651,0.24,0.34%,71.46,315837991.49,23410
2018-02-15,69.82,71.22,69.50,71.22,3617116,1.60,2.30%,71.22,255289406.26,21763
2018-02-14,69.78,70.03,69.00,69.62,3579222,-0.68,-0.97%,69.62,249331575.27,30411
2018-02-13,69.95,70.45,69.69,70.30,3528622,0.11,0.16%,70.30,247594555.96,20786
2018-02-12,70.01,70.87,69.74,70.19,3457558,0.43,0.62%,70.19,243040686.15,27121
2018-02-09,69.54,70.06,68.49,69.76,6097604,0.81,1.17%,69.76,423320273.51,43642
2018-02-08,70.17,70.29,68.94,68.95,4875204,-1.22,-1.74%,68.95,338174273.33,37646
2018-02-07,70.40,71.04,70.02,70.17,4413154,-0.24,-0.34%,70.17,310686518.22,32181
2018-02-06,69.10,71.04,68.19,70.41,6903843,0.60,0.86%,70.41,480463384.86,56533
2018-02-05,72.34,72.98,69.78,69.81,6277973,-2.62,-3.62%,69.81,446344305.58,47519
2018-02-02,72.99,73.145,72.29,72.43,5130483,-0.90,-1.23%,72.43,372453226.22,31985
2018-02-01,74.33,74.63,73.18,73.33,3900272,-0.91,-1.23%,73.33,286914585.86,29532
2018-01-31,74.77,74.77,73.14,74.24,5458859,-0.43,-0.58%,74.24,404294009.80,34257
2018-01-30,73.78,74.755,73.12,74.67,6027731,0.88,1.19%,74.67,447475548.70,36750
2018-01-29,73.41,74.40,72.83,73.79,8636810,0.23,0.31%,73.79,635032121.71,49425
2018-01-26,73.84,74.29,72.45,73.56,13162436,-3.75,-4.85%,73.56,964043203.32,69806
2018-01-25,77.07,77.36,76.62,77.31,4237133,0.51,0.66%,77.31,326666056.61,30241
2018-01-24,76.99,77.145,76.45,76.80,3767873,-0.10,-0.13%,76.80,289476198.85,26774
2018-01-23,77.00,77.17,76.37,76.90,3388943,-0.48,-0.62%,76.90,260649353.78,24908
2018-01-22,76.87,77.55,76.64,77.38,2824708,0.28,0.36%,77.38,218311834.39,20297
2018-01-19,76.96,77.91,76.80,77.50,4480624,0.866,1.14%,77.10,347163210.22,28412
2018-01-18,76.72,77.29,76.345,76.63,4040062,-0.05,-0.07%,76.2345,309920872.54,26114
2018-01-17,75.82,77.12,75.67,76.68,3455174,1.253,1.67%,76.2843,264645773.57,26252
2018-01-16,74.94,75.7325,74.595,75.42,4580468,0.796,1.07%,75.0308,345190105.54,28930
2018-01-12,74.76,74.83,74.205,74.62,2338181,0.07,0.09%,74.2349,174333678.75,18461
2018-01-11,74.96,74.99,74.38,74.55,2007355,-0.269,-0.36%,74.1652,149798820.71,16052
2018-01-10,75.20,75.48,74.4885,74.82,3138309,-0.816,-1.08%,74.4339,234655889.37,23759
2018-01-09,75.58,75.8699,75.25,75.64,2518947,0.109,0.15%,75.2496,190679013.22,20477
2018-01-08,75.16,75.63,75.00,75.53,1689239,0.109,0.15%,75.1402,127429107.18,13122
2018-01-05,75.50,75.585,75.14,75.42,2852827,0.09,0.12%,75.0308,214961672.70,20311
2018-01-04,75.05,75.9601,74.98,75.33,2501692,0.478,0.64%,74.9412,188931644.95,19364
2018-01-03,75.11,75.72,74.655,74.85,3310214,-0.289,-0.39%,74.4637,248068215.06,24702
2018-01-02,75.43,76.00,74.84,75.14,4352470,-0.308,-0.41%,74.7522,327662293.99,28670
2017-12-29,75.33,75.69,75.28,75.45,1905199,0.308,0.41%,75.0606,143872005.55,12143
2017-12-28,75.39,75.54,74.98,75.14,1506143,-0.229,-0.31%,74.7522,113196945.46,11830
2017-12-27,75.58,75.70,75.26,75.37,1227610,-0.109,-0.15%,74.981,92585100.18,9754
2017-12-26,75.15,75.725,75.00,75.48,1214100,0.328,0.44%,75.0904,91708256.39,11281
2017-12-22,74.95,75.29,74.74,75.15,2186203,0.487,0.66%,74.7622,164095677.92,15497
2017-12-21,74.95,75.09,74.58,74.66,1916591,0.139,0.19%,74.2747,143380703.61,16441
2017-12-20,75.22,75.34,74.39,74.52,3770369,-0.328,-0.44%,74.1354,281467468.00,27337
2017-12-19,74.98,75.50,74.665,74.85,4352239,0.856,1.16%,74.4637,326678806.91,24634
2017-12-18,74.415,74.77,73.98,73.99,3252337,-0.06,-0.08%,73.6081,241554331.08,25052
2017-12-15,74.08,74.655,73.82,74.05,4444644,0.806,1.11%,73.6678,329334497.57,19098
2017-12-14,73.33,73.50,73.01,73.24,1873609,-0.109,-0.15%,72.862,137246515.17,15656
2017-12-13,72.69,73.795,72.64,73.35,3817748,0.856,1.19%,72.9714,279967818.89,25081
2017-12-12,73.16,73.16,72.41,72.49,3296621,-0.676,-0.93%,72.1159,239399499.47,23556
2017-12-11,73.14,73.28,72.49,73.17,4432536,-0.149,-0.20%,72.7924,323490909.82,23926
2017-12-08,73.16,73.35,72.70,73.32,3047964,0.119,0.16%,72.9416,222848285.17,20955
2017-12-07,73.94,74.22,73.135,73.20,3696241,-1.045,-1.41%,72.8222,271254899.82,22508
2017-12-06,74.59,74.75,74.12,74.25,2698317,-0.338,-0.46%,73.8668,200508897.97,20788
2017-12-05,74.63,74.82,74.01,74.59,3463178,0.07,0.09%,74.205,257741782.86,24118
2017-12-04,73.09,74.63,72.95,74.52,3615783,1.472,2.03%,74.1354,268587292.70,25734
2017-12-01,72.51,73.08,71.93,73.04,4478119,0.587,0.81%,72.663,325619289.44,30692
2017-11-30,71.91,72.97,71.91,72.45,4557535,0.438,0.61%,72.0761,330289401.55,24239
2017-11-29,71.42,72.715,71.31,72.01,3646910,-0.746,-1.03%,71.6384,263278944.79,25351
2017-11-28,72.31,72.84,72.25,72.76,2703577,0.756,1.06%,72.3845,196578697.71,17288
2017-11-27,72.29,72.46,71.91,72.00,3295063,-0.01,-0.01%,71.6284,237556344.52,20096
2017-11-24,71.93,72.35,71.93,72.01,988545,0.259,0.36%,71.6384,71309367.76,7487
2017-11-22,72.28,72.51,71.585,71.75,2951103,-0.468,-0.65%,71.3797,212037429.30,17786
2017-11-21,72.23,72.72,72.09,72.22,2831933,0.149,0.21%,71.8473,204808699.43,16503
2017-11-20,71.94,72.41,71.87,72.07,2799506,0.179,0.25%,71.698,201866929.82,19050
2017-11-17,72.31,72.62,71.78,71.89,4627386,-0.736,-1.02%,71.519,333195812.76,23785
2017-11-16,72.83,73.00,72.305,72.63,3689426,0.149,0.21%,72.2552,267709675.94,25642
2017-11-15,73.46,73.47,72.42,72.48,3063923,-0.975,-1.33%,72.1059,223266959.87,21276
2017-11-14,73.46,73.659,73.12,73.46,2970070,-0.239,-0.33%,73.0809,217987254.07,20585
2017-11-13,73.26,73.825,73.00,73.70,2511454,0.487,0.67%,73.3196,184977460.07,20181
2017-11-10,72.57,73.46,72.51,73.21,2523691,0.298,0.41%,72.8322,184661733.60,19967
2017-11-09,72.96,73.38,72.52,72.91,4336265,-0.358,-0.49%,72.5337,315960500.91,32153
2017-11-08,73.15,73.6202,72.52,73.27,5569116,2.358,3.34%,72.8919,407485623.89,36521
2017-11-07,70.28,71.10,69.86,70.90,3351208,0.647,0.93%,70.5341,237388137.05,23469
2017-11-06,70.27,70.63,69.75,70.25,3197185,0.099,0.14%,69.8874,224740773.88,24203
2017-11-03,70.98,71.14,70.0399,70.15,2506150,-0.786,-1.11%,69.788,176499763.93,20127
2017-11-02,70.63,71.11,70.02,70.94,4638153,0.378,0.54%,70.5739,327565214.31,32835
2017-11-01,70.72,70.90,70.3859,70.56,3279560,0.109,0.16%,70.1958,231683191.26,25859
2017-10-31,69.35,70.52,69.10,70.45,4733986,1.244,1.81%,70.0864,332019490.43,30674
2017-10-30,70.14,70.48,69.05,69.20,4444482,-1.194,-1.70%,68.8429,307976380.16,27695
2017-10-27,70.40,70.90,69.14,70.40,8703970,-0.806,-1.14%,70.0367,609816623.52,58018
2017-10-26,71.77,72.17,71.10,71.21,4020693,-0.209,-0.29%,70.8425,287252368.28,28033
2017-10-25,71.73,71.82,70.74,71.42,3432518,-0.418,-0.58%,71.0514,244290466.23,30727
2017-10-24,72.15,72.19,71.62,71.84,4000133,-0.348,-0.48%,71.4692,287212485.50,25770
2017-10-23,72.04,72.50,71.78,72.19,4308247,-0.129,-0.18%,71.8174,310800152.53,31081
2017-10-20,72.65,73.05,72.00,72.32,4317675,-0.418,-0.58%,71.9468,312591336.89,28687
2017-10-19,73.84,73.9989,72.98,73.14,4369163,-1.286,-1.75%,72.3646,320292635.08,29593
2017-10-18,74.82,74.85,74.26,74.44,2682748,-0.514,-0.69%,73.6508,199702269.51,21731
2017-10-17,75.50,75.53,74.62,74.96,3217625,-0.782,-1.04%,74.1653,241216455.95,22151
2017-10-16,75.89,76.10,75.32,75.75,2229615,-0.237,-0.32%,74.9469,168962784.30,18530
2017-10-13,75.48,76.03,75.26,75.99,3761301,0.821,1.10%,75.1844,285141400.31,27383
2017-10-12,74.69,75.27,74.22,75.16,3172540,0.425,0.58%,74.3632,237892765.96,23500
2017-10-11,74.44,75.15,74.14,74.73,6491366,1.811,2.51%,73.9377,485167992.45,41093
2017-10-10,72.65,73.315,72.51,72.90,2078572,0.534,0.75%,72.1271,151625103.22,17598
2017-10-09,72.81,72.96,72.215,72.36,1513867,-0.356,-0.50%,71.5929,109842093.00,13409
