date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,131.61,132.66,129.93,130.37,972513,-1.20,-0.91%,130.37,127100151.36,9861
2018-03-09,133.21,133.32,131.45,131.57,821469,-1.41,-1.06%,131.57,108389842.76,8167
2018-03-08,130.69,133.09,130.45,132.98,620769,2.43,1.86%,132.98,82091356.67,7456
2018-03-07,131.76,132.27,130.10,130.55,834318,-1.78,-1.35%,130.55,109287326.50,7627
2018-03-06,132.86,132.90,130.701,132.33,696362,-0.60,-0.45%,132.33,91789190.36,7991
2018-03-05,130.95,133.15,130.47,132.93,1049537,1.99,1.52%,132.93,139123678.67,8837
2018-03-02,129.02,131.14,128.94,130.94,810517,1.17,0.90%,130.94,105705210.18,8013
2018-03-01,129.08,131.709,128.93,129.77,1372159,0.69,0.53%,129.77,178739169.87,17089
2018-02-28,130.84,131.00,128.82,129.08,1408118,-1.11,-0.85%,129.08,182260940.37,13041
2018-02-27,131.43,132.635,129.78,130.19,1119929,-1.33,-1.01%,130.19,146311648.14,11216
2018-02-26,129.91,131.58,129.60,131.52,983172,2.09,1.61%,131.52,128579075.87,10719
2018-02-23,127.95,129.43,127.02,129.43,895897,2.13,1.67%,129.43,115488501.01,9466
2018-02-22,126.55,127.91,126.41,127.30,880420,1.01,0.80%,127.30,112128623.68,10128
2018-02-21,128.85,129.83,126.22,126.29,934899,-2.49,-1.93%,126.29,119113422.94,10053
2018-02-20,131.24,131.43,128.43,128.78,1024494,-2.92,-2.22%,128.78,132132439.63,9152
2018-02-16,130.63,132.83,130.20,131.70,1088665,0.67,0.51%,131.70,143386745.51,9917
2018-02-15,129.27,131.06,127.90,131.03,845415,2.23,1.73%,131.03,109822170.47,9217
2018-02-14,128.31,129.57,127.09,128.80,1019529,0.27,0.21%,128.80,131233228.45,9223
2018-02-13,127.43,128.82,127.01,128.53,1109688,0.58,0.45%,128.53,142230261.19,10555
2018-02-12,128.83,130.42,126.9987,127.95,1166598,-0.85,-0.66%,127.95,149679874.59,13063
2018-02-09,128.57,129.57,124.98,128.80,1729641,1.04,0.81%,128.80,220434353.23,17757
2018-02-08,127.38,129.61,126.10,127.76,1831691,-0.06,-0.05%,127.76,234824211.26,18702
2018-02-07,130.81,130.90,127.67,127.82,1857151,-2.81,-2.15%,127.82,239608569.02,19390
2018-02-06,125.62,131.13,125.00,130.63,2732084,3.63,2.86%,130.63,354401171.73,27949
2018-02-05,130.20,131.6699,126.86,127.00,2431556,-3.91,-2.99%,127.00,312563952.66,25141
2018-02-02,134.92,135.25,130.77,130.91,3511141,-9.42,-6.71%,130.91,464821095.14,33516
2018-02-01,141.58,142.68,140.33,140.33,1658765,-1.36,-0.96%,140.33,234719311.47,16608
2018-01-31,141.93,143.38,140.94,141.69,1818636,-0.07,-0.05%,141.69,258278683.72,14256
2018-01-30,141.00,142.56,140.51,141.76,1030670,0.80,0.57%,141.76,146307066.46,10416
2018-01-29,142.40,142.93,139.73,140.96,1208313,-1.68,-1.18%,140.96,170207002.53,10478
2018-01-26,145.00,145.28,142.37,142.64,1225784,-3.49,-2.39%,142.64,175377805.31,12084
2018-01-25,142.32,146.17,141.62,146.13,1250490,3.88,2.73%,146.13,181152809.08,13747
2018-01-24,143.56,143.995,141.42,142.25,716143,-1.27,-0.88%,142.25,102004595.19,9931
2018-01-23,143.66,144.15,142.56,143.52,727479,-0.12,-0.08%,143.52,104418075.54,8723
2018-01-22,143.77,144.56,142.82,144.48,734305,0.616,0.43%,143.64,105793946.49,6777
2018-01-19,143.64,144.84,143.25,143.86,789749,0.716,0.50%,143.0236,113687943.74,6924
2018-01-18,144.38,144.43,142.53,143.14,586608,-1.173,-0.82%,142.3078,84002018.05,6482
2018-01-17,142.96,145.17,142.425,144.32,860997,1.899,1.34%,143.4809,124175070.95,9569
2018-01-16,141.45,143.41,141.18,142.41,875074,1.442,1.03%,141.582,124623826.47,8935
2018-01-12,141.97,142.00,140.25,140.96,1101300,-1.024,-0.73%,140.1405,155300687.32,12498
2018-01-11,144.10,144.58,141.85,141.99,1192244,-2.426,-1.69%,141.1645,169979097.42,11996
2018-01-10,145.45,145.61,142.17,144.43,727047,-1.72,-1.18%,143.5903,104413466.25,8882
2018-01-09,146.50,146.78,145.7126,146.16,540385,-0.278,-0.19%,145.3102,79049532.90,7688
2018-01-08,145.20,146.48,145.01,146.44,646943,0.706,0.49%,145.5886,94491544.22,7038
2018-01-05,145.76,145.94,144.805,145.73,658891,0.04,0.03%,144.8827,95944163.90,6458
2018-01-04,144.75,146.92,144.005,145.69,766882,2.247,1.58%,144.843,111637472.90,9510
2018-01-03,145.60,145.60,143.14,143.43,1033692,-1.551,-1.08%,142.5961,148632523.90,12215
2018-01-02,148.79,148.88,144.86,144.99,867974,-3.728,-2.52%,144.147,126665819.73,11110
2017-12-29,148.64,149.68,148.64,148.74,428944,-0.258,-0.17%,147.8752,63882752.17,5423
2017-12-28,149.09,149.61,148.46,149.00,455426,-0.288,-0.19%,148.1337,67808715.98,5529
2017-12-27,150.00,150.33,149.14,149.29,379351,-0.398,-0.27%,148.422,56683033.84,4753
2017-12-26,149.55,150.40,149.30,149.69,343296,0.169,0.11%,148.8197,51439453.76,4248
2017-12-22,149.40,149.90,149.06,149.52,407423,0.736,0.50%,148.6507,60893547.92,5010
2017-12-21,149.03,149.63,148.40,148.78,755176,0.388,0.26%,147.915,112484685.56,6753
2017-12-20,148.66,149.09,147.52,148.39,610234,0.338,0.23%,147.5273,90412736.27,7085
2017-12-19,148.29,149.33,147.90,148.05,671041,-0.05,-0.03%,147.1892,99514952.85,6383
2017-12-18,148.79,149.21,147.06,148.10,565341,0.467,0.32%,147.2389,83698154.44,7074
