date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,102.30,102.66,100.54,100.82,1650796,-1.39,-1.36%,100.82,167210383.10,15641
2018-03-09,101.35,102.42,100.52,102.21,1370219,1.87,1.86%,102.21,139697277.26,13406
2018-03-08,101.64,101.92,98.65,100.34,1498162,-0.83,-0.82%,100.34,149636760.64,13275
2018-03-07,99.57,101.295,99.37,101.17,1139568,0.52,0.52%,101.17,114561763.60,13019
2018-03-06,99.60,100.82,98.54,100.65,1159583,1.80,1.82%,100.65,115972892.19,13798
2018-03-05,97.48,99.45,96.15,98.85,1695629,0.56,0.57%,98.85,166225220.49,15169
2018-03-02,96.18,98.58,95.39,98.29,1821745,1.36,1.40%,98.29,177743345.76,17969
2018-03-01,97.22,97.87,95.55,96.93,2573784,-0.29,-0.30%,96.93,249529084.61,25606
2018-02-28,99.24,100.18,97.22,97.22,1821693,-1.39,-1.41%,97.22,179727520.92,18609
2018-02-27,99.50,101.73,98.53,98.61,1213465,-1.06,-1.06%,98.61,121235498.29,15062
2018-02-26,99.28,99.67,98.20,99.67,1224564,0.99,1.00%,99.67,121524899.88,12150
2018-02-23,97.19,98.72,96.97,98.68,1066251,2.01,2.08%,98.68,104416514.59,11262
2018-02-22,99.25,99.595,96.39,96.67,1060567,-1.74,-1.77%,96.67,103527395.12,12463
2018-02-21,97.35,99.80,97.31,98.41,1023877,1.21,1.24%,98.41,101298195.56,12686
2018-02-20,97.40,98.59,96.63,97.20,933808,-0.62,-0.63%,97.20,91038017.67,10997
2018-02-16,96.98,99.03,96.5001,97.82,1308277,0.15,0.15%,97.82,128271956.02,12291
2018-02-15,97.90,98.30,97.02,97.67,1297532,0.27,0.28%,97.67,126670631.17,13868
2018-02-14,93.69,97.54,93.69,97.40,1727601,3.56,3.79%,97.40,166689049.22,16339
2018-02-13,92.45,93.99,92.20,93.84,1180963,0.54,0.58%,93.84,110456886.55,11339
2018-02-12,92.19,94.31,91.70,93.30,1604950,1.69,1.84%,93.30,149668447.06,16303
2018-02-09,91.13,92.42,88.34,91.61,1709087,2.43,2.72%,91.61,154980639.81,18159
2018-02-08,93.58,93.58,89.14,89.18,1523429,-4.40,-4.70%,89.18,138466978.51,15701
2018-02-07,92.12,95.13,92.09,93.58,1911790,0.81,0.87%,93.58,179656729.61,19923
2018-02-06,88.69,93.164,88.15,92.77,2115997,2.05,2.26%,92.77,193711452.82,25596
2018-02-05,93.48,95.06,90.3172,90.72,2090338,-4.24,-4.47%,90.72,194394953.95,24305
2018-02-02,97.00,98.18,94.7384,94.96,1932682,-2.07,-2.13%,94.96,186214241.19,17259
2018-02-01,95.16,97.03,94.95,97.03,1239815,1.81,1.90%,97.03,119526165.29,12901
2018-01-31,94.95,95.68,94.78,95.22,1084482,0.46,0.49%,95.22,103243985.61,11145
2018-01-30,94.38,95.70,94.04,94.76,1005635,-0.39,-0.41%,94.76,95517136.08,10868
2018-01-29,95.45,96.53,95.09,95.15,899536,-0.66,-0.69%,95.15,85955124.70,9282
2018-01-26,95.05,95.88,94.56,95.81,1069371,1.11,1.17%,95.81,102114053.93,9155
2018-01-25,95.70,95.92,94.36,94.70,1604086,-0.83,-0.87%,94.70,152289724.03,16500
2018-01-24,95.51,95.97,94.7501,95.53,1519723,0.28,0.29%,95.53,145021105.23,13116
2018-01-23,94.92,95.67,94.32,95.25,1502586,0.04,0.04%,95.25,142715014.24,13122
2018-01-22,95.05,95.33,94.275,95.21,1883604,0.22,0.23%,95.21,178643082.86,14242
2018-01-19,93.78,95.27,93.78,94.99,2508044,1.18,1.26%,94.99,237311381.61,16115
2018-01-18,95.27,95.60,93.49,93.81,1303939,-0.95,-1.00%,93.81,122814115.63,14329
2018-01-17,94.19,95.045,92.97,94.76,1845395,0.97,1.03%,94.76,174387611.18,21355
2018-01-16,92.88,95.49,92.88,93.79,2376558,0.75,0.81%,93.79,224173044.61,22213
2018-01-12,93.00,93.54,92.55,93.04,1623517,0.52,0.56%,93.04,151185547.84,16465
2018-01-11,91.86,92.53,91.57,92.52,2038522,1.21,1.33%,92.52,187689515.35,20527
2018-01-10,90.78,92.42,90.66,91.31,1374410,0.94,1.04%,91.31,125962095.36,15949
2018-01-09,88.98,91.10,88.76,90.37,2006981,1.65,1.86%,90.37,181551916.71,18728
2018-01-08,88.24,88.99,88.07,88.72,1385208,0.25,0.28%,88.72,122785273.46,13861
2018-01-05,88.50,88.57,87.67,88.47,1296089,0.96,1.10%,88.47,114303238.54,11995
