date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,37.09,37.215,36.87,36.96,17947658,-0.17,-0.46%,36.96,664256875.60,79402
2018-03-09,37.00,37.14,36.50,37.13,23737404,0.25,0.68%,37.13,875907596.49,90087
2018-03-08,36.37,37.01,36.11,36.88,23111065,0.76,2.10%,36.88,847621789.72,103302
2018-03-07,36.82,36.82,36.03,36.12,25136540,-0.75,-2.03%,36.12,912128470.70,123336
2018-03-06,37.08,37.09,36.385,36.87,19795198,0.09,0.24%,36.87,728149255.38,95376
2018-03-05,36.41,37.105,36.145,36.78,29259414,0.29,0.79%,36.78,1075171839.84,127800
2018-03-02,36.25,36.58,36.06,36.49,28854894,-0.05,-0.14%,36.49,1047707321.94,126775
2018-03-01,36.44,36.869,36.20,36.54,34517640,0.33,0.91%,36.54,1258871516.54,167544
2018-02-28,36.90,37.075,35.75,36.21,69818510,-0.45,-1.23%,36.21,2553063927.95,235525
2018-02-27,38.00,38.20,36.59,36.66,69200014,-2.92,-7.38%,36.66,2575258453.01,270439
2018-02-26,39.53,39.74,39.37,39.58,14875585,0.08,0.20%,39.58,588137075.19,65617
2018-02-23,39.15,39.65,38.91,39.50,16514379,0.70,1.80%,39.50,650115728.52,75324
2018-02-22,39.06,39.57,38.57,38.80,18800919,-0.21,-0.54%,38.80,734617595.74,85644
2018-02-21,39.45,39.84,39.00,39.01,14230330,-0.46,-1.17%,39.01,560270149.11,82538
2018-02-20,39.54,39.69,39.04,39.47,18163843,-0.32,-0.80%,39.47,715305905.53,92669
2018-02-16,39.99,40.42,39.69,39.79,22563873,-0.29,-0.72%,39.79,903394544.28,86700
2018-02-15,39.76,40.12,39.26,40.08,21687749,0.65,1.65%,40.08,862545048.68,95359
2018-02-14,38.82,39.62,38.50,39.43,21982548,0.47,1.21%,39.43,863450568.43,108952
2018-02-13,38.16,39.17,38.10,38.96,18133300,0.42,1.09%,38.96,703852942.95,89685
2018-02-12,38.60,39.0699,38.265,38.54,30682529,-0.03,-0.08%,38.54,1182727944.42,140311
2018-02-09,38.37,38.99,37.43,38.57,37376044,0.38,1.00%,38.57,1430075243.58,190643
2018-02-08,39.90,40.16,38.15,38.19,34122878,-1.96,-4.88%,38.19,1334559066.50,172615
2018-02-07,39.50,40.4153,39.37,40.15,33065633,0.48,1.21%,40.15,1324088606.52,161193
2018-02-06,38.92,39.80,38.50,39.67,48696330,0.47,1.20%,39.67,1907507121.88,220267
