date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,323.00,328.45,321.74,323.76,628614,1.60,0.50%,323.76,204056197.81,8518
2018-03-09,323.26,323.41,319.50,322.16,567189,0.30,0.09%,322.16,182398542.67,7158
2018-03-08,321.00,324.7788,315.95,321.86,537296,1.91,0.60%,321.86,172877410.13,7015
2018-03-07,315.86,320.09,314.88,319.95,384740,1.91,0.60%,319.95,122428665.58,6066
2018-03-06,322.25,322.74,315.16,318.04,535325,-2.12,-0.66%,318.04,170189713.52,7857
2018-03-05,320.00,324.82,318.40,320.16,790311,0.17,0.05%,320.16,253504812.87,10111
2018-03-02,310.34,320.85,309.031,319.99,843313,6.73,2.15%,319.99,267551034.92,12817
2018-03-01,318.26,320.88,309.07,313.26,1095845,-5.15,-1.62%,313.26,344458060.17,16104
2018-02-28,320.20,325.69,318.27,318.41,912634,-0.74,-0.23%,318.41,293928380.93,12219
2018-02-27,318.86,330.14,317.31,319.15,1749924,7.26,2.33%,319.15,566373664.63,20378
2018-02-26,316.49,318.74,311.3104,311.89,911041,-3.93,-1.24%,311.89,286055031.38,11782
2018-02-23,316.55,317.44,309.17,315.82,955338,1.91,0.61%,315.82,300211387.80,11847
2018-02-22,320.04,324.47,311.67,313.91,1287493,-7.05,-2.20%,313.91,406775720.58,16552
2018-02-21,318.00,324.44,316.01,320.96,1902927,3.39,1.07%,320.96,611767890.91,20985
2018-02-20,304.47,322.245,300.00,317.57,2740580,11.94,3.91%,317.57,863496717.37,30095
2018-02-16,287.00,306.00,286.76,305.63,2742393,18.98,6.62%,305.63,821805574.41,32308
2018-02-15,291.99,292.60,286.16,286.65,1208986,-3.26,-1.12%,286.65,348787467.89,14945
2018-02-14,281.50,292.06,281.00,289.91,5384609,38.58,15.35%,289.91,1548744722.86,56806
2018-02-13,254.13,257.9571,250.625,251.33,1520320,-3.12,-1.23%,251.33,384705768.20,17846
2018-02-12,257.00,259.16,249.31,254.45,1953508,-1.01,-0.40%,254.45,494940622.79,18798
2018-02-09,266.79,267.34,247.515,255.46,3064613,-10.55,-3.97%,255.46,780669681.28,36230
2018-02-08,270.17,271.11,265.00,266.01,1891122,-6.20,-2.28%,266.01,505232747.33,23663
2018-02-07,273.64,279.70,268.04,272.21,4780612,-32.12,-10.55%,272.21,1303481295.03,55805
2018-02-06,296.80,305.46,293.55,304.33,2092166,4.03,1.34%,304.33,628058042.26,25920
2018-02-05,310.88,314.36,299.17,300.30,1349301,-11.34,-3.64%,300.30,412823167.85,14429
2018-02-02,313.81,317.50,310.85,311.64,951975,-3.08,-0.98%,311.64,298077263.72,12251
2018-02-01,314.06,315.20,306.20,314.72,1646308,-10.04,-3.09%,314.72,512796632.09,18481
2018-01-31,322.87,330.00,321.68,324.76,737156,2.68,0.83%,324.76,239753374.50,9664
2018-01-30,329.69,331.19,313.01,322.08,1929254,-10.25,-3.08%,322.08,618191152.47,20967
2018-01-29,327.00,336.24,325.00,332.33,764790,2.10,0.64%,332.33,254189994.29,8235
2018-01-26,332.56,332.56,326.7743,330.23,665600,-3.74,-1.12%,330.23,219413152.36,8976
2018-01-25,330.34,335.18,329.60,333.97,573940,4.44,1.35%,333.97,191223932.23,7538
2018-01-24,329.92,331.94,324.27,329.53,786768,0.82,0.25%,329.53,258872689.63,8982
2018-01-23,330.00,334.392,327.9931,328.71,1225218,-1.29,-0.39%,328.71,403629212.77,12294
2018-01-22,340.00,340.2553,329.31,330.00,1438674,-13.87,-4.03%,330.00,477839438.69,17165
2018-01-19,339.25,345.88,338.37,343.87,1152978,6.34,1.88%,343.87,395516427.06,13877
2018-01-18,334.51,341.50,332.62,337.53,889043,2.90,0.87%,337.53,299809452.23,11741
2018-01-17,328.00,339.60,325.00,334.63,979061,7.26,2.22%,334.63,325961045.26,12768
2018-01-16,329.33,330.94,324.9001,327.37,706540,0.03,0.01%,327.37,231609609.87,7575
2018-01-12,326.84,328.6199,323.07,327.34,675908,1.84,0.57%,327.34,220510460.47,8858
2018-01-11,322.61,328.19,320.50,325.50,813572,3.70,1.15%,325.50,264922180.37,10836
2018-01-10,318.94,328.2478,318.00,321.80,1154620,2.43,0.76%,321.80,374049112.22,13717
2018-01-09,319.67,322.18,318.135,319.37,681944,0.90,0.28%,319.37,217936717.12,8187
2018-01-08,314.10,320.10,312.33,318.47,1087703,4.68,1.49%,318.47,345175206.14,11946
2018-01-05,310.24,314.28,307.59,313.79,998208,6.68,2.18%,313.79,310630340.12,11311
2018-01-04,309.03,310.38,304.39,307.11,703303,-1.89,-0.61%,307.11,215835970.54,9265
2018-01-03,294.00,313.20,293.26,309.00,1957448,16.05,5.48%,309.00,598263859.99,22007
2018-01-02,290.90,293.137,289.0001,292.95,1463989,3.92,1.36%,292.95,426647907.47,15738
2017-12-29,294.25,296.17,286.4011,289.03,1111425,-5.79,-1.96%,289.03,322751714.94,14410
2017-12-28,295.00,297.26,293.05,294.82,517285,-0.60,-0.20%,294.82,152261899.33,6992
2017-12-27,296.00,298.69,294.39,295.42,863979,-0.10,-0.03%,295.42,255531791.53,9832
2017-12-26,295.52,297.49,292.95,295.52,546430,0.29,0.10%,295.52,161231068.54,6272
2017-12-22,292.98,296.05,290.33,295.23,1197611,2.83,0.97%,295.23,351360731.98,11406
2017-12-21,296.30,299.77,291.55,292.40,1527199,-6.27,-2.10%,292.40,447592141.14,17287
2017-12-20,314.96,315.8093,297.80,298.67,2019151,-14.50,-4.63%,298.67,614612625.74,23991
2017-12-19,309.70,315.46,308.21,313.17,793844,-0.25,-0.08%,313.17,248805874.40,9806
2017-12-18,313.99,315.99,312.15,313.42,814206,1.30,0.42%,313.42,255344239.58,9311
2017-12-15,316.235,318.1654,311.87,312.12,1117234,-1.90,-0.61%,312.12,350450114.48,12020
2017-12-14,318.775,321.639,313.5401,314.02,713189,-5.68,-1.78%,314.02,226164259.83,8682
2017-12-13,322.00,325.71,317.45,319.70,961954,1.32,0.41%,319.70,309194292.53,12171
2017-12-12,313.54,318.67,311.15,318.38,699183,4.99,1.59%,318.38,220650850.41,11053
2017-12-11,315.01,316.66,311.60,313.39,688677,-2.51,-0.79%,313.39,216093484.33,9464
2017-12-08,313.43,319.60,311.50,315.90,1870347,2.25,0.72%,315.90,591745306.61,12717
2017-12-07,309.43,314.59,305.20,313.65,987334,2.98,0.96%,313.65,306713009.57,10627
2017-12-06,315.92,316.82,310.51,310.67,817667,-4.89,-1.55%,310.67,256358383.86,9774
2017-12-05,318.01,321.67,312.01,315.56,1165016,-0.04,-0.01%,315.56,369128792.02,14320
2017-12-04,311.06,333.33,309.79,315.60,2690979,8.01,2.60%,315.60,867674271.61,31840
2017-12-01,302.40,311.29,300.24,307.59,1178323,3.20,1.05%,307.59,362332179.13,14966
2017-11-30,302.00,308.175,301.14,304.39,1486131,2.40,0.79%,304.39,453489630.43,15770
2017-11-29,297.00,304.47,292.27,301.99,3293763,16.13,5.64%,301.99,981318494.94,36065
2017-11-28,274.90,286.06,272.23,285.86,1333242,11.34,4.13%,285.86,373403750.76,15740
2017-11-27,278.86,279.969,271.65,274.52,966879,-4.79,-1.71%,274.52,265398948.35,11106
2017-11-24,281.19,282.50,278.56,279.31,335240,-1.96,-0.70%,279.31,93946052.47,4960
2017-11-22,279.87,282.695,278.78,281.27,598560,1.76,0.63%,281.27,168318644.21,7777
2017-11-21,284.04,284.04,277.85,279.51,768705,-3.74,-1.32%,279.51,214946165.35,10301
2017-11-20,289.84,289.84,282.17,283.25,760973,-6.59,-2.27%,283.25,216716370.63,10109
2017-11-17,283.56,291.51,283.56,289.84,1277873,6.14,2.16%,289.84,369471529.11,16350
2017-11-16,285.89,289.2499,283.159,283.70,796705,-1.75,-0.61%,283.70,227714107.58,11143
2017-11-15,279.60,287.25,277.815,285.45,1059852,4.55,1.62%,285.45,301464296.52,13411
2017-11-14,277.73,284.26,277.475,280.90,984430,3.40,1.23%,280.90,276301987.17,10768
2017-11-13,272.72,279.25,263.00,277.50,1822038,-1.95,-0.70%,277.50,497951455.54,20271
2017-11-10,275.00,281.00,273.51,279.45,1060839,4.45,1.62%,279.45,294824576.02,18300
2017-11-09,273.01,276.88,270.12,275.00,820937,1.10,0.40%,275.00,225045961.21,9922
2017-11-08,274.45,275.9181,272.53,273.90,598887,-0.60,-0.22%,273.90,164253704.73,8685
2017-11-07,276.34,276.34,272.83,274.50,765434,-1.27,-0.46%,274.50,209768014.37,8702
2017-11-06,273.37,276.411,270.59,275.77,835417,2.24,0.82%,275.77,229241495.79,11588
2017-11-03,277.39,278.63,271.50,273.53,1188921,-5.93,-2.12%,273.53,326309194.88,17197
2017-11-02,270.01,280.8288,268.58,279.46,1952529,9.26,3.43%,279.46,539502477.69,22921
2017-11-01,271.90,275.48,269.75,270.20,1035529,-1.70,-0.63%,270.20,280897637.96,13083
2017-10-31,268.14,272.78,264.90,271.90,1310503,3.20,1.19%,271.90,352857720.02,18050
2017-10-30,275.00,275.13,268.18,268.70,1769037,-7.42,-2.69%,268.70,477338885.75,23105
2017-10-27,280.66,282.40,275.31,276.12,1637424,-5.40,-1.92%,276.12,454270433.89,18770
2017-10-26,275.35,282.66,270.00,281.52,3333743,4.35,1.57%,281.52,923745057.65,34249
2017-10-25,283.04,283.99,273.78,277.17,9900096,-47.13,-14.53%,277.17,2749544237.19,99819
2017-10-24,322.34,326.53,318.25,324.30,2978551,3.85,1.20%,324.30,960861692.42,33161
2017-10-23,325.13,327.91,319.83,320.45,842390,-4.31,-1.33%,320.45,272316418.92,11735
2017-10-20,325.17,325.81,319.25,324.76,973364,-0.51,-0.16%,324.76,314801884.66,12535
2017-10-19,315.85,325.9981,315.52,325.27,919014,7.03,2.21%,325.27,296059623.05,12444
2017-10-18,319.97,325.28,317.83,318.24,1523528,-11.06,-3.36%,318.24,488996588.23,18538
