date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,162.36,162.70,159.081,160.06,1694584,-2.31,-1.42%,160.06,271569795.38,13978
2018-03-09,160.51,163.52,159.83,162.37,1646715,3.17,1.99%,162.37,266956662.10,16115
2018-03-08,159.46,160.60,157.99,159.20,1987434,-0.05,-0.03%,159.20,316208341.40,16277
2018-03-07,158.34,160.66,157.13,159.25,2416740,-1.40,-0.87%,159.25,384196093.84,21952
2018-03-06,162.40,163.86,160.53,160.65,1609853,-0.29,-0.18%,160.65,260190874.83,15130
2018-03-05,158.00,161.14,157.40,160.94,1937213,2.00,1.26%,160.94,309530518.06,17640
2018-03-02,159.94,160.14,154.58,158.94,3081048,-1.95,-1.21%,158.94,485032422.39,30963
2018-03-01,168.00,168.40,160.18,160.89,2848120,-7.28,-4.33%,160.89,464860699.19,30616
2018-02-28,171.08,172.01,167.60,168.17,1747538,-1.89,-1.11%,168.17,296601088.02,18174
2018-02-27,171.72,173.32,170.04,170.06,1528807,-1.58,-0.92%,170.06,262052885.84,16348
2018-02-26,170.48,172.12,169.23,171.64,1386484,2.11,1.24%,171.64,237097830.22,15651
2018-02-23,168.45,169.79,167.55,169.53,1775575,2.51,1.50%,169.53,299687551.72,15194
2018-02-22,166.22,168.72,166.04,167.02,1151524,1.82,1.10%,167.02,192706750.30,12037
2018-02-21,167.51,169.21,166.24,166.28,1602935,-0.536,-0.32%,165.20,268742019.80,16701
2018-02-20,166.34,167.83,165.27,166.82,1540730,1.212,0.74%,165.7365,257184893.10,16340
2018-02-16,164.93,167.56,164.39,165.60,1421771,0.576,0.35%,164.5244,236023834.61,14602
2018-02-15,167.55,167.98,163.34,165.02,1881211,-0.974,-0.59%,163.9482,309779481.91,17228
2018-02-14,164.23,166.83,163.10,166.00,1933612,0.368,0.22%,164.9218,318882467.97,18212
2018-02-13,165.46,166.03,164.10,165.63,1176351,-0.139,-0.08%,164.5542,194412885.33,11903
2018-02-12,165.53,167.595,164.49,165.77,1912307,1.709,1.05%,164.6933,317423645.79,17192
2018-02-09,168.88,168.88,159.36,164.05,2808729,-1.669,-1.01%,162.9845,458835809.16,26500
2018-02-08,172.85,173.50,165.70,165.73,2393303,-6.964,-4.06%,164.6536,402443238.12,27149
2018-02-07,175.90,179.67,172.565,172.74,2542207,-2.076,-1.20%,171.6181,444966253.68,28285
2018-02-06,173.60,180.87,169.24,174.83,3500785,-4.153,-2.34%,173.6945,607437287.96,37886
2018-02-05,183.24,187.36,179.01,179.01,2188531,-5.266,-2.88%,177.8473,400814940.50,26356
2018-02-02,188.29,189.00,184.02,184.31,1574525,-4.828,-2.57%,183.1129,292856912.25,17576
2018-02-01,187.67,190.25,185.94,189.17,927590,1.162,0.62%,187.9413,175069276.54,12273
2018-01-31,188.90,191.21,187.32,188.00,1466809,0.745,0.40%,186.7789,276562015.55,15074
2018-01-30,189.22,189.24,185.4575,187.25,1427489,-3.537,-1.87%,186.0338,267476385.18,14560
2018-01-29,192.05,194.18,190.07,190.81,1289475,-1.679,-0.88%,189.5707,246852504.76,14382
2018-01-26,190.28,192.53,189.11,192.50,1120172,3.08,1.64%,191.2497,214313139.64,11164
2018-01-25,189.98,189.98,186.65,189.40,1430314,1.043,0.56%,188.1698,270094780.23,13328
2018-01-24,189.22,191.02,188.06,188.35,1352846,-0.079,-0.04%,187.1267,255646131.64,13830
2018-01-23,189.99,190.34,188.02,188.43,1031291,-1.143,-0.61%,187.2061,194542281.50,10370
2018-01-22,188.80,189.60,187.6025,189.58,1237635,0.497,0.26%,188.3487,233847193.86,12111
2018-01-19,187.16,189.57,186.67,189.08,1807950,5.325,2.92%,187.8519,340203685.32,18278
2018-01-18,183.37,185.275,183.30,183.72,873672,0.03,0.02%,182.5267,160792567.63,9413
2018-01-17,182.74,184.3395,182.40,183.69,1049385,1.133,0.62%,182.4969,192437683.09,11180
2018-01-16,184.81,184.905,181.39,182.55,1449667,-1.619,-0.89%,181.3643,265818634.50,13756
2018-01-12,183.89,185.10,183.50,184.18,1470025,0.278,0.15%,182.9838,270914286.84,12004
2018-01-11,181.24,184.51,180.65,183.90,1217415,3.318,1.85%,182.7056,223600908.67,10604
2018-01-10,181.86,182.18,180.07,180.56,911228,-1.391,-0.77%,179.3873,164907514.49,10467
2018-01-09,182.48,183.34,181.66,181.96,1610437,-0.159,-0.09%,180.7782,293386800.53,16643
2018-01-08,181.13,182.38,180.26,182.12,1435286,0.656,0.36%,180.9371,260943648.14,12081
2018-01-05,182.02,182.30,180.11,181.46,1123036,-0.288,-0.16%,180.2814,203473740.10,11532
